HOME/AWAY,Opponent,勝敗,uraw_得点,uraw_失点,Opponent_シュート,uraw_シュート,Opponent_枠内シュート,uraw_枠内シュート,Opponent_PKによるシュート,uraw_PKによるシュート,Opponent_パス,uraw_パス,Opponent_クロス,uraw_クロス,Opponent_直接ＦＫ,uraw_直接ＦＫ,Opponent_間接ＦＫ,uraw_間接ＦＫ,Opponent_ＣＫ,uraw_ＣＫ,Opponent_スローイン,uraw_スローイン,Opponent_ドリブル,uraw_ドリブル,Opponent_タックル,uraw_タックル,Opponent_クリア,uraw_クリア,Opponent_インターセプト,uraw_インターセプト,Opponent_オフサイド,uraw_オフサイド,Opponent_警告,uraw_警告,Opponent_退場,uraw_退場,Opponent_３０ｍライン進入,uraw_３０ｍライン進入,Opponent_ペナルティエリア進入,uraw_ペナルティエリア進入,Opponent_総移動距離,uraw_総移動距離,Opponent_スプリント,uraw_スプリント,Opponent_攻撃回数,uraw_攻撃回数,Opponent_チャンス構築率,uraw_チャンス構築率,Opponent_ボール保持率,uraw_ボール保持率,URL
H,FC東京,W,4,1,8,17,2,8,0,0,453,392,14,9,21,11,0,2,8,4,35,16,14,20,19,34,16,30,3,3,2,0,3,0,0,0,45,39,14,11,"114,110m","113,738m",163,165,141,127,5.7%,13.4%,51.2%,48.8%,https://www.football-lab.jp/uraw/report/?year=2015&month=05&date=16
H,鹿島,W,2,1,16,16,5,3,0,0,391,480,10,12,13,19,2,0,1,6,19,21,13,13,19,26,18,21,6,2,0,2,0,3,0,0,32,43,9,16,"108,711m","110,895m",173,173,116,128,13.8%,12.5%,46%,54%,https://www.football-lab.jp/uraw/report/?year=2015&month=05&date=23
A,鳥栖,W,6,1,5,18,2,10,0,0,301,589,11,11,12,12,3,7,2,3,18,15,10,11,28,16,17,20,1,3,7,3,3,2,1,0,24,59,2,14,"107,497m","111,227m",133,139,119,122,4.2%,14.8%,39.5%,60.5%,https://www.football-lab.jp/uraw/report/?year=2015&month=05&date=30
A,柏,D,3,3,23,14,7,7,0,0,491,534,13,16,11,10,2,2,5,8,22,16,11,12,25,22,26,26,7,6,2,2,1,1,0,0,40,60,14,20,"115,916m","116,453m",161,174,132,124,17.4%,11.3%,48.4%,51.6%,https://www.football-lab.jp/uraw/report/?year=2015&month=06&date=03
H,清水,W,1,0,13,12,3,4,0,0,516,413,15,13,11,18,2,4,6,2,22,24,12,19,25,31,27,20,4,1,3,2,3,1,0,0,43,31,11,13,"114,392m","113,058m",193,177,148,145,8.8%,8.3%,52.8%,47.2%,https://www.football-lab.jp/uraw/report/?year=2015&month=06&date=07
A,神戸,D,1,1,10,14,1,6,0,0,491,337,16,4,8,23,4,3,5,1,29,17,18,13,18,37,10,28,6,5,3,4,2,2,0,1,45,34,13,15,"107,924m","109,804m",148,156,128,133,7.8%,10.5%,58.4%,41.6%,https://www.football-lab.jp/uraw/report/?year=2015&month=06&date=20
H,新潟,W,5,2,16,15,7,6,1,1,356,535,10,17,12,17,3,0,7,3,26,14,9,18,17,24,11,16,3,4,0,3,0,0,0,0,37,46,14,17,"110,106m","111,237m",173,160,129,131,12.4%,11.5%,41.6%,58.4%,https://www.football-lab.jp/uraw/report/?year=2015&month=06&date=27
A,松本,W,2,1,15,11,3,2,0,0,237,580,20,18,12,10,1,2,10,8,23,19,10,13,19,14,32,32,1,2,2,1,2,3,0,0,32,51,17,20,"117,358m","111,702m",230,159,117,123,12.8%,8.9%,32.2%,67.8%,https://www.football-lab.jp/uraw/report/?year=2015&month=07&date=11
A,山形,D,0,0,17,15,4,4,0,0,235,486,12,11,12,10,1,1,3,10,25,27,10,15,24,18,40,23,2,1,1,1,1,4,0,1,38,31,12,10,"105,366m","99,598m",173,130,116,125,14.7%,12.0%,36.2%,63.8%,https://www.football-lab.jp/uraw/report/?year=2015&month=07&date=15
H,広島,L,1,2,13,26,4,9,0,1,342,633,5,16,16,9,2,2,3,9,6,18,16,17,24,17,20,8,6,4,2,2,1,0,0,0,30,60,8,27,"108,118m","108,760m",132,143,114,120,11.4%,21.7%,38.8%,61.2%,https://www.football-lab.jp/uraw/report/?year=2015&month=07&date=19
A,名古屋,L,1,2,12,15,4,4,0,0,349,603,11,20,6,14,3,2,3,7,13,17,12,13,23,19,35,11,1,1,2,3,1,0,0,1,28,51,13,16,"104,998m","100,267m",160,154,110,119,10.9%,12.6%,42%,58%,https://www.football-lab.jp/uraw/report/?year=2015&month=07&date=25
H,甲府,D,1,1,11,22,4,5,0,1,254,877,5,25,11,3,0,1,2,12,8,12,7,14,15,15,29,7,2,4,1,0,2,1,0,0,19,81,10,26,"108,994m","108,282m",106,103,102,100,10.8%,22.0%,29.8%,70.2%,https://www.football-lab.jp/uraw/report/?year=2015&month=07&date=29
A,新潟,W,2,1,13,21,7,9,0,0,365,495,11,15,11,18,0,4,8,5,23,18,9,17,27,24,11,20,4,6,3,0,3,3,0,0,42,46,15,16,"110,156m","110,885m",150,153,127,131,10.2%,16.0%,42.8%,57.2%,https://www.football-lab.jp/uraw/report/?year=2015&month=08&date=12
H,湘南,W,1,0,15,12,2,3,0,0,366,517,9,18,7,9,2,3,8,3,21,21,3,15,16,20,27,21,2,4,3,2,1,2,0,0,32,45,13,15,"114,226m","108,984m",179,167,127,138,11.8%,8.7%,41.5%,58.5%,https://www.football-lab.jp/uraw/report/?year=2015&month=08&date=16
H,仙台,W,3,1,10,16,3,5,0,0,309,630,14,10,14,16,2,2,4,3,18,15,5,7,8,9,14,14,1,3,1,1,2,1,0,0,30,39,12,11,"107,977m","107,596m",131,121,107,112,9.3%,14.3%,38.8%,61.2%,https://www.football-lab.jp/uraw/report/?year=2015&month=08&date=22
A,横浜FM,L,0,4,16,18,7,2,0,0,324,680,5,21,9,14,1,2,5,3,14,18,9,23,29,19,29,9,3,4,2,2,2,1,0,0,31,71,11,19,"113,997m","110,610m",112,129,106,99,15.1%,18.2%,36.7%,63.3%,https://www.football-lab.jp/uraw/report/?year=2015&month=08&date=29
H,柏,W,1,0,8,18,2,9,0,0,322,640,11,22,15,11,3,1,3,7,17,24,5,23,20,13,29,19,2,3,1,3,2,2,0,0,21,66,9,15,"107,531m","108,443m",111,159,113,114,7.1%,15.8%,38.4%,61.6%,https://www.football-lab.jp/uraw/report/?year=2015&month=09&date=11
A,清水,W,4,1,19,16,8,6,0,0,377,504,9,19,12,8,6,2,5,7,19,18,11,15,19,21,19,19,4,10,2,6,0,1,0,0,36,48,19,16,"111,685m","113,344m",209,216,134,125,14.2%,12.8%,42.8%,57.2%,https://www.football-lab.jp/uraw/report/?year=2015&month=09&date=19
A,鹿島,W,2,1,32,11,10,4,0,0,350,355,24,10,16,13,3,4,9,3,37,17,14,11,24,22,14,35,1,4,3,3,0,0,0,0,46,30,31,11,"109,050m","110,643m",176,170,146,127,21.9%,8.7%,46.5%,53.5%,https://www.football-lab.jp/uraw/report/?year=2015&month=09&date=26
H,鳥栖,D,1,1,7,23,2,5,0,0,241,621,8,24,13,13,2,2,3,7,23,23,8,18,16,19,31,14,2,3,2,2,1,1,0,0,27,64,7,20,"110,656m","107,568m",121,123,111,113,6.3%,20.4%,34.9%,65.1%,https://www.football-lab.jp/uraw/report/?year=2015&month=10&date=03
A,Ｇ大阪,L,1,2,8,25,3,10,0,0,398,698,7,34,10,7,1,0,1,6,18,18,7,16,19,20,32,13,3,4,0,1,1,0,0,0,32,86,8,20,"116,224m","113,279m",145,148,115,113,7.0%,22.1%,40.8%,59.2%,https://www.football-lab.jp/uraw/report/?year=2015&month=10&date=17
A,FC東京,W,4,3,16,9,7,5,0,0,395,457,24,13,17,12,3,6,5,1,32,13,9,7,18,17,19,40,2,2,6,2,1,2,0,0,40,38,13,12,"111,071m","111,455m",150,160,137,121,11.7%,7.4%,43.6%,56.4%,https://www.football-lab.jp/uraw/report/?year=2015&month=10&date=24
H,川崎Ｆ,D,1,1,11,14,3,5,0,0,419,647,10,20,15,12,1,5,4,4,16,16,7,8,24,27,34,21,4,3,5,1,1,3,0,0,44,57,17,20,"113,543m","115,682m",179,201,116,114,9.5%,12.3%,39.2%,60.8%,https://www.football-lab.jp/uraw/report/?year=2015&month=11&date=07
H,神戸,W,5,2,9,12,4,8,0,0,427,535,14,17,15,16,0,2,2,1,22,14,13,12,18,25,12,14,4,5,3,0,1,2,0,0,40,32,10,17,"105,653m","111,713m",192,175,131,123,6.9%,9.8%,44.1%,55.9%,https://www.football-lab.jp/uraw/report/?year=2015&month=11&date=22
