HOME/AWAY,Opponent,勝敗,fctk_得点,fctk_失点,Opponent_シュート,fctk_シュート,Opponent_枠内シュート,fctk_枠内シュート,Opponent_PKによるシュート,fctk_PKによるシュート,Opponent_パス,fctk_パス,Opponent_クロス,fctk_クロス,Opponent_直接ＦＫ,fctk_直接ＦＫ,Opponent_間接ＦＫ,fctk_間接ＦＫ,Opponent_ＣＫ,fctk_ＣＫ,Opponent_スローイン,fctk_スローイン,Opponent_ドリブル,fctk_ドリブル,Opponent_タックル,fctk_タックル,Opponent_クリア,fctk_クリア,Opponent_インターセプト,fctk_インターセプト,Opponent_オフサイド,fctk_オフサイド,Opponent_警告,fctk_警告,Opponent_退場,fctk_退場,Opponent_３０ｍライン進入,fctk_３０ｍライン進入,Opponent_ペナルティエリア進入,fctk_ペナルティエリア進入,Opponent_総移動距離,fctk_総移動距離,Opponent_スプリント,fctk_スプリント,Opponent_攻撃回数,fctk_攻撃回数,Opponent_チャンス構築率,fctk_チャンス構築率,Opponent_ボール保持率,fctk_ボール保持率,URL
H,鹿島,L,0,1,17,6,8,2,0,0,437,469,10,28,13,8,2,2,3,9,32,38,9,20,25,38,33,29,3,0,2,1,0,4,0,0,48,42,13,14,"114,767m","117,520m",151,183,140,140,12.1%,4.3%,49.6%,50.4%,https://www.football-lab.jp/fctk/report/?year=2015&month=05&date=10
A,浦和,L,1,4,17,8,8,2,0,0,392,453,9,14,11,21,2,0,4,8,16,35,20,14,34,19,30,16,3,3,0,2,0,3,0,0,39,45,11,14,"113,738m","114,110m",165,163,127,141,13.4%,5.7%,48.8%,51.2%,https://www.football-lab.jp/fctk/report/?year=2015&month=05&date=16
H,名古屋,L,0,1,5,16,1,6,0,0,379,458,15,22,16,15,2,1,3,9,25,18,9,11,18,24,40,24,5,2,1,2,2,1,1,0,29,42,9,15,"108,878m","113,636m",163,162,139,137,3.6%,11.7%,48%,52%,https://www.football-lab.jp/fctk/report/?year=2015&month=05&date=23
H,柏,W,2,1,10,11,2,3,1,1,579,295,9,18,12,14,5,3,3,5,24,46,6,13,18,19,32,28,3,2,2,5,2,1,0,0,52,24,7,10,"102,387m","105,632m",132,140,114,130,8.8%,8.5%,61.2%,38.8%,https://www.football-lab.jp/fctk/report/?year=2015&month=05&date=30
A,松本,W,2,1,18,10,7,4,0,1,360,310,27,11,11,23,2,3,6,2,41,31,6,7,29,23,32,50,2,0,3,1,2,2,0,0,34,40,17,6,"116,538m","109,938m",171,144,149,150,12.1%,6.7%,49.1%,50.9%,https://www.football-lab.jp/fctk/report/?year=2015&month=06&date=07
A,鳥栖,W,2,1,11,8,4,5,0,1,362,407,12,16,9,20,1,4,4,0,35,24,12,12,20,23,15,33,1,2,4,1,1,0,0,0,34,35,10,6,"111,947m","109,538m",115,121,143,141,7.7%,5.7%,48%,52%,https://www.football-lab.jp/fctk/report/?year=2015&month=06&date=20
H,清水,W,3,2,12,15,3,8,0,0,525,378,15,19,10,16,4,3,7,4,24,32,11,14,16,18,29,28,2,2,3,3,2,0,0,0,51,41,7,18,"110,297m","113,344m",152,166,118,126,10.2%,11.9%,54.6%,45.4%,https://www.football-lab.jp/fctk/report/?year=2015&month=06&date=27
A,川崎Ｆ,L,0,2,16,9,7,2,0,0,662,290,7,8,20,10,2,5,4,6,13,24,14,16,22,15,28,9,4,3,5,2,1,1,0,0,32,30,7,12,"107,940m","107,223m",140,139,116,114,13.8%,7.9%,64.1%,35.9%,https://www.football-lab.jp/fctk/report/?year=2015&month=07&date=11
H,新潟,W,3,1,8,10,4,6,1,0,502,315,11,15,16,21,1,3,4,5,32,22,12,16,15,19,19,19,2,0,2,1,1,4,0,0,37,36,9,12,"110,366m","109,569m",130,114,135,127,5.9%,7.9%,58.9%,41.1%,https://www.football-lab.jp/fctk/report/?year=2015&month=07&date=15
H,山形,D,0,0,10,15,0,4,0,0,378,357,17,13,14,17,0,2,2,4,27,20,7,8,21,14,31,28,2,2,2,0,0,4,0,0,31,32,9,13,"107,281m","103,975m",153,137,128,123,7.8%,12.2%,51.1%,48.9%,https://www.football-lab.jp/fctk/report/?year=2015&month=07&date=19
A,鹿島,L,1,2,17,8,5,5,0,0,423,458,13,14,12,16,1,3,6,4,32,22,21,15,21,35,22,19,5,5,3,1,2,3,0,0,31,28,17,9,"111,393m","110,134m",165,139,131,123,13.0%,6.5%,50.3%,49.7%,https://www.football-lab.jp/fctk/report/?year=2015&month=07&date=25
H,仙台,W,3,1,13,8,1,5,0,0,496,465,13,8,12,11,3,3,2,2,31,21,11,6,15,19,21,29,4,5,3,3,0,1,0,0,50,23,12,7,"111,083m","111,657m",130,120,126,116,10.3%,6.9%,52%,48%,https://www.football-lab.jp/fctk/report/?year=2015&month=07&date=29
A,甲府,W,1,0,4,14,3,4,0,0,391,645,14,26,11,10,0,4,4,5,21,19,11,18,22,21,20,18,2,4,4,0,1,0,0,0,30,70,6,17,"112,915m","115,742m",111,141,112,112,3.6%,12.5%,41%,59%,https://www.football-lab.jp/fctk/report/?year=2015&month=08&date=12
H,Ｇ大阪,W,2,1,18,14,9,6,0,0,607,376,13,10,16,16,3,1,5,6,23,12,9,6,13,23,22,27,2,1,1,3,1,2,0,0,58,33,18,12,"110,860m","110,711m",121,122,117,111,15.4%,12.6%,59.1%,40.9%,https://www.football-lab.jp/fctk/report/?year=2015&month=08&date=16
A,名古屋,D,0,0,10,11,1,2,0,0,415,452,23,17,11,14,4,2,8,3,18,19,14,17,20,12,19,14,4,3,2,3,1,2,0,0,45,39,11,8,"104,124m","107,641m",136,142,122,125,8.2%,8.8%,46.6%,53.4%,https://www.football-lab.jp/fctk/report/?year=2015&month=08&date=22
A,清水,D,1,1,21,10,7,4,0,0,361,439,19,12,12,15,3,4,8,6,36,21,26,14,21,20,22,39,2,3,4,3,0,3,0,0,51,30,20,6,"109,941m","109,239m",165,150,147,132,14.3%,7.6%,45.9%,54.1%,https://www.football-lab.jp/fctk/report/?year=2015&month=08&date=29
H,神戸,W,3,0,12,8,2,5,0,0,537,320,17,13,16,23,2,0,7,2,20,18,6,6,12,26,13,42,0,7,0,2,1,2,0,0,52,30,13,10,"105,870m","112,997m",134,143,127,126,9.4%,6.3%,59.8%,40.2%,https://www.football-lab.jp/fctk/report/?year=2015&month=09&date=12
A,横浜FM,L,0,1,16,4,3,1,0,0,675,368,16,12,13,10,0,1,6,2,25,20,11,6,20,23,17,27,1,6,1,0,1,0,0,0,50,36,15,8,"114,571m","113,468m",122,127,117,110,13.7%,3.6%,64.1%,35.9%,https://www.football-lab.jp/fctk/report/?year=2015&month=09&date=19
H,松本,W,1,0,13,13,3,4,0,0,335,313,21,15,6,19,4,2,7,6,28,16,12,9,14,20,12,36,0,2,2,4,2,2,0,0,29,28,18,16,"107,990m","103,558m",169,123,127,131,10.2%,9.9%,46.3%,53.7%,https://www.football-lab.jp/fctk/report/?year=2015&month=09&date=26
A,広島,W,1,0,18,14,2,6,0,0,577,370,19,14,9,7,0,2,10,5,18,18,15,7,10,18,18,35,4,3,2,0,0,2,0,0,38,45,15,11,"108,417m","111,917m",92,134,113,107,15.9%,13.1%,58.1%,41.9%,https://www.football-lab.jp/fctk/report/?year=2015&month=10&date=03
H,湘南,L,1,2,8,12,3,4,0,0,274,457,11,28,12,19,2,4,4,11,16,21,12,14,22,25,44,19,2,0,4,2,2,2,0,0,31,44,9,15,"111,380m","109,336m",195,166,124,136,6.5%,8.8%,43.9%,56.1%,https://www.football-lab.jp/fctk/report/?year=2015&month=10&date=17
H,浦和,L,3,4,9,16,5,7,0,0,457,395,13,24,12,17,6,3,1,5,13,32,7,9,17,18,40,19,2,2,2,6,2,1,0,0,38,40,12,13,"111,455m","111,071m",160,150,121,137,7.4%,11.7%,56.4%,43.6%,https://www.football-lab.jp/fctk/report/?year=2015&month=10&date=24
A,柏,W,1,0,17,11,3,2,0,1,592,278,22,14,13,13,5,2,5,4,38,19,19,11,25,38,22,40,1,0,2,5,2,3,0,0,45,23,12,12,"114,269m","116,519m",143,152,129,113,13.2%,9.7%,64.1%,35.9%,https://www.football-lab.jp/fctk/report/?year=2015&month=11&date=07
H,鳥栖,D,0,0,5,19,1,2,0,0,383,542,9,25,13,16,1,4,3,10,25,18,6,20,30,17,44,20,2,4,4,0,1,1,0,0,30,57,8,19,"118,185m","114,554m",123,156,124,126,4.0%,15.1%,45.4%,54.6%,https://www.football-lab.jp/fctk/report/?year=2015&month=11&date=22
