HOME/AWAY,Opponent,勝敗,ka-f_得点,ka-f_失点,Opponent_シュート,ka-f_シュート,Opponent_枠内シュート,ka-f_枠内シュート,Opponent_PKによるシュート,ka-f_PKによるシュート,Opponent_パス,ka-f_パス,Opponent_クロス,ka-f_クロス,Opponent_直接ＦＫ,ka-f_直接ＦＫ,Opponent_間接ＦＫ,ka-f_間接ＦＫ,Opponent_ＣＫ,ka-f_ＣＫ,Opponent_スローイン,ka-f_スローイン,Opponent_ドリブル,ka-f_ドリブル,Opponent_タックル,ka-f_タックル,Opponent_クリア,ka-f_クリア,Opponent_インターセプト,ka-f_インターセプト,Opponent_オフサイド,ka-f_オフサイド,Opponent_警告,ka-f_警告,Opponent_退場,ka-f_退場,Opponent_３０ｍライン進入,ka-f_３０ｍライン進入,Opponent_ペナルティエリア進入,ka-f_ペナルティエリア進入,Opponent_総移動距離,ka-f_総移動距離,Opponent_スプリント,ka-f_スプリント,Opponent_攻撃回数,ka-f_攻撃回数,Opponent_チャンス構築率,ka-f_チャンス構築率,Opponent_ボール保持率,ka-f_ボール保持率,URL
A,名古屋,W,1,0,9,20,1,5,0,0,534,609,17,5,10,13,2,3,3,3,16,15,11,11,18,24,8,17,3,2,3,2,2,2,0,0,42,36,14,14,"110,678m","109,282m",175,156,125,128,7.2%,15.6%,49.8%,50.2%,https://www.football-lab.jp/ka-f/report/?year=2015&month=05&date=10
A,Ｇ大阪,D,1,1,25,17,12,5,0,0,426,686,22,3,11,8,1,2,9,5,15,15,13,17,27,19,27,40,7,2,3,1,2,1,0,0,51,76,22,17,"113,706m","113,076m",172,167,116,112,21.6%,15.2%,41.5%,58.5%,https://www.football-lab.jp/ka-f/report/?year=2015&month=05&date=16
H,鳥栖,W,3,2,15,17,6,6,0,0,395,515,17,11,13,18,3,2,3,6,16,22,15,19,22,17,26,25,3,2,2,3,1,2,0,0,47,38,18,16,"116,049m","110,286m",163,116,123,136,12.2%,12.5%,46.7%,53.3%,https://www.football-lab.jp/ka-f/report/?year=2015&month=05&date=23
A,清水,L,2,5,19,12,7,6,0,0,432,699,5,9,9,10,5,2,2,3,21,30,6,8,25,13,25,12,2,2,2,4,0,1,0,0,36,33,13,11,"117,867m","109,529m",167,147,120,130,15.8%,9.2%,42.5%,57.5%,https://www.football-lab.jp/ka-f/report/?year=2015&month=05&date=30
H,湘南,W,2,1,16,15,5,4,0,1,340,831,18,11,12,10,3,3,3,4,14,27,15,12,19,16,20,11,4,5,2,3,1,2,0,0,48,50,11,10,"116,756m","113,656m",154,137,118,121,13.6%,12.4%,35.5%,64.5%,https://www.football-lab.jp/ka-f/report/?year=2015&month=06&date=07
H,松本,W,2,0,9,19,2,6,0,1,188,850,6,23,4,19,2,1,1,13,10,15,9,26,31,19,34,13,6,6,1,2,1,0,0,0,19,93,10,17,"113,536m","108,601m",147,116,91,116,9.9%,16.4%,24.6%,75.4%,https://www.football-lab.jp/ka-f/report/?year=2015&month=06&date=20
A,鹿島,W,3,2,18,11,5,5,0,0,494,577,15,9,12,11,1,2,4,2,28,25,25,13,27,35,12,25,1,1,2,1,2,4,0,0,54,26,17,7,"114,112m","109,981m",140,129,121,117,14.9%,9.4%,48.9%,51.1%,https://www.football-lab.jp/ka-f/report/?year=2015&month=06&date=27
H,FC東京,W,2,0,9,16,2,7,0,0,290,662,8,7,10,20,5,2,6,4,24,13,16,14,15,22,9,28,3,4,2,5,1,1,0,0,30,32,12,7,"107,223m","107,940m",139,140,114,116,7.9%,13.8%,35.9%,64.1%,https://www.football-lab.jp/ka-f/report/?year=2015&month=07&date=11
A,鳥栖,D,1,1,17,9,4,2,1,0,356,629,16,10,5,11,1,4,7,1,13,9,12,12,18,12,16,24,3,2,3,1,1,1,0,0,39,40,13,11,"110,612m","107,425m",113,144,100,95,17.0%,9.5%,42.9%,57.1%,https://www.football-lab.jp/ka-f/report/?year=2015&month=07&date=15
A,柏,L,0,1,15,19,4,8,0,0,431,687,6,14,9,15,3,4,3,9,14,22,17,9,15,13,30,11,7,2,4,3,0,1,0,0,38,61,14,16,"107,933m","109,105m",114,119,91,108,16.5%,17.6%,42.1%,57.9%,https://www.football-lab.jp/ka-f/report/?year=2015&month=07&date=19
H,清水,W,3,2,13,20,5,8,0,0,238,718,8,20,10,17,10,3,3,9,15,24,5,16,25,17,28,15,5,2,3,9,1,1,0,0,26,60,12,22,"103,092m","105,722m",122,129,109,129,11.9%,15.5%,32.1%,67.9%,https://www.football-lab.jp/ka-f/report/?year=2015&month=07&date=25
A,松本,W,3,1,16,19,6,5,0,0,310,596,21,11,14,12,1,2,11,2,21,20,10,17,29,18,10,35,4,4,2,1,0,1,0,0,46,66,17,23,"113,976m","109,993m",143,145,129,117,12.4%,16.2%,38.6%,61.4%,https://www.football-lab.jp/ka-f/report/?year=2015&month=07&date=29
H,山形,D,0,0,11,8,3,3,0,0,336,681,18,11,8,13,2,4,7,4,18,20,6,15,28,9,29,33,2,3,3,2,1,0,0,0,39,49,9,9,"107,538m","102,736m",142,124,119,120,9.2%,6.7%,39.6%,60.4%,https://www.football-lab.jp/ka-f/report/?year=2015&month=08&date=12
A,神戸,L,0,2,11,17,4,3,0,0,354,499,17,9,12,17,2,2,4,5,23,19,14,10,25,31,23,23,5,2,2,2,0,1,0,0,43,46,11,12,"104,593m","104,050m",140,149,135,147,8.1%,11.6%,45.1%,54.9%,https://www.football-lab.jp/ka-f/report/?year=2015&month=08&date=16
A,湘南,L,1,2,14,14,6,7,0,0,322,643,18,11,11,19,3,2,2,3,16,19,10,14,26,14,20,23,5,2,1,3,3,2,0,0,45,49,7,15,"111,447m","104,633m",154,140,118,129,11.9%,10.9%,40.5%,59.5%,https://www.football-lab.jp/ka-f/report/?year=2015&month=08&date=22
H,鹿島,L,1,3,17,9,4,4,0,0,458,624,9,11,13,14,5,4,0,2,19,30,12,17,17,19,17,18,2,1,4,5,3,1,0,0,53,48,10,11,"113,681m","112,131m",145,135,116,129,14.7%,7.0%,45.5%,54.5%,https://www.football-lab.jp/ka-f/report/?year=2015&month=08&date=29
A,甲府,W,3,1,9,10,3,5,1,0,396,624,15,14,11,10,2,1,6,5,15,19,9,12,15,12,23,22,2,0,1,2,0,1,0,0,48,53,15,11,"108,367m","108,855m",108,117,111,116,8.1%,8.6%,44.3%,55.7%,https://www.football-lab.jp/ka-f/report/?year=2015&month=09&date=12
H,名古屋,W,6,1,8,20,3,10,0,0,365,571,13,17,10,8,4,2,3,8,15,24,9,16,22,22,27,18,3,4,2,4,1,1,0,0,32,59,9,18,"101,019m","109,310m",131,140,109,116,7.3%,17.2%,42.9%,57.1%,https://www.football-lab.jp/ka-f/report/?year=2015&month=09&date=19
A,新潟,W,2,1,10,11,3,2,0,0,365,535,10,9,13,19,0,1,5,7,22,19,13,17,21,14,21,26,4,3,1,0,2,1,0,0,33,45,15,23,"113,048m","114,626m",151,157,129,126,7.8%,8.7%,44.1%,55.9%,https://www.football-lab.jp/ka-f/report/?year=2015&month=09&date=26
H,Ｇ大阪,W,5,3,11,24,5,11,0,1,540,588,13,14,11,15,2,1,1,3,10,12,11,15,21,22,19,19,5,4,1,2,4,0,0,0,50,55,13,18,"113,331m","114,647m",141,144,104,109,10.6%,22.0%,50.6%,49.4%,https://www.football-lab.jp/ka-f/report/?year=2015&month=10&date=04
A,広島,L,1,2,13,18,4,6,0,0,443,658,13,13,10,10,0,2,1,7,15,10,22,12,18,19,29,22,3,3,2,0,1,0,0,0,36,73,16,21,"112,198m","112,485m",137,157,115,114,11.3%,15.8%,45.4%,54.6%,https://www.football-lab.jp/ka-f/report/?year=2015&month=10&date=17
H,横浜FM,L,0,1,9,21,5,5,0,0,398,671,8,17,10,9,2,4,2,5,9,9,13,22,22,29,26,20,3,1,4,2,1,3,0,1,30,84,14,30,"117,689m","114,725m",120,140,113,107,8.0%,19.6%,44.5%,55.5%,https://www.football-lab.jp/ka-f/report/?year=2015&month=10&date=24
A,浦和,D,1,1,14,11,5,3,0,0,647,419,20,10,12,15,5,1,4,4,16,16,8,7,27,24,21,34,3,4,1,5,3,1,0,0,57,44,20,17,"115,682m","113,543m",201,179,114,116,12.3%,9.5%,60.8%,39.2%,https://www.football-lab.jp/ka-f/report/?year=2015&month=11&date=07
H,仙台,W,1,0,5,14,1,6,0,0,400,739,13,21,11,13,6,1,1,8,18,19,14,16,27,17,20,25,5,3,0,6,1,1,0,0,40,53,7,23,"116,439m","113,053m",154,147,116,124,4.3%,11.3%,42%,58%,https://www.football-lab.jp/ka-f/report/?year=2015&month=11&date=22
