HOME/AWAY,Opponent,勝敗,kasw_得点,kasw_失点,Opponent_シュート,kasw_シュート,Opponent_枠内シュート,kasw_枠内シュート,Opponent_PKによるシュート,kasw_PKによるシュート,Opponent_パス,kasw_パス,Opponent_クロス,kasw_クロス,Opponent_直接ＦＫ,kasw_直接ＦＫ,Opponent_間接ＦＫ,kasw_間接ＦＫ,Opponent_ＣＫ,kasw_ＣＫ,Opponent_スローイン,kasw_スローイン,Opponent_ドリブル,kasw_ドリブル,Opponent_タックル,kasw_タックル,Opponent_クリア,kasw_クリア,Opponent_インターセプト,kasw_インターセプト,Opponent_オフサイド,kasw_オフサイド,Opponent_警告,kasw_警告,Opponent_退場,kasw_退場,Opponent_３０ｍライン進入,kasw_３０ｍライン進入,Opponent_ペナルティエリア進入,kasw_ペナルティエリア進入,Opponent_総移動距離,kasw_総移動距離,Opponent_スプリント,kasw_スプリント,Opponent_攻撃回数,kasw_攻撃回数,Opponent_チャンス構築率,kasw_チャンス構築率,Opponent_ボール保持率,kasw_ボール保持率,URL
H,湘南,D,0,0,14,11,3,1,0,0,391,612,24,21,11,11,2,5,3,4,25,18,16,16,28,19,24,28,7,7,5,2,1,1,0,0,45,50,11,13,"118,851m","116,584m",169,146,129,131,10.9%,8.4%,43.2%,56.8%,https://www.football-lab.jp/kasw/report/?year=2015&month=05&date=14
A,FC東京,L,1,2,11,10,3,2,1,1,295,579,18,9,14,12,3,5,5,3,46,24,13,6,19,18,28,32,2,3,5,2,1,2,0,0,24,52,10,7,"105,632m","102,387m",140,132,130,114,8.5%,8.8%,38.8%,61.2%,https://www.football-lab.jp/kasw/report/?year=2015&month=05&date=30
H,浦和,D,3,3,14,23,7,7,0,0,534,491,16,13,10,11,2,2,8,5,16,22,12,11,22,25,26,26,6,7,2,2,1,1,0,0,60,40,20,14,"116,453m","115,916m",174,161,124,132,11.3%,17.4%,51.6%,48.4%,https://www.football-lab.jp/kasw/report/?year=2015&month=06&date=03
H,広島,L,2,3,10,10,5,3,0,0,397,672,15,19,15,11,1,10,4,9,11,18,22,15,22,14,27,21,5,2,10,1,0,1,0,0,39,57,12,17,"112,484m","114,165m",119,140,112,115,8.9%,8.7%,41.5%,58.5%,https://www.football-lab.jp/kasw/report/?year=2015&month=06&date=07
A,名古屋,L,0,1,5,18,3,7,0,0,360,611,9,16,16,15,1,3,1,8,23,20,7,10,30,24,33,23,2,0,3,1,2,1,0,1,28,60,4,20,"107,338m","109,946m",119,157,124,128,4.0%,14.1%,42.2%,57.8%,https://www.football-lab.jp/kasw/report/?year=2015&month=06&date=20
H,Ｇ大阪,W,1,0,13,9,3,4,0,0,570,638,18,10,12,12,1,2,5,3,27,20,14,9,21,25,16,26,4,8,2,1,1,0,0,0,53,47,13,10,"115,560m","114,589m",151,119,129,133,10.1%,6.8%,47.9%,52.1%,https://www.football-lab.jp/kasw/report/?year=2015&month=06&date=23
A,甲府,D,1,1,12,4,2,2,0,0,468,657,17,8,15,6,0,1,9,4,20,28,15,6,25,12,18,23,4,4,1,0,0,2,0,0,41,40,11,9,"109,514m","109,282m",110,99,124,111,9.7%,3.6%,44.9%,55.1%,https://www.football-lab.jp/kasw/report/?year=2015&month=06&date=27
H,鳥栖,L,2,3,6,14,3,3,0,1,291,603,7,22,9,10,2,3,7,2,22,31,6,14,14,10,26,18,3,0,2,2,3,1,0,0,20,52,11,16,"116,870m","112,649m",114,109,123,116,4.9%,12.1%,37.3%,62.7%,https://www.football-lab.jp/kasw/report/?year=2015&month=07&date=11
A,横浜FM,W,1,0,10,8,3,5,0,0,690,394,23,6,10,11,1,1,7,2,30,19,19,13,16,27,11,49,0,0,1,1,2,1,1,0,53,21,19,10,"115,594m","114,727m",129,122,124,119,8.1%,6.7%,60.2%,39.8%,https://www.football-lab.jp/kasw/report/?year=2015&month=07&date=15
H,川崎Ｆ,W,1,0,19,15,8,4,0,0,687,431,14,6,15,9,4,3,9,3,22,14,9,17,13,15,11,30,2,7,3,4,1,0,0,0,61,38,16,14,"109,105m","107,933m",119,114,108,91,17.6%,16.5%,57.9%,42.1%,https://www.football-lab.jp/kasw/report/?year=2015&month=07&date=19
A,仙台,W,1,0,15,9,1,2,0,0,300,460,23,13,13,13,5,4,11,5,28,28,8,11,13,15,24,32,0,1,3,4,0,4,0,0,43,31,10,8,"109,056m","103,454m",116,93,132,127,11.4%,7.1%,41.6%,58.4%,https://www.football-lab.jp/kasw/report/?year=2015&month=07&date=25
A,湘南,L,0,3,13,11,3,0,0,0,323,656,19,10,13,13,2,5,8,4,16,38,9,5,23,16,27,24,5,5,5,2,2,1,0,0,41,38,13,6,"113,703m","110,078m",152,99,119,136,10.9%,8.1%,36.5%,63.5%,https://www.football-lab.jp/kasw/report/?year=2015&month=07&date=29
H,神戸,W,2,0,13,10,4,5,0,0,551,534,18,8,7,15,2,2,6,1,22,32,21,10,21,14,18,23,3,4,2,2,2,0,0,0,60,34,17,7,"106,363m","111,900m",137,161,114,128,11.4%,7.8%,52.3%,47.7%,https://www.football-lab.jp/kasw/report/?year=2015&month=08&date=12
A,広島,W,3,0,21,9,2,4,0,0,562,434,24,6,12,12,1,2,10,2,24,14,17,4,23,23,16,38,1,3,2,1,0,1,0,0,48,38,15,12,"105,843m","109,864m",100,119,120,103,17.5%,8.7%,58.7%,41.3%,https://www.football-lab.jp/kasw/report/?year=2015&month=08&date=16
H,松本,W,2,0,12,18,2,5,0,0,349,656,20,16,12,5,0,1,5,4,35,21,8,14,27,21,28,35,4,2,1,0,1,1,0,0,45,51,16,15,"115,642m","109,827m",155,126,125,109,9.6%,16.5%,38.8%,61.2%,https://www.football-lab.jp/kasw/report/?year=2015&month=08&date=20
H,甲府,D,2,2,16,10,6,2,0,0,441,683,15,11,14,10,4,2,7,3,23,18,15,5,18,22,22,31,1,1,2,4,1,1,0,0,38,46,13,14,"109,646m","110,677m",138,133,120,116,13.3%,8.6%,42.4%,57.6%,https://www.football-lab.jp/kasw/report/?year=2015&month=08&date=30
A,浦和,L,0,1,18,8,9,2,0,0,640,322,22,11,11,15,1,3,7,3,24,17,23,5,13,20,19,29,3,2,3,1,2,2,0,0,66,21,15,9,"108,443m","107,531m",159,111,114,113,15.8%,7.1%,61.6%,38.4%,https://www.football-lab.jp/kasw/report/?year=2015&month=09&date=11
H,山形,D,0,0,13,16,3,3,0,0,366,571,12,14,9,12,4,7,5,6,23,33,6,8,24,17,33,17,5,3,6,3,0,1,0,0,33,49,8,11,"113,469m","112,602m",139,140,124,138,10.5%,11.6%,40.8%,59.2%,https://www.football-lab.jp/kasw/report/?year=2015&month=09&date=20
A,Ｇ大阪,L,1,3,14,13,5,4,0,1,483,659,13,13,9,7,1,1,2,2,12,23,14,8,32,22,25,15,2,2,1,0,0,3,0,0,47,56,14,10,"110,878m","113,129m",155,142,105,109,13.3%,11.9%,45.9%,54.1%,https://www.football-lab.jp/kasw/report/?year=2015&month=09&date=26
H,名古屋,W,3,1,12,18,4,7,0,0,403,608,18,17,18,12,1,1,4,4,24,16,14,18,28,23,17,21,3,4,1,1,1,2,0,0,36,53,14,16,"110,225m","111,822m",142,144,135,127,8.9%,14.2%,41.2%,58.8%,https://www.football-lab.jp/kasw/report/?year=2015&month=10&date=03
A,鹿島,L,2,3,16,10,8,4,0,0,404,514,20,14,11,14,4,6,10,5,35,19,27,22,28,23,33,42,4,6,6,3,4,3,0,0,44,34,18,10,"112,493m","112,781m",151,156,154,140,10.4%,7.1%,45.1%,54.9%,https://www.football-lab.jp/kasw/report/?year=2015&month=10&date=17
A,清水,W,3,0,16,10,6,5,0,0,427,623,22,11,12,9,4,2,7,2,30,26,21,15,28,25,13,27,0,4,2,4,1,3,0,0,36,42,12,11,"115,887m","113,503m",168,127,138,127,11.6%,7.9%,40.7%,59.3%,https://www.football-lab.jp/kasw/report/?year=2015&month=10&date=24
H,FC東京,L,0,1,11,17,2,3,1,0,278,592,14,22,13,13,2,5,4,5,19,38,11,19,38,25,40,22,0,1,5,2,3,2,0,0,23,45,12,12,"116,519m","114,269m",152,143,113,129,9.7%,13.2%,35.9%,64.1%,https://www.football-lab.jp/kasw/report/?year=2015&month=11&date=07
H,新潟,D,1,1,13,8,3,2,1,0,414,431,15,3,15,19,2,4,5,8,24,26,12,15,29,25,19,28,2,2,4,1,4,2,0,0,29,23,17,10,"117,557m","114,218m",169,146,126,136,10.3%,5.9%,48.5%,51.5%,https://www.football-lab.jp/kasw/report/?year=2015&month=11&date=22
