HOME/AWAY,Opponent,勝敗,kobe_得点,kobe_失点,kobe_シュート,Opponent_シュート,kobe_枠内シュート,Opponent_枠内シュート,kobe_PKによるシュート,Opponent_PKによるシュート,kobe_パス,Opponent_パス,kobe_クロス,Opponent_クロス,kobe_直接ＦＫ,Opponent_直接ＦＫ,kobe_間接ＦＫ,Opponent_間接ＦＫ,kobe_ＣＫ,Opponent_ＣＫ,kobe_スローイン,Opponent_スローイン,kobe_ドリブル,Opponent_ドリブル,kobe_タックル,Opponent_タックル,kobe_クリア,Opponent_クリア,kobe_インターセプト,Opponent_インターセプト,kobe_オフサイド,Opponent_オフサイド,kobe_警告,Opponent_警告,kobe_退場,Opponent_退場,kobe_３０ｍライン進入,Opponent_３０ｍライン進入,kobe_ペナルティエリア進入,Opponent_ペナルティエリア進入,kobe_総移動距離,Opponent_総移動距離,kobe_スプリント,Opponent_スプリント,kobe_攻撃回数,Opponent_攻撃回数,kobe_チャンス構築率,Opponent_チャンス構築率,kobe_ボール保持率,Opponent_ボール保持率,URL
H,清水,L,1,2,13,17,3,7,0,0,519,395,8,10,8,15,3,6,2,2,25,20,17,13,28,29,17,24,3,5,6,3,1,3,0,1,26,45,11,15,"103,556m","103,417m",140,155,130,130,10.0%,13.1%,56.8%,43.2%,https://www.football-lab.jp/kobe/report/?year=2015&month=05&date=10
A,松本,L,0,2,16,15,4,3,0,0,584,295,14,22,7,17,0,0,4,5,23,28,9,11,13,20,35,36,3,0,0,0,2,0,0,0,69,41,19,21,"109,615m","119,874m",156,200,125,133,12.8%,11.3%,61.9%,38.1%,https://www.football-lab.jp/kobe/report/?year=2015&month=05&date=16
A,山形,W,1,0,9,17,3,7,0,0,443,423,10,18,10,12,1,5,4,6,37,36,15,12,33,25,36,10,2,4,4,0,1,2,0,0,35,50,13,14,"106,198m","113,313m",148,176,147,147,6.1%,11.6%,53%,47%,https://www.football-lab.jp/kobe/report/?year=2015&month=05&date=23
H,仙台,L,0,1,24,12,5,3,0,0,576,256,27,8,9,18,6,3,10,3,28,18,32,10,21,36,21,59,1,2,3,6,2,0,0,0,61,30,21,10,"109,680m","116,100m",150,183,131,124,18.3%,9.7%,63.6%,36.4%,https://www.football-lab.jp/kobe/report/?year=2015&month=05&date=30
A,Ｇ大阪,D,0,0,12,12,5,5,0,0,430,600,11,15,9,15,4,2,4,6,13,26,12,11,23,29,18,14,4,4,2,4,3,0,0,0,41,49,10,16,"114,673m","113,903m",175,168,122,135,9.8%,8.9%,45%,55%,https://www.football-lab.jp/kobe/report/?year=2015&month=06&date=07
H,浦和,D,1,1,10,14,1,6,0,0,491,337,16,4,8,23,4,3,5,1,29,17,18,13,18,37,10,28,6,5,3,4,2,2,0,1,45,34,13,15,"107,924m","109,804m",148,156,128,133,7.8%,10.5%,58.4%,41.6%,https://www.football-lab.jp/kobe/report/?year=2015&month=06&date=20
H,横浜FM,D,1,1,16,18,4,4,0,0,370,555,18,7,10,13,1,1,6,2,20,33,17,11,39,29,27,18,0,4,1,1,1,2,0,0,40,37,14,11,"110,249m","115,146m",156,159,112,120,14.3%,15.0%,44.7%,55.3%,https://www.football-lab.jp/kobe/report/?year=2015&month=06&date=27
A,清水,W,5,0,16,6,10,1,0,0,560,431,20,24,14,7,1,2,4,7,28,28,15,4,29,21,29,23,5,3,2,1,0,2,0,0,51,37,19,11,"108,515m","110,753m",152,168,137,136,11.7%,4.4%,56.1%,43.9%,https://www.football-lab.jp/kobe/report/?year=2015&month=07&date=11
H,湘南,D,1,1,8,12,3,5,0,0,595,389,18,8,10,11,3,3,2,3,31,26,17,12,31,29,15,34,9,6,2,3,0,0,0,0,47,33,10,12,"108,778m","116,033m",142,182,151,145,5.3%,8.3%,58.7%,41.3%,https://www.football-lab.jp/kobe/report/?year=2015&month=07&date=15
A,仙台,W,2,1,11,13,3,3,1,0,557,328,22,14,6,10,3,2,5,7,27,32,19,10,25,20,23,20,7,6,2,2,0,0,0,0,48,37,12,14,"107,530m","115,608m",126,145,120,126,9.2%,10.3%,59.2%,40.8%,https://www.football-lab.jp/kobe/report/?year=2015&month=07&date=19
H,Ｇ大阪,L,1,2,13,16,3,5,0,0,358,590,19,9,7,16,2,2,7,3,22,23,13,15,36,24,16,27,4,0,2,2,1,0,1,0,38,54,12,16,"99,441m","107,178m",128,126,111,115,11.7%,13.9%,42.3%,57.7%,https://www.football-lab.jp/kobe/report/?year=2015&month=07&date=25
H,広島,L,0,4,13,13,3,5,0,1,637,404,14,4,12,16,4,2,0,2,32,25,15,7,23,24,17,24,2,4,1,4,0,0,0,0,56,17,12,10,"105,679m","109,791m",110,106,116,128,11.2%,10.2%,61%,39%,https://www.football-lab.jp/kobe/report/?year=2015&month=07&date=29
A,柏,L,0,2,13,10,4,5,0,0,551,534,18,8,7,15,2,2,6,1,22,32,21,10,21,14,18,23,3,4,2,2,2,0,0,0,60,34,17,7,"106,363m","111,900m",137,161,114,128,11.4%,7.8%,52.3%,47.7%,https://www.football-lab.jp/kobe/report/?year=2015&month=08&date=12
H,川崎Ｆ,W,2,0,11,17,4,3,0,0,354,499,17,9,12,17,2,2,4,5,23,19,14,10,25,31,23,23,5,2,2,2,0,1,0,0,43,46,11,12,"104,593m","104,050m",140,149,135,147,8.1%,11.6%,45.1%,54.9%,https://www.football-lab.jp/kobe/report/?year=2015&month=08&date=16
A,甲府,L,0,1,8,10,2,5,0,0,647,307,16,13,9,12,2,1,7,1,19,13,17,9,22,27,23,40,2,6,1,2,1,0,0,0,54,26,15,10,"103,338m","108,049m",109,110,115,112,7.0%,8.9%,62%,38%,https://www.football-lab.jp/kobe/report/?year=2015&month=08&date=22
H,鳥栖,W,7,1,28,11,13,4,0,0,508,400,20,19,7,6,0,2,8,10,18,26,18,10,15,15,32,29,4,4,2,0,0,0,0,0,52,34,23,15,"110,323m","113,923m",165,153,109,117,25.7%,9.4%,52.9%,47.1%,https://www.football-lab.jp/kobe/report/?year=2015&month=08&date=29
A,FC東京,L,0,3,12,8,2,5,0,0,537,320,17,13,16,23,2,0,7,2,20,18,6,6,12,26,13,42,0,7,0,2,1,2,0,0,52,30,13,10,"105,870m","112,997m",134,143,127,126,9.4%,6.3%,59.8%,40.2%,https://www.football-lab.jp/kobe/report/?year=2015&month=09&date=12
H,新潟,L,1,2,17,14,4,6,0,0,471,456,5,13,15,19,0,2,4,1,16,20,13,13,33,30,16,21,5,3,1,0,1,1,0,0,37,36,18,13,"113,002m","116,040m",179,168,143,142,11.9%,9.9%,49.9%,50.1%,https://www.football-lab.jp/kobe/report/?year=2015&month=09&date=19
A,名古屋,L,0,2,14,15,2,3,0,0,469,321,10,14,12,15,2,6,4,6,17,18,11,7,21,29,19,22,1,3,5,2,2,4,0,0,50,36,11,11,"104,091m","107,398m",137,167,111,121,12.6%,12.4%,58.6%,41.4%,https://www.football-lab.jp/kobe/report/?year=2015&month=09&date=26
H,鹿島,L,0,2,6,22,2,7,0,0,386,345,10,19,10,12,2,1,2,11,27,38,19,14,38,31,31,17,3,3,1,2,2,0,0,0,34,52,5,23,"102,099m","104,656m",149,162,144,161,4.2%,13.7%,54.1%,45.9%,https://www.football-lab.jp/kobe/report/?year=2015&month=10&date=03
A,横浜FM,L,1,2,7,21,4,7,0,0,274,700,9,13,4,14,2,1,4,4,19,26,7,19,26,19,34,12,8,2,1,2,3,0,1,0,26,87,7,17,"104,998m","117,208m",122,120,107,121,6.5%,17.4%,31.7%,68.3%,https://www.football-lab.jp/kobe/report/?year=2015&month=10&date=17
H,山形,W,3,1,20,12,5,3,0,0,374,446,15,19,6,9,7,4,5,5,27,30,14,10,19,25,44,25,1,4,3,7,3,0,0,0,43,40,17,17,"102,563m","107,216m",139,146,137,150,14.6%,8.0%,47.6%,52.4%,https://www.football-lab.jp/kobe/report/?year=2015&month=10&date=24
H,松本,W,2,1,24,20,6,6,1,0,546,307,20,18,7,8,0,3,6,6,28,17,20,11,16,32,19,31,3,3,3,0,0,1,0,0,64,39,23,20,"111,829m","120,951m",165,192,138,138,17.4%,14.5%,60.4%,39.6%,https://www.football-lab.jp/kobe/report/?year=2015&month=11&date=07
A,浦和,L,2,5,9,12,4,8,0,0,427,535,14,17,15,16,0,2,2,1,22,14,13,12,18,25,12,14,4,5,3,0,1,2,0,0,40,32,10,17,"105,653m","111,713m",192,175,131,123,6.9%,9.8%,44.1%,55.9%,https://www.football-lab.jp/kobe/report/?year=2015&month=11&date=22
