HOME/AWAY,Opponent,勝敗,tosu_得点,tosu_失点,tosu_シュート,Opponent_シュート,tosu_枠内シュート,Opponent_枠内シュート,tosu_PKによるシュート,Opponent_PKによるシュート,tosu_パス,Opponent_パス,tosu_クロス,Opponent_クロス,tosu_直接ＦＫ,Opponent_直接ＦＫ,tosu_間接ＦＫ,Opponent_間接ＦＫ,tosu_ＣＫ,Opponent_ＣＫ,tosu_スローイン,Opponent_スローイン,tosu_ドリブル,Opponent_ドリブル,tosu_タックル,Opponent_タックル,tosu_クリア,Opponent_クリア,tosu_インターセプト,Opponent_インターセプト,tosu_オフサイド,Opponent_オフサイド,tosu_警告,Opponent_警告,tosu_退場,Opponent_退場,tosu_３０ｍライン進入,Opponent_３０ｍライン進入,tosu_ペナルティエリア進入,Opponent_ペナルティエリア進入,tosu_総移動距離,Opponent_総移動距離,tosu_スプリント,Opponent_スプリント,tosu_攻撃回数,Opponent_攻撃回数,tosu_チャンス構築率,Opponent_チャンス構築率,tosu_ボール保持率,Opponent_ボール保持率,URL
H,松本,D,1,1,22,16,3,8,0,0,469,238,27,10,14,13,4,2,13,3,22,11,13,2,15,19,21,65,3,0,1,4,0,0,0,0,52,21,29,9,"110,661m","114,594m",130,172,137,121,16.1%,13.2%,59.5%,40.5%,https://www.football-lab.jp/tosu/report/?year=2015&month=05&date=10
A,名古屋,W,1,0,14,18,4,4,0,0,389,397,25,21,14,14,1,3,6,7,21,25,13,11,27,18,23,19,6,2,3,1,0,2,0,0,53,45,17,14,"112,397m","108,076m",186,180,138,149,10.1%,12.1%,50.6%,49.4%,https://www.football-lab.jp/tosu/report/?year=2015&month=05&date=16
A,川崎Ｆ,L,2,3,15,17,6,6,0,0,395,515,17,11,13,18,3,2,3,6,16,22,15,19,22,17,26,25,3,2,2,3,1,2,0,0,47,38,18,16,"116,049m","110,286m",163,116,123,136,12.2%,12.5%,46.7%,53.3%,https://www.football-lab.jp/tosu/report/?year=2015&month=05&date=23
H,浦和,L,1,6,5,18,2,10,0,0,301,589,11,11,12,12,3,7,2,3,18,15,10,11,28,16,17,20,1,3,7,3,3,2,1,0,24,59,2,14,"107,497m","111,227m",133,139,119,122,4.2%,14.8%,39.5%,60.5%,https://www.football-lab.jp/tosu/report/?year=2015&month=05&date=30
A,仙台,L,0,5,10,15,1,8,0,0,437,376,11,16,11,8,3,4,2,4,26,31,8,20,33,25,25,32,3,1,4,2,0,2,0,0,40,38,7,17,"115,282m","115,721m",132,164,140,158,7.1%,9.5%,52.4%,47.6%,https://www.football-lab.jp/tosu/report/?year=2015&month=06&date=07
H,FC東京,L,1,2,11,8,4,5,0,1,362,407,12,16,9,20,1,4,4,0,35,24,12,12,20,23,15,33,1,2,4,1,1,0,0,0,34,35,10,6,"111,947m","109,538m",115,121,143,141,7.7%,5.7%,48%,52%,https://www.football-lab.jp/tosu/report/?year=2015&month=06&date=20
H,広島,D,2,2,15,18,2,6,0,1,445,563,20,15,8,12,1,1,4,5,19,18,11,12,14,12,20,15,4,4,1,1,1,1,0,0,35,37,15,13,"114,957m","111,626m",115,125,106,107,14.2%,16.8%,46.3%,53.7%,https://www.football-lab.jp/tosu/report/?year=2015&month=06&date=27
A,柏,W,3,2,6,14,3,3,0,1,291,603,7,22,9,10,2,3,7,2,22,31,6,14,14,10,26,18,3,0,2,2,3,1,0,0,20,52,11,16,"116,870m","112,649m",114,109,123,116,4.9%,12.1%,37.3%,62.7%,https://www.football-lab.jp/tosu/report/?year=2015&month=07&date=11
H,川崎Ｆ,D,1,1,17,9,4,2,1,0,356,629,16,10,5,11,1,4,7,1,13,9,12,12,18,12,16,24,3,2,3,1,1,1,0,0,39,40,13,11,"110,612m","107,425m",113,144,100,95,17.0%,9.5%,42.9%,57.1%,https://www.football-lab.jp/tosu/report/?year=2015&month=07&date=15
A,新潟,L,0,1,3,15,1,3,0,0,358,402,5,13,15,11,1,5,2,9,16,29,6,11,27,23,19,13,1,3,4,1,0,2,0,0,25,39,7,18,"111,330m","113,406m",147,187,131,155,2.3%,9.7%,48.3%,51.7%,https://www.football-lab.jp/tosu/report/?year=2015&month=07&date=19
A,Ｇ大阪,D,1,1,9,15,2,5,0,1,316,602,11,9,7,11,1,1,6,3,21,23,7,14,14,20,20,18,4,4,1,0,0,0,0,0,29,50,7,15,"109,936m","106,914m",111,119,114,106,7.9%,14.2%,39%,61%,https://www.football-lab.jp/tosu/report/?year=2015&month=07&date=22
H,湘南,D,1,1,13,8,4,2,0,0,405,421,11,12,18,12,2,7,4,0,18,23,10,7,19,14,9,16,2,2,7,2,1,0,0,0,35,37,11,5,"116,618m","116,483m",140,144,132,134,9.8%,6.0%,50%,50%,https://www.football-lab.jp/tosu/report/?year=2015&month=07&date=25
H,鹿島,L,0,3,6,19,0,7,0,0,358,447,11,11,12,11,2,2,5,7,27,19,7,13,11,18,21,26,2,2,2,2,1,1,0,0,31,39,9,17,"106,501m","105,056m",127,141,114,108,5.3%,17.6%,47.3%,52.7%,https://www.football-lab.jp/tosu/report/?year=2015&month=07&date=29
A,山形,W,3,1,10,17,3,6,0,0,276,510,12,33,17,6,1,3,4,7,21,25,7,10,11,12,30,25,2,2,3,0,0,2,0,0,24,56,10,18,"113,126m","109,834m",150,158,133,125,7.5%,13.6%,40.6%,59.4%,https://www.football-lab.jp/tosu/report/?year=2015&month=08&date=16
H,横浜FM,L,1,2,15,15,7,8,0,0,364,402,21,17,12,9,1,0,7,4,18,26,13,18,21,17,22,29,5,3,0,1,2,2,0,0,36,41,14,16,"118,442m","113,155m",176,149,133,127,11.3%,11.8%,50.4%,49.6%,https://www.football-lab.jp/tosu/report/?year=2015&month=08&date=22
A,神戸,L,1,7,11,28,4,13,0,0,400,508,19,20,6,7,2,0,10,8,26,18,10,18,15,15,29,32,4,4,0,2,0,0,0,0,34,52,15,23,"113,923m","110,323m",153,165,117,109,9.4%,25.7%,47.1%,52.9%,https://www.football-lab.jp/tosu/report/?year=2015&month=08&date=29
H,清水,D,0,0,11,20,2,7,0,0,327,416,18,16,9,13,0,4,6,3,28,24,10,18,23,18,32,35,0,4,4,0,0,0,0,0,34,46,11,16,"118,584m","113,019m",143,175,145,140,7.6%,14.3%,47.8%,52.2%,https://www.football-lab.jp/tosu/report/?year=2015&month=09&date=12
A,広島,D,0,0,9,16,2,2,0,0,367,712,4,24,6,14,4,0,6,7,14,23,8,17,13,14,32,14,2,4,0,4,2,1,0,0,21,56,6,13,"113,929m","107,875m",138,124,97,111,9.3%,14.4%,37.9%,62.1%,https://www.football-lab.jp/tosu/report/?year=2015&month=09&date=19
H,甲府,L,0,1,13,7,1,3,0,0,520,243,17,8,6,14,4,1,8,2,22,7,9,11,25,17,17,38,2,2,0,4,0,0,0,0,46,18,13,5,"112,117m","106,833m",128,109,129,119,10.1%,5.9%,63.2%,36.8%,https://www.football-lab.jp/tosu/report/?year=2015&month=09&date=26
A,浦和,D,1,1,7,23,2,5,0,0,241,621,8,24,13,13,2,2,3,7,23,23,8,18,16,19,31,14,2,3,2,2,1,1,0,0,27,64,7,20,"110,656m","107,568m",121,123,111,113,6.3%,20.4%,34.9%,65.1%,https://www.football-lab.jp/tosu/report/?year=2015&month=10&date=03
H,名古屋,D,0,0,12,9,2,3,0,0,504,384,28,9,13,15,4,2,7,4,18,17,6,5,24,15,23,36,2,7,2,2,2,2,0,0,46,28,22,12,"122,458m","113,317m",164,168,131,135,9.2%,6.7%,59.7%,40.3%,https://www.football-lab.jp/tosu/report/?year=2015&month=10&date=17
A,松本,W,2,1,13,11,5,4,0,1,406,302,16,8,15,9,0,3,5,2,31,20,14,8,16,22,30,30,1,2,3,0,1,1,0,0,49,30,14,8,"113,439m","111,639m",140,171,143,124,9.1%,8.9%,55.5%,44.5%,https://www.football-lab.jp/tosu/report/?year=2015&month=10&date=24
H,仙台,W,1,0,12,21,3,4,0,0,338,532,7,14,6,19,0,3,4,5,23,21,9,12,16,24,20,16,1,1,3,0,0,1,0,0,33,50,13,19,"111,045m","111,677m",120,142,103,114,11.7%,18.4%,41.9%,58.1%,https://www.football-lab.jp/tosu/report/?year=2015&month=11&date=07
A,FC東京,D,0,0,5,19,1,2,0,0,383,542,9,25,13,16,1,4,3,10,25,18,6,20,30,17,44,20,2,4,4,0,1,1,0,0,30,57,8,19,"118,185m","114,554m",123,156,124,126,4.0%,15.1%,45.4%,54.6%,https://www.football-lab.jp/tosu/report/?year=2015&month=11&date=22
