HOME/AWAY,Opponent,勝敗,kasm_得点,kasm_失点,Opponent_シュート,kasm_シュート,Opponent_枠内シュート,kasm_枠内シュート,Opponent_PKによるシュート,kasm_PKによるシュート,Opponent_パス,kasm_パス,Opponent_クロス,kasm_クロス,Opponent_直接ＦＫ,kasm_直接ＦＫ,Opponent_間接ＦＫ,kasm_間接ＦＫ,Opponent_ＣＫ,kasm_ＣＫ,Opponent_スローイン,kasm_スローイン,Opponent_ドリブル,kasm_ドリブル,Opponent_タックル,kasm_タックル,Opponent_クリア,kasm_クリア,Opponent_インターセプト,kasm_インターセプト,Opponent_オフサイド,kasm_オフサイド,Opponent_警告,kasm_警告,Opponent_退場,kasm_退場,Opponent_３０ｍライン進入,kasm_３０ｍライン進入,Opponent_ペナルティエリア進入,kasm_ペナルティエリア進入,Opponent_総移動距離,kasm_総移動距離,Opponent_スプリント,kasm_スプリント,Opponent_攻撃回数,kasm_攻撃回数,Opponent_チャンス構築率,kasm_チャンス構築率,Opponent_ボール保持率,kasm_ボール保持率,URL
H,広島,D,2,2,11,16,3,6,0,1,438,561,13,17,13,10,3,1,3,3,19,20,25,15,23,27,14,23,5,5,1,1,4,3,0,0,30,57,7,17,"111,330m","111,596m",140,151,122,124,9.0%,12.9%,47.3%,52.7%,https://www.football-lab.jp/kasm/report/?year=2015&month=05&date=16
A,浦和,L,1,2,16,16,3,5,0,0,480,391,12,10,19,13,0,2,6,1,21,19,13,13,26,19,21,18,2,6,2,0,3,0,0,0,43,32,16,9,"110,895m","108,711m",173,173,128,116,12.5%,13.8%,54%,46%,https://www.football-lab.jp/kasm/report/?year=2015&month=05&date=23
H,松本,W,3,1,8,20,1,9,0,0,263,508,16,15,17,12,1,2,2,7,26,24,10,11,19,10,30,27,0,0,2,0,1,3,0,0,26,45,6,17,"116,621m","107,832m",185,146,121,120,6.6%,16.7%,38.1%,61.9%,https://www.football-lab.jp/kasm/report/?year=2015&month=05&date=30
A,Ｇ大阪,L,0,2,14,10,6,1,1,0,394,521,19,20,25,18,2,2,10,4,20,20,10,14,19,20,34,22,2,0,2,3,2,1,0,0,34,63,15,18,"112,933m","113,938m",161,145,148,135,9.5%,7.4%,44.9%,55.1%,https://www.football-lab.jp/kasm/report/?year=2015&month=06&date=03
A,山形,D,2,2,11,22,2,7,0,0,333,415,15,13,12,20,3,4,2,7,30,26,5,17,25,15,27,17,3,1,2,3,4,0,0,0,30,37,15,17,"114,851m","107,764m",169,140,129,144,8.5%,15.3%,46.2%,53.8%,https://www.football-lab.jp/kasm/report/?year=2015&month=06&date=07
A,横浜FM,W,3,0,11,20,4,9,0,0,592,388,7,11,13,14,2,3,3,2,29,12,7,13,11,16,9,21,0,3,3,2,2,0,0,0,41,41,7,15,"114,728m","111,701m",153,152,136,125,8.1%,16.0%,57.6%,42.4%,https://www.football-lab.jp/kasm/report/?year=2015&month=06&date=20
H,川崎Ｆ,L,2,3,11,18,5,5,0,0,577,494,9,15,11,12,2,1,2,4,25,28,13,25,35,27,25,12,1,1,1,2,4,2,0,0,26,54,7,17,"109,981m","114,112m",129,140,117,121,9.4%,14.9%,51.1%,48.9%,https://www.football-lab.jp/kasm/report/?year=2015&month=06&date=27
A,新潟,W,3,2,17,9,6,5,0,0,406,421,11,16,14,15,4,1,6,6,34,23,14,18,26,22,12,17,3,1,1,4,1,0,0,0,45,42,19,17,"122,196m","119,780m",214,189,152,142,11.2%,6.3%,47.8%,52.2%,https://www.football-lab.jp/kasm/report/?year=2015&month=07&date=11
H,清水,D,0,0,6,23,2,4,0,1,294,579,11,30,7,14,3,3,2,10,19,34,10,15,17,11,35,19,1,2,3,3,4,0,0,0,35,54,7,36,"110,184m","110,919m",175,166,115,135,5.2%,17.0%,37%,63%,https://www.football-lab.jp/kasm/report/?year=2015&month=07&date=15
A,松本,L,0,2,12,18,5,5,0,0,157,594,11,29,14,9,0,3,6,11,17,28,5,14,14,19,61,26,3,2,3,0,0,2,0,0,17,67,10,25,"115,062m","111,882m",174,130,119,130,10.1%,13.8%,32.1%,67.9%,https://www.football-lab.jp/kasm/report/?year=2015&month=07&date=19
H,FC東京,W,2,1,8,17,5,5,0,0,458,423,14,13,16,12,3,1,4,6,22,32,15,21,35,21,19,22,5,5,1,3,3,2,0,0,28,31,9,17,"110,134m","111,393m",139,165,123,131,6.5%,13.0%,49.7%,50.3%,https://www.football-lab.jp/kasm/report/?year=2015&month=07&date=25
A,鳥栖,W,3,0,6,19,0,7,0,0,358,447,11,11,12,11,2,2,5,7,27,19,7,13,11,18,21,26,2,2,2,2,1,1,0,0,31,39,9,17,"106,501m","105,056m",127,141,114,108,5.3%,17.6%,47.3%,52.7%,https://www.football-lab.jp/kasm/report/?year=2015&month=07&date=29
A,広島,W,1,0,10,6,0,1,0,0,670,409,16,2,10,16,3,3,2,4,20,11,19,9,24,16,9,23,2,2,3,4,1,3,0,0,49,44,9,15,"109,173m","110,534m",118,136,99,102,10.1%,5.9%,59.3%,40.7%,https://www.football-lab.jp/kasm/report/?year=2015&month=08&date=12
H,仙台,W,3,2,6,26,3,9,0,0,226,644,2,17,15,14,7,2,2,8,18,29,6,16,21,18,30,8,2,2,2,6,0,3,0,0,18,78,10,27,"103,982m","103,028m",151,152,123,143,4.9%,18.2%,32.5%,67.5%,https://www.football-lab.jp/kasm/report/?year=2015&month=08&date=16
H,山形,W,3,0,11,8,0,4,0,0,412,398,15,13,17,12,2,1,7,2,31,25,4,11,15,19,14,28,3,3,0,1,2,2,0,0,45,33,10,12,"106,999m","105,260m",127,139,144,132,7.6%,6.1%,49.3%,50.7%,https://www.football-lab.jp/kasm/report/?year=2015&month=08&date=22
A,川崎Ｆ,W,3,1,9,17,4,4,0,0,624,458,11,9,14,13,4,5,2,0,30,19,17,12,19,17,18,17,1,2,5,4,1,3,0,0,48,53,11,10,"112,131m","113,681m",135,145,129,116,7.0%,14.7%,54.5%,45.5%,https://www.football-lab.jp/kasm/report/?year=2015&month=08&date=29
H,Ｇ大阪,L,1,2,9,18,3,3,0,0,371,589,6,19,11,15,1,3,3,5,25,35,15,22,38,19,33,14,5,3,3,1,2,1,0,0,29,62,11,11,"114,395m","115,222m",148,135,131,148,6.9%,12.2%,42.1%,57.9%,https://www.football-lab.jp/kasm/report/?year=2015&month=09&date=12
A,甲府,W,1,0,5,20,1,8,0,0,333,559,13,21,15,11,3,1,5,6,23,23,12,14,26,20,31,36,4,5,1,3,2,2,0,0,35,59,8,21,"108,403m","108,518m",135,146,132,126,3.8%,15.9%,41%,59%,https://www.football-lab.jp/kasm/report/?year=2015&month=09&date=19
H,浦和,L,1,2,11,32,4,10,0,0,355,350,10,24,13,16,4,3,3,9,17,37,11,14,22,24,35,14,4,1,3,3,0,0,0,0,30,46,11,31,"110,643m","109,050m",170,176,127,146,8.7%,21.9%,53.5%,46.5%,https://www.football-lab.jp/kasm/report/?year=2015&month=09&date=26
A,神戸,W,2,0,6,22,2,7,0,0,386,345,10,19,10,12,2,1,2,11,27,38,19,14,38,31,31,17,3,3,1,2,2,0,0,0,34,52,5,23,"102,099m","104,656m",149,162,144,161,4.2%,13.7%,54.1%,45.9%,https://www.football-lab.jp/kasm/report/?year=2015&month=10&date=03
H,柏,W,3,2,10,16,4,8,0,0,514,404,14,20,14,11,6,4,5,10,19,35,22,27,23,28,42,33,6,4,3,6,3,4,0,0,34,44,10,18,"112,781m","112,493m",156,151,140,154,7.1%,10.4%,54.9%,45.1%,https://www.football-lab.jp/kasm/report/?year=2015&month=10&date=17
A,湘南,L,1,2,11,25,7,5,0,0,271,551,10,22,15,17,3,1,2,9,23,44,14,15,22,21,58,20,2,2,1,3,2,2,0,0,24,52,9,26,"118,618m","114,765m",205,173,142,170,7.7%,14.7%,38.9%,61.1%,https://www.football-lab.jp/kasm/report/?year=2015&month=10&date=24
H,横浜FM,W,2,0,10,15,3,4,0,0,499,487,8,12,13,12,3,0,1,6,23,19,12,10,30,22,21,19,3,5,0,2,1,0,0,0,29,55,3,12,"114,135m","113,308m",140,194,125,128,8.0%,11.7%,51.3%,48.7%,https://www.football-lab.jp/kasm/report/?year=2015&month=11&date=07
H,名古屋,W,1,0,19,22,7,9,0,0,418,461,21,11,17,11,6,3,5,6,32,20,13,23,34,20,32,37,4,5,3,6,1,3,0,0,52,48,27,17,"110,314m","110,974m",215,210,161,153,11.8%,14.4%,46.7%,53.3%,https://www.football-lab.jp/kasm/report/?year=2015&month=11&date=22
