HOME/AWAY,Opponent,勝敗,hiro_得点,hiro_失点,hiro_シュート,Opponent_シュート,hiro_枠内シュート,Opponent_枠内シュート,hiro_PKによるシュート,Opponent_PKによるシュート,hiro_パス,Opponent_パス,hiro_クロス,Opponent_クロス,hiro_直接ＦＫ,Opponent_直接ＦＫ,hiro_間接ＦＫ,Opponent_間接ＦＫ,hiro_ＣＫ,Opponent_ＣＫ,hiro_スローイン,Opponent_スローイン,hiro_ドリブル,Opponent_ドリブル,hiro_タックル,Opponent_タックル,hiro_クリア,Opponent_クリア,hiro_インターセプト,Opponent_インターセプト,hiro_オフサイド,Opponent_オフサイド,hiro_警告,Opponent_警告,hiro_退場,Opponent_退場,hiro_３０ｍライン進入,Opponent_３０ｍライン進入,hiro_ペナルティエリア進入,Opponent_ペナルティエリア進入,hiro_総移動距離,Opponent_総移動距離,hiro_スプリント,Opponent_スプリント,hiro_攻撃回数,Opponent_攻撃回数,hiro_チャンス構築率,Opponent_チャンス構築率,hiro_ボール保持率,Opponent_ボール保持率,URL
A,鹿島,D,2,2,11,16,3,6,0,1,438,561,13,17,13,10,3,1,3,3,19,20,25,15,23,27,14,23,5,5,1,1,4,3,0,0,30,57,7,17,"111,330m","111,596m",140,151,122,124,9.0%,12.9%,47.3%,52.7%,https://www.football-lab.jp/hiro/report/?year=2015&month=05&date=16
H,新潟,W,4,2,16,9,5,5,0,0,562,449,20,18,8,4,1,0,7,9,34,20,17,8,14,27,16,18,2,4,0,1,1,1,0,0,45,29,23,9,"116,682m","116,385m",177,198,123,107,13.0%,8.4%,53%,47%,https://www.football-lab.jp/hiro/report/?year=2015&month=05&date=23
A,湘南,D,0,0,16,16,3,3,0,0,535,429,18,15,13,9,1,4,7,2,10,16,16,11,15,15,19,25,2,3,4,0,2,2,0,0,36,54,15,13,"111,176m","118,424m",133,196,115,110,13.9%,14.5%,54.6%,45.4%,https://www.football-lab.jp/hiro/report/?year=2015&month=05&date=30
A,柏,W,3,2,10,10,5,3,0,0,397,672,15,19,15,11,1,10,4,9,11,18,22,15,22,14,27,21,5,2,10,1,0,1,0,0,39,57,12,17,"112,484m","114,165m",119,140,112,115,8.9%,8.7%,41.5%,58.5%,https://www.football-lab.jp/hiro/report/?year=2015&month=06&date=07
H,山形,W,5,1,27,14,11,6,0,0,517,506,15,19,8,6,1,7,7,5,17,22,17,10,18,23,21,13,5,8,6,1,0,0,0,0,37,47,13,15,"111,975m","117,817m",141,156,124,124,21.8%,11.3%,51.6%,48.4%,https://www.football-lab.jp/hiro/report/?year=2015&month=06&date=20
A,鳥栖,D,2,2,18,15,6,2,1,0,563,445,15,20,12,8,1,1,5,4,18,19,12,11,12,14,15,20,4,4,1,1,1,1,0,0,37,35,13,15,"111,626m","114,957m",125,115,107,106,16.8%,14.2%,53.7%,46.3%,https://www.football-lab.jp/hiro/report/?year=2015&month=06&date=27
A,仙台,W,4,3,8,20,6,10,0,1,414,586,14,24,7,12,1,2,1,5,17,28,10,17,14,14,31,15,2,1,2,1,0,0,0,0,32,66,9,27,"114,996m","119,745m",120,178,103,114,7.8%,17.5%,43.2%,56.8%,https://www.football-lab.jp/hiro/report/?year=2015&month=07&date=11
H,松本,W,6,0,10,10,4,2,0,0,565,563,13,18,8,4,0,1,1,5,10,20,8,8,18,12,38,15,3,3,1,0,0,0,0,0,37,58,8,15,"109,986m","118,720m",89,141,100,106,10.0%,9.4%,50.1%,49.9%,https://www.football-lab.jp/hiro/report/?year=2015&month=07&date=15
A,浦和,W,2,1,13,26,4,9,0,1,342,633,5,16,16,9,2,2,3,9,6,18,16,17,24,17,20,8,6,4,2,2,1,0,0,0,30,60,8,27,"108,118m","108,760m",132,143,114,120,11.4%,21.7%,38.8%,61.2%,https://www.football-lab.jp/hiro/report/?year=2015&month=07&date=19
H,横浜FM,W,2,0,10,9,5,1,1,0,466,739,11,16,12,9,0,0,1,0,15,15,11,12,29,12,17,15,1,2,0,0,1,1,0,0,35,45,4,10,"111,332m","111,569m",110,122,87,87,11.5%,10.3%,39.4%,60.6%,https://www.football-lab.jp/hiro/report/?year=2015&month=07&date=25
A,神戸,W,4,0,13,13,5,3,1,0,404,637,4,14,16,12,2,4,2,0,25,32,7,15,24,23,24,17,4,2,4,1,0,0,0,0,17,56,10,12,"109,791m","105,679m",106,110,128,116,10.2%,11.2%,39%,61%,https://www.football-lab.jp/hiro/report/?year=2015&month=07&date=29
H,鹿島,L,0,1,10,6,0,1,0,0,670,409,16,2,10,16,3,3,2,4,20,11,19,9,24,16,9,23,2,2,3,4,1,3,0,0,49,44,9,15,"109,173m","110,534m",118,136,99,102,10.1%,5.9%,59.3%,40.7%,https://www.football-lab.jp/hiro/report/?year=2015&month=08&date=12
H,柏,L,0,3,21,9,2,4,0,0,562,434,24,6,12,12,1,2,10,2,24,14,17,4,23,23,16,38,1,3,2,1,0,1,0,0,48,38,15,12,"105,843m","109,864m",100,119,120,103,17.5%,8.7%,58.7%,41.3%,https://www.football-lab.jp/hiro/report/?year=2015&month=08&date=16
A,新潟,W,2,0,15,25,4,8,0,0,420,438,10,22,14,6,4,2,3,13,16,23,9,12,24,11,21,18,1,0,2,4,2,1,0,0,36,67,10,30,"110,528m","109,180m",141,168,116,119,12.9%,21.0%,50.2%,49.8%,https://www.football-lab.jp/hiro/report/?year=2015&month=08&date=22
H,名古屋,W,5,2,20,23,14,5,1,1,463,540,20,16,6,10,0,3,5,5,11,9,12,14,18,16,16,11,4,3,3,0,0,3,0,0,35,69,14,18,"108,718m","107,954m",149,163,102,105,19.6%,21.9%,45.8%,54.2%,https://www.football-lab.jp/hiro/report/?year=2015&month=08&date=29
A,山形,W,3,1,17,13,6,7,0,1,569,523,12,17,10,7,0,1,3,5,13,16,12,8,25,17,13,13,2,0,1,0,1,1,0,0,37,48,10,13,"111,034m","115,709m",174,174,115,112,14.8%,11.6%,51.6%,48.4%,https://www.football-lab.jp/hiro/report/?year=2015&month=09&date=12
H,鳥栖,D,0,0,16,9,2,2,0,0,712,367,24,4,14,6,0,4,7,6,23,14,17,8,14,13,14,32,4,2,4,0,1,2,0,0,56,21,13,6,"107,875m","113,929m",124,138,111,97,14.4%,9.3%,62.1%,37.9%,https://www.football-lab.jp/hiro/report/?year=2015&month=09&date=19
A,清水,W,5,1,13,18,7,5,0,0,423,452,13,29,14,12,3,6,3,8,14,19,17,15,25,18,34,18,1,2,6,2,2,2,0,0,34,71,17,26,"109,941m","112,741m",123,150,117,122,11.1%,14.8%,49.3%,50.7%,https://www.football-lab.jp/hiro/report/?year=2015&month=09&date=26
H,FC東京,L,0,1,18,14,2,6,0,0,577,370,19,14,9,7,0,2,10,5,18,18,15,7,10,18,18,35,4,3,2,0,0,2,0,0,38,45,15,11,"108,417m","111,917m",92,134,113,107,15.9%,13.1%,58.1%,41.9%,https://www.football-lab.jp/hiro/report/?year=2015&month=10&date=03
H,川崎Ｆ,W,2,1,13,18,4,6,0,0,443,658,13,13,10,10,0,2,1,7,15,10,22,12,18,19,29,22,3,3,2,0,1,0,0,0,36,73,16,21,"112,198m","112,485m",137,157,115,114,11.3%,15.8%,45.4%,54.6%,https://www.football-lab.jp/hiro/report/?year=2015&month=10&date=17
A,甲府,W,2,0,10,6,3,2,0,0,673,536,11,11,14,12,1,1,1,6,16,21,10,9,14,14,24,12,1,1,1,0,0,1,0,0,34,52,6,11,"109,965m","113,103m",107,149,92,93,10.9%,6.5%,52.5%,47.5%,https://www.football-lab.jp/hiro/report/?year=2015&month=10&date=24
A,Ｇ大阪,W,2,0,18,18,6,4,0,0,433,647,16,11,13,10,1,0,1,3,14,21,13,11,18,13,24,18,8,7,0,1,1,4,0,1,40,59,11,16,"109,072m","112,511m",121,180,112,113,16.1%,15.9%,43%,57%,https://www.football-lab.jp/hiro/report/?year=2015&month=11&date=07
H,湘南,W,5,0,18,20,10,3,0,0,596,556,22,18,9,7,0,0,4,3,14,17,21,10,23,15,15,13,7,1,0,0,0,0,0,0,43,65,17,14,"110,802m","115,493m",136,192,98,95,18.4%,21.1%,51.9%,48.1%,https://www.football-lab.jp/hiro/report/?year=2015&month=11&date=22
