HOME/AWAY,Opponent,勝敗,hiro_得点,hiro_失点,hiro_ゴール期待値,Opponent_ゴール期待値,hiro_シュート,Opponent_シュート,hiro_枠内シュート,Opponent_枠内シュート,hiro_PKによるシュート,Opponent_PKによるシュート,hiro_パス,Opponent_パス,hiro_クロス,Opponent_クロス,hiro_直接ＦＫ,Opponent_直接ＦＫ,hiro_間接ＦＫ,Opponent_間接ＦＫ,hiro_ＣＫ,Opponent_ＣＫ,hiro_スローイン,Opponent_スローイン,hiro_ドリブル,Opponent_ドリブル,hiro_タックル,Opponent_タックル,hiro_クリア,Opponent_クリア,hiro_インターセプト,Opponent_インターセプト,hiro_オフサイド,Opponent_オフサイド,hiro_警告,Opponent_警告,hiro_退場,Opponent_退場,hiro_３０ｍライン進入,Opponent_３０ｍライン進入,hiro_ペナルティエリア進入,Opponent_ペナルティエリア進入,hiro_総移動距離,Opponent_総移動距離,hiro_スプリント,Opponent_スプリント,hiro_攻撃回数,Opponent_攻撃回数,hiro_チャンス構築率,Opponent_チャンス構築率,hiro_ボール保持率,Opponent_ボール保持率,URL
A,川崎Ｆ,D,1,1,0.4,1.999,6,22,3,6,0,0,385,597,5,11,7,11,3,1,3,7,20,19,8,16,30,22,24,9,1,2,1,3,1,0,0,0,32,57,6,24,"115,144m","111,194m",165,171,114,118,5.3%,18.6%,43.9%,56.1%,https://www.football-lab.jp/hiro/report/?year=2021&month=04&date=18
H,福岡,L,1,2,1.121,0.419,12,5,4,3,0,0,590,261,25,13,13,16,2,1,7,2,34,31,12,8,21,28,13,47,0,2,1,2,0,1,0,0,51,14,17,2,"115,922m","115,425m",181,188,144,135,8.3%,3.7%,61.1%,38.9%,https://www.football-lab.jp/hiro/report/?year=2021&month=04&date=24
A,神戸,L,0,3,0.492,1.964,8,14,4,4,0,0,571,506,21,8,9,11,2,2,4,6,26,14,13,10,13,14,12,27,0,3,2,2,1,1,0,0,50,30,14,13,"115,813m","120,950m",186,213,114,116,7.0%,12.1%,50.4%,49.6%,https://www.football-lab.jp/hiro/report/?year=2021&month=05&date=01
A,鳥栖,D,0,0,0.614,0.901,10,10,2,3,0,0,393,667,9,19,5,7,2,2,3,7,22,19,6,11,12,15,23,9,3,2,2,2,1,0,0,0,34,60,9,13,"121,475m","125,328m",189,185,115,115,8.7%,8.7%,38.6%,61.4%,https://www.football-lab.jp/hiro/report/?year=2021&month=05&date=08
A,Ｇ大阪,W,2,1,1.395,1.387,11,12,3,3,0,0,381,663,10,10,13,12,3,4,4,10,19,22,5,8,17,23,23,11,2,1,4,3,0,0,0,0,28,38,13,11,"113,320m","114,922m",191,165,123,136,8.9%,8.8%,41.1%,58.9%,https://www.football-lab.jp/hiro/report/?year=2021&month=05&date=12
H,徳島,L,0,1,1.41,0.472,16,5,1,2,0,0,470,466,18,5,11,14,3,4,4,2,34,25,17,8,14,23,8,21,1,2,4,3,2,1,0,0,34,24,11,5,"115,497m","117,329m",167,156,129,126,12.4%,4.0%,47.4%,52.6%,https://www.football-lab.jp/hiro/report/?year=2021&month=05&date=15
A,Ｃ大阪,W,2,1,1.077,1.601,7,13,6,3,0,0,376,553,15,21,10,14,2,3,7,2,22,18,14,13,13,18,27,20,1,2,3,2,0,2,0,0,45,43,11,15,"114,146m","113,598m",168,177,114,114,6.1%,11.4%,42.2%,57.8%,https://www.football-lab.jp/hiro/report/?year=2021&month=05&date=23
H,浦和,D,2,2,1.194,1.769,15,6,4,3,0,1,488,559,19,8,8,13,1,2,3,3,24,16,15,1,11,18,15,19,2,2,2,1,0,1,0,0,44,20,18,6,"115,535m","118,406m",202,174,108,107,13.9%,5.6%,44.5%,55.5%,https://www.football-lab.jp/hiro/report/?year=2021&month=05&date=26
A,FC東京,D,0,0,1.783,0.289,23,4,4,1,0,0,561,463,26,5,12,4,0,2,9,4,16,14,19,8,27,16,9,27,3,0,2,0,0,1,0,0,62,39,22,6,"112,018m","113,818m",192,196,129,119,17.8%,3.4%,54.7%,45.3%,https://www.football-lab.jp/hiro/report/?year=2021&month=05&date=30
H,柏,W,1,0,1.937,0.575,25,6,8,2,0,0,501,362,16,10,17,10,2,3,8,3,30,14,19,7,20,24,10,35,2,3,3,1,1,1,0,0,47,26,27,9,"113,295m","109,731m",193,179,132,112,18.9%,5.4%,56.4%,43.6%,https://www.football-lab.jp/hiro/report/?year=2021&month=06&date=19
H,鳥栖,D,1,1,1.072,0.732,15,7,6,1,0,0,434,636,19,10,15,7,2,2,6,4,22,25,21,11,28,21,13,26,0,1,2,2,0,0,0,0,52,39,21,6,"119,007m","124,127m",217,196,119,120,12.6%,5.8%,41.6%,58.4%,https://www.football-lab.jp/hiro/report/?year=2021&month=07&date=03
H,横浜FC,L,0,1,2.252,0.586,17,8,4,2,0,0,617,331,19,9,9,8,1,2,12,3,28,20,18,8,11,26,15,31,3,0,2,1,1,1,0,0,53,25,15,7,"117,606m","120,707m",166,171,125,117,13.6%,6.8%,58.5%,41.5%,https://www.football-lab.jp/hiro/report/?year=2021&month=07&date=11
A,福岡,D,1,1,1.314,0.637,10,9,1,3,1,0,376,318,7,11,14,6,0,4,3,2,25,20,13,10,13,20,24,17,0,0,4,0,2,3,0,1,33,24,8,4,"99,893m","97,596m",139,156,116,110,8.6%,8.2%,50.6%,49.4%,https://www.football-lab.jp/hiro/report/?year=2021&month=08&date=09
H,川崎Ｆ,D,1,1,0.438,1.218,7,12,2,2,0,0,313,670,8,12,10,12,3,3,2,6,21,26,11,13,20,19,16,11,2,1,3,2,0,0,0,0,24,53,3,16,"109,546m","105,457m",132,141,126,121,5.6%,9.9%,37.9%,62.1%,https://www.football-lab.jp/hiro/report/?year=2021&month=08&date=21
A,浦和,L,0,1,0.627,1.494,10,15,0,4,0,0,539,339,18,4,13,18,2,0,4,2,21,21,17,6,12,15,6,28,5,4,0,2,1,1,0,0,51,23,19,6,"108,412m","105,535m",135,120,111,114,9.0%,13.2%,59.2%,40.8%,https://www.football-lab.jp/hiro/report/?year=2021&month=08&date=25
H,大分,W,4,1,1.91,1.556,14,9,5,1,0,1,531,433,16,13,17,5,1,1,3,2,21,17,7,8,14,11,23,26,0,3,1,1,0,1,0,0,35,31,18,9,"115,406m","118,102m",143,161,109,101,12.8%,8.9%,53.7%,46.3%,https://www.football-lab.jp/hiro/report/?year=2021&month=08&date=28
H,神戸,D,1,1,0.475,1.153,8,9,2,1,0,0,361,608,8,11,13,9,0,2,2,7,19,18,6,14,20,11,19,16,1,0,2,0,3,2,1,0,32,74,5,9,"111,825m","113,276m",125,161,96,103,8.3%,8.7%,38%,62%,https://www.football-lab.jp/hiro/report/?year=2021&month=09&date=05
H,横浜FM,L,1,3,1.193,1.195,12,13,3,5,0,0,341,685,5,21,13,13,2,8,2,8,16,15,6,6,14,14,23,9,1,2,8,2,0,0,0,0,27,59,8,13,"118,997m","117,667m",184,218,112,116,10.7%,11.2%,39.3%,60.7%,https://www.football-lab.jp/hiro/report/?year=2021&month=09&date=11
A,柏,W,3,0,1.293,0.661,12,11,6,3,0,0,558,451,15,13,14,7,0,3,5,2,24,22,6,9,21,24,14,20,1,0,3,0,1,1,0,0,40,34,10,9,"110,947m","108,663m",168,153,125,110,9.6%,10.0%,51.7%,48.3%,https://www.football-lab.jp/hiro/report/?year=2021&month=09&date=18
H,Ｃ大阪,L,0,1,0.128,1.888,3,19,1,5,0,0,431,384,13,13,13,12,0,3,4,9,22,26,13,11,19,25,21,16,0,2,3,0,1,2,0,0,32,34,6,13,"105,798m","109,659m",164,176,118,119,2.5%,16.0%,47.3%,52.7%,https://www.football-lab.jp/hiro/report/?year=2021&month=09&date=22
A,札幌,W,2,0,2.379,1.228,11,16,4,2,1,0,354,581,7,14,10,10,2,0,3,7,19,18,12,20,21,16,24,14,3,3,0,2,0,2,0,0,35,50,18,11,"110,138m","111,257m",144,181,118,111,9.3%,14.4%,39.6%,60.4%,https://www.football-lab.jp/hiro/report/?year=2021&month=09&date=26
H,名古屋,W,1,0,1.041,1.423,11,13,3,1,0,0,465,535,17,10,9,17,3,2,4,2,13,31,9,10,30,16,20,17,2,1,2,2,1,0,0,0,45,35,16,8,"115,408m","113,413m",190,168,99,121,11.1%,10.7%,46.7%,53.3%,https://www.football-lab.jp/hiro/report/?year=2021&month=10&date=03
A,仙台,L,0,2,2.128,0.83,16,11,4,5,0,0,810,334,24,10,8,6,1,0,3,2,18,16,9,10,18,24,14,23,2,1,0,1,1,1,0,0,81,28,19,13,"115,457m","119,798m",152,175,118,117,13.6%,9.4%,65.5%,34.5%,https://www.football-lab.jp/hiro/report/?year=2021&month=10&date=23
H,鹿島,L,1,4,1.609,2.255,12,13,7,5,0,1,634,349,18,16,13,13,2,1,4,3,25,17,8,8,7,27,15,17,1,2,1,2,3,1,0,0,46,28,17,13,"118,459m","122,751m",201,223,121,122,9.9%,10.7%,59.7%,40.3%,https://www.football-lab.jp/hiro/report/?year=2021&month=11&date=03
A,湘南,D,0,0,0.065,3.195,2,26,0,4,0,0,188,682,4,28,10,5,2,2,2,5,8,22,9,16,18,14,34,5,2,0,2,2,2,0,1,0,5,103,0,21,"105,004m","115,289m",104,173,104,110,1.9%,23.6%,30%,70%,https://www.football-lab.jp/hiro/report/?year=2021&month=11&date=07
A,清水,L,0,1,1.157,0.975,10,15,2,5,0,0,745,420,17,13,8,4,2,1,5,3,31,20,7,7,20,19,14,34,2,1,1,2,0,0,0,0,47,35,9,11,"123,183m","124,733m",188,182,135,121,7.4%,12.4%,59.4%,40.6%,https://www.football-lab.jp/hiro/report/?year=2021&month=11&date=20
H,FC東京,L,1,2,1.25,0.492,13,7,2,4,0,0,445,580,14,6,5,12,1,0,6,1,34,35,22,8,26,12,15,42,2,1,0,1,0,0,0,0,47,30,11,8,"115,115m","118,838m",169,182,135,134,9.6%,5.2%,45.2%,54.8%,https://www.football-lab.jp/hiro/report/?year=2021&month=11&date=27
A,徳島,W,4,2,1.094,0.994,7,8,4,5,0,0,325,698,12,22,9,3,2,1,3,5,13,25,11,10,23,13,31,10,3,2,1,2,0,2,0,0,23,61,10,13,"119,639m","118,170m",151,145,114,117,6.1%,6.8%,34.8%,65.2%,https://www.football-lab.jp/hiro/report/?year=2021&month=12&date=04
