HOME/AWAY,Opponent,勝敗,ka-f_得点,ka-f_失点,ka-f_ゴール期待値,Opponent_ゴール期待値,ka-f_シュート,Opponent_シュート,ka-f_枠内シュート,Opponent_枠内シュート,ka-f_PKによるシュート,Opponent_PKによるシュート,ka-f_パス,Opponent_パス,ka-f_クロス,Opponent_クロス,ka-f_直接ＦＫ,Opponent_直接ＦＫ,ka-f_間接ＦＫ,Opponent_間接ＦＫ,ka-f_ＣＫ,Opponent_ＣＫ,ka-f_スローイン,Opponent_スローイン,ka-f_ドリブル,Opponent_ドリブル,ka-f_タックル,Opponent_タックル,ka-f_クリア,Opponent_クリア,ka-f_インターセプト,Opponent_インターセプト,ka-f_オフサイド,Opponent_オフサイド,ka-f_警告,Opponent_警告,ka-f_退場,Opponent_退場,ka-f_３０ｍライン進入,Opponent_３０ｍライン進入,ka-f_ペナルティエリア進入,Opponent_ペナルティエリア進入,ka-f_総移動距離,Opponent_総移動距離,ka-f_スプリント,Opponent_スプリント,ka-f_攻撃回数,Opponent_攻撃回数,ka-f_チャンス構築率,Opponent_チャンス構築率,ka-f_ボール保持率,Opponent_ボール保持率,URL
H,福岡,W,3,1,2.341,0.971,17,9,7,2,0,0,603,365,23,8,6,9,1,2,10,7,25,28,19,14,27,32,30,35,1,4,2,1,2,0,0,0,66,26,18,7,"114,276m","116,663m",223,239,144,146,11.8%,6.2%,59.9%,40.1%,https://www.football-lab.jp/ka-f/report/?year=2021&month=04&date=14
H,広島,D,1,1,1.999,0.4,22,6,6,3,0,0,597,385,11,5,11,7,1,3,7,3,19,20,16,8,22,30,9,24,2,1,3,1,0,1,0,0,57,32,24,6,"111,194m","115,144m",171,165,118,114,18.6%,5.3%,56.1%,43.9%,https://www.football-lab.jp/ka-f/report/?year=2021&month=04&date=18
A,名古屋,W,4,0,2.23,0.753,15,8,9,2,0,0,589,561,7,11,8,11,0,2,6,6,18,26,7,15,25,12,21,25,1,2,2,0,1,0,0,0,53,42,18,6,"114,016m","117,102m",170,177,109,116,13.8%,6.9%,48.2%,51.8%,https://www.football-lab.jp/ka-f/report/?year=2021&month=04&date=29
H,名古屋,W,3,2,0.837,0.65,9,9,2,3,0,0,428,561,11,18,12,14,0,2,7,2,11,39,6,12,23,27,19,11,4,0,2,0,0,0,0,0,46,55,9,8,"112,049m","113,650m",164,181,126,131,7.1%,6.9%,45.8%,54.2%,https://www.football-lab.jp/ka-f/report/?year=2021&month=05&date=04
A,Ｇ大阪,W,2,0,1.874,0.586,17,7,7,2,0,0,741,352,16,11,8,8,1,1,8,4,18,19,16,13,17,24,15,29,1,5,0,1,1,1,0,0,86,25,26,7,"104,934m","107,875m",134,115,111,109,15.3%,6.4%,63.4%,36.6%,https://www.football-lab.jp/ka-f/report/?year=2021&month=05&date=08
H,仙台,D,2,2,1.603,1.426,19,11,6,5,0,0,719,240,19,5,9,7,3,1,11,4,27,29,9,12,17,9,12,24,0,3,1,3,0,1,0,0,71,11,19,7,"109,495m","116,863m",147,133,125,121,15.2%,9.1%,68%,32%,https://www.football-lab.jp/ka-f/report/?year=2021&month=05&date=12
H,札幌,W,2,0,1.775,1.183,13,13,3,3,0,0,469,555,15,13,7,11,2,1,5,4,18,18,5,16,21,19,25,15,3,2,1,2,0,1,0,0,37,43,19,11,"111,067m","111,129m",185,173,118,121,11.0%,10.7%,46.1%,53.9%,https://www.football-lab.jp/ka-f/report/?year=2021&month=05&date=16
H,横浜FC,W,3,1,2.98,0.821,17,9,8,3,1,0,627,462,16,14,6,11,1,6,2,5,15,13,12,4,20,18,14,13,3,1,6,0,0,1,0,0,58,39,18,7,"110,389m","112,328m",183,157,112,122,15.2%,7.4%,53%,47%,https://www.football-lab.jp/ka-f/report/?year=2021&month=05&date=22
A,湘南,D,1,1,1.233,1.303,15,13,5,3,0,0,792,360,9,11,7,12,2,2,3,2,32,18,15,13,24,22,14,21,2,2,2,2,0,1,0,0,66,29,18,5,"118,166m","123,760m",200,230,121,116,12.4%,11.2%,63.7%,36.3%,https://www.football-lab.jp/ka-f/report/?year=2021&month=05&date=26
H,鹿島,W,2,1,1.329,0.695,12,7,4,2,0,0,605,371,17,7,8,10,2,4,4,6,29,26,18,4,15,23,15,18,3,1,4,2,1,1,0,0,56,31,18,10,"113,105m","118,775m",214,223,129,135,9.3%,5.2%,57.9%,42.1%,https://www.football-lab.jp/ka-f/report/?year=2021&month=05&date=30
A,横浜FC,W,2,0,1.737,0.324,19,3,6,0,0,0,619,404,11,7,9,11,3,3,3,1,18,29,9,6,21,22,15,16,2,1,3,3,1,0,0,0,50,27,14,3,"118,124m","116,639m",191,166,110,113,17.3%,2.7%,56.4%,43.6%,https://www.football-lab.jp/ka-f/report/?year=2021&month=06&date=02
A,清水,W,2,0,0.573,1.132,9,13,3,6,0,0,673,466,9,14,9,5,1,0,1,5,22,18,5,14,20,12,23,19,2,4,0,1,0,1,0,0,52,37,16,13,"107,922m","113,867m",143,156,106,102,8.5%,12.7%,57.4%,42.6%,https://www.football-lab.jp/ka-f/report/?year=2021&month=07&date=17
A,大分,W,2,0,1.752,0.176,16,3,5,0,0,0,566,564,12,13,11,5,1,0,3,1,25,20,18,7,17,19,19,15,2,2,0,1,0,2,0,0,59,31,25,7,"111,770m","117,831m",155,143,111,101,14.4%,3.0%,49.4%,50.6%,https://www.football-lab.jp/ka-f/report/?year=2021&month=08&date=09
A,柏,D,0,0,1.81,0.635,18,4,7,1,0,0,674,330,18,11,12,9,1,1,10,1,32,22,17,12,18,15,15,28,2,1,1,1,2,2,0,1,69,25,28,8,"111,238m","108,148m",144,127,119,106,15.1%,3.8%,61.7%,38.3%,https://www.football-lab.jp/ka-f/report/?year=2021&month=08&date=14
A,広島,D,1,1,1.218,0.438,12,7,2,2,0,0,670,313,12,8,12,10,3,3,6,2,26,21,13,11,19,20,11,16,1,2,2,3,0,0,0,0,53,24,16,3,"105,457m","109,546m",141,132,121,126,9.9%,5.6%,62.1%,37.9%,https://www.football-lab.jp/ka-f/report/?year=2021&month=08&date=21
A,福岡,L,0,1,1.282,0.499,16,9,3,2,0,0,616,198,16,9,15,11,1,1,7,4,27,17,10,6,14,22,15,28,0,1,1,1,1,1,0,0,39,22,20,7,"98,750m","105,291m",135,133,118,99,13.6%,9.1%,68.6%,31.4%,https://www.football-lab.jp/ka-f/report/?year=2021&month=08&date=25
A,札幌,W,2,0,1.375,1.448,9,18,3,5,0,0,447,609,7,25,10,8,5,0,0,8,22,25,7,18,20,20,29,7,2,6,0,4,0,1,0,0,31,50,7,17,"112,917m","113,340m",205,177,125,133,7.2%,13.5%,44.1%,55.9%,https://www.football-lab.jp/ka-f/report/?year=2021&month=08&date=28
A,徳島,W,3,1,2.477,1.693,18,13,9,4,1,0,413,517,11,19,10,6,1,5,5,4,28,22,8,20,13,14,23,23,1,1,5,1,0,0,0,0,37,37,13,12,"106,821m","108,785m",157,122,115,108,15.7%,12.0%,41.3%,58.7%,https://www.football-lab.jp/ka-f/report/?year=2021&month=09&date=18
A,鹿島,W,2,1,0.9,0.849,10,10,4,3,0,0,475,344,12,14,13,14,3,3,1,0,28,27,15,11,18,29,15,16,0,2,3,3,0,1,0,0,48,34,9,14,"102,342m","109,223m",150,173,132,119,7.6%,8.4%,54.8%,45.2%,https://www.football-lab.jp/ka-f/report/?year=2021&month=09&date=22
H,湘南,W,2,1,1.918,0.995,21,12,5,4,0,0,741,425,16,16,14,8,0,0,2,3,20,20,16,13,15,27,18,28,1,1,0,0,2,1,0,0,63,35,20,16,"118,175m","122,504m",169,161,125,124,16.8%,9.7%,61.1%,38.9%,https://www.football-lab.jp/ka-f/report/?year=2021&month=09&date=26
H,神戸,W,3,1,2.385,1.454,11,13,5,5,2,0,496,449,18,13,14,6,1,2,4,2,23,10,18,14,15,18,16,21,4,3,2,1,0,1,0,0,50,36,17,9,"106,004m","109,309m",145,146,111,90,9.9%,14.4%,50.2%,49.8%,https://www.football-lab.jp/ka-f/report/?year=2021&month=09&date=29
H,FC東京,W,1,0,0.747,1.778,7,19,2,1,0,0,459,416,7,19,11,15,3,2,5,9,19,27,8,10,17,20,27,14,0,3,2,3,1,0,0,0,34,35,9,18,"99,732m","104,400m",161,125,112,124,6.3%,15.3%,52.1%,47.9%,https://www.football-lab.jp/ka-f/report/?year=2021&month=10&date=02
H,清水,W,1,0,0.855,0.432,10,5,2,2,0,0,665,345,10,9,10,11,2,4,5,4,24,26,9,7,24,20,20,25,2,1,4,2,2,0,0,0,77,17,13,3,"104,664m","111,646m",136,132,105,108,9.5%,4.6%,61.1%,38.9%,https://www.football-lab.jp/ka-f/report/?year=2021&month=10&date=24
H,浦和,D,1,1,2.18,1.573,16,15,3,4,0,0,568,422,17,10,12,10,0,4,5,0,28,16,14,10,16,24,21,30,1,1,4,0,0,0,0,0,48,29,19,10,"105,769m","109,224m",140,131,134,117,11.9%,12.8%,54%,46%,https://www.football-lab.jp/ka-f/report/?year=2021&month=11&date=03
A,鳥栖,L,1,3,3.145,1.716,21,10,4,3,0,1,649,405,16,13,13,6,5,2,4,1,22,14,17,7,16,31,14,28,2,3,2,5,0,2,0,0,65,32,22,8,"116,857m","127,655m",163,202,122,115,17.2%,8.7%,57%,43%,https://www.football-lab.jp/ka-f/report/?year=2021&month=11&date=07
A,Ｃ大阪,W,4,1,1.213,1.513,14,13,8,5,0,0,559,464,10,15,11,11,1,1,4,6,15,18,12,10,14,14,24,13,4,1,1,1,0,1,0,0,46,34,14,15,"110,636m","112,773m",160,159,102,111,13.7%,11.7%,52.5%,47.5%,https://www.football-lab.jp/ka-f/report/?year=2021&month=11&date=20
H,Ｇ大阪,W,4,1,2.67,0.757,13,9,7,2,0,0,699,426,14,11,10,9,1,0,1,3,19,33,12,9,29,19,16,11,0,4,0,1,0,1,0,0,64,41,20,6,"113,277m","117,145m",162,176,128,142,10.2%,6.3%,60.8%,39.2%,https://www.football-lab.jp/ka-f/report/?year=2021&month=11&date=27
A,横浜FM,D,1,1,1.448,2.114,12,20,4,4,0,0,399,694,18,23,7,7,1,3,3,6,20,26,12,10,28,12,21,13,3,1,3,1,0,1,0,0,40,67,19,12,"116,341m","119,481m",245,244,127,133,9.4%,15.0%,42.1%,57.9%,https://www.football-lab.jp/ka-f/report/?year=2021&month=12&date=04
