HOME/AWAY,Opponent,勝敗,kasw_得点,kasw_失点,Opponent_ゴール期待値,kasw_ゴール期待値,Opponent_シュート,kasw_シュート,Opponent_枠内シュート,kasw_枠内シュート,Opponent_PKによるシュート,kasw_PKによるシュート,Opponent_パス,kasw_パス,Opponent_クロス,kasw_クロス,Opponent_直接ＦＫ,kasw_直接ＦＫ,Opponent_間接ＦＫ,kasw_間接ＦＫ,Opponent_ＣＫ,kasw_ＣＫ,Opponent_スローイン,kasw_スローイン,Opponent_ドリブル,kasw_ドリブル,Opponent_タックル,kasw_タックル,Opponent_クリア,kasw_クリア,Opponent_インターセプト,kasw_インターセプト,Opponent_オフサイド,kasw_オフサイド,Opponent_警告,kasw_警告,Opponent_退場,kasw_退場,Opponent_３０ｍライン進入,kasw_３０ｍライン進入,Opponent_ペナルティエリア進入,kasw_ペナルティエリア進入,Opponent_総移動距離,kasw_総移動距離,Opponent_スプリント,kasw_スプリント,Opponent_攻撃回数,kasw_攻撃回数,Opponent_チャンス構築率,kasw_チャンス構築率,Opponent_ボール保持率,kasw_ボール保持率,URL
H,横浜FM,L,1,2,1.153,1.897,10,14,5,4,0,0,545,392,12,20,13,11,2,3,5,4,20,28,12,4,16,22,24,30,0,1,4,2,0,1,1,0,36,36,8,10,"111,586m","112,471m",201,171,122,119,8.2%,11.8%,53%,47%,https://www.football-lab.jp/kasw/report/?year=2021&month=07&date=03
H,鹿島,W,2,1,1.028,1.353,12,16,3,2,0,0,523,311,23,16,10,12,5,1,4,3,28,26,7,5,14,19,16,26,0,4,1,4,3,2,0,0,45,31,12,12,"114,086m","111,809m",186,173,129,123,9.3%,13.0%,59%,41%,https://www.football-lab.jp/kasw/report/?year=2021&month=07&date=11
A,神戸,W,2,1,0.604,1.354,6,13,2,5,0,0,753,375,11,17,16,7,0,0,1,4,21,17,8,9,17,21,17,21,3,2,0,0,1,2,0,0,25,37,9,15,"109,028m","111,214m",113,116,112,104,5.4%,12.5%,65.3%,34.7%,https://www.football-lab.jp/kasw/report/?year=2021&month=08&date=09
H,川崎Ｆ,D,0,0,1.81,0.635,18,4,7,1,0,0,674,330,18,11,12,9,1,1,10,1,32,22,17,12,18,15,15,28,2,1,1,1,2,2,0,1,69,25,28,8,"111,238m","108,148m",144,127,119,106,15.1%,3.8%,61.7%,38.3%,https://www.football-lab.jp/kasw/report/?year=2021&month=08&date=14
H,鳥栖,L,1,3,2.351,1.319,16,17,9,4,0,0,557,417,9,12,13,10,3,4,4,7,21,27,6,8,15,16,31,15,2,1,4,3,2,1,0,0,39,30,10,13,"117,918m","110,261m",146,154,115,113,13.9%,15.0%,57.6%,42.4%,https://www.football-lab.jp/kasw/report/?year=2021&month=08&date=21
A,徳島,W,1,0,1.189,0.79,8,9,2,6,0,0,609,264,11,7,19,11,1,4,4,3,23,13,13,4,7,22,9,23,1,3,4,1,1,3,0,0,34,21,10,11,"110,884m","111,496m",167,164,104,89,7.7%,10.1%,66.3%,33.7%,https://www.football-lab.jp/kasw/report/?year=2021&month=08&date=25
H,横浜FC,W,2,1,0.925,2.668,8,14,2,3,0,1,428,416,15,19,14,11,0,0,5,2,23,30,11,7,25,28,20,24,4,4,0,0,1,1,1,0,30,41,6,13,"113,748m","109,843m",179,178,141,128,5.7%,10.9%,52.4%,47.6%,https://www.football-lab.jp/kasw/report/?year=2021&month=08&date=29
A,FC東京,W,1,0,0.875,0.712,8,11,3,2,0,0,527,472,13,12,15,11,1,5,8,2,18,15,5,6,13,20,11,29,2,2,5,1,0,0,0,0,37,49,10,6,"112,114m","111,409m",181,170,126,107,6.3%,10.3%,50.5%,49.5%,https://www.football-lab.jp/kasw/report/?year=2021&month=09&date=12
H,広島,L,0,3,1.293,0.661,12,11,6,3,0,0,558,451,15,13,14,7,0,3,5,2,24,22,6,9,21,24,14,20,1,0,3,0,1,1,0,0,40,34,10,9,"110,947m","108,663m",168,153,125,110,9.6%,10.0%,51.7%,48.3%,https://www.football-lab.jp/kasw/report/?year=2021&month=09&date=18
A,Ｇ大阪,L,1,2,0.77,1.862,7,23,5,4,0,0,331,511,6,33,10,8,2,1,3,9,22,23,10,17,16,21,39,20,0,1,1,2,0,0,0,0,16,65,5,26,"110,846m","109,775m",146,152,126,133,5.6%,17.3%,40.3%,59.7%,https://www.football-lab.jp/kasw/report/?year=2021&month=09&date=26
H,仙台,D,1,1,0.762,1.733,10,20,5,3,0,0,350,469,12,28,10,11,0,1,3,13,27,25,9,20,14,10,25,25,2,2,1,0,0,0,0,0,23,53,13,17,"116,998m","113,763m",180,172,112,124,8.9%,16.1%,44.4%,55.6%,https://www.football-lab.jp/kasw/report/?year=2021&month=10&date=02
A,清水,W,1,0,1.624,0.791,16,12,4,4,0,0,508,380,21,8,13,5,2,1,6,6,24,24,12,6,14,14,15,26,4,1,1,2,0,1,0,0,38,29,9,6,"110,468m","110,400m",162,174,121,111,13.2%,10.8%,54.4%,45.6%,https://www.football-lab.jp/kasw/report/?year=2021&month=10&date=16
A,浦和,L,1,5,2.128,0.739,14,9,7,3,1,0,481,439,12,19,13,10,0,1,2,5,26,31,6,14,17,17,19,18,2,2,1,0,0,1,0,0,33,43,10,6,"118,001m","111,590m",202,169,134,132,10.4%,6.8%,50.9%,49.1%,https://www.football-lab.jp/kasw/report/?year=2021&month=10&date=22
A,名古屋,L,0,2,1.191,1.579,10,14,5,2,0,0,462,616,8,15,15,5,2,0,2,10,16,17,13,13,15,19,30,7,4,0,0,3,0,0,0,0,27,57,9,12,"113,340m","111,289m",141,151,99,105,10.1%,13.3%,45.5%,54.5%,https://www.football-lab.jp/kasw/report/?year=2021&month=11&date=03
H,Ｃ大阪,W,1,0,1.103,1.392,9,13,0,3,0,0,595,471,11,22,10,9,3,0,1,8,22,22,10,16,17,15,21,16,0,0,0,3,0,1,0,0,46,47,9,17,"119,259m","118,481m",149,171,108,109,8.3%,11.9%,56.8%,43.2%,https://www.football-lab.jp/kasw/report/?year=2021&month=11&date=07
H,福岡,D,0,0,1.038,0.694,12,9,4,4,0,0,366,475,24,16,13,9,4,2,9,1,23,20,8,10,15,18,23,28,1,0,1,4,0,0,0,0,41,49,13,8,"112,727m","111,166m",173,188,133,116,9.0%,7.8%,44%,56%,https://www.football-lab.jp/kasw/report/?year=2021&month=11&date=20
A,札幌,L,1,3,1.577,0.804,15,8,7,3,0,0,486,408,13,14,14,9,5,4,5,0,19,21,9,9,18,21,12,20,0,1,4,5,1,2,0,0,25,26,12,14,"114,604m","110,303m",203,165,117,113,12.8%,7.1%,54.3%,45.7%,https://www.football-lab.jp/kasw/report/?year=2021&month=11&date=27
H,大分,L,2,3,1.055,0.718,11,15,6,8,0,0,583,446,8,12,10,10,4,3,3,5,25,21,8,10,23,18,21,22,4,3,3,3,0,0,0,0,39,37,11,6,"123,238m","118,242m",194,190,116,111,9.5%,13.5%,54.8%,45.2%,https://www.football-lab.jp/kasw/report/?year=2021&month=12&date=04
