HOME/AWAY,Opponent,勝敗,tosu_得点,tosu_失点,Opponent_ゴール期待値,tosu_ゴール期待値,Opponent_シュート,tosu_シュート,Opponent_枠内シュート,tosu_枠内シュート,Opponent_PKによるシュート,tosu_PKによるシュート,Opponent_パス,tosu_パス,Opponent_クロス,tosu_クロス,Opponent_直接ＦＫ,tosu_直接ＦＫ,Opponent_間接ＦＫ,tosu_間接ＦＫ,Opponent_ＣＫ,tosu_ＣＫ,Opponent_スローイン,tosu_スローイン,Opponent_ドリブル,tosu_ドリブル,Opponent_タックル,tosu_タックル,Opponent_クリア,tosu_クリア,Opponent_インターセプト,tosu_インターセプト,Opponent_オフサイド,tosu_オフサイド,Opponent_警告,tosu_警告,Opponent_退場,tosu_退場,Opponent_３０ｍライン進入,tosu_３０ｍライン進入,Opponent_ペナルティエリア進入,tosu_ペナルティエリア進入,Opponent_総移動距離,tosu_総移動距離,Opponent_スプリント,tosu_スプリント,Opponent_攻撃回数,tosu_攻撃回数,Opponent_チャンス構築率,tosu_チャンス構築率,Opponent_ボール保持率,tosu_ボール保持率,URL
A,名古屋,W,2,1,0.811,0.581,10,9,2,2,0,0,714,356,12,3,12,5,3,3,5,1,26,21,17,6,9,20,14,36,3,4,3,3,1,2,0,0,50,17,10,3,"125,301m","131,528m",179,186,139,130,7.2%,6.9%,61%,39%,https://www.football-lab.jp/tosu/report/?year=2021&month=04&date=18
A,FC東京,W,2,1,0.832,0.602,10,8,4,4,0,0,566,453,14,5,16,12,1,1,4,1,25,20,13,7,17,17,12,25,2,2,1,1,1,1,0,0,49,29,10,4,"118,303m","125,407m",188,144,114,115,8.8%,7.0%,55.3%,44.7%,https://www.football-lab.jp/tosu/report/?year=2021&month=04&date=24
H,徳島,W,2,0,0.433,2.231,4,10,1,4,0,0,582,470,5,10,9,10,1,0,3,3,19,19,9,7,15,21,17,11,2,4,0,1,0,0,0,0,19,24,4,9,"119,192m","125,591m",156,172,109,106,3.7%,9.4%,55.8%,44.2%,https://www.football-lab.jp/tosu/report/?year=2021&month=05&date=01
H,広島,D,0,0,0.614,0.901,10,10,2,3,0,0,393,667,9,19,5,7,2,2,3,7,22,19,6,11,12,15,23,9,3,2,2,2,1,0,0,0,34,60,9,13,"121,475m","125,328m",189,185,115,115,8.7%,8.7%,38.6%,61.4%,https://www.football-lab.jp/tosu/report/?year=2021&month=05&date=08
A,大分,D,1,1,1.668,1.329,12,12,3,3,1,0,594,411,16,11,10,8,2,1,7,6,24,22,6,9,11,18,21,29,1,1,1,2,2,0,0,0,40,27,9,15,"120,098m","122,188m",190,163,111,107,10.8%,11.2%,57.8%,42.2%,https://www.football-lab.jp/tosu/report/?year=2021&month=05&date=15
H,鹿島,W,2,1,0.778,0.704,8,11,1,4,0,0,363,534,11,18,9,10,10,2,3,9,22,29,3,13,14,14,28,21,0,1,2,10,0,2,0,0,17,34,11,9,"121,585m","122,826m",203,191,118,131,6.8%,8.4%,40.9%,59.1%,https://www.football-lab.jp/tosu/report/?year=2021&month=05&date=22
A,札幌,D,0,0,0.69,0.573,9,9,2,0,0,0,658,484,13,7,13,6,0,2,6,3,16,14,16,5,14,17,9,22,1,3,2,0,0,0,0,0,44,23,11,7,"117,767m","126,133m",164,167,118,116,7.6%,7.8%,53.8%,46.2%,https://www.football-lab.jp/tosu/report/?year=2021&month=05&date=26
A,神戸,D,1,1,1.047,1.265,11,12,5,1,0,0,579,525,8,13,11,8,2,2,2,2,32,23,11,3,14,19,23,22,4,2,2,2,0,0,0,0,33,46,9,10,"117,173m","124,112m",181,155,112,99,9.8%,12.1%,52.6%,47.4%,https://www.football-lab.jp/tosu/report/?year=2021&month=05&date=30
A,横浜FM,L,0,2,2.105,0.797,23,9,9,4,0,0,735,399,21,7,16,9,3,3,6,3,28,27,10,9,21,18,12,11,0,0,3,3,1,2,0,0,57,18,23,8,"126,184m","129,987m",243,209,131,128,17.6%,7.0%,57.7%,42.3%,https://www.football-lab.jp/tosu/report/?year=2021&month=06&date=23
A,広島,D,1,1,1.072,0.732,15,7,6,1,0,0,434,636,19,10,15,7,2,2,6,4,22,25,21,11,28,21,13,26,0,1,2,2,0,0,0,0,52,39,21,6,"119,007m","124,127m",217,196,119,120,12.6%,5.8%,41.6%,58.4%,https://www.football-lab.jp/tosu/report/?year=2021&month=07&date=03
H,名古屋,W,3,1,0.812,0.678,12,11,6,4,0,0,435,545,12,14,17,6,0,1,6,2,21,33,8,9,15,15,19,23,1,0,1,0,1,1,0,0,31,53,10,16,"112,173m","120,702m",190,212,116,106,10.3%,10.4%,45.5%,54.5%,https://www.football-lab.jp/tosu/report/?year=2021&month=07&date=17
H,Ｃ大阪,D,3,3,3.21,2.665,21,22,9,7,1,0,408,572,16,17,14,9,5,2,3,4,12,12,12,9,12,16,14,21,1,3,2,5,2,1,0,0,30,49,12,15,"122,786m","128,071m",191,187,104,103,20.2%,21.4%,44.4%,55.6%,https://www.football-lab.jp/tosu/report/?year=2021&month=07&date=24
H,FC東京,W,1,0,1.616,0.788,16,11,4,5,0,0,466,557,12,8,8,10,0,2,4,5,27,21,15,8,10,15,14,28,2,3,2,0,1,1,0,0,47,32,12,8,"114,180m","123,128m",173,156,106,109,15.1%,10.1%,45%,55%,https://www.football-lab.jp/tosu/report/?year=2021&month=08&date=09
A,浦和,L,1,2,1.725,0.782,7,11,3,4,1,0,464,611,6,10,15,5,0,1,3,1,19,20,12,6,14,19,6,13,2,1,1,0,0,2,0,0,22,43,9,11,"115,512m","119,964m",196,191,101,89,6.9%,12.4%,47.3%,52.7%,https://www.football-lab.jp/tosu/report/?year=2021&month=08&date=14
A,柏,W,3,1,1.319,2.351,17,16,4,9,0,0,417,557,12,9,10,13,4,3,7,4,27,21,8,6,16,15,15,31,1,2,3,4,1,2,0,0,30,39,13,10,"110,261m","117,918m",154,146,113,115,15.0%,13.9%,42.4%,57.6%,https://www.football-lab.jp/tosu/report/?year=2021&month=08&date=21
H,横浜FM,L,0,4,1.362,0.723,9,9,4,0,1,0,594,318,11,12,17,10,10,2,4,3,24,27,6,6,9,16,10,14,2,2,2,10,1,0,0,1,40,24,4,8,"112,119m","112,969m",164,173,112,114,8.0%,7.9%,58.8%,41.2%,https://www.football-lab.jp/tosu/report/?year=2021&month=08&date=25
A,仙台,W,1,0,0.874,1.349,7,13,3,5,0,0,306,712,10,9,12,13,1,1,0,6,20,22,8,11,14,25,19,19,1,0,1,1,0,0,0,0,26,41,6,14,"114,964m","119,275m",154,152,96,106,7.3%,12.3%,31.8%,68.2%,https://www.football-lab.jp/tosu/report/?year=2021&month=08&date=29
H,清水,W,2,1,0.77,0.477,10,9,3,2,0,0,350,596,11,19,20,15,3,2,2,1,24,25,10,10,16,24,18,17,2,2,2,3,1,0,0,0,20,50,7,15,"119,002m","121,812m",162,161,114,108,8.8%,8.3%,38.1%,61.9%,https://www.football-lab.jp/tosu/report/?year=2021&month=09&date=11
H,大分,D,0,0,0.359,1.501,4,18,1,5,0,0,457,602,15,14,7,7,1,1,7,6,16,20,5,5,18,17,24,26,0,0,1,1,0,1,0,0,26,47,3,11,"119,608m","120,598m",147,155,103,97,3.9%,18.6%,43.1%,56.9%,https://www.football-lab.jp/tosu/report/?year=2021&month=09&date=18
A,福岡,L,0,3,0.825,0.632,11,9,4,3,0,0,267,613,8,14,18,11,3,2,0,5,13,25,6,10,15,16,32,13,3,2,2,3,2,1,0,0,24,52,7,9,"108,326m","109,620m",170,163,105,120,10.5%,7.5%,34.7%,65.3%,https://www.football-lab.jp/tosu/report/?year=2021&month=09&date=25
A,徳島,L,0,3,0.964,0.959,12,11,6,2,0,0,255,691,4,16,4,14,1,1,2,10,22,24,9,14,27,13,31,9,1,2,1,1,1,1,0,0,13,57,5,13,"115,680m","117,861m",158,157,103,120,11.7%,9.2%,33.8%,66.2%,https://www.football-lab.jp/tosu/report/?year=2021&month=10&date=03
H,湘南,D,1,1,0.484,1.333,6,10,3,3,0,0,355,620,2,14,12,11,2,1,0,7,17,32,4,12,15,11,27,9,1,1,1,2,0,0,0,0,22,34,4,9,"124,040m","126,205m",203,205,120,131,5.0%,7.6%,41.3%,58.7%,https://www.football-lab.jp/tosu/report/?year=2021&month=10&date=16
A,Ｇ大阪,L,0,1,1.24,1.164,11,15,2,1,0,0,331,636,5,21,14,7,1,1,3,3,16,26,10,9,15,12,19,12,2,2,1,1,0,0,0,0,25,64,7,18,"117,949m","121,674m",171,155,111,124,9.9%,12.1%,37.7%,62.3%,https://www.football-lab.jp/tosu/report/?year=2021&month=10&date=23
A,横浜FC,D,0,0,0.883,1.237,14,15,2,2,0,0,372,490,7,16,22,17,3,3,1,4,22,20,11,19,18,27,13,5,0,2,3,3,0,2,0,0,24,41,4,13,"118,377m","123,881m",202,220,130,123,10.8%,12.2%,44.8%,55.2%,https://www.football-lab.jp/tosu/report/?year=2021&month=11&date=03
H,川崎Ｆ,W,3,1,3.145,1.716,21,10,4,3,0,1,649,405,16,13,13,6,5,2,4,1,22,14,17,7,16,31,14,28,2,3,2,5,0,2,0,0,65,32,22,8,"116,857m","127,655m",163,202,122,115,17.2%,8.7%,57%,43%,https://www.football-lab.jp/tosu/report/?year=2021&month=11&date=07
H,札幌,W,1,0,1.653,0.805,17,14,5,5,0,0,600,351,8,7,13,13,1,2,4,1,26,14,10,6,14,36,13,33,1,1,1,1,1,1,0,0,37,22,13,7,"115,700m","125,220m",166,199,133,122,12.8%,11.5%,58.8%,41.2%,https://www.football-lab.jp/tosu/report/?year=2021&month=11&date=20
A,鹿島,L,0,1,1.91,0.612,20,6,6,3,0,0,491,436,11,11,11,10,2,1,9,2,16,26,9,12,22,21,11,15,2,2,1,2,2,0,0,0,43,29,12,6,"117,167m","121,267m",211,201,124,120,16.1%,5.0%,52%,48%,https://www.football-lab.jp/tosu/report/?year=2021&month=11&date=27
H,神戸,L,0,2,1.555,1.986,14,15,6,2,0,0,619,451,13,16,16,10,2,3,3,3,16,15,8,12,22,24,13,16,1,1,3,2,0,1,0,0,42,39,8,7,"120,920m","126,498m",164,176,122,118,11.5%,12.7%,56.7%,43.3%,https://www.football-lab.jp/tosu/report/?year=2021&month=12&date=04
