HOME/AWAY,Opponent,勝敗,c-os_得点,c-os_失点,c-os_ゴール期待値,Opponent_ゴール期待値,c-os_シュート,Opponent_シュート,c-os_枠内シュート,Opponent_枠内シュート,c-os_PKによるシュート,Opponent_PKによるシュート,c-os_パス,Opponent_パス,c-os_クロス,Opponent_クロス,c-os_直接ＦＫ,Opponent_直接ＦＫ,c-os_間接ＦＫ,Opponent_間接ＦＫ,c-os_ＣＫ,Opponent_ＣＫ,c-os_スローイン,Opponent_スローイン,c-os_ドリブル,Opponent_ドリブル,c-os_タックル,Opponent_タックル,c-os_クリア,Opponent_クリア,c-os_インターセプト,Opponent_インターセプト,c-os_オフサイド,Opponent_オフサイド,c-os_警告,Opponent_警告,c-os_退場,Opponent_退場,c-os_３０ｍライン進入,Opponent_３０ｍライン進入,c-os_ペナルティエリア進入,Opponent_ペナルティエリア進入,c-os_総移動距離,Opponent_総移動距離,c-os_スプリント,Opponent_スプリント,c-os_攻撃回数,Opponent_攻撃回数,c-os_チャンス構築率,Opponent_チャンス構築率,c-os_ボール保持率,Opponent_ボール保持率,URL
H,徳島,L,1,2,1.377,1.752,12,17,2,5,0,0,403,514,12,12,13,11,0,0,4,7,20,23,3,13,12,24,17,30,0,3,0,0,0,0,0,0,21,45,9,12,"124,492m","122,806m",164,174,125,130,9.6%,13.1%,45.2%,54.8%,https://www.football-lab.jp/c-os/report/?year=2021&month=04&date=14
H,浦和,W,1,0,1.201,1.177,13,14,5,3,0,0,383,734,9,13,13,9,1,0,2,3,14,15,8,6,14,16,15,6,1,0,0,1,0,3,0,0,24,77,7,15,"119,726m","116,644m",167,148,111,103,11.7%,13.6%,37.9%,62.1%,https://www.football-lab.jp/c-os/report/?year=2021&month=04&date=18
H,Ｇ大阪,D,1,1,3.138,2.099,18,13,8,3,1,1,433,477,23,13,13,5,3,3,3,6,22,18,16,15,16,17,19,26,0,2,3,3,0,1,0,0,44,40,18,10,"122,101m","122,500m",174,227,130,127,13.8%,10.2%,46.9%,53.1%,https://www.football-lab.jp/c-os/report/?year=2021&month=05&date=02
A,名古屋,L,0,1,0.703,1.645,10,10,1,6,0,0,468,435,18,14,18,14,0,0,4,3,31,17,9,21,23,18,11,26,0,1,0,0,1,2,0,0,35,36,10,9,"112,227m","116,192m",128,168,129,115,7.8%,8.7%,51%,49%,https://www.football-lab.jp/c-os/report/?year=2021&month=05&date=08
A,神戸,D,1,1,0.608,1.057,9,13,2,3,0,0,418,567,16,9,10,6,4,2,5,3,24,25,14,9,17,21,14,30,2,3,2,3,0,0,0,0,35,30,8,11,"118,245m","118,517m",172,221,124,115,7.3%,11.3%,44.6%,55.4%,https://www.football-lab.jp/c-os/report/?year=2021&month=05&date=15
H,広島,L,1,2,1.601,1.077,13,7,3,6,0,0,553,376,21,15,14,10,3,2,2,7,18,22,13,14,18,13,20,27,2,1,2,3,2,0,0,0,43,45,15,11,"113,598m","114,146m",177,168,114,114,11.4%,6.1%,57.8%,42.2%,https://www.football-lab.jp/c-os/report/?year=2021&month=05&date=23
A,鹿島,L,0,1,0.901,1.073,12,15,6,5,0,0,356,498,6,11,13,7,2,1,4,5,25,33,3,12,21,13,21,15,2,4,1,2,1,1,0,0,16,53,8,10,"114,316m","117,290m",195,233,125,135,9.6%,11.1%,44.9%,55.1%,https://www.football-lab.jp/c-os/report/?year=2021&month=05&date=26
A,仙台,D,1,1,2.108,0.93,16,10,7,4,0,0,556,409,17,12,12,12,0,2,5,1,19,13,7,14,24,15,15,26,2,2,2,0,1,1,0,0,60,35,13,6,"113,732m","117,593m",165,175,115,109,13.9%,9.2%,58%,42%,https://www.football-lab.jp/c-os/report/?year=2021&month=05&date=30
H,神戸,D,1,1,1.347,0.688,12,6,5,3,0,0,480,428,21,8,12,13,0,1,7,5,21,14,10,10,16,20,12,30,2,1,1,0,0,0,0,0,42,27,8,5,"111,481m","116,047m",164,156,115,102,10.4%,5.9%,54.9%,45.1%,https://www.football-lab.jp/c-os/report/?year=2021&month=07&date=17
H,FC東京,D,3,3,2.686,0.932,20,12,5,3,0,0,522,286,22,13,8,8,1,1,5,4,20,14,10,11,18,21,23,14,0,3,1,1,3,1,0,0,51,30,14,10,"104,510m","101,942m",156,143,106,107,18.9%,11.2%,61.9%,38.1%,https://www.football-lab.jp/c-os/report/?year=2021&month=07&date=21
A,鳥栖,D,3,3,3.21,2.665,21,22,9,7,1,0,408,572,16,17,14,9,5,2,3,4,12,12,12,9,12,16,14,21,1,3,2,5,2,1,0,0,30,49,12,15,"122,786m","128,071m",191,187,104,103,20.2%,21.4%,44.4%,55.6%,https://www.football-lab.jp/c-os/report/?year=2021&month=07&date=24
H,仙台,D,0,0,0.918,0.355,14,6,4,2,0,0,497,451,16,12,11,8,2,0,5,4,26,22,8,11,12,19,22,31,2,1,0,2,1,1,0,0,50,35,8,7,"113,334m","114,278m",115,154,112,106,12.5%,5.7%,52.8%,47.2%,https://www.football-lab.jp/c-os/report/?year=2021&month=08&date=09
A,福岡,L,1,2,1.482,1.226,17,15,3,4,0,0,545,297,16,19,13,7,1,2,3,7,23,10,7,15,10,14,19,24,0,3,2,1,0,1,0,0,50,35,13,15,"106,161m","108,724m",100,142,102,100,16.7%,15.0%,62%,38%,https://www.football-lab.jp/c-os/report/?year=2021&month=08&date=15
H,横浜FC,W,3,1,1.203,0.633,16,8,10,4,0,0,582,412,13,12,8,8,1,0,4,3,13,17,6,12,12,14,20,11,4,1,0,1,2,1,0,1,46,41,11,9,"110,010m","109,428m",137,136,91,89,17.6%,9.0%,58.7%,41.3%,https://www.football-lab.jp/c-os/report/?year=2021&month=08&date=21
H,湘南,L,1,5,1.989,1.397,20,9,5,5,1,0,620,275,27,5,10,8,0,1,10,2,18,12,17,8,12,20,10,31,0,2,1,0,0,1,0,0,53,22,15,6,"108,781m","114,574m",129,137,115,95,17.4%,9.5%,62.3%,37.7%,https://www.football-lab.jp/c-os/report/?year=2021&month=08&date=25
A,Ｇ大阪,W,1,0,1.304,0.732,17,11,4,4,0,0,497,473,16,11,11,11,2,1,2,5,19,15,16,7,8,15,23,18,0,1,1,2,0,0,0,0,55,41,12,12,"108,004m","108,543m",150,131,109,108,15.6%,10.2%,55.8%,44.2%,https://www.football-lab.jp/c-os/report/?year=2021&month=08&date=28
A,札幌,W,3,0,1.541,1.019,13,12,6,4,0,0,326,599,10,19,14,10,3,1,8,4,18,34,9,19,16,16,27,20,3,0,1,3,1,0,0,0,20,47,5,17,"119,477m","117,695m",222,190,127,126,10.2%,9.5%,41.5%,58.5%,https://www.football-lab.jp/c-os/report/?year=2021&month=09&date=08
H,札幌,L,0,2,1.179,2.926,10,22,1,6,0,0,436,486,6,12,12,11,3,0,4,4,19,14,7,14,11,30,13,21,0,4,0,3,1,2,0,0,35,47,10,17,"108,748m","108,790m",181,159,111,107,9.0%,20.6%,46.6%,53.4%,https://www.football-lab.jp/c-os/report/?year=2021&month=09&date=11
A,浦和,L,0,2,0.425,1.295,9,13,1,6,0,0,489,499,13,13,17,4,2,1,5,6,21,14,7,10,19,22,15,17,1,3,1,2,0,1,0,0,43,39,10,17,"114,319m","117,306m",156,166,128,111,7.0%,11.7%,49.2%,50.8%,https://www.football-lab.jp/c-os/report/?year=2021&month=09&date=18
A,広島,W,1,0,1.888,0.128,19,3,5,1,0,0,384,431,13,13,12,13,3,0,9,4,26,22,11,13,25,19,16,21,2,0,0,3,2,1,0,0,34,32,13,6,"109,659m","105,798m",176,164,119,118,16.0%,2.5%,52.7%,47.3%,https://www.football-lab.jp/c-os/report/?year=2021&month=09&date=22
H,鹿島,L,1,2,1.151,1.691,10,15,3,5,0,1,366,396,16,16,20,10,4,4,4,7,22,16,12,16,15,23,16,12,1,2,4,4,1,1,0,0,25,51,6,10,"107,404m","107,808m",177,183,128,129,7.8%,11.6%,49.6%,50.4%,https://www.football-lab.jp/c-os/report/?year=2021&month=09&date=26
A,大分,L,0,1,1.448,1.581,12,11,4,5,0,0,425,355,12,14,8,9,1,2,5,4,29,24,7,8,14,18,25,27,3,0,2,1,1,0,0,0,44,28,13,9,"104,729m","111,028m",170,169,112,112,10.7%,9.8%,51.9%,48.1%,https://www.football-lab.jp/c-os/report/?year=2021&month=10&date=03
H,横浜FM,W,2,1,1.688,1.26,14,13,4,3,0,0,299,662,10,20,17,7,1,1,6,6,24,15,10,8,14,21,20,14,1,1,1,1,1,0,0,0,19,64,12,16,"111,556m","113,155m",144,174,122,113,11.5%,11.5%,36.2%,63.8%,https://www.football-lab.jp/c-os/report/?year=2021&month=10&date=24
A,徳島,W,1,0,0.8,0.808,9,6,4,1,0,0,373,479,13,12,22,9,0,0,5,1,24,20,8,13,15,20,24,11,1,4,0,0,0,2,0,0,22,42,5,10,"110,879m","107,687m",174,168,124,103,7.3%,5.8%,41.7%,58.3%,https://www.football-lab.jp/c-os/report/?year=2021&month=11&date=03
A,柏,L,0,1,1.103,1.392,9,13,0,3,0,0,595,471,11,22,10,9,3,0,1,8,22,22,10,16,17,15,21,16,0,0,0,3,0,1,0,0,46,47,9,17,"119,259m","118,481m",149,171,108,109,8.3%,11.9%,56.8%,43.2%,https://www.football-lab.jp/c-os/report/?year=2021&month=11&date=07
H,川崎Ｆ,L,1,4,1.513,1.213,13,14,5,8,0,0,464,559,15,10,11,11,1,1,6,4,18,15,10,12,14,14,13,24,1,4,1,1,1,0,0,0,34,46,15,14,"112,773m","110,636m",159,160,111,102,11.7%,13.7%,47.5%,52.5%,https://www.football-lab.jp/c-os/report/?year=2021&month=11&date=20
H,名古屋,W,2,1,2.303,0.192,18,5,6,3,0,0,486,339,13,9,10,14,3,1,12,4,24,13,8,9,20,21,16,33,1,2,1,3,0,1,0,0,40,24,17,11,"110,056m","108,661m",157,169,126,110,14.3%,4.5%,58.7%,41.3%,https://www.football-lab.jp/c-os/report/?year=2021&month=11&date=27
A,清水,L,1,2,0.652,1.83,6,20,1,5,0,0,620,337,14,14,6,11,0,0,5,5,25,16,4,14,17,13,23,25,0,3,0,0,2,1,0,0,33,41,6,12,"112,789m","117,028m",151,153,99,105,6.1%,19.0%,61.1%,38.9%,https://www.football-lab.jp/c-os/report/?year=2021&month=12&date=04
