HOME/AWAY,Opponent,勝敗,y-fc_得点,y-fc_失点,Opponent_ゴール期待値,y-fc_ゴール期待値,Opponent_シュート,y-fc_シュート,Opponent_枠内シュート,y-fc_枠内シュート,Opponent_PKによるシュート,y-fc_PKによるシュート,Opponent_パス,y-fc_パス,Opponent_クロス,y-fc_クロス,Opponent_直接ＦＫ,y-fc_直接ＦＫ,Opponent_間接ＦＫ,y-fc_間接ＦＫ,Opponent_ＣＫ,y-fc_ＣＫ,Opponent_スローイン,y-fc_スローイン,Opponent_ドリブル,y-fc_ドリブル,Opponent_タックル,y-fc_タックル,Opponent_クリア,y-fc_クリア,Opponent_インターセプト,y-fc_インターセプト,Opponent_オフサイド,y-fc_オフサイド,Opponent_警告,y-fc_警告,Opponent_退場,y-fc_退場,Opponent_３０ｍライン進入,y-fc_３０ｍライン進入,Opponent_ペナルティエリア進入,y-fc_ペナルティエリア進入,Opponent_総移動距離,y-fc_総移動距離,Opponent_スプリント,y-fc_スプリント,Opponent_攻撃回数,y-fc_攻撃回数,Opponent_チャンス構築率,y-fc_チャンス構築率,Opponent_ボール保持率,y-fc_ボール保持率,URL
H,鹿島,L,0,3,2.94,0.765,16,7,9,0,1,0,422,401,9,15,12,9,3,2,4,3,25,29,11,12,24,15,17,18,1,0,2,2,0,1,0,0,37,29,13,7,"116,801m","113,793m",165,156,122,120,13.1%,5.8%,48.7%,51.3%,https://www.football-lab.jp/y-fc/report/?year=2021&month=05&date=01
A,清水,D,1,1,1.483,0.501,15,11,6,2,0,0,459,567,28,15,13,8,0,2,5,1,24,24,19,5,12,14,17,22,2,1,2,0,0,1,0,0,50,30,15,9,"120,746m","118,305m",150,150,106,101,14.2%,10.9%,44.5%,55.5%,https://www.football-lab.jp/y-fc/report/?year=2021&month=05&date=09
H,湘南,W,2,0,1.249,0.648,14,11,5,4,0,0,437,293,21,7,18,14,1,3,8,2,31,25,12,12,19,24,12,40,0,0,3,1,1,0,0,0,36,22,11,2,"119,367m","117,469m",176,167,144,130,9.7%,8.5%,54.4%,45.6%,https://www.football-lab.jp/y-fc/report/?year=2021&month=05&date=15
A,川崎Ｆ,L,1,3,2.98,0.821,17,9,8,3,1,0,627,462,16,14,6,11,1,6,2,5,15,13,12,4,20,18,14,13,3,1,6,0,0,1,0,0,58,39,18,7,"110,389m","112,328m",183,157,112,122,15.2%,7.4%,53%,47%,https://www.football-lab.jp/y-fc/report/?year=2021&month=05&date=22
H,福岡,D,1,1,1.432,1.303,8,10,2,3,1,0,437,396,17,19,16,8,1,0,6,5,19,30,11,10,22,14,17,25,2,2,0,1,0,0,0,0,34,30,7,9,"112,982m","111,941m",198,177,121,121,6.6%,8.3%,52.4%,47.6%,https://www.football-lab.jp/y-fc/report/?year=2021&month=05&date=26
A,Ｇ大阪,L,0,2,1.686,1.786,10,20,4,5,1,0,508,613,3,17,7,10,1,3,2,4,15,28,5,10,21,13,32,8,0,0,3,1,0,1,0,0,32,48,6,16,"112,803m","112,792m",121,128,103,114,9.7%,17.5%,46.7%,53.3%,https://www.football-lab.jp/y-fc/report/?year=2021&month=05&date=30
H,川崎Ｆ,L,0,2,1.737,0.324,19,3,6,0,0,0,619,404,11,7,9,11,3,3,3,1,18,29,9,6,21,22,15,16,2,1,3,3,1,0,0,0,50,27,14,3,"118,124m","116,639m",191,166,110,113,17.3%,2.7%,56.4%,43.6%,https://www.football-lab.jp/y-fc/report/?year=2021&month=06&date=02
H,FC東京,L,0,1,1.637,1.209,13,16,3,2,0,0,435,340,15,16,10,10,1,0,5,11,20,28,6,11,17,26,25,24,1,5,0,1,2,0,0,0,38,34,20,8,"107,797m","108,965m",238,183,111,120,11.7%,13.3%,52.9%,47.1%,https://www.football-lab.jp/y-fc/report/?year=2021&month=06&date=19
A,神戸,L,0,5,2.042,0.702,24,11,11,6,0,0,689,377,12,17,7,4,1,5,6,1,21,26,9,10,15,14,24,24,3,1,5,1,0,0,0,0,40,31,16,9,"115,344m","114,075m",143,142,99,100,24.2%,11.0%,60.3%,39.7%,https://www.football-lab.jp/y-fc/report/?year=2021&month=06&date=23
H,清水,D,1,1,2.93,0.482,19,8,3,1,0,0,500,481,15,18,13,7,0,1,5,5,12,32,4,9,18,10,28,14,1,1,1,0,0,2,0,0,31,50,11,7,"115,024m","115,934m",165,159,112,114,17.0%,7.0%,49.8%,50.2%,https://www.football-lab.jp/y-fc/report/?year=2021&month=06&date=27
A,広島,W,1,0,2.252,0.586,17,8,4,2,0,0,617,331,19,9,9,8,1,2,12,3,28,20,18,8,11,26,15,31,3,0,2,1,1,1,0,0,53,25,15,7,"117,606m","120,707m",166,171,125,117,13.6%,6.8%,58.5%,41.5%,https://www.football-lab.jp/y-fc/report/?year=2021&month=07&date=11
H,名古屋,W,2,0,0.667,1.327,13,11,2,2,0,0,665,259,15,8,17,8,0,0,5,3,36,25,19,7,15,19,13,31,2,1,0,0,0,2,0,0,44,16,19,11,"117,470m","120,433m",209,185,125,114,10.4%,9.6%,64.3%,35.7%,https://www.football-lab.jp/y-fc/report/?year=2021&month=08&date=09
A,仙台,D,0,0,1.166,0.34,9,5,3,3,0,0,620,376,24,13,16,13,1,0,6,6,24,14,12,5,18,25,10,24,1,1,0,1,1,2,0,0,59,33,11,5,"117,433m","117,145m",173,157,105,101,8.6%,5.0%,59.8%,40.2%,https://www.football-lab.jp/y-fc/report/?year=2021&month=08&date=14
A,Ｃ大阪,L,1,3,1.203,0.633,16,8,10,4,0,0,582,412,13,12,8,8,1,0,4,3,13,17,6,12,12,14,20,11,4,1,0,1,2,1,0,1,46,41,11,9,"110,010m","109,428m",137,136,91,89,17.6%,9.0%,58.7%,41.3%,https://www.football-lab.jp/y-fc/report/?year=2021&month=08&date=21
H,Ｇ大阪,W,3,1,0.611,1.611,8,16,2,7,0,0,436,445,7,15,14,8,4,3,1,2,22,25,6,9,12,13,20,17,0,1,3,2,1,2,1,0,21,36,6,14,"112,011m","116,720m",158,154,104,97,7.7%,16.5%,47.4%,52.6%,https://www.football-lab.jp/y-fc/report/?year=2021&month=08&date=25
A,柏,L,1,2,2.668,0.925,14,8,3,2,1,0,416,428,19,15,11,14,0,0,2,5,30,23,7,11,28,25,24,20,4,4,0,0,1,1,0,1,41,30,13,6,"109,843m","113,748m",178,179,128,141,10.9%,5.7%,47.6%,52.4%,https://www.football-lab.jp/y-fc/report/?year=2021&month=08&date=29
H,浦和,L,0,2,1.307,1.325,14,13,6,4,0,0,463,415,13,14,16,11,0,2,15,3,11,16,14,10,22,16,15,28,2,1,2,0,2,2,0,0,41,33,17,10,"116,368m","117,490m",177,177,103,92,13.6%,14.1%,51.9%,48.1%,https://www.football-lab.jp/y-fc/report/?year=2021&month=09&date=11
A,FC東京,L,0,4,1.749,0.773,17,11,9,2,0,0,387,417,9,14,16,10,0,1,5,7,19,25,11,13,26,21,17,18,1,1,1,0,0,0,0,0,36,38,12,8,"108,817m","106,035m",153,147,120,114,14.2%,9.6%,46.5%,53.5%,https://www.football-lab.jp/y-fc/report/?year=2021&month=09&date=18
H,横浜FM,D,2,2,1.728,1.381,15,13,4,6,1,0,568,250,17,9,19,12,4,1,2,5,12,22,5,11,16,15,21,21,1,2,1,4,3,3,1,0,45,23,18,8,"115,540m","118,794m",238,246,116,117,12.9%,11.1%,61.9%,38.1%,https://www.football-lab.jp/y-fc/report/?year=2021&month=09&date=25
A,鹿島,W,2,1,1.529,0.795,13,6,5,4,0,0,445,224,21,9,17,14,2,3,9,4,23,20,10,13,18,19,13,40,0,0,3,2,2,3,0,0,46,20,13,6,"107,300m","107,035m",205,171,124,116,10.5%,5.2%,56.7%,43.3%,https://www.football-lab.jp/y-fc/report/?year=2021&month=10&date=02
H,徳島,W,5,3,1.956,0.8,20,12,6,7,0,0,601,225,15,7,13,7,1,2,6,2,28,10,13,12,17,12,8,23,1,5,2,1,1,4,0,0,54,23,12,6,"112,908m","116,479m",181,166,112,91,17.9%,13.2%,68.6%,31.4%,https://www.football-lab.jp/y-fc/report/?year=2021&month=10&date=16
A,湘南,L,1,2,1.483,0.327,9,8,4,3,0,0,420,269,22,9,13,10,2,2,6,1,32,40,13,12,27,27,18,26,1,2,2,1,1,1,0,0,39,27,10,7,"112,579m","107,406m",200,144,132,121,6.8%,6.6%,57.5%,42.5%,https://www.football-lab.jp/y-fc/report/?year=2021&month=10&date=23
H,鳥栖,D,0,0,1.237,0.883,15,14,2,2,0,0,490,372,16,7,17,22,3,3,4,1,20,22,19,11,27,18,5,13,2,0,3,3,2,0,0,0,41,24,13,4,"123,881m","118,377m",220,202,123,130,12.2%,10.8%,55.2%,44.8%,https://www.football-lab.jp/y-fc/report/?year=2021&month=11&date=03
A,福岡,D,1,1,0.858,0.585,12,9,3,2,0,0,358,382,15,15,10,15,1,3,3,7,30,23,8,16,26,17,35,23,0,5,3,1,1,0,0,0,29,33,11,5,"106,993m","110,807m",185,163,125,129,9.6%,7.0%,47.2%,52.8%,https://www.football-lab.jp/y-fc/report/?year=2021&month=11&date=07
H,神戸,L,0,2,1.273,0.499,6,9,2,3,1,0,438,477,8,11,12,16,0,6,4,2,24,28,16,17,36,34,19,12,3,0,7,0,1,0,0,0,15,34,10,7,"120,740m","119,699m",219,157,131,135,4.6%,6.7%,47.6%,52.4%,https://www.football-lab.jp/y-fc/report/?year=2021&month=11&date=20
A,大分,L,0,2,1.246,0.993,11,11,2,3,0,0,545,582,11,15,7,16,0,3,5,3,17,19,4,14,21,25,28,23,2,1,3,0,0,0,0,0,32,45,14,11,"125,981m","123,651m",206,166,116,122,9.5%,9.0%,46.1%,53.9%,https://www.football-lab.jp/y-fc/report/?year=2021&month=11&date=27
H,札幌,L,0,1,1.287,1.486,14,11,4,2,0,0,526,358,8,9,8,18,0,0,8,2,22,28,11,17,25,19,25,15,2,0,0,0,0,0,0,0,31,32,12,10,"113,190m","114,724m",199,166,124,131,11.3%,8.4%,55.8%,44.2%,https://www.football-lab.jp/y-fc/report/?year=2021&month=12&date=04
