HOME/AWAY,Opponent,勝敗,kobe_得点,kobe_失点,kobe_ゴール期待値,Opponent_ゴール期待値,kobe_シュート,Opponent_シュート,kobe_枠内シュート,Opponent_枠内シュート,kobe_PKによるシュート,Opponent_PKによるシュート,kobe_パス,Opponent_パス,kobe_クロス,Opponent_クロス,kobe_直接ＦＫ,Opponent_直接ＦＫ,kobe_間接ＦＫ,Opponent_間接ＦＫ,kobe_ＣＫ,Opponent_ＣＫ,kobe_スローイン,Opponent_スローイン,kobe_ドリブル,Opponent_ドリブル,kobe_タックル,Opponent_タックル,kobe_クリア,Opponent_クリア,kobe_インターセプト,Opponent_インターセプト,kobe_オフサイド,Opponent_オフサイド,kobe_警告,Opponent_警告,kobe_退場,Opponent_退場,kobe_３０ｍライン進入,Opponent_３０ｍライン進入,kobe_ペナルティエリア進入,Opponent_ペナルティエリア進入,kobe_総移動距離,Opponent_総移動距離,kobe_スプリント,Opponent_スプリント,kobe_攻撃回数,Opponent_攻撃回数,kobe_チャンス構築率,Opponent_チャンス構築率,kobe_ボール保持率,Opponent_ボール保持率,URL
H,広島,W,3,0,1.964,0.492,14,8,4,4,0,0,506,571,8,21,11,9,2,2,6,4,14,26,10,13,14,13,27,12,3,0,2,2,1,1,0,0,30,50,13,14,"120,950m","115,813m",213,186,116,114,12.1%,7.0%,49.6%,50.4%,https://www.football-lab.jp/kobe/report/?year=2021&month=05&date=01
A,横浜FM,L,0,2,0.699,1.602,7,15,1,7,0,0,480,650,3,20,12,12,0,2,0,4,33,27,6,7,25,29,20,11,3,3,2,0,0,0,0,0,20,54,4,13,"116,296m","118,366m",185,198,126,120,5.6%,12.5%,45.5%,54.5%,https://www.football-lab.jp/kobe/report/?year=2021&month=05&date=09
H,Ｃ大阪,D,1,1,1.057,0.608,13,9,3,2,0,0,567,418,9,16,6,10,2,4,3,5,25,24,9,14,21,17,30,14,3,2,3,2,0,0,0,0,30,35,11,8,"118,517m","118,245m",221,172,115,124,11.3%,7.3%,55.4%,44.6%,https://www.football-lab.jp/kobe/report/?year=2021&month=05&date=15
A,浦和,L,0,2,1.915,0.859,17,10,2,4,0,0,602,442,15,10,7,8,1,2,4,7,17,13,16,8,10,22,13,25,3,1,2,1,0,0,0,0,50,32,14,9,"110,826m","112,682m",159,158,107,103,15.9%,9.7%,55.5%,44.5%,https://www.football-lab.jp/kobe/report/?year=2021&month=05&date=22
A,柏,W,2,1,1.266,1.368,10,15,3,5,0,0,413,442,11,17,13,16,1,2,3,8,31,28,7,14,25,21,30,11,8,2,2,1,2,0,0,0,23,35,10,7,"117,142m","114,654m",185,176,140,139,7.1%,10.8%,50.7%,49.3%,https://www.football-lab.jp/kobe/report/?year=2021&month=05&date=26
H,鳥栖,D,1,1,1.047,1.265,11,12,5,1,0,0,579,525,8,13,11,8,2,2,2,2,32,23,11,3,14,19,23,22,4,2,2,2,0,0,0,0,33,46,9,10,"117,173m","124,112m",181,155,112,99,9.8%,12.1%,52.6%,47.4%,https://www.football-lab.jp/kobe/report/?year=2021&month=05&date=30
A,福岡,W,2,1,1.907,1.333,9,9,2,1,1,0,554,296,17,13,10,7,0,1,5,3,24,20,15,10,16,21,26,31,2,1,0,0,1,2,0,0,39,25,9,10,"105,484m","100,654m",130,139,112,108,8.0%,8.3%,61.8%,38.2%,https://www.football-lab.jp/kobe/report/?year=2021&month=06&date=19
H,横浜FC,W,5,0,2.042,0.702,24,11,11,6,0,0,689,377,12,17,7,4,1,5,6,1,21,26,9,10,15,14,24,24,3,1,5,1,0,0,0,0,40,31,16,9,"115,344m","114,075m",143,142,99,100,24.2%,11.0%,60.3%,39.7%,https://www.football-lab.jp/kobe/report/?year=2021&month=06&date=23
H,湘南,W,3,1,1.962,2.153,12,17,4,6,0,0,523,313,9,17,12,7,0,2,3,6,15,22,4,4,14,15,24,13,2,1,2,0,0,0,0,0,32,30,12,11,"106,943m","105,384m",125,132,106,104,11.3%,16.3%,58.5%,41.5%,https://www.football-lab.jp/kobe/report/?year=2021&month=07&date=03
A,Ｃ大阪,D,1,1,0.688,1.347,6,12,3,5,0,0,428,480,8,21,13,12,1,0,5,7,14,21,10,10,20,16,30,12,1,2,0,1,0,0,0,0,27,42,5,8,"116,047m","111,481m",156,164,102,115,5.9%,10.4%,45.1%,54.9%,https://www.football-lab.jp/kobe/report/?year=2021&month=07&date=17
A,Ｇ大阪,W,2,1,0.706,1.902,8,13,5,4,0,0,663,517,12,13,8,11,3,2,4,7,10,19,6,14,18,13,27,12,2,1,2,3,0,1,0,0,37,49,8,13,"118,126m","117,598m",86,102,93,94,8.6%,13.8%,55.6%,44.4%,https://www.football-lab.jp/kobe/report/?year=2021&month=07&date=21
H,柏,L,1,2,0.604,1.354,6,13,2,5,0,0,753,375,11,17,16,7,0,0,1,4,21,17,8,9,17,21,17,21,3,2,0,0,1,2,0,0,25,37,9,15,"109,028m","111,214m",113,116,112,104,5.4%,12.5%,65.3%,34.7%,https://www.football-lab.jp/kobe/report/?year=2021&month=08&date=09
H,鹿島,W,1,0,1.389,1.158,11,16,3,6,0,0,506,484,9,14,15,6,0,5,2,6,17,18,8,7,15,14,23,11,3,1,4,0,0,2,0,0,29,51,7,14,"110,449m","111,624m",127,142,117,116,9.4%,13.8%,51.1%,48.9%,https://www.football-lab.jp/kobe/report/?year=2021&month=08&date=21
A,大分,W,3,1,1.428,0.396,8,6,6,3,1,0,520,359,7,10,14,8,0,2,2,6,19,33,5,13,27,20,26,15,1,1,2,0,0,1,0,0,36,20,9,8,"112,087m","113,085m",159,182,101,112,7.9%,5.4%,57.5%,42.5%,https://www.football-lab.jp/kobe/report/?year=2021&month=08&date=25
H,FC東京,L,0,1,0.8,0.809,12,10,4,3,0,0,756,374,23,10,4,12,0,0,4,3,14,17,12,11,27,12,17,22,0,2,0,0,1,0,0,0,67,29,18,9,"108,133m","107,280m",110,123,94,108,12.8%,9.3%,64.6%,35.4%,https://www.football-lab.jp/kobe/report/?year=2021&month=08&date=28
A,広島,D,1,1,1.153,0.475,9,8,1,2,0,0,608,361,11,8,9,13,2,0,7,2,18,19,14,6,11,20,16,19,0,1,0,2,2,3,0,1,74,32,9,5,"113,276m","111,825m",161,125,103,96,8.7%,8.3%,62%,38%,https://www.football-lab.jp/kobe/report/?year=2021&month=09&date=05
H,札幌,W,1,0,0.493,0.972,6,15,5,4,0,0,409,683,4,14,5,7,1,2,5,3,11,24,4,12,10,17,21,9,1,1,2,1,0,0,0,0,17,60,6,12,"114,816m","111,857m",127,115,107,108,5.6%,13.9%,40.8%,59.2%,https://www.football-lab.jp/kobe/report/?year=2021&month=09&date=18
A,清水,W,2,0,0.326,0.666,6,8,2,2,0,0,586,425,16,21,8,15,0,3,3,3,19,25,7,19,26,16,25,21,0,4,3,0,0,0,0,0,37,42,9,10,"113,044m","113,054m",124,134,102,112,5.9%,7.1%,54.6%,45.4%,https://www.football-lab.jp/kobe/report/?year=2021&month=09&date=24
A,川崎Ｆ,L,1,3,1.454,2.385,13,11,5,5,0,2,449,496,13,18,6,14,2,1,2,4,10,23,14,18,18,15,21,16,3,4,1,2,1,0,0,0,36,50,9,17,"109,309m","106,004m",146,145,90,111,14.4%,9.9%,49.8%,50.2%,https://www.football-lab.jp/kobe/report/?year=2021&month=09&date=29
H,浦和,W,5,1,0.863,2.016,9,18,7,4,0,0,384,487,12,12,20,16,0,2,2,6,15,29,10,20,29,20,22,7,4,1,2,0,2,0,0,0,19,48,13,18,"113,565m","109,865m",159,136,113,123,8.0%,14.6%,46.8%,53.2%,https://www.football-lab.jp/kobe/report/?year=2021&month=10&date=02
H,福岡,W,1,0,0.815,0.249,12,5,4,2,0,0,648,297,16,16,14,12,1,0,5,2,22,27,12,4,9,14,19,20,0,1,0,1,2,2,0,0,66,23,8,9,"107,214m","107,428m",113,125,106,102,11.3%,4.9%,67.6%,32.4%,https://www.football-lab.jp/kobe/report/?year=2021&month=10&date=16
A,名古屋,D,2,2,2.359,1.76,18,12,8,6,1,0,538,333,14,10,9,18,1,1,9,0,23,16,14,7,19,12,18,28,1,2,0,2,3,0,0,0,43,26,12,7,"110,729m","111,154m",156,135,107,100,16.8%,12.0%,60.7%,39.3%,https://www.football-lab.jp/kobe/report/?year=2021&month=10&date=24
H,仙台,W,4,2,3.513,0.892,18,7,9,3,0,0,672,327,16,13,11,6,1,0,3,4,24,20,15,12,26,22,17,22,0,1,0,1,0,2,0,1,53,24,20,7,"113,257m","109,730m",136,129,107,102,16.8%,6.9%,62.9%,37.1%,https://www.football-lab.jp/kobe/report/?year=2021&month=11&date=03
H,徳島,W,1,0,1.578,1.107,10,7,1,2,0,0,580,458,15,17,8,6,0,1,1,7,18,21,14,13,29,25,21,17,0,0,1,0,0,0,0,0,37,40,9,8,"116,151m","116,930m",164,172,120,125,8.3%,5.6%,54.5%,45.5%,https://www.football-lab.jp/kobe/report/?year=2021&month=11&date=06
A,横浜FC,W,2,0,1.273,0.499,6,9,2,3,1,0,438,477,8,11,12,16,0,6,4,2,24,28,16,17,36,34,19,12,3,0,7,0,1,0,0,0,15,34,10,7,"120,740m","119,699m",219,157,131,135,4.6%,6.7%,47.6%,52.4%,https://www.football-lab.jp/kobe/report/?year=2021&month=11&date=20
H,横浜FM,L,0,2,1.106,0.625,15,8,5,4,0,0,554,421,19,13,13,18,0,5,11,5,21,31,19,8,27,14,16,22,5,4,5,0,5,0,0,0,37,30,19,8,"113,781m","115,816m",171,212,136,144,11.0%,5.6%,56.4%,43.6%,https://www.football-lab.jp/kobe/report/?year=2021&month=11&date=27
A,鳥栖,W,2,0,1.555,1.986,14,15,6,2,0,0,619,451,13,16,16,10,2,3,3,3,16,15,8,12,22,24,13,16,1,1,3,2,0,1,0,0,42,39,8,7,"120,920m","126,498m",164,176,122,118,11.5%,12.7%,56.7%,43.3%,https://www.football-lab.jp/kobe/report/?year=2021&month=12&date=04
