HOME/AWAY,Opponent,勝敗,y-fm_得点,y-fm_失点,Opponent_ゴール期待値,y-fm_ゴール期待値,Opponent_シュート,y-fm_シュート,Opponent_枠内シュート,y-fm_枠内シュート,Opponent_PKによるシュート,y-fm_PKによるシュート,Opponent_パス,y-fm_パス,Opponent_クロス,y-fm_クロス,Opponent_直接ＦＫ,y-fm_直接ＦＫ,Opponent_間接ＦＫ,y-fm_間接ＦＫ,Opponent_ＣＫ,y-fm_ＣＫ,Opponent_スローイン,y-fm_スローイン,Opponent_ドリブル,y-fm_ドリブル,Opponent_タックル,y-fm_タックル,Opponent_クリア,y-fm_クリア,Opponent_インターセプト,y-fm_インターセプト,Opponent_オフサイド,y-fm_オフサイド,Opponent_警告,y-fm_警告,Opponent_退場,y-fm_退場,Opponent_３０ｍライン進入,y-fm_３０ｍライン進入,Opponent_ペナルティエリア進入,y-fm_ペナルティエリア進入,Opponent_総移動距離,y-fm_総移動距離,Opponent_スプリント,y-fm_スプリント,Opponent_攻撃回数,y-fm_攻撃回数,Opponent_チャンス構築率,y-fm_チャンス構築率,Opponent_ボール保持率,y-fm_ボール保持率,URL
A,FC東京,W,3,0,0.922,2.684,14,17,4,8,0,0,401,623,10,13,16,5,2,1,8,3,28,22,15,8,19,23,14,25,1,4,1,2,2,0,0,0,32,56,11,16,"117,713m","121,370m",215,212,136,123,10.3%,13.8%,43.7%,56.3%,https://www.football-lab.jp/y-fm/report/?year=2021&month=05&date=01
H,神戸,W,2,0,0.699,1.602,7,15,1,7,0,0,480,650,3,20,12,12,0,2,0,4,33,27,6,7,25,29,20,11,3,3,2,0,0,0,0,0,20,54,4,13,"116,296m","118,366m",185,198,126,120,5.6%,12.5%,45.5%,54.5%,https://www.football-lab.jp/y-fm/report/?year=2021&month=05&date=09
A,鹿島,L,3,5,2.493,2.61,11,16,6,6,1,0,311,488,11,18,15,17,5,5,5,4,26,19,4,11,29,20,17,15,2,2,5,5,2,2,1,0,32,38,11,11,"119,121m","113,721m",217,244,131,132,8.4%,12.1%,43.7%,56.3%,https://www.football-lab.jp/y-fm/report/?year=2021&month=05&date=15
H,柏,D,1,1,1.754,0.674,14,11,4,3,0,0,326,777,7,20,13,13,2,3,4,3,18,26,8,10,22,15,21,21,3,3,3,2,1,3,0,0,27,58,8,11,"119,329m","123,237m",169,224,120,127,11.7%,8.7%,35.4%,64.6%,https://www.football-lab.jp/y-fm/report/?year=2021&month=05&date=22
A,大分,W,1,0,0.146,1.211,3,18,1,8,0,0,322,937,3,32,7,6,1,3,1,7,25,35,5,5,15,15,35,11,3,3,3,2,1,1,0,0,10,98,2,25,"129,777m","125,820m",194,197,121,131,2.5%,13.7%,31.1%,68.9%,https://www.football-lab.jp/y-fm/report/?year=2021&month=05&date=26
H,清水,W,2,1,1.559,2.597,7,22,2,6,0,0,265,777,8,31,10,9,1,5,2,7,18,31,6,10,22,16,36,6,1,0,5,1,0,2,0,0,19,70,6,18,"113,689m","116,004m",144,181,103,123,6.8%,17.9%,34.3%,65.7%,https://www.football-lab.jp/y-fm/report/?year=2021&month=05&date=30
H,鳥栖,W,2,0,0.797,2.105,9,23,4,9,0,0,399,735,7,21,9,16,3,3,3,6,27,28,9,10,18,21,11,12,0,0,3,3,2,1,0,0,18,57,8,23,"129,987m","126,184m",209,243,128,131,7.0%,17.6%,42.3%,57.7%,https://www.football-lab.jp/y-fm/report/?year=2021&month=06&date=23
A,徳島,W,1,0,0.277,1.944,3,15,1,3,0,0,425,678,3,19,8,12,2,2,3,9,21,26,5,9,18,14,20,11,1,2,2,2,0,0,0,0,18,59,1,20,"114,333m","119,438m",145,202,108,125,2.8%,12.0%,45.3%,54.7%,https://www.football-lab.jp/y-fm/report/?year=2021&month=06&date=27
A,柏,W,2,1,1.897,1.153,14,10,4,5,0,0,392,545,20,12,11,13,3,2,4,5,28,20,4,12,22,16,30,24,1,0,2,4,1,0,0,1,36,36,10,8,"112,471m","111,586m",171,201,119,122,11.8%,8.2%,47%,53%,https://www.football-lab.jp/y-fm/report/?year=2021&month=07&date=03
H,福岡,W,2,0,0.439,2.349,8,19,1,9,0,0,346,591,15,19,18,17,0,3,7,9,19,23,6,12,20,11,23,18,2,1,3,0,1,1,0,0,31,49,6,18,"119,136m","124,970m",213,211,122,132,6.6%,14.4%,43%,57%,https://www.football-lab.jp/y-fm/report/?year=2021&month=07&date=10
A,Ｇ大阪,W,3,2,3.012,1.565,20,19,9,7,1,0,498,564,15,21,11,7,5,6,2,4,19,11,6,7,16,14,12,16,2,2,6,5,1,2,0,0,35,55,19,18,"113,653m","117,463m",158,169,115,101,17.4%,18.8%,48.9%,51.1%,https://www.football-lab.jp/y-fm/report/?year=2021&month=08&date=06
A,清水,D,2,2,1.474,2.443,8,28,4,9,0,0,297,724,5,35,11,13,1,1,2,11,17,24,6,14,18,14,36,11,1,0,1,1,2,2,0,0,11,84,3,29,"114,615m","111,373m",137,162,97,111,8.2%,25.2%,35%,65%,https://www.football-lab.jp/y-fm/report/?year=2021&month=08&date=09
H,名古屋,W,2,0,0.382,1.988,9,13,5,4,0,1,364,583,10,18,20,14,2,6,4,4,24,28,15,15,18,15,11,14,3,3,6,2,2,3,0,1,20,46,8,11,"114,504m","115,714m",196,214,122,122,7.4%,10.7%,40.5%,59.5%,https://www.football-lab.jp/y-fm/report/?year=2021&month=08&date=12
H,大分,W,5,1,1.775,2.725,13,20,3,10,0,0,286,718,14,27,5,16,1,2,7,5,19,30,4,10,26,17,29,16,1,1,2,2,1,0,0,0,19,69,8,23,"128,655m","128,620m",227,266,124,135,10.5%,14.8%,34.3%,65.7%,https://www.football-lab.jp/y-fm/report/?year=2021&month=08&date=15
H,仙台,W,5,0,0.725,2.671,10,21,2,9,0,0,307,804,15,15,8,8,2,3,5,3,25,22,8,9,16,21,19,17,0,1,3,2,1,0,0,0,22,68,7,25,"127,074m","131,283m",213,246,126,117,7.9%,17.9%,35.1%,64.9%,https://www.football-lab.jp/y-fm/report/?year=2021&month=08&date=21
A,鳥栖,W,4,0,0.723,1.362,9,9,0,4,0,1,318,594,12,11,10,17,2,10,3,4,27,24,6,6,16,9,14,10,2,2,10,2,0,1,1,0,24,40,8,4,"112,969m","112,119m",173,164,114,112,7.9%,8.0%,41.2%,58.8%,https://www.football-lab.jp/y-fm/report/?year=2021&month=08&date=25
H,鹿島,L,0,2,0.46,0.567,4,8,3,2,0,0,280,784,8,24,10,17,6,7,3,4,17,27,4,4,18,13,29,10,3,2,7,5,0,1,0,0,15,71,6,10,"121,611m","119,309m",173,178,106,124,3.8%,6.5%,31.6%,68.4%,https://www.football-lab.jp/y-fm/report/?year=2021&month=08&date=28
A,広島,W,3,1,1.193,1.195,12,13,3,5,0,0,341,685,5,21,13,13,2,8,2,8,16,15,6,6,14,14,23,9,1,2,8,2,0,0,0,0,27,59,8,13,"118,997m","117,667m",184,218,112,116,10.7%,11.2%,39.3%,60.7%,https://www.football-lab.jp/y-fm/report/?year=2021&month=09&date=11
A,名古屋,L,1,2,1.31,2.235,9,22,3,8,0,0,240,747,8,24,14,13,3,2,2,7,19,22,12,12,18,15,28,16,1,3,2,3,2,3,0,0,14,87,7,17,"113,445m","112,605m",151,170,124,131,7.3%,16.8%,34.5%,65.5%,https://www.football-lab.jp/y-fm/report/?year=2021&month=09&date=18
A,横浜FC,D,2,2,1.381,1.728,13,15,6,4,0,1,250,568,9,17,12,19,1,4,5,2,22,12,11,5,15,16,21,21,2,1,4,1,3,3,0,1,23,45,8,18,"118,794m","115,540m",246,238,117,116,11.1%,12.9%,38.1%,61.9%,https://www.football-lab.jp/y-fm/report/?year=2021&month=09&date=25
A,湘南,W,1,0,0.655,0.919,9,5,3,1,0,0,371,669,13,15,10,18,1,4,5,4,28,32,7,6,20,15,19,22,2,1,4,1,0,1,0,0,31,37,13,4,"121,138m","120,855m",189,196,131,143,6.9%,3.5%,38.7%,61.3%,https://www.football-lab.jp/y-fm/report/?year=2021&month=10&date=01
H,札幌,W,2,1,2.216,2.419,21,19,8,7,0,0,395,531,9,23,15,13,0,4,9,4,14,14,13,4,12,19,21,17,6,3,4,0,1,2,0,0,42,41,15,13,"114,439m","117,654m",178,205,122,119,17.2%,16.0%,46.9%,53.1%,https://www.football-lab.jp/y-fm/report/?year=2021&month=10&date=16
A,Ｃ大阪,L,1,2,1.688,1.26,14,13,4,3,0,0,299,662,10,20,17,7,1,1,6,6,24,15,10,8,14,21,20,14,1,1,1,1,1,0,0,0,19,64,12,16,"111,556m","113,155m",144,174,122,113,11.5%,11.5%,36.2%,63.8%,https://www.football-lab.jp/y-fm/report/?year=2021&month=10&date=24
H,Ｇ大阪,L,0,1,0.897,1.908,7,26,1,4,0,0,226,725,9,39,4,10,0,1,4,11,20,32,7,14,20,9,42,14,3,0,1,0,4,0,0,0,12,78,6,27,"116,665m","116,860m",184,182,112,131,6.3%,19.8%,32.3%,67.7%,https://www.football-lab.jp/y-fm/report/?year=2021&month=11&date=03
H,FC東京,W,8,0,0.434,3.619,4,22,0,11,0,2,355,745,8,25,15,8,0,2,1,9,23,19,11,11,23,23,22,13,1,3,2,0,3,0,1,0,21,86,5,37,"111,328m","122,507m",211,215,120,118,3.3%,18.6%,38.2%,61.8%,https://www.football-lab.jp/y-fm/report/?year=2021&month=11&date=06
A,浦和,L,1,2,0.632,1.7,5,18,3,3,0,0,243,763,6,24,10,18,1,4,1,11,14,26,4,7,20,11,46,7,6,3,4,1,2,1,0,0,14,91,7,16,"116,555m","119,270m",185,209,108,129,4.6%,14.0%,32.1%,67.9%,https://www.football-lab.jp/y-fm/report/?year=2021&month=11&date=20
A,神戸,W,2,0,1.106,0.625,15,8,5,4,0,0,554,421,19,13,13,18,0,5,11,5,21,31,19,8,27,14,16,22,5,4,5,0,5,0,0,0,37,30,19,8,"113,781m","115,816m",171,212,136,144,11.0%,5.6%,56.4%,43.6%,https://www.football-lab.jp/y-fm/report/?year=2021&month=11&date=27
H,川崎Ｆ,D,1,1,1.448,2.114,12,20,4,4,0,0,399,694,18,23,7,7,1,3,3,6,20,26,12,10,28,12,21,13,3,1,3,1,0,1,0,0,40,67,19,12,"116,341m","119,481m",245,244,127,133,9.4%,15.0%,42.1%,57.9%,https://www.football-lab.jp/y-fm/report/?year=2021&month=12&date=04
