HOME/AWAY,Opponent,勝敗,kasm_得点,kasm_失点,kasm_ゴール期待値,Opponent_ゴール期待値,kasm_シュート,Opponent_シュート,kasm_枠内シュート,Opponent_枠内シュート,kasm_PKによるシュート,Opponent_PKによるシュート,kasm_パス,Opponent_パス,kasm_クロス,Opponent_クロス,kasm_直接ＦＫ,Opponent_直接ＦＫ,kasm_間接ＦＫ,Opponent_間接ＦＫ,kasm_ＣＫ,Opponent_ＣＫ,kasm_スローイン,Opponent_スローイン,kasm_ドリブル,Opponent_ドリブル,kasm_タックル,Opponent_タックル,kasm_クリア,Opponent_クリア,kasm_インターセプト,Opponent_インターセプト,kasm_オフサイド,Opponent_オフサイド,kasm_警告,Opponent_警告,kasm_退場,Opponent_退場,kasm_３０ｍライン進入,Opponent_３０ｍライン進入,kasm_ペナルティエリア進入,Opponent_ペナルティエリア進入,kasm_総移動距離,Opponent_総移動距離,kasm_スプリント,Opponent_スプリント,kasm_攻撃回数,Opponent_攻撃回数,kasm_チャンス構築率,Opponent_チャンス構築率,kasm_ボール保持率,Opponent_ボール保持率,URL
A,横浜FC,W,3,0,2.94,0.765,16,7,9,0,1,0,422,401,9,15,12,9,3,2,4,3,25,29,11,12,24,15,17,18,1,0,2,2,0,1,0,0,37,29,13,7,"116,801m","113,793m",165,156,122,120,13.1%,5.8%,48.7%,51.3%,https://www.football-lab.jp/kasm/report/?year=2021&month=05&date=01
H,FC東京,W,3,0,2.303,0.233,20,2,6,0,0,0,598,294,17,7,10,14,1,2,12,1,29,18,6,3,16,10,11,33,1,2,2,1,0,0,0,0,64,15,18,3,"113,818m","108,942m",163,161,124,112,16.1%,1.8%,62.7%,37.3%,https://www.football-lab.jp/kasm/report/?year=2021&month=05&date=09
A,名古屋,W,2,0,1.328,0.197,12,3,4,0,0,0,470,495,11,7,8,16,3,2,7,3,25,28,10,15,28,18,22,18,0,1,1,3,0,1,0,0,41,21,10,2,"123,757m","120,776m",228,174,138,138,8.7%,2.2%,50.4%,49.6%,https://www.football-lab.jp/kasm/report/?year=2021&month=05&date=12
H,横浜FM,W,5,3,2.493,2.61,11,16,6,6,1,0,311,488,11,18,15,17,5,5,5,4,26,19,4,11,29,20,17,15,2,2,5,5,2,2,1,0,32,38,11,11,"119,121m","113,721m",217,244,131,132,8.4%,12.1%,43.7%,56.3%,https://www.football-lab.jp/kasm/report/?year=2021&month=05&date=15
A,鳥栖,L,1,2,0.778,0.704,8,11,1,4,0,0,363,534,11,18,9,10,10,2,3,9,22,29,3,13,14,14,28,21,0,1,2,10,0,2,0,0,17,34,11,9,"121,585m","122,826m",203,191,118,131,6.8%,8.4%,40.9%,59.1%,https://www.football-lab.jp/kasm/report/?year=2021&month=05&date=22
H,Ｃ大阪,W,1,0,1.073,0.901,15,12,5,6,0,0,498,356,11,6,7,13,1,2,5,4,33,25,12,3,13,21,15,21,4,2,2,1,1,1,0,0,53,16,10,8,"117,290m","114,316m",233,195,135,125,11.1%,9.6%,55.1%,44.9%,https://www.football-lab.jp/kasm/report/?year=2021&month=05&date=26
A,川崎Ｆ,L,1,2,0.695,1.329,7,12,2,4,0,0,371,605,7,17,10,8,4,2,6,4,26,29,4,18,23,15,18,15,1,3,2,4,1,1,0,0,31,56,10,18,"118,775m","113,105m",223,214,135,129,5.2%,9.3%,42.1%,57.9%,https://www.football-lab.jp/kasm/report/?year=2021&month=05&date=30
H,仙台,D,1,1,1.929,1.013,23,6,9,3,0,0,579,300,30,5,8,4,1,1,10,2,35,23,21,9,15,30,14,51,2,3,1,1,2,1,0,0,65,15,15,3,"117,473m","118,469m",194,186,143,131,16.1%,4.6%,60.8%,39.2%,https://www.football-lab.jp/kasm/report/?year=2021&month=06&date=20
A,大分,D,0,0,0.806,0.194,7,1,0,0,0,0,495,474,18,11,7,9,3,0,4,1,42,33,16,8,27,34,15,32,2,1,0,3,1,0,0,0,47,13,10,3,"120,031m","121,390m",217,187,132,140,5.3%,0.7%,51.3%,48.7%,https://www.football-lab.jp/kasm/report/?year=2021&month=06&date=23
H,札幌,W,4,0,1.476,1.513,14,13,7,3,0,0,279,565,9,21,6,9,4,0,6,11,21,23,6,16,21,12,28,19,0,3,0,4,0,0,0,0,17,43,12,10,"115,838m","110,991m",174,159,112,121,12.5%,10.7%,37.3%,62.7%,https://www.football-lab.jp/kasm/report/?year=2021&month=06&date=27
A,柏,L,1,2,1.028,1.353,12,16,3,2,0,0,523,311,23,16,10,12,5,1,4,3,28,26,7,5,14,19,16,26,0,4,1,4,3,2,0,0,45,31,12,12,"114,086m","111,809m",186,173,129,123,9.3%,13.0%,59%,41%,https://www.football-lab.jp/kasm/report/?year=2021&month=07&date=11
A,Ｇ大阪,W,1,0,2.029,0.652,22,8,9,1,0,0,464,429,19,13,17,11,0,4,5,2,27,24,6,8,11,13,16,35,2,2,4,0,0,1,0,0,50,23,22,8,"112,072m","108,707m",164,124,110,103,20.0%,7.8%,52.1%,47.9%,https://www.football-lab.jp/kasm/report/?year=2021&month=07&date=24
A,湘南,W,2,1,1,0.624,13,8,3,3,0,0,523,277,22,10,11,9,1,0,8,3,26,20,14,6,14,20,11,23,2,1,0,1,2,0,0,0,54,25,11,4,"109,329m","109,034m",194,196,128,119,10.2%,6.7%,61.5%,38.5%,https://www.football-lab.jp/kasm/report/?year=2021&month=08&date=09
H,徳島,W,3,0,2.578,0.388,25,5,5,1,0,0,360,538,13,2,7,10,6,2,8,2,21,23,8,5,16,20,16,24,4,3,2,6,0,2,0,0,34,23,14,4,"113,887m","108,103m",159,127,100,99,25.0%,5.1%,37.9%,62.1%,https://www.football-lab.jp/kasm/report/?year=2021&month=08&date=15
A,神戸,L,0,1,1.158,1.389,16,11,6,3,0,0,484,506,14,9,6,15,5,0,6,2,18,17,7,8,14,15,11,23,1,3,0,4,2,0,0,0,51,29,14,7,"111,624m","110,449m",142,127,116,117,13.8%,9.4%,48.9%,51.1%,https://www.football-lab.jp/kasm/report/?year=2021&month=08&date=21
A,清水,W,4,0,1.42,1.312,17,9,11,3,0,0,410,432,9,23,8,8,0,2,1,10,23,30,5,11,26,23,27,9,0,1,1,0,0,2,0,0,35,37,8,11,"111,943m","112,548m",158,150,106,121,16.0%,7.4%,47.3%,52.7%,https://www.football-lab.jp/kasm/report/?year=2021&month=08&date=25
A,横浜FM,W,2,0,0.46,0.567,4,8,3,2,0,0,280,784,8,24,10,17,6,7,3,4,17,27,4,4,18,13,29,10,3,2,7,5,0,1,0,0,15,71,6,10,"121,611m","119,309m",173,178,106,124,3.8%,6.5%,31.6%,68.4%,https://www.football-lab.jp/kasm/report/?year=2021&month=08&date=28
H,福岡,L,0,3,1.06,1.814,17,10,5,5,0,1,500,241,16,15,17,10,2,2,5,4,26,22,6,7,13,26,22,37,1,1,2,2,1,2,0,0,44,25,12,11,"107,429m","107,689m",133,152,131,119,13.0%,8.4%,61%,39%,https://www.football-lab.jp/kasm/report/?year=2021&month=09&date=11
H,Ｇ大阪,W,3,1,2.72,1.008,25,5,9,1,0,1,487,330,12,6,11,5,2,5,3,3,26,21,11,8,13,17,17,18,1,1,4,2,1,2,0,0,41,23,18,3,"112,154m","109,716m",204,184,120,121,20.8%,4.1%,55.2%,44.8%,https://www.football-lab.jp/kasm/report/?year=2021&month=09&date=18
H,川崎Ｆ,L,1,2,0.849,0.9,10,10,3,4,0,0,344,475,14,12,14,13,3,3,0,1,27,28,11,15,29,18,16,15,2,0,3,3,1,0,0,0,34,48,14,9,"109,223m","102,342m",173,150,119,132,8.4%,7.6%,45.2%,54.8%,https://www.football-lab.jp/kasm/report/?year=2021&month=09&date=22
A,Ｃ大阪,W,2,1,1.691,1.151,15,10,5,3,1,0,396,366,16,16,10,20,4,4,7,4,16,22,16,12,23,15,12,16,2,1,4,4,1,1,0,0,51,25,10,6,"107,808m","107,404m",183,177,129,128,11.6%,7.8%,50.4%,49.6%,https://www.football-lab.jp/kasm/report/?year=2021&month=09&date=26
H,横浜FC,L,1,2,1.529,0.795,13,6,5,4,0,0,445,224,21,9,17,14,2,3,9,4,23,20,10,13,18,19,13,40,0,0,3,2,2,3,0,0,46,20,13,6,"107,300m","107,035m",205,171,124,116,10.5%,5.2%,56.7%,43.3%,https://www.football-lab.jp/kasm/report/?year=2021&month=10&date=02
A,FC東京,W,2,1,2.644,1.169,15,10,6,4,0,0,312,526,10,15,11,10,2,1,3,8,34,24,10,17,24,17,35,21,1,0,1,2,0,2,0,0,27,33,13,12,"111,111m","110,587m",217,221,130,134,11.5%,7.5%,40.8%,59.2%,https://www.football-lab.jp/kasm/report/?year=2021&month=10&date=23
A,広島,W,4,1,2.255,1.609,13,12,5,7,1,0,349,634,16,18,13,13,1,2,3,4,17,25,8,8,27,7,17,15,2,1,2,1,1,3,0,0,28,46,13,17,"122,751m","118,459m",223,201,122,121,10.7%,9.9%,40.3%,59.7%,https://www.football-lab.jp/kasm/report/?year=2021&month=11&date=03
H,浦和,W,1,0,1.852,1.024,19,8,7,1,0,0,414,564,13,14,11,11,2,2,5,3,19,25,15,3,13,20,17,28,3,1,2,2,2,1,0,0,48,28,10,5,"116,397m","112,392m",212,200,121,117,15.7%,6.8%,43.5%,56.5%,https://www.football-lab.jp/kasm/report/?year=2021&month=11&date=07
H,大分,D,0,0,1.887,0.191,20,2,5,0,0,0,517,367,26,9,12,9,0,2,12,1,38,26,21,7,14,22,13,45,3,2,2,0,1,1,0,0,58,15,16,4,"114,783m","115,032m",187,168,135,119,14.8%,1.7%,56.6%,43.4%,https://www.football-lab.jp/kasm/report/?year=2021&month=11&date=20
H,鳥栖,W,1,0,1.91,0.612,20,6,6,3,0,0,491,436,11,11,11,10,2,1,9,2,16,26,9,12,22,21,11,15,2,2,1,2,2,0,0,0,43,29,12,6,"117,167m","121,267m",211,201,124,120,16.1%,5.0%,52%,48%,https://www.football-lab.jp/kasm/report/?year=2021&month=11&date=27
A,仙台,W,1,0,1.28,0.874,16,11,3,0,0,0,495,351,14,13,9,15,2,2,5,3,26,30,8,10,23,18,24,24,1,2,2,2,3,0,0,0,53,32,17,9,"112,437m","111,686m",202,200,122,122,13.1%,9.0%,56.4%,43.6%,https://www.football-lab.jp/kasm/report/?year=2021&month=12&date=04
