HOME/AWAY,Opponent,勝敗,shim_得点,shim_失点,Opponent_ゴール期待値,shim_ゴール期待値,Opponent_シュート,shim_シュート,Opponent_枠内シュート,shim_枠内シュート,Opponent_PKによるシュート,shim_PKによるシュート,Opponent_パス,shim_パス,Opponent_クロス,shim_クロス,Opponent_直接ＦＫ,shim_直接ＦＫ,Opponent_間接ＦＫ,shim_間接ＦＫ,Opponent_ＣＫ,shim_ＣＫ,Opponent_スローイン,shim_スローイン,Opponent_ドリブル,shim_ドリブル,Opponent_タックル,shim_タックル,Opponent_クリア,shim_クリア,Opponent_インターセプト,shim_インターセプト,Opponent_オフサイド,shim_オフサイド,Opponent_警告,shim_警告,Opponent_退場,shim_退場,Opponent_３０ｍライン進入,shim_３０ｍライン進入,Opponent_ペナルティエリア進入,shim_ペナルティエリア進入,Opponent_総移動距離,shim_総移動距離,Opponent_スプリント,shim_スプリント,Opponent_攻撃回数,shim_攻撃回数,Opponent_チャンス構築率,shim_チャンス構築率,Opponent_ボール保持率,shim_ボール保持率,URL
A,横浜FM,W,3,2,1.189,0.921,16,14,8,5,0,0,582,434,12,15,12,15,0,1,6,3,25,19,10,11,19,23,15,22,4,5,1,0,2,2,0,0,48,34,8,16,"126,260m","126,384m",132,128,131,120,12.2%,11.7%,55.3%,44.7%,https://www.football-lab.jp/shim/report/?year=2025&month=04&date=16
H,福岡,W,3,1,1.871,0.728,14,7,3,4,1,0,457,252,21,5,10,16,3,1,2,2,23,27,16,8,22,13,5,36,2,1,1,3,1,3,0,0,46,15,14,4,"114,565m","112,616m",113,119,107,108,13.1%,6.5%,60.6%,39.4%,https://www.football-lab.jp/shim/report/?year=2025&month=04&date=20
A,FC東京,W,2,0,0.771,1.046,10,5,5,2,0,1,472,389,17,12,10,21,2,0,4,1,22,23,15,11,17,8,17,26,1,1,0,2,1,0,0,0,38,26,19,13,"110,465m","112,728m",134,149,113,128,8.8%,3.9%,52.7%,47.3%,https://www.football-lab.jp/shim/report/?year=2025&month=04&date=29
H,名古屋,L,0,3,0.894,1.018,11,9,4,0,0,0,407,446,13,13,17,11,1,1,3,6,22,17,9,15,23,14,28,23,1,3,1,1,1,1,0,0,30,30,13,11,"114,631m","111,000m",131,122,118,115,9.3%,7.8%,51.6%,48.4%,https://www.football-lab.jp/shim/report/?year=2025&month=05&date=03
A,柏,L,0,1,0.934,1.639,9,17,1,1,0,0,580,388,14,15,7,13,1,1,6,9,23,34,7,12,26,12,42,23,0,0,1,1,2,1,0,0,33,37,9,18,"125,554m","122,591m",137,135,121,131,7.4%,13.0%,60.1%,39.9%,https://www.football-lab.jp/shim/report/?year=2025&month=05&date=06
H,町田,D,2,2,0.777,2.195,10,14,4,4,0,1,364,558,18,14,8,16,2,0,3,2,17,27,6,15,28,14,21,17,2,1,0,2,0,0,0,0,32,31,12,14,"118,311m","115,356m",116,117,110,128,9.1%,10.9%,41.1%,58.9%,https://www.football-lab.jp/shim/report/?year=2025&month=05&date=11
A,鹿島,L,0,1,0.775,1.476,11,17,2,1,0,0,433,550,5,22,11,9,2,1,1,4,23,29,8,21,22,13,26,10,1,3,1,2,1,1,0,0,25,43,8,17,"115,203m","113,892m",118,110,107,111,10.3%,15.3%,45.1%,54.9%,https://www.football-lab.jp/shim/report/?year=2025&month=05&date=17
H,神戸,W,3,2,2.282,1.721,18,12,5,6,0,0,401,320,23,14,10,8,3,2,4,9,39,19,10,10,20,14,27,31,4,1,2,3,2,2,0,0,38,32,13,10,"108,756m","109,642m",96,106,128,125,14.1%,9.6%,53.8%,46.2%,https://www.football-lab.jp/shim/report/?year=2025&month=05&date=25
A,Ｃ大阪,L,2,4,2.667,1.904,21,15,9,4,1,0,420,453,12,15,11,19,3,4,13,3,16,17,11,14,24,20,16,23,4,2,4,3,1,1,0,0,38,39,11,13,"121,868m","117,550m",151,130,116,114,18.1%,13.2%,47.4%,52.6%,https://www.football-lab.jp/shim/report/?year=2025&month=06&date=01
H,Ｇ大阪,D,0,0,0.927,1.317,16,16,6,8,0,0,577,406,19,18,11,8,1,0,7,1,13,22,15,16,17,13,17,29,1,1,0,1,1,2,0,0,68,40,24,17,"108,484m","113,554m",124,115,104,110,15.4%,14.5%,56.5%,43.5%,https://www.football-lab.jp/shim/report/?year=2025&month=06&date=15
A,名古屋,D,1,1,0.691,0.819,9,10,2,1,0,0,397,465,15,19,11,17,0,2,3,6,23,24,8,12,16,13,18,22,1,1,2,0,4,1,0,0,32,51,10,14,"114,873m","113,270m",134,122,110,118,8.2%,8.5%,46.8%,53.2%,https://www.football-lab.jp/shim/report/?year=2025&month=06&date=21
H,柏,L,0,2,1.664,2.68,16,14,5,3,0,1,479,416,10,15,12,10,1,2,5,6,15,25,19,24,25,21,30,11,0,1,2,1,2,2,0,0,42,36,17,7,"114,555m","111,768m",146,117,108,120,14.8%,11.7%,53.9%,46.1%,https://www.football-lab.jp/shim/report/?year=2025&month=06&date=28
A,町田,L,0,3,2.445,1.478,16,13,6,2,1,0,309,528,12,13,5,14,2,3,2,1,17,20,17,16,16,12,15,22,2,2,3,2,1,0,0,0,33,36,12,9,"116,671m","110,010m",115,106,106,114,15.1%,11.4%,39.9%,60.1%,https://www.football-lab.jp/shim/report/?year=2025&month=07&date=05
H,横浜FC,W,2,0,0.547,1.643,7,14,4,2,0,0,322,584,10,14,8,9,0,3,2,8,16,27,7,11,26,10,22,16,3,0,3,0,1,1,1,0,19,49,5,11,"100,677m","104,325m",105,89,104,116,6.7%,12.1%,38.7%,61.3%,https://www.football-lab.jp/shim/report/?year=2025&month=07&date=20
A,広島,D,0,0,1.819,0.971,14,14,3,2,0,0,337,451,14,11,13,18,1,1,3,5,22,16,7,16,26,12,20,23,2,4,1,1,0,2,0,0,26,41,14,8,"104,242m","105,357m",109,108,121,130,11.6%,10.8%,43.5%,56.5%,https://www.football-lab.jp/shim/report/?year=2025&month=08&date=10
H,横浜FM,L,1,3,1.711,1.389,17,17,6,6,0,0,321,587,12,23,10,19,0,2,4,6,9,24,11,17,17,9,35,14,2,0,2,0,5,2,0,0,32,42,11,18,"118,688m","112,233m",106,117,111,126,15.3%,13.5%,39.4%,60.6%,https://www.football-lab.jp/shim/report/?year=2025&month=08&date=16
A,福岡,D,0,0,1.019,0.673,15,6,6,1,0,0,482,344,16,18,9,15,0,1,6,7,18,18,10,9,13,11,27,24,3,1,1,0,1,3,0,1,54,27,18,13,"108,168m","103,859m",85,94,95,104,15.8%,5.8%,55.6%,44.4%,https://www.football-lab.jp/shim/report/?year=2025&month=08&date=23
H,鹿島,D,1,1,1.206,1.286,16,10,5,6,0,0,703,360,23,9,13,8,1,0,5,2,25,14,8,6,13,13,13,28,1,1,0,1,0,4,0,0,75,22,26,9,"106,560m","104,946m",88,95,106,91,15.1%,11.0%,62.3%,37.7%,https://www.football-lab.jp/shim/report/?year=2025&month=08&date=31
