HOME/AWAY,Opponent,勝敗,g-os_得点,g-os_失点,g-os_ゴール期待値,Opponent_ゴール期待値,g-os_シュート,Opponent_シュート,g-os_枠内シュート,Opponent_枠内シュート,g-os_PKによるシュート,Opponent_PKによるシュート,g-os_パス,Opponent_パス,g-os_クロス,Opponent_クロス,g-os_直接ＦＫ,Opponent_直接ＦＫ,g-os_間接ＦＫ,Opponent_間接ＦＫ,g-os_ＣＫ,Opponent_ＣＫ,g-os_スローイン,Opponent_スローイン,g-os_ドリブル,Opponent_ドリブル,g-os_タックル,Opponent_タックル,g-os_クリア,Opponent_クリア,g-os_インターセプト,Opponent_インターセプト,g-os_オフサイド,Opponent_オフサイド,g-os_警告,Opponent_警告,g-os_退場,Opponent_退場,g-os_３０ｍライン進入,Opponent_３０ｍライン進入,g-os_ペナルティエリア進入,Opponent_ペナルティエリア進入,g-os_総移動距離,Opponent_総移動距離,g-os_スプリント,Opponent_スプリント,g-os_攻撃回数,Opponent_攻撃回数,g-os_チャンス構築率,Opponent_チャンス構築率,g-os_ボール保持率,Opponent_ボール保持率,URL
A,横浜FC,D,1,1,0.259,1.067,5,11,2,3,0,0,481,348,7,18,14,17,1,2,2,4,20,26,3,7,24,15,27,16,0,0,2,1,1,4,0,0,32,30,7,11,"107,557m","110,250m",114,134,119,127,4.2%,8.7%,54.1%,45.9%,https://www.football-lab.jp/g-os/report/?year=2025&month=04&date=20
A,FC東京,L,0,3,0.946,1.056,13,12,1,10,0,0,495,329,15,8,13,13,0,1,4,2,21,17,12,12,14,27,23,34,0,2,1,0,0,1,0,0,39,34,13,13,"113,503m","116,712m",125,165,121,110,10.7%,10.9%,57.2%,42.8%,https://www.football-lab.jp/g-os/report/?year=2025&month=04&date=25
H,京都,W,2,1,0.939,1.789,10,13,3,2,0,0,321,479,11,22,17,15,0,1,7,4,19,28,14,10,24,20,37,13,1,2,1,0,3,0,0,0,30,35,12,12,"109,250m","115,992m",116,140,129,134,7.8%,9.7%,43.7%,56.3%,https://www.football-lab.jp/g-os/report/?year=2025&month=04&date=29
H,湘南,W,4,0,1.951,1.957,14,17,6,5,0,0,344,665,7,19,10,11,1,1,2,5,12,22,9,14,21,18,29,11,3,2,1,1,2,1,0,0,25,56,14,15,"118,709m","117,692m",117,127,99,119,14.1%,14.3%,38.3%,61.7%,https://www.football-lab.jp/g-os/report/?year=2025&month=05&date=03
A,浦和,W,1,0,1.473,1.066,12,12,4,0,0,0,388,612,13,12,4,8,0,1,6,5,25,11,10,13,18,9,25,15,2,1,1,0,0,1,0,0,22,49,12,18,"113,862m","115,859m",124,135,111,103,10.8%,11.7%,40.1%,59.9%,https://www.football-lab.jp/g-os/report/?year=2025&month=05&date=06
H,広島,L,0,1,0.856,1.641,11,14,5,3,0,0,375,579,7,20,11,7,1,1,3,3,17,18,7,9,17,11,19,22,1,1,1,1,0,1,1,0,28,53,6,21,"103,282m","107,760m",111,105,104,105,10.6%,13.3%,43.5%,56.5%,https://www.football-lab.jp/g-os/report/?year=2025&month=05&date=11
A,神戸,L,2,3,0.686,1.8,11,14,5,8,0,0,393,473,7,19,4,10,2,1,1,8,30,21,8,11,20,22,37,18,2,5,1,2,0,1,0,0,41,43,11,18,"108,191m","115,398m",93,112,125,141,8.8%,9.9%,46.7%,53.3%,https://www.football-lab.jp/g-os/report/?year=2025&month=05&date=17
A,川崎Ｆ,D,2,2,0.769,1.292,10,12,3,3,0,0,421,494,15,16,6,12,3,3,4,3,16,23,15,18,29,16,21,15,3,1,2,3,3,1,0,0,38,42,8,17,"105,750m","108,088m",129,131,100,110,10.0%,10.9%,46.5%,53.5%,https://www.football-lab.jp/g-os/report/?year=2025&month=05&date=25
H,鹿島,L,0,1,2.013,0.593,21,6,1,1,0,0,543,409,20,14,8,5,1,2,10,3,34,13,13,12,17,14,16,40,2,5,2,1,0,0,0,0,52,28,20,8,"114,853m","118,444m",156,159,117,99,17.9%,6.1%,56.6%,43.4%,https://www.football-lab.jp/g-os/report/?year=2025&month=05&date=31
A,清水,D,0,0,0.927,1.317,16,16,6,8,0,0,577,406,19,18,11,8,1,0,7,1,13,22,15,16,17,13,17,29,1,1,0,1,1,2,0,0,68,40,24,17,"108,484m","113,554m",124,115,104,110,15.4%,14.5%,56.5%,43.5%,https://www.football-lab.jp/g-os/report/?year=2025&month=06&date=15
H,FC東京,W,2,0,1.135,1.532,17,10,6,4,0,1,326,436,10,10,12,9,1,3,5,1,17,27,9,19,34,13,17,19,0,3,3,1,1,2,0,0,26,28,13,11,"104,132m","105,377m",117,110,106,104,16.0%,9.6%,46.9%,53.1%,https://www.football-lab.jp/g-os/report/?year=2025&month=06&date=22
A,京都,L,1,3,0.423,1.288,5,13,3,6,0,0,510,353,18,16,10,11,2,1,2,4,21,23,16,12,19,19,18,28,0,5,1,2,2,1,0,0,52,33,21,16,"107,343m","117,945m",95,117,115,121,4.3%,10.7%,56.6%,43.4%,https://www.football-lab.jp/g-os/report/?year=2025&month=06&date=28
A,Ｃ大阪,W,1,0,1.759,1.996,14,19,3,5,0,0,303,507,10,22,8,14,2,2,7,5,22,23,10,10,12,18,32,12,0,2,2,2,3,0,0,0,25,51,7,18,"107,730m","110,081m",94,106,99,92,14.1%,20.7%,42%,58%,https://www.football-lab.jp/g-os/report/?year=2025&month=07&date=05
H,川崎Ｆ,W,2,1,1.762,1.447,18,14,4,6,0,0,501,387,11,12,8,10,1,0,9,8,18,20,7,4,11,18,22,16,1,2,0,1,2,0,0,0,46,37,19,13,"106,012m","106,084m",99,107,93,100,19.4%,14.0%,57.5%,42.5%,https://www.football-lab.jp/g-os/report/?year=2025&month=07&date=20
H,岡山,L,0,3,1.556,0.794,18,11,1,5,0,0,721,257,11,8,10,10,2,2,8,1,27,19,14,5,15,19,16,35,1,3,2,2,1,2,0,0,55,15,22,11,"106,028m","116,059m",73,87,116,95,15.5%,11.6%,68.8%,31.2%,https://www.football-lab.jp/g-os/report/?year=2025&month=08&date=10
A,広島,L,0,1,0.098,0.971,3,12,0,4,0,0,434,368,8,16,15,13,3,2,3,8,9,21,2,3,8,13,18,11,0,2,2,3,4,0,1,0,27,41,5,20,"99,108m","102,779m",77,100,97,95,3.1%,12.6%,55.6%,44.4%,https://www.football-lab.jp/g-os/report/?year=2025&month=08&date=16
A,町田,L,1,3,1.352,2.743,15,12,7,6,0,1,455,417,11,12,10,8,3,3,3,5,19,23,13,11,17,19,19,21,0,1,3,3,0,1,0,0,43,40,13,10,"113,155m","120,819m",121,130,116,122,12.9%,9.8%,51%,49%,https://www.football-lab.jp/g-os/report/?year=2025&month=08&date=20
H,横浜FC,W,3,2,2.127,1.392,15,14,5,6,1,0,529,300,12,15,8,7,1,1,3,5,22,16,15,14,13,11,26,16,1,3,1,1,1,1,0,0,42,37,12,11,"103,586m","104,389m",84,89,104,93,14.4%,15.1%,61.1%,38.9%,https://www.football-lab.jp/g-os/report/?year=2025&month=08&date=23
A,湘南,W,5,4,3.453,1.175,23,10,13,6,0,0,597,281,26,9,10,8,1,1,9,5,22,19,13,11,13,10,12,33,2,0,1,1,1,1,0,1,61,21,17,9,"112,093m","114,457m",116,122,116,99,19.8%,10.1%,61.1%,38.9%,https://www.football-lab.jp/g-os/report/?year=2025&month=08&date=31
