HOME/AWAY,Opponent,勝敗,y-fm_得点,y-fm_失点,y-fm_ゴール期待値,Opponent_ゴール期待値,y-fm_シュート,Opponent_シュート,y-fm_枠内シュート,Opponent_枠内シュート,y-fm_PKによるシュート,Opponent_PKによるシュート,y-fm_パス,Opponent_パス,y-fm_クロス,Opponent_クロス,y-fm_直接ＦＫ,Opponent_直接ＦＫ,y-fm_間接ＦＫ,Opponent_間接ＦＫ,y-fm_ＣＫ,Opponent_ＣＫ,y-fm_スローイン,Opponent_スローイン,y-fm_ドリブル,Opponent_ドリブル,y-fm_タックル,Opponent_タックル,y-fm_クリア,Opponent_クリア,y-fm_インターセプト,Opponent_インターセプト,y-fm_オフサイド,Opponent_オフサイド,y-fm_警告,Opponent_警告,y-fm_退場,Opponent_退場,y-fm_３０ｍライン進入,Opponent_３０ｍライン進入,y-fm_ペナルティエリア進入,Opponent_ペナルティエリア進入,y-fm_総移動距離,Opponent_総移動距離,y-fm_スプリント,Opponent_スプリント,y-fm_攻撃回数,Opponent_攻撃回数,y-fm_チャンス構築率,Opponent_チャンス構築率,y-fm_ボール保持率,Opponent_ボール保持率,URL
A,Ｃ大阪,L,0,1,1.528,1.201,16,14,1,2,0,0,518,525,24,16,13,13,3,4,12,3,18,11,13,10,15,13,18,35,0,3,4,3,2,2,0,0,51,31,11,13,"120,759m","119,682m",124,142,113,96,14.2%,14.6%,47.2%,52.8%,https://www.football-lab.jp/y-fm/report/?year=2025&month=05&date=11
H,柏,L,0,2,0.773,2.083,10,22,1,5,0,0,543,554,21,17,7,8,4,2,9,3,22,22,12,13,14,16,13,26,1,1,2,4,2,0,0,0,43,50,13,19,"126,889m","128,419m",112,154,106,103,9.4%,21.4%,46.5%,53.5%,https://www.football-lab.jp/y-fm/report/?year=2025&month=05&date=14
H,京都,L,0,3,0.753,1.689,11,12,2,6,0,0,453,318,10,9,13,8,3,2,5,2,30,28,13,5,18,19,20,23,1,2,2,3,2,2,0,0,27,32,12,12,"105,051m","111,182m",113,153,122,112,9.0%,10.7%,56.2%,43.8%,https://www.football-lab.jp/y-fm/report/?year=2025&month=05&date=17
H,神戸,L,1,2,0.87,0.704,14,9,4,2,0,0,382,342,11,12,12,13,0,1,5,8,32,29,14,6,22,20,21,26,1,2,1,0,1,0,0,0,25,27,14,7,"113,008m","113,678m",112,119,124,127,11.3%,7.1%,52.9%,47.1%,https://www.football-lab.jp/y-fm/report/?year=2025&month=05&date=21
H,鹿島,W,3,1,0.872,1.267,9,15,5,6,0,0,209,594,6,21,11,14,3,1,4,10,17,28,7,17,22,13,43,19,0,0,1,3,2,2,0,0,14,46,7,16,"113,378m","110,073m",118,122,95,111,9.5%,13.5%,33.1%,66.9%,https://www.football-lab.jp/y-fm/report/?year=2025&month=05&date=25
A,町田,W,3,0,0.427,1.571,6,16,3,7,0,0,324,425,4,26,11,8,4,3,1,5,21,29,6,17,16,13,27,7,0,0,3,4,1,0,0,0,30,46,7,19,"118,019m","116,545m",119,127,127,128,4.7%,12.5%,50.1%,49.9%,https://www.football-lab.jp/y-fm/report/?year=2025&month=05&date=31
A,新潟,L,0,1,0.589,1.603,4,17,0,5,0,0,434,562,10,20,13,5,0,1,3,7,15,17,9,17,6,11,22,22,0,0,0,0,1,1,0,0,22,41,8,19,"107,047m","108,741m",84,113,84,84,4.8%,20.2%,41.9%,58.1%,https://www.football-lab.jp/y-fm/report/?year=2025&month=06&date=15
H,岡山,L,0,1,2.195,0.997,20,12,5,5,0,0,588,193,19,9,14,5,3,4,10,6,24,21,17,5,19,20,17,27,3,2,4,3,0,2,0,0,54,22,16,11,"108,364m","113,418m",111,133,111,100,18.0%,12.0%,66.6%,33.4%,https://www.football-lab.jp/y-fm/report/?year=2025&month=06&date=21
H,FC東京,L,0,3,0.561,2.555,8,17,2,7,0,0,518,305,16,12,14,14,2,0,6,9,17,18,9,8,13,14,16,19,0,5,0,2,2,0,0,0,29,34,13,16,"101,092m","106,473m",93,129,104,105,7.7%,16.2%,61.1%,38.9%,https://www.football-lab.jp/y-fm/report/?year=2025&month=06&date=25
A,湘南,D,1,1,1.03,0.79,14,11,4,3,0,0,448,376,12,15,12,14,1,1,4,5,25,16,11,11,9,19,12,26,1,1,1,1,2,1,0,0,45,38,13,11,"113,773m","115,221m",107,143,116,118,12.1%,9.3%,51.9%,48.1%,https://www.football-lab.jp/y-fm/report/?year=2025&month=06&date=28
A,横浜FC,W,1,0,1.229,0.517,7,12,1,1,1,0,322,332,5,20,11,11,3,0,2,7,13,19,6,18,16,14,42,9,0,1,0,3,2,3,0,0,26,41,5,13,"110,517m","109,629m",104,125,98,112,7.1%,10.7%,49.4%,50.6%,https://www.football-lab.jp/y-fm/report/?year=2025&month=07&date=05
H,名古屋,W,3,0,1.771,1.144,15,17,5,4,0,0,333,437,10,15,5,15,2,0,7,6,12,21,11,10,7,6,20,24,3,0,0,2,3,1,0,0,32,38,11,8,"109,833m","105,929m",112,114,92,110,16.3%,15.5%,47.9%,52.1%,https://www.football-lab.jp/y-fm/report/?year=2025&month=07&date=20
A,東京Ｖ,L,0,1,0.616,0.464,8,10,5,3,0,0,400,389,10,18,18,15,4,0,4,15,22,21,3,12,14,15,24,17,0,2,0,4,3,1,0,0,28,27,7,8,"109,203m","117,925m",110,146,101,110,7.9%,9.1%,47.3%,52.7%,https://www.football-lab.jp/y-fm/report/?year=2025&month=08&date=09
A,清水,W,3,1,1.711,1.389,17,17,6,6,0,0,321,587,12,23,10,19,0,2,4,6,9,24,11,17,17,9,35,14,2,0,2,0,5,2,0,0,32,42,11,18,"118,688m","112,233m",106,117,111,126,15.3%,13.5%,39.4%,60.6%,https://www.football-lab.jp/y-fm/report/?year=2025&month=08&date=16
H,町田,D,0,0,0.495,0.942,8,11,1,4,0,0,388,381,11,19,21,12,3,2,2,4,30,16,13,15,13,17,26,28,1,1,2,3,1,3,0,0,33,39,6,10,"113,089m","110,230m",112,90,109,95,7.3%,11.6%,49.2%,50.8%,https://www.football-lab.jp/y-fm/report/?year=2025&month=08&date=23
A,神戸,L,0,1,0.609,0.983,11,10,3,2,0,0,381,419,17,16,14,19,4,2,3,2,22,9,16,8,10,20,15,22,3,3,2,4,3,1,0,0,31,33,7,8,"111,067m","113,426m",107,135,123,110,8.9%,9.1%,48.6%,51.4%,https://www.football-lab.jp/y-fm/report/?year=2025&month=08&date=30
