HOME/AWAY,Opponent,勝敗,c-os_得点,c-os_失点,Opponent_ゴール期待値,c-os_ゴール期待値,Opponent_シュート,c-os_シュート,Opponent_枠内シュート,c-os_枠内シュート,Opponent_PKによるシュート,c-os_PKによるシュート,Opponent_パス,c-os_パス,Opponent_クロス,c-os_クロス,Opponent_直接ＦＫ,c-os_直接ＦＫ,Opponent_間接ＦＫ,c-os_間接ＦＫ,Opponent_ＣＫ,c-os_ＣＫ,Opponent_スローイン,c-os_スローイン,Opponent_ドリブル,c-os_ドリブル,Opponent_タックル,c-os_タックル,Opponent_クリア,c-os_クリア,Opponent_インターセプト,c-os_インターセプト,Opponent_オフサイド,c-os_オフサイド,Opponent_警告,c-os_警告,Opponent_退場,c-os_退場,Opponent_３０ｍライン進入,c-os_３０ｍライン進入,Opponent_ペナルティエリア進入,c-os_ペナルティエリア進入,Opponent_総移動距離,c-os_総移動距離,Opponent_スプリント,c-os_スプリント,Opponent_攻撃回数,c-os_攻撃回数,Opponent_チャンス構築率,c-os_チャンス構築率,Opponent_ボール保持率,c-os_ボール保持率,URL
H,FC東京,D,1,1,1.223,1.452,9,18,1,6,1,0,431,558,12,28,4,21,1,0,3,7,20,30,11,16,23,20,24,11,2,0,0,1,4,0,0,0,23,44,12,23,"118,021m","118,376m",140,147,102,126,8.8%,14.3%,45.4%,54.6%,https://www.football-lab.jp/c-os/report/?year=2025&month=04&date=20
A,東京Ｖ,L,0,1,1.499,1.543,16,14,4,7,0,0,279,857,11,15,7,14,0,2,2,6,9,24,7,14,21,13,32,5,1,0,2,0,1,0,0,0,26,63,8,19,"124,575m","121,183m",138,118,95,117,16.8%,12.0%,33.4%,66.6%,https://www.football-lab.jp/c-os/report/?year=2025&month=04&date=25
H,町田,L,1,2,1.939,0.49,17,5,5,1,0,0,340,619,17,15,7,14,2,3,5,2,19,21,9,9,20,15,24,15,3,2,3,2,3,1,0,0,39,54,16,9,"120,506m","123,864m",181,153,118,126,14.4%,4.0%,38.7%,61.3%,https://www.football-lab.jp/c-os/report/?year=2025&month=04&date=29
A,京都,W,3,2,2.442,0.817,21,10,6,4,0,0,434,411,28,7,8,17,2,0,7,3,27,17,12,12,24,23,18,28,0,3,0,2,2,1,0,0,56,31,15,6,"119,430m","117,896m",173,125,122,125,17.2%,8.0%,52.5%,47.5%,https://www.football-lab.jp/c-os/report/?year=2025&month=05&date=03
A,神戸,W,3,1,1.648,0.962,17,11,4,5,0,0,534,515,22,4,11,10,0,4,6,1,31,21,9,6,19,14,12,27,2,3,4,0,0,4,0,0,56,28,11,6,"120,700m","119,975m",130,123,122,114,13.9%,9.6%,51.8%,48.2%,https://www.football-lab.jp/c-os/report/?year=2025&month=05&date=06
H,横浜FM,W,1,0,1.528,1.201,16,14,1,2,0,0,518,525,24,16,13,13,3,4,12,3,18,11,13,10,15,13,18,35,0,3,4,3,2,2,0,0,51,31,11,13,"120,759m","119,682m",124,142,113,96,14.2%,14.6%,47.2%,52.8%,https://www.football-lab.jp/c-os/report/?year=2025&month=05&date=11
A,川崎Ｆ,L,0,2,1.308,0.745,15,10,5,0,0,0,547,638,12,20,8,8,2,2,5,3,22,15,12,7,14,17,14,16,4,3,2,2,1,0,0,0,60,60,16,19,"110,315m","109,142m",103,103,105,101,14.3%,9.9%,46.9%,53.1%,https://www.football-lab.jp/c-os/report/?year=2025&month=05&date=18
H,福岡,W,2,0,1.18,1.523,16,16,4,9,0,0,359,548,14,8,11,19,1,1,5,4,22,22,11,6,18,12,21,34,1,2,1,1,3,3,0,0,45,43,8,13,"117,802m","115,043m",158,147,112,119,14.3%,13.4%,42.7%,57.3%,https://www.football-lab.jp/c-os/report/?year=2025&month=05&date=24
A,浦和,D,0,0,1.273,1.587,11,19,6,5,0,0,442,663,15,24,9,8,3,3,4,8,19,18,10,20,21,17,28,19,2,0,3,3,1,1,0,0,45,77,18,20,"121,183m","121,030m",145,125,104,111,10.6%,17.1%,42.7%,57.3%,https://www.football-lab.jp/c-os/report/?year=2025&month=05&date=28
H,清水,W,4,2,1.904,2.667,15,21,4,9,0,1,453,420,15,12,19,11,4,3,3,13,17,16,14,11,20,24,23,16,2,4,3,4,1,1,0,0,39,38,13,11,"117,550m","121,868m",130,151,114,116,13.2%,18.1%,52.6%,47.4%,https://www.football-lab.jp/c-os/report/?year=2025&month=06&date=01
A,FC東京,D,2,2,2.225,0.955,21,11,4,6,0,0,374,581,9,14,10,17,2,3,4,7,23,25,15,14,25,13,35,19,4,2,3,2,0,0,0,0,32,54,16,14,"116,277m","118,075m",137,109,112,125,18.8%,8.8%,43.7%,56.3%,https://www.football-lab.jp/c-os/report/?year=2025&month=06&date=14
H,東京Ｖ,W,2,1,0.827,0.995,10,9,1,4,0,0,514,453,11,8,12,11,4,5,5,5,13,27,7,9,24,17,20,14,3,1,5,4,0,1,0,0,35,42,7,12,"116,867m","114,250m",86,86,96,101,10.4%,8.9%,52.8%,47.2%,https://www.football-lab.jp/c-os/report/?year=2025&month=06&date=21
H,Ｇ大阪,L,0,1,1.759,1.996,14,19,3,5,0,0,303,507,10,22,8,14,2,2,7,5,22,23,10,10,12,18,32,12,0,2,2,2,3,0,0,0,25,51,7,18,"107,730m","110,081m",94,106,99,92,14.1%,20.7%,42%,58%,https://www.football-lab.jp/c-os/report/?year=2025&month=07&date=05
A,湘南,D,3,3,2.013,2.194,13,23,6,6,1,0,406,547,16,19,9,13,1,4,4,7,22,24,15,14,19,14,27,17,1,3,4,1,0,1,0,0,46,52,13,19,"124,669m","121,711m",127,121,121,119,10.7%,19.3%,46.4%,53.6%,https://www.football-lab.jp/c-os/report/?year=2025&month=07&date=19
H,新潟,W,3,1,0.922,2.05,9,26,2,5,0,0,476,521,9,16,2,8,2,0,4,12,19,23,7,14,14,19,30,15,2,3,0,2,1,0,0,0,31,57,8,19,"110,407m","112,755m",75,100,91,103,9.9%,25.2%,49.1%,50.9%,https://www.football-lab.jp/c-os/report/?year=2025&month=08&date=11
A,町田,L,0,3,0.859,0.709,11,9,4,5,0,0,325,651,15,17,8,14,1,1,3,4,21,19,10,13,21,14,31,18,2,6,1,1,1,3,0,0,41,45,6,11,"119,082m","117,109m",110,96,99,115,11.1%,7.8%,39.3%,60.7%,https://www.football-lab.jp/c-os/report/?year=2025&month=08&date=16
H,神戸,D,1,1,1.365,2.092,15,17,4,2,0,0,284,470,19,14,13,13,1,3,5,6,26,15,11,14,19,18,23,38,1,1,3,1,3,1,0,0,28,41,10,18,"111,722m","110,813m",115,113,118,121,12.7%,14.0%,43%,57%,https://www.football-lab.jp/c-os/report/?year=2025&month=08&date=23
H,広島,D,1,1,1.14,2.172,11,15,2,5,0,1,366,362,21,10,9,13,3,5,6,8,19,26,6,9,14,15,25,38,2,1,5,3,2,1,0,0,42,38,10,14,"109,301m","115,594m",137,116,105,125,10.5%,12.0%,48.1%,51.9%,https://www.football-lab.jp/c-os/report/?year=2025&month=08&date=31
