HOME/AWAY,Opponent,勝敗,kasm_得点,kasm_失点,Opponent_ゴール期待値,kasm_ゴール期待値,Opponent_シュート,kasm_シュート,Opponent_枠内シュート,kasm_枠内シュート,Opponent_PKによるシュート,kasm_PKによるシュート,Opponent_パス,kasm_パス,Opponent_クロス,kasm_クロス,Opponent_直接ＦＫ,kasm_直接ＦＫ,Opponent_間接ＦＫ,kasm_間接ＦＫ,Opponent_ＣＫ,kasm_ＣＫ,Opponent_スローイン,kasm_スローイン,Opponent_ドリブル,kasm_ドリブル,Opponent_タックル,kasm_タックル,Opponent_クリア,kasm_クリア,Opponent_インターセプト,kasm_インターセプト,Opponent_オフサイド,kasm_オフサイド,Opponent_警告,kasm_警告,Opponent_退場,kasm_退場,Opponent_３０ｍライン進入,kasm_３０ｍライン進入,Opponent_ペナルティエリア進入,kasm_ペナルティエリア進入,Opponent_総移動距離,kasm_総移動距離,Opponent_スプリント,kasm_スプリント,Opponent_攻撃回数,kasm_攻撃回数,Opponent_チャンス構築率,kasm_チャンス構築率,Opponent_ボール保持率,kasm_ボール保持率,URL
H,川崎Ｆ,W,2,1,1.804,1.122,20,12,6,5,0,0,451,460,11,10,11,9,1,0,11,5,20,24,16,5,18,18,26,25,2,1,0,1,1,1,0,0,52,22,25,9,"113,782m","111,010m",130,123,110,103,18.2%,11.7%,50%,50%,https://www.football-lab.jp/kasm/report/?year=2025&month=05&date=11
H,清水,W,1,0,1.476,0.775,17,11,1,2,0,0,550,433,22,5,9,11,1,2,4,1,29,23,21,8,13,22,10,26,3,1,2,1,1,1,0,0,43,25,17,8,"113,892m","115,203m",110,118,111,107,15.3%,10.3%,54.9%,45.1%,https://www.football-lab.jp/kasm/report/?year=2025&month=05&date=17
A,横浜FM,L,1,3,0.872,1.267,9,15,5,6,0,0,209,594,6,21,11,14,3,1,4,10,17,28,7,17,22,13,43,19,0,0,1,3,2,2,0,0,14,46,7,16,"113,378m","110,073m",118,122,95,111,9.5%,13.5%,33.1%,66.9%,https://www.football-lab.jp/kasm/report/?year=2025&month=05&date=25
A,Ｇ大阪,W,1,0,2.013,0.593,21,6,1,1,0,0,543,409,20,14,8,5,1,2,10,3,34,13,13,12,17,14,16,40,2,5,2,1,0,0,0,0,52,28,20,8,"114,853m","118,444m",156,159,117,99,17.9%,6.1%,56.6%,43.4%,https://www.football-lab.jp/kasm/report/?year=2025&month=05&date=31
H,広島,D,1,1,0.667,2.014,7,18,3,4,0,0,304,663,18,20,6,13,0,2,3,12,26,27,6,16,27,11,48,19,1,1,2,0,2,2,0,0,32,47,7,16,"110,611m","113,152m",143,113,111,128,6.3%,14.1%,37.2%,62.8%,https://www.football-lab.jp/kasm/report/?year=2025&month=06&date=14
A,町田,L,1,2,0.922,1.418,12,9,6,3,0,1,288,546,11,12,13,19,1,4,3,4,21,33,11,8,30,19,33,32,1,3,3,1,1,0,0,0,34,30,9,16,"113,318m","111,234m",98,92,116,131,10.3%,6.9%,42.3%,57.7%,https://www.football-lab.jp/kasm/report/?year=2025&month=06&date=21
H,岡山,L,1,2,0.8,1.681,10,18,3,3,0,0,227,561,8,29,8,8,4,4,3,13,17,32,7,17,19,18,41,10,2,0,4,4,1,1,0,0,19,41,2,18,"115,350m","110,583m",152,135,107,130,9.3%,13.8%,35.1%,64.9%,https://www.football-lab.jp/kasm/report/?year=2025&month=06&date=28
A,川崎Ｆ,L,1,2,1.68,0.764,15,10,6,3,0,0,511,336,22,11,9,8,3,4,7,2,23,21,9,5,11,11,16,26,2,1,4,3,2,2,0,0,47,25,14,12,"107,824m","110,626m",132,138,100,95,15.0%,10.5%,57.7%,42.3%,https://www.football-lab.jp/kasm/report/?year=2025&month=07&date=05
H,柏,W,3,2,2.601,0.697,17,6,4,3,1,0,665,291,11,7,8,11,2,2,2,0,26,20,12,7,14,23,13,23,2,2,2,2,3,1,0,0,64,16,25,4,"114,496m","116,276m",122,102,107,101,15.9%,5.9%,66.4%,33.6%,https://www.football-lab.jp/kasm/report/?year=2025&month=07&date=20
A,FC東京,W,1,0,1.824,1.057,18,11,3,5,0,0,518,416,17,11,9,8,0,2,9,5,28,17,15,7,14,19,15,30,4,3,0,0,0,1,0,0,37,30,14,11,"112,236m","112,026m",138,141,108,98,16.7%,11.2%,55.9%,44.1%,https://www.football-lab.jp/kasm/report/?year=2025&month=08&date=10
H,福岡,D,1,1,1.131,0.649,11,12,3,2,0,0,351,577,13,10,7,12,0,0,3,4,21,26,13,4,25,21,25,11,3,2,0,0,3,3,0,0,38,46,17,11,"114,185m","111,348m",110,124,111,125,9.9%,9.6%,43.1%,56.9%,https://www.football-lab.jp/kasm/report/?year=2025&month=08&date=16
A,新潟,W,2,1,1.1,1.609,10,14,4,5,0,0,409,390,25,15,8,12,2,0,4,8,18,15,8,8,14,16,13,28,0,1,0,2,1,2,0,0,33,34,19,16,"111,272m","109,054m",87,101,101,101,9.9%,13.9%,52.8%,47.2%,https://www.football-lab.jp/kasm/report/?year=2025&month=08&date=23
A,清水,D,1,1,1.286,1.206,10,16,6,5,0,0,360,703,9,23,8,13,0,1,2,5,14,25,6,8,13,13,28,13,1,1,1,0,4,0,0,0,22,75,9,26,"104,946m","106,560m",95,88,91,106,11.0%,15.1%,37.7%,62.3%,https://www.football-lab.jp/kasm/report/?year=2025&month=08&date=31
