HOME/AWAY,Opponent,勝敗,shon_得点,shon_失点,shon_ゴール期待値,Opponent_ゴール期待値,shon_シュート,Opponent_シュート,shon_枠内シュート,Opponent_枠内シュート,shon_PKによるシュート,Opponent_PKによるシュート,shon_パス,Opponent_パス,shon_クロス,Opponent_クロス,shon_直接ＦＫ,Opponent_直接ＦＫ,shon_間接ＦＫ,Opponent_間接ＦＫ,shon_ＣＫ,Opponent_ＣＫ,shon_スローイン,Opponent_スローイン,shon_ドリブル,Opponent_ドリブル,shon_タックル,Opponent_タックル,shon_クリア,Opponent_クリア,shon_インターセプト,Opponent_インターセプト,shon_オフサイド,Opponent_オフサイド,shon_警告,Opponent_警告,shon_退場,Opponent_退場,shon_３０ｍライン進入,Opponent_３０ｍライン進入,shon_ペナルティエリア進入,Opponent_ペナルティエリア進入,shon_総移動距離,Opponent_総移動距離,shon_スプリント,Opponent_スプリント,shon_攻撃回数,Opponent_攻撃回数,shon_チャンス構築率,Opponent_チャンス構築率,shon_ボール保持率,Opponent_ボール保持率,URL
H,広島,L,0,1,0.877,1.072,12,6,3,2,0,1,605,347,14,14,13,9,1,0,2,3,22,31,11,11,13,29,22,21,2,1,0,1,1,0,0,0,43,36,8,12,"118,333m","112,439m",149,133,122,126,9.8%,4.8%,61.7%,38.3%,https://www.football-lab.jp/shon/report/?year=2025&month=05&date=07
A,東京Ｖ,W,2,0,1.286,1.004,10,12,5,1,0,0,367,541,10,14,7,12,0,0,4,9,22,34,10,11,24,15,31,18,1,1,0,0,1,1,0,0,21,37,8,9,"114,874m","119,693m",134,126,111,116,9.0%,10.3%,43.5%,56.5%,https://www.football-lab.jp/shon/report/?year=2025&month=05&date=11
H,横浜FC,L,0,1,0.523,1.643,7,8,2,4,0,1,504,257,24,7,13,15,2,0,8,3,27,26,12,8,20,11,8,39,1,2,0,2,1,0,0,0,41,20,14,2,"111,214m","112,687m",119,121,123,120,5.7%,6.7%,58.6%,41.4%,https://www.football-lab.jp/shon/report/?year=2025&month=05&date=17
A,新潟,L,1,2,0.558,1.879,11,11,3,4,0,0,561,520,16,6,6,6,2,3,5,3,11,18,8,8,18,20,13,35,4,1,3,2,0,0,0,0,49,29,16,10,"118,150m","120,955m",159,142,101,103,10.9%,10.7%,49.9%,50.1%,https://www.football-lab.jp/shon/report/?year=2025&month=05&date=25
H,岡山,D,1,1,0.734,0.977,12,13,3,2,0,0,466,376,14,15,11,13,0,5,2,4,21,23,5,10,18,20,25,21,3,3,5,0,3,0,0,0,40,37,10,11,"113,834m","117,229m",120,120,119,121,10.1%,10.7%,54.2%,45.8%,https://www.football-lab.jp/shon/report/?year=2025&month=06&date=01
H,町田,L,1,2,0.83,1.691,10,14,3,5,0,0,461,453,14,19,14,7,1,4,3,10,18,17,12,15,20,15,28,12,0,2,4,1,0,1,0,0,27,40,7,13,"113,883m","115,231m",129,117,108,110,9.3%,12.7%,49%,51%,https://www.football-lab.jp/shon/report/?year=2025&month=06&date=14
H,横浜FM,D,1,1,0.79,1.03,11,14,3,4,0,0,376,448,15,12,14,12,1,1,5,4,16,25,11,11,19,9,26,12,1,1,1,1,1,2,0,0,38,45,11,13,"115,221m","113,773m",143,107,118,116,9.3%,12.1%,48.1%,51.9%,https://www.football-lab.jp/shon/report/?year=2025&month=06&date=28
A,神戸,L,0,4,0.645,1.011,7,15,2,8,0,0,416,388,10,23,12,13,1,1,3,6,26,38,9,18,20,19,30,13,3,5,1,1,1,0,0,0,21,38,4,11,"108,862m","113,314m",113,101,122,126,5.7%,11.9%,53.4%,46.6%,https://www.football-lab.jp/shon/report/?year=2025&month=07&date=05
H,Ｃ大阪,D,3,3,2.013,2.194,13,23,6,6,1,0,406,547,16,19,9,13,1,4,4,7,22,24,15,14,19,14,27,17,1,3,4,1,0,1,0,0,46,52,13,19,"124,669m","121,711m",127,121,121,119,10.7%,19.3%,46.4%,53.6%,https://www.football-lab.jp/shon/report/?year=2025&month=07&date=19
A,浦和,L,1,4,1.038,1.419,13,11,3,5,0,0,360,358,15,12,11,11,1,0,7,5,20,27,7,8,16,18,16,31,3,1,0,1,0,0,0,0,34,38,11,7,"108,686m","109,176m",99,118,99,112,13.1%,9.8%,48.7%,51.3%,https://www.football-lab.jp/shon/report/?year=2025&month=07&date=23
A,柏,L,0,2,0.285,2.324,6,12,1,3,0,0,330,741,4,23,13,13,2,0,1,7,17,23,9,10,22,10,17,6,0,0,0,2,0,2,0,0,17,47,4,16,"113,274m","110,802m",91,123,91,99,6.6%,12.1%,34.9%,65.1%,https://www.football-lab.jp/shon/report/?year=2025&month=08&date=10
H,FC東京,D,2,2,1.292,1.552,17,10,5,2,0,1,451,355,14,12,7,10,2,1,3,7,21,18,10,13,20,19,27,27,4,5,1,2,3,2,0,0,37,29,12,6,"113,129m","110,684m",121,114,103,112,16.5%,8.9%,54.2%,45.8%,https://www.football-lab.jp/shon/report/?year=2025&month=08&date=16
A,岡山,L,0,1,0.469,1.089,7,14,2,3,0,0,351,363,12,20,14,9,1,3,4,7,24,29,5,15,17,17,31,14,1,1,2,1,4,2,0,0,22,32,15,15,"107,328m","108,343m",110,101,108,121,6.5%,11.6%,51.2%,48.8%,https://www.football-lab.jp/shon/report/?year=2025&month=08&date=23
H,Ｇ大阪,L,4,5,1.175,3.453,10,23,6,13,0,0,281,597,9,26,8,10,1,1,5,9,19,22,11,13,10,13,33,12,0,2,1,1,1,1,1,0,21,61,9,17,"114,457m","112,093m",122,116,99,116,10.1%,19.8%,38.9%,61.1%,https://www.football-lab.jp/shon/report/?year=2025&month=08&date=31
