HOME/AWAY,Opponent,勝敗,ka-f_得点,ka-f_失点,ka-f_ゴール期待値,Opponent_ゴール期待値,ka-f_シュート,Opponent_シュート,ka-f_枠内シュート,Opponent_枠内シュート,ka-f_PKによるシュート,Opponent_PKによるシュート,ka-f_パス,Opponent_パス,ka-f_クロス,Opponent_クロス,ka-f_直接ＦＫ,Opponent_直接ＦＫ,ka-f_間接ＦＫ,Opponent_間接ＦＫ,ka-f_ＣＫ,Opponent_ＣＫ,ka-f_スローイン,Opponent_スローイン,ka-f_ドリブル,Opponent_ドリブル,ka-f_タックル,Opponent_タックル,ka-f_クリア,Opponent_クリア,ka-f_インターセプト,Opponent_インターセプト,ka-f_オフサイド,Opponent_オフサイド,ka-f_警告,Opponent_警告,ka-f_退場,Opponent_退場,ka-f_３０ｍライン進入,Opponent_３０ｍライン進入,ka-f_ペナルティエリア進入,Opponent_ペナルティエリア進入,ka-f_総移動距離,Opponent_総移動距離,ka-f_スプリント,Opponent_スプリント,ka-f_攻撃回数,Opponent_攻撃回数,ka-f_チャンス構築率,Opponent_チャンス構築率,ka-f_ボール保持率,Opponent_ボール保持率,URL
A,福岡,W,4,1,2.228,0.958,11,10,5,3,1,0,576,379,9,14,9,8,1,0,0,3,20,18,13,11,14,20,14,8,1,3,0,1,0,1,0,1,37,33,11,8,"98,247m","99,721m",108,126,97,95,11.3%,10.5%,58.8%,41.2%,https://www.football-lab.jp/ka-f/report/?year=2022&month=08&date=20
H,鹿島,W,2,1,1.486,0.436,9,8,6,2,1,0,330,603,2,20,10,6,2,1,4,6,14,25,6,12,13,8,36,13,1,1,1,2,2,3,0,0,29,52,7,14,"105,703m","109,570m",127,151,100,108,9.0%,7.4%,37.4%,62.6%,https://www.football-lab.jp/ka-f/report/?year=2022&month=08&date=27
H,鳥栖,W,4,0,1.569,0.248,17,5,8,1,0,0,687,452,18,6,11,9,0,2,7,4,14,21,12,8,20,9,11,10,3,1,2,0,0,2,0,0,62,44,18,7,"108,637m","113,201m",146,167,103,101,16.5%,5.0%,59.2%,40.8%,https://www.football-lab.jp/ka-f/report/?year=2022&month=08&date=31
A,湘南,L,1,2,1.322,1.747,12,12,3,2,0,1,703,352,11,17,5,7,2,1,4,1,24,16,13,6,16,24,17,25,3,1,1,2,0,0,0,0,43,40,11,13,"104,348m","116,778m",163,182,114,111,10.5%,10.8%,62.3%,37.7%,https://www.football-lab.jp/ka-f/report/?year=2022&month=09&date=03
H,広島,W,4,0,2.083,0.708,16,7,10,1,1,0,600,417,9,15,17,8,1,3,2,4,16,24,16,11,27,18,20,17,1,3,3,1,1,2,0,0,51,35,20,5,"107,450m","106,935m",179,154,129,125,12.4%,5.6%,58.9%,41.1%,https://www.football-lab.jp/ka-f/report/?year=2022&month=09&date=10
A,名古屋,D,1,1,0.884,0.822,6,12,2,3,0,0,581,412,3,20,8,15,1,2,4,6,13,24,7,8,9,14,29,13,6,2,2,1,4,1,0,0,41,36,6,15,"102,373m","107,863m",120,154,95,103,6.3%,11.7%,57.9%,42.1%,https://www.football-lab.jp/ka-f/report/?year=2022&month=09&date=14
A,柏,D,1,1,0.957,1.003,13,10,5,4,0,0,612,442,15,16,6,7,2,1,4,3,26,17,8,8,10,26,20,29,1,4,1,2,2,0,0,0,46,43,11,13,"107,541m","107,928m",152,151,111,104,11.7%,9.6%,55.1%,44.9%,https://www.football-lab.jp/ka-f/report/?year=2022&month=09&date=17
A,札幌,L,3,4,3.315,2.134,13,14,5,5,1,1,417,394,6,12,9,8,2,5,2,5,19,20,6,15,13,25,20,12,1,1,4,2,1,2,1,0,32,40,4,18,"106,351m","110,480m",198,202,116,114,11.2%,12.3%,50%,50%,https://www.football-lab.jp/ka-f/report/?year=2022&month=10&date=01
H,清水,W,3,2,1.473,0.713,15,8,7,3,0,0,699,391,14,9,4,11,1,1,4,5,15,17,8,7,11,6,13,14,3,1,1,1,1,0,0,0,56,28,14,8,"110,140m","115,243m",167,177,89,97,16.9%,8.2%,61.6%,38.4%,https://www.football-lab.jp/ka-f/report/?year=2022&month=10&date=08
H,京都,W,3,1,2.255,1.884,17,14,7,5,0,0,538,463,22,17,17,9,0,3,6,7,14,23,12,16,21,17,25,14,5,6,3,0,0,2,0,0,53,37,19,7,"111,657m","116,494m",169,176,118,121,14.4%,11.6%,52.3%,47.7%,https://www.football-lab.jp/ka-f/report/?year=2022&month=10&date=12
H,神戸,W,2,1,2.171,0.866,13,8,7,4,1,0,530,472,16,11,11,8,3,1,7,4,33,22,12,15,24,17,21,27,1,0,1,3,1,1,0,0,45,39,18,7,"104,478m","106,984m",155,160,129,116,10.1%,6.9%,53.4%,46.6%,https://www.football-lab.jp/ka-f/report/?year=2022&month=10&date=29
A,FC東京,W,3,2,0.344,1.639,4,16,3,3,0,0,260,711,8,35,14,7,3,2,2,8,12,38,4,15,31,15,54,8,1,1,2,3,0,1,1,0,32,72,9,23,"106,267m","111,756m",154,147,104,123,3.8%,13.0%,35.5%,64.5%,https://www.football-lab.jp/ka-f/report/?year=2022&month=11&date=05
