HOME/AWAY,Opponent,勝敗,shim_得点,shim_失点,shim_ゴール期待値,Opponent_ゴール期待値,shim_シュート,Opponent_シュート,shim_枠内シュート,Opponent_枠内シュート,shim_PKによるシュート,Opponent_PKによるシュート,shim_パス,Opponent_パス,shim_クロス,Opponent_クロス,shim_直接ＦＫ,Opponent_直接ＦＫ,shim_間接ＦＫ,Opponent_間接ＦＫ,shim_ＣＫ,Opponent_ＣＫ,shim_スローイン,Opponent_スローイン,shim_ドリブル,Opponent_ドリブル,shim_タックル,Opponent_タックル,shim_クリア,Opponent_クリア,shim_インターセプト,Opponent_インターセプト,shim_オフサイド,Opponent_オフサイド,shim_警告,Opponent_警告,shim_退場,Opponent_退場,shim_３０ｍライン進入,Opponent_３０ｍライン進入,shim_ペナルティエリア進入,Opponent_ペナルティエリア進入,shim_総移動距離,Opponent_総移動距離,shim_スプリント,Opponent_スプリント,shim_攻撃回数,Opponent_攻撃回数,shim_チャンス構築率,Opponent_チャンス構築率,shim_ボール保持率,Opponent_ボール保持率,URL
A,湘南,W,4,1,2.585,2.045,16,20,10,7,0,0,369,525,7,23,10,15,2,3,5,6,18,31,13,10,19,18,25,7,3,0,3,2,1,1,0,0,31,49,8,20,"118,521m","117,736m",204,182,131,142,12.2%,14.1%,47.5%,52.5%,https://www.football-lab.jp/shim/report/?year=2022&month=05&date=03
H,川崎Ｆ,L,0,2,1.165,0.757,9,10,1,3,0,0,411,691,12,5,8,10,1,1,6,3,26,21,10,9,17,23,15,15,2,1,1,1,0,1,0,0,35,53,14,13,"114,905m","110,453m",130,167,110,107,8.2%,9.3%,40.8%,59.2%,https://www.football-lab.jp/shim/report/?year=2022&month=05&date=07
A,京都,D,0,0,1.059,1.109,15,12,7,3,0,0,345,481,23,15,12,8,1,2,5,4,16,22,12,20,24,14,28,21,2,1,2,1,0,2,0,0,40,47,16,12,"112,454m","114,964m",209,212,139,132,10.8%,9.1%,44.9%,55.1%,https://www.football-lab.jp/shim/report/?year=2022&month=05&date=14
H,名古屋,L,1,2,1.386,0.861,17,14,4,7,0,0,555,420,20,13,7,9,1,0,2,7,24,38,11,16,17,11,25,19,3,1,0,1,1,0,0,0,45,27,13,9,"115,034m","116,479m",178,190,103,121,16.5%,11.6%,56.2%,43.8%,https://www.football-lab.jp/shim/report/?year=2022&month=05&date=21
H,FC東京,L,0,3,1.027,1.107,11,15,3,6,0,0,383,629,12,17,10,9,2,0,3,7,15,17,7,10,19,15,21,15,0,1,0,2,1,0,0,0,24,48,8,14,"118,417m","118,900m",210,257,97,104,11.3%,14.4%,42.1%,57.9%,https://www.football-lab.jp/shim/report/?year=2022&month=05&date=25
A,柏,L,1,3,1.347,1.337,16,13,6,5,0,0,491,499,12,12,6,7,1,2,4,3,26,24,8,14,11,13,15,19,1,1,2,1,1,0,0,0,30,40,12,20,"120,842m","120,501m",166,181,104,110,15.4%,11.8%,48.7%,51.3%,https://www.football-lab.jp/shim/report/?year=2022&month=05&date=29
H,福岡,W,3,1,0.601,1.183,8,15,4,6,0,0,334,472,16,28,13,10,2,1,5,7,18,30,12,12,10,14,45,12,3,1,1,2,2,2,0,0,26,50,9,12,"110,683m","108,664m",120,166,101,107,7.9%,14.0%,44.8%,55.2%,https://www.football-lab.jp/shim/report/?year=2022&month=06&date=18
A,Ｃ大阪,D,1,1,0.405,1.777,4,23,1,7,0,0,403,483,10,23,8,9,0,2,2,9,17,26,7,16,11,14,33,8,2,1,1,0,1,0,0,0,22,43,8,12,"110,133m","113,839m",159,167,92,104,4.3%,22.1%,45.6%,54.4%,https://www.football-lab.jp/shim/report/?year=2022&month=06&date=26
H,横浜FM,L,3,5,1.557,2.344,13,18,6,8,0,0,363,641,22,17,6,7,3,2,0,6,19,27,11,8,19,18,30,14,1,1,2,3,0,0,0,0,26,68,14,18,"117,560m","120,656m",170,180,105,110,12.4%,16.4%,42.4%,57.6%,https://www.football-lab.jp/shim/report/?year=2022&month=07&date=02
A,神戸,L,1,2,0.83,0.799,9,12,1,5,0,0,500,547,9,18,11,9,2,2,1,2,16,26,10,18,5,10,21,12,2,1,2,2,0,0,0,0,28,37,7,10,"113,393m","112,513m",150,185,92,93,9.8%,12.9%,47.5%,52.5%,https://www.football-lab.jp/shim/report/?year=2022&month=07&date=06
A,名古屋,W,2,0,1.373,1.119,12,13,4,5,0,0,486,463,6,22,9,12,1,1,0,2,16,29,6,21,20,17,34,6,5,2,1,1,1,0,0,1,33,53,4,22,"114,084m","111,682m",155,164,90,102,13.3%,12.7%,51.3%,48.7%,https://www.football-lab.jp/shim/report/?year=2022&month=07&date=10
H,浦和,L,1,2,1.041,1.372,14,10,6,6,0,0,522,406,19,21,5,7,2,0,6,6,22,18,7,10,7,13,23,28,0,1,0,2,1,0,0,0,37,47,7,11,"113,619m","109,491m",153,180,94,88,14.9%,11.4%,54%,46%,https://www.football-lab.jp/shim/report/?year=2022&month=07&date=16
H,鳥栖,D,3,3,1.91,0.9,18,13,6,4,0,0,520,581,19,10,4,14,2,2,2,4,17,11,14,8,8,14,8,12,2,0,2,2,0,0,0,0,44,42,14,12,"119,552m","122,329m",138,160,98,103,18.4%,12.6%,48.7%,51.3%,https://www.football-lab.jp/shim/report/?year=2022&month=07&date=31
A,FC東京,W,2,0,0.818,0.875,12,11,4,2,0,0,424,526,14,10,9,13,1,1,6,4,15,18,10,15,20,18,24,20,3,4,1,1,1,1,0,0,32,46,7,8,"108,778m","104,199m",131,157,108,109,11.1%,10.1%,48.5%,51.5%,https://www.football-lab.jp/shim/report/?year=2022&month=08&date=07
A,Ｇ大阪,W,2,0,1.313,1.48,15,15,4,3,0,0,302,456,8,21,4,11,1,0,4,11,16,20,13,22,16,18,32,15,1,1,0,1,0,1,0,0,30,60,14,10,"101,944m","105,642m",107,123,104,114,14.4%,13.2%,44.7%,55.3%,https://www.football-lab.jp/shim/report/?year=2022&month=08&date=14
H,柏,D,1,1,0.844,0.745,13,13,2,6,0,0,387,527,8,25,12,11,0,2,6,8,13,26,8,6,16,14,36,13,1,0,2,0,0,3,0,0,21,55,10,10,"112,809m","108,940m",118,139,99,106,13.1%,12.3%,44.7%,55.3%,https://www.football-lab.jp/shim/report/?year=2022&month=08&date=20
H,京都,W,1,0,0.854,1.669,14,13,5,3,0,0,355,305,9,17,16,8,1,3,4,9,20,24,13,10,17,12,25,13,1,0,3,1,2,1,0,0,23,29,11,9,"104,784m","107,395m",146,156,95,104,14.7%,12.5%,52.8%,47.2%,https://www.football-lab.jp/shim/report/?year=2022&month=08&date=27
A,広島,L,0,2,1.367,0.765,17,11,3,5,0,0,555,379,22,16,14,6,0,0,4,7,19,16,15,7,11,14,26,35,1,0,0,0,0,0,0,1,50,37,20,9,"107,335m","105,775m",137,128,90,93,18.9%,11.8%,57.7%,42.3%,https://www.football-lab.jp/shim/report/?year=2022&month=09&date=03
H,湘南,D,1,1,0.11,1.601,3,17,1,6,0,0,298,561,2,16,16,14,1,2,0,9,13,26,5,8,18,11,22,2,1,2,2,1,2,0,0,0,11,51,4,17,"113,691m","116,304m",153,158,104,121,2.9%,14.0%,39.6%,60.4%,https://www.football-lab.jp/shim/report/?year=2022&month=09&date=10
A,福岡,L,2,3,1.51,0.943,9,8,4,5,1,0,425,195,17,9,21,11,3,1,5,3,23,18,17,7,7,18,9,36,2,1,1,3,1,2,0,0,28,18,7,9,"103,421m","102,973m",142,159,111,89,8.1%,9.0%,64.6%,35.4%,https://www.football-lab.jp/shim/report/?year=2022&month=09&date=17
A,川崎Ｆ,L,2,3,0.713,1.473,8,15,3,7,0,0,391,699,9,14,11,4,1,1,5,4,17,15,7,8,6,11,14,13,1,3,1,1,0,1,0,0,28,56,8,14,"115,243m","110,140m",177,167,97,89,8.2%,16.9%,38.4%,61.6%,https://www.football-lab.jp/shim/report/?year=2022&month=10&date=08
H,磐田,D,1,1,1.955,0.968,15,8,7,1,0,0,340,487,15,15,10,10,3,1,5,5,22,23,11,7,18,21,22,24,0,1,1,2,2,1,0,0,26,43,10,10,"108,721m","108,839m",147,150,95,96,15.8%,8.3%,47.4%,52.6%,https://www.football-lab.jp/shim/report/?year=2022&month=10&date=22
H,鹿島,L,0,1,1.204,0.764,17,10,5,4,0,0,469,456,19,18,9,6,1,0,5,10,19,32,19,12,15,18,30,18,1,3,0,1,1,0,0,0,42,44,11,10,"118,420m","121,091m",181,184,102,122,16.7%,8.2%,52.4%,47.6%,https://www.football-lab.jp/shim/report/?year=2022&month=10&date=29
A,札幌,L,3,4,2.632,2.576,16,21,7,7,0,0,329,477,14,15,12,10,2,1,8,5,19,17,12,12,11,20,23,25,3,2,1,2,1,0,0,0,33,34,5,15,"112,508m","111,938m",181,193,113,101,14.2%,20.8%,42.2%,57.8%,https://www.football-lab.jp/shim/report/?year=2022&month=11&date=05
