HOME/AWAY,Opponent,勝敗,kasw_得点,kasw_失点,Opponent_ゴール期待値,kasw_ゴール期待値,Opponent_シュート,kasw_シュート,Opponent_枠内シュート,kasw_枠内シュート,Opponent_PKによるシュート,kasw_PKによるシュート,Opponent_パス,kasw_パス,Opponent_クロス,kasw_クロス,Opponent_直接ＦＫ,kasw_直接ＦＫ,Opponent_間接ＦＫ,kasw_間接ＦＫ,Opponent_ＣＫ,kasw_ＣＫ,Opponent_スローイン,kasw_スローイン,Opponent_ドリブル,kasw_ドリブル,Opponent_タックル,kasw_タックル,Opponent_クリア,kasw_クリア,Opponent_インターセプト,kasw_インターセプト,Opponent_オフサイド,kasw_オフサイド,Opponent_警告,kasw_警告,Opponent_退場,kasw_退場,Opponent_３０ｍライン進入,kasw_３０ｍライン進入,Opponent_ペナルティエリア進入,kasw_ペナルティエリア進入,Opponent_総移動距離,kasw_総移動距離,Opponent_スプリント,kasw_スプリント,Opponent_攻撃回数,kasw_攻撃回数,Opponent_チャンス構築率,kasw_チャンス構築率,Opponent_ボール保持率,kasw_ボール保持率,URL
A,鳥栖,W,1,0,0.834,0.822,11,9,1,2,0,0,775,261,15,6,11,10,2,6,3,5,33,14,17,9,10,23,8,24,1,1,6,2,1,1,0,0,43,12,12,9,"122,750m","115,856m",211,171,118,102,9.3%,8.8%,68.9%,31.1%,https://www.football-lab.jp/kasw/report/?year=2022&month=07&date=10
H,札幌,W,1,0,0.877,0.327,14,4,7,2,0,0,736,321,6,10,7,10,2,1,7,2,23,15,4,8,11,15,9,27,2,2,1,2,0,1,0,0,33,27,9,5,"112,033m","116,679m",141,175,110,100,12.7%,4.0%,62.9%,37.1%,https://www.football-lab.jp/kasw/report/?year=2022&month=07&date=16
A,神戸,W,1,0,0.891,0.675,11,9,2,2,0,0,782,288,22,5,13,3,0,7,5,2,27,20,16,4,14,22,9,37,1,1,7,0,0,2,0,0,41,12,9,7,"112,714m","113,346m",143,144,119,106,9.2%,8.5%,67.9%,32.1%,https://www.football-lab.jp/kasw/report/?year=2022&month=07&date=30
A,京都,W,2,1,1.096,1.281,13,15,3,3,0,0,431,358,9,14,10,13,2,2,5,4,26,14,6,6,13,19,12,18,1,3,2,2,0,2,0,0,27,33,6,15,"107,471m","104,027m",144,159,128,120,10.2%,12.5%,54%,46%,https://www.football-lab.jp/kasw/report/?year=2022&month=08&date=06
H,広島,L,2,3,0.619,0.836,9,9,3,3,0,0,480,384,13,14,16,12,1,2,5,6,37,17,9,5,14,18,21,28,0,1,2,1,1,3,0,0,32,25,8,13,"108,559m","106,249m",165,154,128,106,7.0%,8.5%,55.7%,44.3%,https://www.football-lab.jp/kasw/report/?year=2022&month=08&date=14
A,清水,D,1,1,0.844,0.745,13,13,2,6,0,0,387,527,8,25,12,11,0,2,6,8,13,26,8,6,16,14,36,13,1,0,2,0,0,3,0,0,21,55,10,10,"112,809m","108,940m",118,139,99,106,13.1%,12.3%,44.7%,55.3%,https://www.football-lab.jp/kasw/report/?year=2022&month=08&date=20
H,FC東京,L,3,6,1.477,1.11,11,14,8,5,0,0,580,320,15,8,18,9,0,2,3,3,20,8,14,4,9,13,10,17,0,3,2,0,0,2,0,1,27,31,16,9,"109,256m","107,345m",192,178,108,86,10.2%,16.3%,62.7%,37.3%,https://www.football-lab.jp/kasw/report/?year=2022&month=08&date=27
A,磐田,D,2,2,1.566,1.129,15,15,6,3,0,0,447,513,14,12,9,17,2,2,7,3,19,12,7,9,13,14,17,16,1,1,2,2,0,0,0,0,31,45,13,12,"112,429m","111,765m",160,157,118,111,12.7%,13.5%,47.1%,52.9%,https://www.football-lab.jp/kasw/report/?year=2022&month=09&date=03
A,浦和,L,1,4,4.219,0.794,24,8,10,5,1,0,630,352,8,13,21,5,2,1,7,2,28,16,18,7,15,17,16,23,0,1,1,2,0,5,0,0,28,23,10,6,"114,715m","114,050m",200,185,134,101,17.9%,7.9%,64%,36%,https://www.football-lab.jp/kasw/report/?year=2022&month=09&date=10
H,川崎Ｆ,D,1,1,0.957,1.003,13,10,5,4,0,0,612,442,15,16,6,7,2,1,4,3,26,17,8,8,10,26,20,29,1,4,1,2,2,0,0,0,46,43,11,13,"107,541m","107,928m",152,151,111,104,11.7%,9.6%,55.1%,44.9%,https://www.football-lab.jp/kasw/report/?year=2022&month=09&date=17
A,Ｇ大阪,D,0,0,0.503,1.439,8,14,2,8,0,0,648,536,5,20,10,7,1,2,1,7,10,16,9,8,19,16,22,9,3,1,2,0,1,1,0,0,36,43,6,11,"110,914m","109,952m",147,122,91,98,8.8%,14.3%,55.5%,44.5%,https://www.football-lab.jp/kasw/report/?year=2022&month=10&date=01
H,Ｃ大阪,D,0,0,1.063,0.618,15,10,2,1,0,0,684,348,22,5,10,7,1,2,4,2,25,16,9,7,12,10,11,33,3,1,2,1,1,1,0,0,46,21,12,4,"114,229m","114,544m",208,172,107,97,14.0%,10.3%,66%,34%,https://www.football-lab.jp/kasw/report/?year=2022&month=10&date=08
A,福岡,L,1,2,0.807,0.371,9,6,4,2,0,0,276,531,14,17,14,11,0,0,6,4,22,26,6,14,22,15,20,22,2,0,0,0,4,2,0,0,16,48,14,11,"107,484m","104,809m",163,116,117,109,7.7%,5.5%,36.7%,63.3%,https://www.football-lab.jp/kasw/report/?year=2022&month=10&date=29
H,湘南,L,1,2,0.643,1.295,9,13,4,6,0,0,366,519,8,16,14,10,2,3,11,1,26,24,11,4,12,16,12,24,1,2,3,2,1,2,0,0,30,44,7,10,"118,438m","111,580m",234,168,128,111,7.0%,11.7%,44.3%,55.7%,https://www.football-lab.jp/kasw/report/?year=2022&month=11&date=05
