HOME/AWAY,Opponent,勝敗,y-fm_得点,y-fm_失点,y-fm_ゴール期待値,Opponent_ゴール期待値,y-fm_シュート,Opponent_シュート,y-fm_枠内シュート,Opponent_枠内シュート,y-fm_PKによるシュート,Opponent_PKによるシュート,y-fm_パス,Opponent_パス,y-fm_クロス,Opponent_クロス,y-fm_直接ＦＫ,Opponent_直接ＦＫ,y-fm_間接ＦＫ,Opponent_間接ＦＫ,y-fm_ＣＫ,Opponent_ＣＫ,y-fm_スローイン,Opponent_スローイン,y-fm_ドリブル,Opponent_ドリブル,y-fm_タックル,Opponent_タックル,y-fm_クリア,Opponent_クリア,y-fm_インターセプト,Opponent_インターセプト,y-fm_オフサイド,Opponent_オフサイド,y-fm_警告,Opponent_警告,y-fm_退場,Opponent_退場,y-fm_３０ｍライン進入,Opponent_３０ｍライン進入,y-fm_ペナルティエリア進入,Opponent_ペナルティエリア進入,y-fm_総移動距離,Opponent_総移動距離,y-fm_スプリント,Opponent_スプリント,y-fm_攻撃回数,Opponent_攻撃回数,y-fm_チャンス構築率,Opponent_チャンス構築率,y-fm_ボール保持率,Opponent_ボール保持率,URL
H,名古屋,W,2,1,1.403,1.047,15,10,5,3,0,0,554,313,7,14,14,16,6,2,6,9,21,25,9,10,11,23,20,18,0,0,2,6,1,1,0,0,46,24,7,5,"116,653m","116,644m",206,228,115,113,13.0%,8.8%,59.9%,40.1%,https://www.football-lab.jp/y-fm/report/?year=2022&month=05&date=07
A,湘南,W,4,1,2.214,1.614,16,22,9,8,0,0,698,423,11,29,10,8,4,3,4,6,11,15,11,15,13,22,23,17,2,5,2,4,2,0,0,0,32,44,15,26,"123,479m","128,391m",206,249,110,120,14.5%,18.3%,59.8%,40.2%,https://www.football-lab.jp/y-fm/report/?year=2022&month=05&date=14
A,浦和,D,3,3,1.423,1.218,13,11,7,3,0,0,716,450,18,9,17,12,2,1,3,3,13,17,13,14,18,11,13,19,4,2,1,2,2,0,0,0,60,32,17,13,"126,918m","122,090m",220,187,112,113,11.6%,9.7%,56.5%,43.5%,https://www.football-lab.jp/y-fm/report/?year=2022&month=05&date=18
A,福岡,L,0,1,1.695,0.857,15,9,1,1,0,0,715,238,21,16,13,15,1,0,7,2,32,16,8,9,7,18,17,37,0,3,0,2,0,2,1,0,52,20,11,9,"113,587m","115,972m",170,197,117,104,12.8%,8.7%,66.3%,33.7%,https://www.football-lab.jp/y-fm/report/?year=2022&month=05&date=21
H,京都,W,2,0,2.162,0.359,28,5,13,0,0,0,535,284,18,9,14,16,6,1,4,2,47,29,14,9,12,21,9,35,0,1,1,5,2,2,0,0,54,15,21,5,"125,350m","126,716m",237,252,143,129,19.6%,3.9%,60.8%,39.2%,https://www.football-lab.jp/y-fm/report/?year=2022&month=05&date=25
A,磐田,W,2,0,1.118,0.783,13,9,3,4,0,0,692,408,16,7,6,10,2,2,4,1,24,29,10,11,20,32,14,19,1,3,2,2,0,0,0,0,48,21,12,5,"117,030m","113,887m",165,172,123,131,10.6%,6.9%,60.4%,39.6%,https://www.football-lab.jp/y-fm/report/?year=2022&month=05&date=29
A,Ｇ大阪,W,2,1,2.222,1.236,21,12,7,4,0,0,513,351,25,8,12,11,1,3,5,3,33,29,14,9,19,17,27,23,1,2,3,1,0,4,0,1,58,21,20,11,"118,022m","120,299m",178,205,131,132,16.0%,9.1%,54.8%,45.2%,https://www.football-lab.jp/y-fm/report/?year=2022&month=06&date=18
H,柏,W,4,0,1.415,0.302,12,4,6,2,0,0,633,294,10,7,17,14,3,3,5,6,23,17,10,7,12,17,11,14,3,2,3,2,1,3,0,0,32,13,12,5,"108,648m","104,631m",160,151,121,117,9.9%,3.4%,62.4%,37.6%,https://www.football-lab.jp/y-fm/report/?year=2022&month=06&date=25
A,清水,W,5,3,2.344,1.557,18,13,8,6,0,0,641,363,17,22,7,6,2,3,6,0,27,19,8,11,18,19,14,30,1,1,3,2,0,0,0,0,68,26,18,14,"120,656m","117,560m",180,170,110,105,16.4%,12.4%,57.6%,42.4%,https://www.football-lab.jp/y-fm/report/?year=2022&month=07&date=02
H,広島,W,3,0,1.72,2.283,14,20,5,3,0,0,518,492,11,27,15,12,4,0,3,9,31,25,9,13,18,18,20,24,2,2,0,4,2,2,0,0,43,44,17,15,"124,631m","118,506m",207,207,147,141,9.5%,14.2%,51.1%,48.9%,https://www.football-lab.jp/y-fm/report/?year=2022&month=07&date=06
A,Ｃ大阪,D,2,2,1.779,0.643,15,9,5,4,1,0,666,256,27,20,4,14,2,3,4,2,27,21,14,8,10,20,13,40,1,5,3,2,1,0,0,1,51,23,20,10,"106,562m","108,142m",161,164,114,113,13.2%,8.0%,62.5%,37.5%,https://www.football-lab.jp/y-fm/report/?year=2022&month=07&date=10
A,鳥栖,D,2,2,1.686,1.014,13,13,5,2,1,0,611,354,17,14,24,13,2,3,6,3,20,12,14,7,15,15,12,22,0,1,3,2,1,2,0,0,40,40,18,13,"118,241m","121,217m",183,198,125,105,10.4%,12.4%,59.6%,40.4%,https://www.football-lab.jp/y-fm/report/?year=2022&month=07&date=16
H,鹿島,W,2,0,2.144,0.515,20,6,3,1,0,0,483,295,19,15,19,10,5,2,5,4,21,20,14,6,15,20,15,24,2,0,2,4,1,1,0,0,58,24,24,4,"109,202m","106,433m",175,167,123,113,16.3%,5.3%,58.8%,41.2%,https://www.football-lab.jp/y-fm/report/?year=2022&month=07&date=30
A,川崎Ｆ,L,1,2,0.94,1.622,10,13,2,4,0,0,414,409,17,13,11,16,1,3,3,4,33,27,6,6,9,20,14,16,0,4,3,1,1,1,0,0,37,32,8,6,"109,332m","105,118m",129,141,106,112,9.4%,11.6%,48.4%,51.6%,https://www.football-lab.jp/y-fm/report/?year=2022&month=08&date=07
A,FC東京,D,2,2,2.476,1.362,16,17,3,4,0,0,544,424,20,6,7,16,3,2,8,6,20,9,7,13,11,19,10,27,2,1,2,2,2,1,0,0,60,24,22,10,"116,457m","113,287m",176,180,110,116,14.5%,14.7%,52.3%,47.7%,https://www.football-lab.jp/y-fm/report/?year=2022&month=09&date=03
H,湘南,W,3,0,2.682,1.058,20,13,6,2,1,0,555,311,27,12,14,8,2,3,9,3,21,20,14,5,8,15,19,32,1,1,3,2,1,0,0,0,52,22,20,10,"115,092m","112,847m",173,160,122,106,16.4%,12.3%,56.3%,43.7%,https://www.football-lab.jp/y-fm/report/?year=2022&month=09&date=07
H,福岡,W,1,0,1.562,0.595,12,7,5,3,0,0,628,273,10,7,22,13,0,3,4,1,22,26,8,7,13,23,20,17,0,1,3,0,1,1,0,0,40,23,10,6,"114,052m","107,786m",171,183,132,120,9.1%,5.8%,62.2%,37.8%,https://www.football-lab.jp/y-fm/report/?year=2022&month=09&date=10
A,京都,W,2,1,0.901,2.596,8,19,5,6,0,0,520,406,11,16,16,8,3,1,5,6,12,24,5,11,21,22,23,17,3,1,1,3,1,3,0,0,45,37,13,11,"111,395m","111,195m",154,177,127,125,6.3%,15.2%,52.4%,47.6%,https://www.football-lab.jp/y-fm/report/?year=2022&month=09&date=14
H,札幌,D,0,0,1.146,0.788,11,12,3,6,0,0,504,320,14,15,11,14,2,2,5,3,20,15,7,11,10,20,21,22,2,2,2,2,0,2,0,0,50,23,13,11,"108,238m","106,235m",145,150,118,111,9.3%,10.8%,55.5%,44.5%,https://www.football-lab.jp/y-fm/report/?year=2022&month=09&date=18
A,名古屋,W,4,0,2.569,1.085,17,12,8,3,0,0,706,419,15,14,11,15,5,2,5,2,14,24,11,11,21,14,21,25,1,1,2,5,1,2,0,0,56,32,24,11,"121,006m","118,225m",188,232,127,130,13.4%,9.2%,57.9%,42.1%,https://www.football-lab.jp/y-fm/report/?year=2022&month=10&date=01
H,Ｇ大阪,L,0,2,3.045,1.258,25,8,9,5,0,0,821,218,44,5,10,5,3,2,16,3,22,12,13,4,15,16,6,49,1,2,2,3,0,3,0,0,104,13,26,7,"115,484m","116,018m",133,159,124,103,20.2%,7.8%,70%,30%,https://www.football-lab.jp/y-fm/report/?year=2022&month=10&date=08
H,磐田,L,0,1,2.012,0.383,22,6,5,3,0,0,801,289,28,14,15,10,4,0,8,2,26,18,13,7,13,13,11,35,1,5,0,4,1,2,0,0,99,19,18,6,"119,872m","118,099m",148,136,132,113,16.7%,5.3%,65.7%,34.3%,https://www.football-lab.jp/y-fm/report/?year=2022&month=10&date=12
H,浦和,W,4,1,3.612,0.736,24,11,11,3,0,0,556,397,25,12,17,11,0,0,9,3,21,16,15,12,20,18,15,30,3,2,0,0,1,1,0,0,55,30,29,13,"121,286m","110,874m",218,217,120,111,20.0%,9.9%,55.2%,44.8%,https://www.football-lab.jp/y-fm/report/?year=2022&month=10&date=29
A,神戸,W,3,1,2.308,0.946,19,10,6,2,0,0,545,465,16,10,9,16,4,0,8,2,18,24,8,8,18,19,16,26,3,1,0,4,1,0,0,0,49,29,17,10,"119,000m","118,392m",156,160,125,124,15.2%,8.1%,52.1%,47.9%,https://www.football-lab.jp/y-fm/report/?year=2022&month=11&date=05
