HOME/AWAY,Opponent,勝敗,fuku_得点,fuku_失点,fuku_ゴール期待値,Opponent_ゴール期待値,fuku_シュート,Opponent_シュート,fuku_枠内シュート,Opponent_枠内シュート,fuku_PKによるシュート,Opponent_PKによるシュート,fuku_パス,Opponent_パス,fuku_クロス,Opponent_クロス,fuku_直接ＦＫ,Opponent_直接ＦＫ,fuku_間接ＦＫ,Opponent_間接ＦＫ,fuku_ＣＫ,Opponent_ＣＫ,fuku_スローイン,Opponent_スローイン,fuku_ドリブル,Opponent_ドリブル,fuku_タックル,Opponent_タックル,fuku_クリア,Opponent_クリア,fuku_インターセプト,Opponent_インターセプト,fuku_オフサイド,Opponent_オフサイド,fuku_警告,Opponent_警告,fuku_退場,Opponent_退場,fuku_３０ｍライン進入,Opponent_３０ｍライン進入,fuku_ペナルティエリア進入,Opponent_ペナルティエリア進入,fuku_総移動距離,Opponent_総移動距離,fuku_スプリント,Opponent_スプリント,fuku_攻撃回数,Opponent_攻撃回数,fuku_チャンス構築率,Opponent_チャンス構築率,fuku_ボール保持率,Opponent_ボール保持率,URL
A,湘南,D,0,0,0.571,0.407,7,6,0,0,0,0,306,365,12,14,16,13,1,2,4,4,19,25,10,6,22,20,22,12,2,3,2,1,1,2,0,0,29,24,5,6,"93,852m","98,211m",141,149,102,105,6.9%,5.7%,47.2%,52.8%,https://www.football-lab.jp/fuku/report/?year=2022&month=07&date=16
A,Ｃ大阪,L,0,2,0.306,1.101,4,14,0,5,0,0,396,385,11,14,11,16,3,0,6,3,25,32,6,6,12,13,14,21,0,1,0,3,3,1,0,0,27,31,3,8,"105,739m","107,808m",150,136,117,118,3.4%,11.9%,47.8%,52.2%,https://www.football-lab.jp/fuku/report/?year=2022&month=07&date=30
A,鹿島,L,0,2,0.99,1.039,10,12,2,4,0,0,327,382,20,10,12,14,3,0,6,0,15,16,15,4,14,18,13,27,0,1,0,3,2,3,0,0,25,32,12,8,"99,554m","103,754m",149,163,102,89,9.8%,13.5%,50.1%,49.9%,https://www.football-lab.jp/fuku/report/?year=2022&month=08&date=14
H,川崎Ｆ,L,1,4,0.958,2.228,10,11,3,5,0,1,379,576,14,9,8,9,0,1,3,0,18,20,11,13,20,14,8,14,3,1,1,0,1,0,1,0,33,37,8,11,"99,721m","98,247m",126,108,95,97,10.5%,11.3%,41.2%,58.8%,https://www.football-lab.jp/fuku/report/?year=2022&month=08&date=20
A,鳥栖,D,1,1,0.831,0.985,10,14,3,4,0,0,339,480,10,18,17,17,2,1,2,2,20,11,4,6,14,14,17,7,4,0,1,2,3,1,0,0,28,45,9,12,"108,622m","111,980m",169,165,103,102,9.7%,13.7%,45%,55%,https://www.football-lab.jp/fuku/report/?year=2022&month=08&date=26
H,Ｇ大阪,L,0,1,1.164,1.084,10,12,3,2,0,0,377,500,25,14,6,10,0,2,5,3,18,19,15,12,23,13,18,22,0,2,2,0,2,2,0,0,37,32,13,11,"101,728m","105,890m",135,124,98,99,10.2%,12.1%,44.4%,55.6%,https://www.football-lab.jp/fuku/report/?year=2022&month=08&date=31
H,名古屋,L,2,3,1.244,1.116,11,8,4,3,0,0,410,424,16,11,12,15,5,0,2,3,27,21,13,13,23,20,12,17,1,1,0,5,1,0,1,0,39,26,12,9,"108,999m","114,669m",170,185,128,132,8.6%,6.1%,48.6%,51.4%,https://www.football-lab.jp/fuku/report/?year=2022&month=09&date=03
A,横浜FM,L,0,1,0.595,1.562,7,12,3,5,0,0,273,628,7,10,13,22,3,0,1,4,26,22,7,8,23,13,17,20,1,0,0,3,1,1,0,0,23,40,6,10,"107,786m","114,052m",183,171,120,132,5.8%,9.1%,37.8%,62.2%,https://www.football-lab.jp/fuku/report/?year=2022&month=09&date=10
H,清水,W,3,2,0.943,1.51,8,9,5,4,0,1,195,425,9,17,11,21,1,3,3,5,18,23,7,17,18,7,36,9,1,2,3,1,2,1,0,0,18,28,9,7,"102,973m","103,421m",159,142,89,111,9.0%,8.1%,35.4%,64.6%,https://www.football-lab.jp/fuku/report/?year=2022&month=09&date=17
H,神戸,L,0,1,1.07,0.892,11,6,2,2,0,0,351,408,20,11,14,12,2,1,6,3,26,17,11,12,19,16,14,22,1,1,1,2,0,0,0,0,33,34,8,8,"103,653m","104,119m",113,124,127,118,8.7%,5.1%,46.2%,53.8%,https://www.football-lab.jp/fuku/report/?year=2022&month=10&date=01
A,札幌,W,2,1,1.014,0.732,10,10,3,5,0,0,313,596,21,13,11,15,0,1,5,2,20,24,9,10,19,10,31,22,1,1,1,0,1,1,0,0,30,43,14,21,"108,011m","106,126m",190,149,119,121,8.4%,8.3%,38.3%,61.7%,https://www.football-lab.jp/fuku/report/?year=2022&month=10&date=08
H,柏,W,2,1,0.807,0.371,9,6,4,2,0,0,276,531,14,17,14,11,0,0,6,4,22,26,6,14,22,15,20,22,2,0,0,0,4,2,0,0,16,48,14,11,"107,484m","104,809m",163,116,117,109,7.7%,5.5%,36.7%,63.3%,https://www.football-lab.jp/fuku/report/?year=2022&month=10&date=29
A,浦和,D,1,1,0.483,0.839,7,16,3,6,0,0,350,711,17,9,9,11,0,1,1,2,15,21,6,11,28,12,21,13,2,0,1,0,2,0,0,0,35,82,6,12,"114,538m","113,345m",172,186,112,123,6.3%,13.0%,37.8%,62.2%,https://www.football-lab.jp/fuku/report/?year=2022&month=11&date=05
