HOME/AWAY,Opponent,勝敗,sapp_得点,sapp_失点,Opponent_ゴール期待値,sapp_ゴール期待値,Opponent_シュート,sapp_シュート,Opponent_枠内シュート,sapp_枠内シュート,Opponent_PKによるシュート,sapp_PKによるシュート,Opponent_パス,sapp_パス,Opponent_クロス,sapp_クロス,Opponent_直接ＦＫ,sapp_直接ＦＫ,Opponent_間接ＦＫ,sapp_間接ＦＫ,Opponent_ＣＫ,sapp_ＣＫ,Opponent_スローイン,sapp_スローイン,Opponent_ドリブル,sapp_ドリブル,Opponent_タックル,sapp_タックル,Opponent_クリア,sapp_クリア,Opponent_インターセプト,sapp_インターセプト,Opponent_オフサイド,sapp_オフサイド,Opponent_警告,sapp_警告,Opponent_退場,sapp_退場,Opponent_３０ｍライン進入,sapp_３０ｍライン進入,Opponent_ペナルティエリア進入,sapp_ペナルティエリア進入,Opponent_総移動距離,sapp_総移動距離,Opponent_スプリント,sapp_スプリント,Opponent_攻撃回数,sapp_攻撃回数,Opponent_チャンス構築率,sapp_チャンス構築率,Opponent_ボール保持率,sapp_ボール保持率,URL
A,Ｇ大阪,D,0,0,1.245,3.456,9,26,4,8,0,1,407,490,8,21,15,9,2,0,5,7,24,35,15,12,28,21,36,11,2,2,0,1,2,1,0,0,26,42,7,25,"115,332m","112,238m",158,139,144,136,6.3%,19.1%,49.6%,50.4%,https://www.football-lab.jp/sapp/report/?year=2022&month=05&date=04
H,京都,W,1,0,0.981,1.177,11,16,3,4,0,0,429,454,14,16,9,10,4,1,2,5,21,20,9,13,26,20,18,24,1,5,1,4,1,0,0,0,32,46,13,20,"114,607m","110,319m",216,201,129,129,8.5%,12.4%,49.3%,50.7%,https://www.football-lab.jp/sapp/report/?year=2022&month=05&date=07
A,鹿島,L,1,4,2.848,1.499,20,14,6,2,1,0,309,480,11,11,8,6,1,0,2,6,28,25,8,13,15,17,21,15,2,2,0,1,0,3,0,0,29,43,12,9,"112,767m","106,094m",203,167,119,125,16.8%,11.2%,43.3%,56.7%,https://www.football-lab.jp/sapp/report/?year=2022&month=05&date=14
A,磐田,W,2,1,1.592,1.522,9,12,1,3,0,0,419,550,13,13,8,16,1,0,6,3,28,22,5,20,18,16,10,30,4,1,0,1,1,1,0,0,20,39,4,15,"110,273m","110,903m",125,171,120,118,7.5%,10.2%,44.7%,55.3%,https://www.football-lab.jp/sapp/report/?year=2022&month=05&date=22
H,柏,L,1,6,3.194,0.775,21,14,10,4,1,0,446,620,13,9,8,13,1,2,3,4,3,22,6,20,18,13,30,12,1,3,2,1,2,2,0,1,57,41,23,13,"124,517m","116,539m",215,202,99,118,21.2%,11.9%,42.9%,57.1%,https://www.football-lab.jp/sapp/report/?year=2022&month=05&date=25
A,神戸,L,1,4,1.8,1.326,12,15,7,2,0,0,337,491,10,15,14,14,0,1,5,5,21,19,11,9,12,19,14,17,4,5,1,0,3,2,0,1,27,49,8,13,"109,526m","105,541m",153,120,111,104,10.8%,14.4%,43.9%,56.1%,https://www.football-lab.jp/sapp/report/?year=2022&month=05&date=29
A,川崎Ｆ,L,2,5,2.353,1.102,17,9,9,3,0,0,606,382,8,9,12,9,4,2,6,4,26,24,14,7,10,16,18,19,5,0,2,4,0,4,0,0,44,20,12,3,"106,613m","108,587m",160,149,113,107,15.0%,8.4%,61.4%,38.6%,https://www.football-lab.jp/sapp/report/?year=2022&month=06&date=18
H,Ｇ大阪,W,1,0,0.305,1.867,5,20,1,7,0,0,473,525,6,11,9,7,3,4,2,1,25,27,7,12,12,14,12,21,1,1,4,3,0,0,0,0,25,49,8,21,"114,165m","111,262m",155,149,113,115,4.4%,17.4%,49.2%,50.8%,https://www.football-lab.jp/sapp/report/?year=2022&month=06&date=26
A,京都,L,1,2,1.934,0.896,10,11,3,5,0,0,441,435,11,19,8,14,0,1,5,4,24,18,8,19,17,17,17,16,3,3,1,0,2,0,0,1,28,33,9,12,"111,252m","98,248m",160,130,111,107,9.0%,10.3%,52.7%,47.3%,https://www.football-lab.jp/sapp/report/?year=2022&month=07&date=02
A,FC東京,L,0,3,2.49,1.017,12,12,7,2,2,0,375,688,6,19,10,8,0,1,2,5,13,13,15,16,25,19,22,14,4,3,1,0,1,3,0,0,27,42,9,17,"111,798m","112,373m",188,170,108,108,11.1%,11.1%,38.2%,61.8%,https://www.football-lab.jp/sapp/report/?year=2022&month=07&date=06
H,鹿島,D,0,0,0.226,0.929,5,10,1,0,0,0,409,528,12,11,9,18,2,2,3,3,15,18,8,17,12,14,22,16,3,1,2,2,3,1,0,0,32,33,7,12,"108,146m","104,963m",151,127,104,114,4.8%,8.8%,44.2%,55.8%,https://www.football-lab.jp/sapp/report/?year=2022&month=07&date=10
A,柏,L,0,1,0.327,0.877,4,14,2,7,0,0,321,736,10,6,10,7,1,2,2,7,15,23,8,4,15,11,27,9,2,2,2,1,1,0,0,0,27,33,5,9,"116,679m","112,033m",175,141,100,110,4.0%,12.7%,37.1%,62.9%,https://www.football-lab.jp/sapp/report/?year=2022&month=07&date=16
H,名古屋,D,2,2,1.154,1.32,14,7,5,5,0,0,448,377,15,11,25,10,1,1,6,4,19,17,12,12,13,13,20,23,2,2,1,1,1,4,0,0,37,32,14,11,"110,211m","108,824m",184,155,125,107,11.2%,6.5%,54.8%,45.2%,https://www.football-lab.jp/sapp/report/?year=2022&month=07&date=30
A,湘南,W,5,1,0.928,1.082,14,8,4,6,0,0,439,521,11,8,10,16,2,0,2,1,22,14,8,6,10,19,7,24,3,2,0,2,1,0,0,0,37,28,10,7,"109,171m","105,452m",151,153,117,119,12.0%,6.7%,46.1%,53.9%,https://www.football-lab.jp/sapp/report/?year=2022&month=08&date=07
H,神戸,L,0,2,0.822,1.114,10,17,4,3,0,0,346,656,13,18,13,8,1,0,7,6,16,27,7,6,27,11,28,17,4,4,0,1,0,2,0,0,36,45,7,14,"121,224m","113,862m",195,137,121,127,8.3%,13.4%,41%,59%,https://www.football-lab.jp/sapp/report/?year=2022&month=08&date=13
H,鳥栖,L,1,2,1.712,1.819,16,14,7,3,0,0,428,513,11,6,6,13,3,2,5,3,19,19,12,11,20,13,18,20,2,3,2,3,3,0,0,0,33,32,15,12,"117,158m","113,012m",211,177,115,117,13.9%,12.0%,47.1%,52.9%,https://www.football-lab.jp/sapp/report/?year=2022&month=08&date=20
H,Ｃ大阪,W,2,1,2.347,0.775,16,13,6,5,0,0,408,553,18,8,9,5,1,1,8,3,18,18,7,15,18,21,15,23,3,1,1,1,0,3,0,0,37,34,15,12,"117,666m","117,241m",213,201,117,107,13.7%,12.1%,44.3%,55.7%,https://www.football-lab.jp/sapp/report/?year=2022&month=09&date=02
H,磐田,W,4,0,0.464,2.069,5,19,2,7,0,0,337,592,5,18,18,16,1,2,3,2,16,14,8,12,9,13,18,13,1,5,1,1,2,1,1,0,15,42,3,20,"106,701m","110,463m",139,174,110,106,4.5%,17.9%,38.5%,61.5%,https://www.football-lab.jp/sapp/report/?year=2022&month=09&date=11
A,横浜FM,D,0,0,1.146,0.788,11,12,3,6,0,0,504,320,14,15,11,14,2,2,5,3,20,15,7,11,10,20,21,22,2,2,2,2,0,2,0,0,50,23,13,11,"108,238m","106,235m",145,150,118,111,9.3%,10.8%,55.5%,44.5%,https://www.football-lab.jp/sapp/report/?year=2022&month=09&date=18
H,川崎Ｆ,W,4,3,3.315,2.134,13,14,5,5,1,1,417,394,6,12,9,8,2,5,2,5,19,20,6,15,13,25,20,12,1,1,4,2,1,2,1,0,32,40,4,18,"106,351m","110,480m",198,202,116,114,11.2%,12.3%,50%,50%,https://www.football-lab.jp/sapp/report/?year=2022&month=10&date=01
H,福岡,L,1,2,1.014,0.732,10,10,3,5,0,0,313,596,21,13,11,15,0,1,5,2,20,24,9,10,19,10,31,22,1,1,1,0,1,1,0,0,30,43,14,21,"108,011m","106,126m",190,149,119,121,8.4%,8.3%,38.3%,61.7%,https://www.football-lab.jp/sapp/report/?year=2022&month=10&date=08
A,浦和,D,1,1,2.034,0.766,14,15,2,4,1,0,370,613,13,17,8,7,2,0,1,5,18,27,6,19,15,13,32,16,1,2,0,2,0,1,0,0,34,57,16,20,"113,740m","112,790m",194,176,121,137,11.6%,10.9%,42%,58%,https://www.football-lab.jp/sapp/report/?year=2022&month=10&date=12
A,広島,W,2,1,1.517,2.32,15,16,6,5,0,0,444,355,12,8,20,9,0,3,3,3,32,17,14,18,21,24,6,26,3,1,3,0,2,4,0,0,40,26,9,15,"106,878m","106,781m",169,155,146,127,10.3%,12.6%,51.4%,48.6%,https://www.football-lab.jp/sapp/report/?year=2022&month=10&date=29
H,清水,W,4,3,2.632,2.576,16,21,7,7,0,0,329,477,14,15,12,10,2,1,8,5,19,17,12,12,11,20,23,25,3,2,1,2,1,0,0,0,33,34,5,15,"112,508m","111,938m",181,193,113,101,14.2%,20.8%,42.2%,57.8%,https://www.football-lab.jp/sapp/report/?year=2022&month=11&date=05
