HOME/AWAY,Opponent,勝敗,kobe_得点,kobe_失点,Opponent_ゴール期待値,kobe_ゴール期待値,Opponent_シュート,kobe_シュート,Opponent_枠内シュート,kobe_枠内シュート,Opponent_PKによるシュート,kobe_PKによるシュート,Opponent_パス,kobe_パス,Opponent_クロス,kobe_クロス,Opponent_直接ＦＫ,kobe_直接ＦＫ,Opponent_間接ＦＫ,kobe_間接ＦＫ,Opponent_ＣＫ,kobe_ＣＫ,Opponent_スローイン,kobe_スローイン,Opponent_ドリブル,kobe_ドリブル,Opponent_タックル,kobe_タックル,Opponent_クリア,kobe_クリア,Opponent_インターセプト,kobe_インターセプト,Opponent_オフサイド,kobe_オフサイド,Opponent_警告,kobe_警告,Opponent_退場,kobe_退場,Opponent_３０ｍライン進入,kobe_３０ｍライン進入,Opponent_ペナルティエリア進入,kobe_ペナルティエリア進入,Opponent_総移動距離,kobe_総移動距離,Opponent_スプリント,kobe_スプリント,Opponent_攻撃回数,kobe_攻撃回数,Opponent_チャンス構築率,kobe_チャンス構築率,Opponent_ボール保持率,kobe_ボール保持率,URL
H,鹿島,L,0,1,2.718,0.384,19,5,9,0,0,0,438,589,13,7,10,10,6,3,4,3,20,25,14,11,23,17,16,16,4,4,3,6,0,1,0,0,43,40,16,10,"110,864m","109,042m",209,155,127,131,15.0%,3.8%,42.3%,57.7%,https://www.football-lab.jp/kobe/report/?year=2019&month=05&date=12
A,横浜FM,L,1,4,2.138,1.002,15,13,5,6,0,0,634,384,26,13,16,11,10,2,3,3,23,15,20,9,8,14,25,19,4,3,2,10,0,2,0,0,64,26,20,14,"120,420m","110,807m",245,214,134,125,11.2%,10.4%,58.2%,41.8%,https://www.football-lab.jp/kobe/report/?year=2019&month=05&date=18
H,湘南,W,4,1,1.094,1.448,9,15,1,8,0,0,315,550,8,18,6,11,0,2,3,4,15,29,2,14,15,7,23,12,2,4,2,1,2,0,0,0,29,50,6,18,"113,500m","107,436m",182,183,107,119,8.4%,12.6%,39.2%,60.8%,https://www.football-lab.jp/kobe/report/?year=2019&month=05&date=26
A,磐田,D,1,1,2.161,1.497,17,9,5,4,1,1,473,444,12,8,16,11,1,1,4,3,24,18,19,8,17,21,12,37,4,2,1,1,1,3,0,1,51,33,12,9,"113,221m","109,030m",182,178,111,110,15.3%,8.2%,49.5%,50.5%,https://www.football-lab.jp/kobe/report/?year=2019&month=06&date=01
A,FC東京,W,1,0,1.727,1.61,14,20,2,3,0,0,348,498,19,18,12,12,2,1,10,8,28,13,14,16,22,19,17,32,4,2,1,2,0,0,0,0,46,38,16,15,"111,339m","109,188m",187,195,126,107,11.1%,18.7%,41.7%,58.3%,https://www.football-lab.jp/kobe/report/?year=2019&month=06&date=15
H,大分,D,2,2,0.487,1.202,7,15,2,6,0,0,659,466,6,12,10,6,1,1,3,5,10,22,4,10,16,14,14,9,3,6,1,1,1,1,0,0,25,33,5,17,"113,940m","115,675m",146,219,89,88,7.9%,17.0%,54.8%,45.2%,https://www.football-lab.jp/kobe/report/?year=2019&month=06&date=22
H,名古屋,W,5,3,2.562,2.323,22,10,7,7,0,2,617,292,11,6,19,9,5,1,7,2,12,8,12,9,13,25,6,30,1,1,1,5,2,0,0,0,56,23,23,10,"104,602m","107,070m",132,141,113,97,19.5%,10.3%,60.6%,39.4%,https://www.football-lab.jp/kobe/report/?year=2019&month=06&date=30
A,清水,L,1,2,1.172,0.887,12,12,5,2,0,0,299,557,9,13,9,12,2,0,3,4,21,24,11,8,12,16,22,20,3,4,0,2,2,2,0,0,32,34,8,10,,,,,110,115,10.9%,10.4%,36.4%,63.6%,https://www.football-lab.jp/kobe/report/?year=2019&month=07&date=06
A,湘南,L,1,3,2.248,1.034,23,9,7,3,0,0,312,465,24,12,15,14,4,1,5,5,22,14,11,13,19,19,23,32,3,3,1,4,0,1,0,0,34,48,10,11,"113,883m","104,997m",183,172,117,112,19.7%,8.0%,42%,58%,https://www.football-lab.jp/kobe/report/?year=2019&month=07&date=14
H,横浜FM,L,0,2,1.845,1.519,13,20,6,4,1,0,485,394,7,14,15,15,12,3,5,7,19,18,12,17,22,21,23,19,1,2,3,11,1,2,1,0,37,43,14,18,"110,855m","105,309m",174,194,117,112,11.1%,17.9%,51.8%,48.2%,https://www.football-lab.jp/kobe/report/?year=2019&month=07&date=20
H,Ｇ大阪,D,2,2,1.458,3.089,14,27,6,11,0,1,402,533,9,32,10,8,0,3,5,8,18,15,14,29,23,19,25,13,2,7,3,0,1,1,0,0,32,65,12,25,"112,108m","108,237m",148,177,111,112,12.6%,24.1%,42.8%,57.2%,https://www.football-lab.jp/kobe/report/?year=2019&month=08&date=02
A,大分,D,1,1,0.678,0.491,7,9,4,3,0,0,461,602,10,9,10,10,0,1,5,3,12,15,9,14,14,13,14,12,4,2,1,0,0,0,0,0,23,36,9,10,"109,909m","106,006m",141,138,86,85,8.1%,10.6%,43.3%,56.7%,https://www.football-lab.jp/kobe/report/?year=2019&month=08&date=10
H,浦和,W,3,0,0.994,2.579,11,19,4,8,0,1,509,523,19,8,16,11,4,2,4,9,9,9,7,11,20,14,18,15,2,3,2,4,2,1,0,0,36,40,10,10,"105,069m","108,882m",138,131,96,94,11.5%,20.2%,47.5%,52.5%,https://www.football-lab.jp/kobe/report/?year=2019&month=08&date=17
A,鳥栖,W,6,1,2.202,2.911,21,16,2,9,0,1,395,715,18,10,8,14,3,1,6,2,13,13,18,6,12,18,12,12,3,5,1,3,1,0,0,0,40,39,14,20,"113,027m","110,602m",129,139,94,101,22.3%,15.8%,40%,60%,https://www.football-lab.jp/kobe/report/?year=2019&month=08&date=23
H,札幌,L,2,3,1.811,2.021,10,19,6,5,0,0,370,751,5,13,11,9,1,1,7,6,9,13,4,12,22,9,28,11,3,7,1,1,2,0,0,0,19,57,8,10,"110,956m","104,405m",136,155,102,98,9.8%,19.4%,34.6%,65.4%,https://www.football-lab.jp/kobe/report/?year=2019&month=08&date=31
H,松本,W,2,1,1.086,1.906,12,18,5,3,0,0,293,790,4,15,12,11,1,0,3,7,14,16,4,17,18,18,26,14,1,1,0,1,0,0,0,0,16,59,8,22,"114,675m","107,803m",165,145,103,106,11.7%,17.0%,30.8%,69.2%,https://www.football-lab.jp/kobe/report/?year=2019&month=09&date=14
A,川崎Ｆ,W,2,1,1.154,0.486,17,4,5,2,0,0,622,606,13,9,14,9,2,2,3,3,20,16,10,5,6,24,20,22,6,6,1,2,0,2,0,0,47,41,15,9,"107,570m","106,994m",143,151,111,111,15.3%,3.6%,45.4%,54.6%,https://www.football-lab.jp/kobe/report/?year=2019&month=09&date=28
A,広島,L,2,6,2.31,0.946,23,14,13,7,1,0,466,646,16,8,11,8,0,1,3,5,21,8,16,9,18,20,15,23,4,4,1,0,0,1,0,1,54,60,24,15,"111,550m","105,203m",161,131,98,93,23.5%,15.1%,43.5%,56.5%,https://www.football-lab.jp/kobe/report/?year=2019&month=10&date=05
H,FC東京,L,1,3,0.916,1.218,7,16,5,5,0,0,417,625,8,21,12,7,0,2,1,8,30,19,7,21,24,24,24,11,3,0,2,0,0,1,0,0,23,66,7,10,"112,569m","107,703m",161,143,102,93,6.9%,17.2%,41.2%,58.8%,https://www.football-lab.jp/kobe/report/?year=2019&month=10&date=19
H,仙台,W,2,0,1.096,0.849,15,10,3,5,0,0,444,656,9,8,11,12,4,0,7,3,21,14,11,13,19,18,7,18,0,4,0,4,1,0,0,0,29,42,6,12,"108,959m","108,651m",149,163,115,113,13.0%,8.8%,39.8%,60.2%,https://www.football-lab.jp/kobe/report/?year=2019&month=11&date=02
A,名古屋,L,0,3,0.919,1.687,6,17,4,2,0,0,401,625,8,27,12,10,3,2,3,10,9,22,11,16,20,18,32,13,2,0,2,3,2,0,0,0,30,95,8,22,"110,614m","107,098m",122,126,101,107,5.9%,15.9%,38.5%,61.5%,https://www.football-lab.jp/kobe/report/?year=2019&month=11&date=09
H,Ｃ大阪,W,1,0,0.984,1.456,12,24,4,5,0,0,409,575,8,18,15,9,5,0,2,6,18,24,9,14,11,23,27,13,2,4,0,4,0,3,0,0,34,72,15,17,"114,068m","110,047m",148,151,115,120,10.4%,20.0%,43.1%,56.9%,https://www.football-lab.jp/kobe/report/?year=2019&month=11&date=23
A,鹿島,W,3,1,1.041,1.759,15,12,4,5,0,0,385,611,23,15,14,12,0,1,3,3,22,21,11,7,26,22,20,30,0,3,1,0,1,0,0,0,53,51,16,18,"117,593m","118,636m",180,206,131,136,11.5%,8.8%,39.8%,60.2%,https://www.football-lab.jp/kobe/report/?year=2019&month=11&date=30
H,磐田,W,4,1,1.244,2.799,16,17,5,7,0,1,539,621,18,7,9,5,2,0,3,8,16,18,13,8,15,24,12,13,4,4,0,2,0,0,0,0,42,56,12,15,"114,792m","114,397m",174,208,117,118,13.7%,14.4%,44.5%,55.5%,https://www.football-lab.jp/kobe/report/?year=2019&month=12&date=07
