HOME/AWAY,Opponent,勝敗,g-os_得点,g-os_失点,g-os_ゴール期待値,Opponent_ゴール期待値,g-os_シュート,Opponent_シュート,g-os_枠内シュート,Opponent_枠内シュート,g-os_PKによるシュート,Opponent_PKによるシュート,g-os_パス,Opponent_パス,g-os_クロス,Opponent_クロス,g-os_直接ＦＫ,Opponent_直接ＦＫ,g-os_間接ＦＫ,Opponent_間接ＦＫ,g-os_ＣＫ,Opponent_ＣＫ,g-os_スローイン,Opponent_スローイン,g-os_ドリブル,Opponent_ドリブル,g-os_タックル,Opponent_タックル,g-os_クリア,Opponent_クリア,g-os_インターセプト,Opponent_インターセプト,g-os_オフサイド,Opponent_オフサイド,g-os_警告,Opponent_警告,g-os_退場,Opponent_退場,g-os_３０ｍライン進入,Opponent_３０ｍライン進入,g-os_ペナルティエリア進入,Opponent_ペナルティエリア進入,g-os_総移動距離,Opponent_総移動距離,g-os_スプリント,Opponent_スプリント,g-os_攻撃回数,Opponent_攻撃回数,g-os_チャンス構築率,Opponent_チャンス構築率,g-os_ボール保持率,Opponent_ボール保持率,URL
H,清水,W,1,0,1.971,0.803,21,11,9,6,0,0,642,467,17,13,7,8,4,4,7,5,14,13,19,15,18,16,30,32,4,5,4,4,1,1,0,0,57,51,23,10,"119,260m","114,176m",154,158,109,111,19.3%,9.9%,57.5%,42.5%,https://www.football-lab.jp/g-os/report/?year=2019&month=07&date=13
A,名古屋,D,2,2,0.551,1.633,9,13,4,8,0,0,635,599,7,13,5,12,3,3,4,1,15,11,11,8,16,19,20,22,1,3,3,3,2,0,0,0,56,39,13,17,"109,607m","110,309m",114,134,84,86,10.7%,15.1%,52.9%,47.1%,https://www.football-lab.jp/g-os/report/?year=2019&month=07&date=20
A,神戸,D,2,2,1.458,3.089,14,27,6,11,0,1,402,533,9,32,10,8,0,3,5,8,18,15,14,29,23,19,25,13,2,7,3,0,1,1,0,0,32,65,12,25,"112,108m","108,237m",148,177,111,112,12.6%,24.1%,42.8%,57.2%,https://www.football-lab.jp/g-os/report/?year=2019&month=08&date=02
H,広島,D,1,1,1.46,1.24,20,11,3,2,0,0,682,407,15,10,15,14,2,0,4,2,13,21,17,6,21,21,15,17,5,0,0,2,2,0,0,0,59,23,12,10,"105,866m","104,011m",154,153,101,103,19.8%,10.7%,60.8%,39.2%,https://www.football-lab.jp/g-os/report/?year=2019&month=08&date=10
H,磐田,D,1,1,1.923,1.926,16,13,2,2,0,1,773,357,35,9,11,9,0,1,2,3,15,19,18,13,24,16,19,30,2,1,1,0,0,2,0,1,96,31,19,11,"105,769m","101,333m",113,110,105,107,15.2%,12.1%,63.1%,36.9%,https://www.football-lab.jp/g-os/report/?year=2019&month=08&date=18
A,鹿島,D,2,2,1.584,1.474,11,18,6,6,1,0,437,539,11,17,12,17,0,2,4,3,9,22,8,9,19,19,22,15,3,1,2,0,1,2,0,0,35,43,13,18,"113,053m","110,552m",154,152,89,96,12.4%,18.8%,48.4%,51.6%,https://www.football-lab.jp/g-os/report/?year=2019&month=08&date=23
A,横浜FM,L,1,3,0.611,1.221,9,16,1,5,0,0,333,781,11,23,7,15,1,7,6,5,18,18,13,16,23,16,19,15,2,1,7,1,2,0,0,0,28,67,9,20,"117,066m","117,944m",186,193,106,112,8.5%,14.3%,35%,65%,https://www.football-lab.jp/g-os/report/?year=2019&month=08&date=31
H,鳥栖,W,1,0,0.802,1.809,13,18,7,6,0,0,601,411,19,19,13,9,1,2,8,6,25,20,9,9,23,16,30,27,0,2,2,1,1,0,0,0,40,40,12,14,"109,069m","111,606m",173,182,123,118,10.6%,15.3%,56.4%,43.6%,https://www.football-lab.jp/g-os/report/?year=2019&month=09&date=14
A,Ｃ大阪,L,1,3,0.732,1.255,19,11,4,6,0,0,630,343,22,12,7,10,2,1,7,0,27,19,9,7,13,25,10,33,1,1,1,2,0,2,0,0,78,26,13,11,"110,508m","111,409m",149,138,113,101,16.8%,10.9%,56.8%,43.2%,https://www.football-lab.jp/g-os/report/?year=2019&month=09&date=28
H,札幌,W,5,0,2.727,0.619,21,7,9,2,1,0,552,612,9,16,9,8,1,3,3,3,14,14,17,16,17,22,23,11,3,4,2,1,3,0,0,0,55,51,16,14,"117,766m","113,849m",198,155,107,107,19.6%,6.5%,49.5%,50.5%,https://www.football-lab.jp/g-os/report/?year=2019&month=10&date=04
H,川崎Ｆ,D,2,2,1.632,2.263,15,13,5,3,0,0,556,857,11,7,12,5,0,1,2,1,7,11,9,11,28,19,27,6,2,1,2,0,1,2,0,0,49,71,9,12,"115,264m","107,003m",142,108,91,93,16.5%,14.0%,42%,58%,https://www.football-lab.jp/g-os/report/?year=2019&month=10&date=19
A,湘南,W,3,0,1.588,1.651,18,19,7,2,0,0,583,473,16,15,9,10,1,2,8,4,15,22,6,13,18,11,19,26,2,0,2,1,0,0,0,0,44,47,17,12,"118,384m","118,838m",204,159,103,115,17.5%,16.5%,50.9%,49.1%,https://www.football-lab.jp/g-os/report/?year=2019&month=11&date=03
A,大分,L,1,2,1.437,1.987,17,11,4,8,0,0,707,494,13,12,8,4,0,1,6,5,19,12,10,6,9,16,17,25,1,1,1,0,0,1,0,0,49,25,13,8,"113,747m","112,626m",184,164,95,88,17.9%,12.5%,56.7%,43.3%,https://www.football-lab.jp/g-os/report/?year=2019&month=11&date=10
H,仙台,W,2,0,2.675,0.616,20,10,5,2,0,0,777,372,41,9,5,10,4,0,6,3,17,24,15,14,25,21,16,29,2,2,0,4,0,0,0,0,77,37,26,6,"116,911m","111,624m",233,183,110,115,18.2%,8.7%,62.4%,37.6%,https://www.football-lab.jp/g-os/report/?year=2019&month=11&date=23
H,松本,W,4,1,2.949,1.881,23,18,6,6,0,0,731,408,15,11,8,14,1,0,8,7,18,20,14,15,16,29,21,17,5,1,0,1,2,1,0,0,43,41,13,12,"115,336m","118,691m",201,208,118,123,19.5%,14.6%,61.4%,38.6%,https://www.football-lab.jp/g-os/report/?year=2019&month=11&date=30
A,浦和,W,3,2,1.98,1.6,18,13,7,4,0,0,572,500,17,11,14,8,1,2,7,5,17,16,7,9,20,22,15,29,2,0,2,1,0,0,0,0,40,30,16,15,"117,910m","117,257m",222,222,109,96,16.5%,13.5%,52.8%,47.2%,https://www.football-lab.jp/g-os/report/?year=2019&month=12&date=07
