HOME/AWAY,Opponent,勝敗,shim_得点,shim_失点,Opponent_ゴール期待値,shim_ゴール期待値,Opponent_シュート,shim_シュート,Opponent_枠内シュート,shim_枠内シュート,Opponent_PKによるシュート,shim_PKによるシュート,Opponent_パス,shim_パス,Opponent_クロス,shim_クロス,Opponent_直接ＦＫ,shim_直接ＦＫ,Opponent_間接ＦＫ,shim_間接ＦＫ,Opponent_ＣＫ,shim_ＣＫ,Opponent_スローイン,shim_スローイン,Opponent_ドリブル,shim_ドリブル,Opponent_タックル,shim_タックル,Opponent_クリア,shim_クリア,Opponent_インターセプト,shim_インターセプト,Opponent_オフサイド,shim_オフサイド,Opponent_警告,shim_警告,Opponent_退場,shim_退場,Opponent_３０ｍライン進入,shim_３０ｍライン進入,Opponent_ペナルティエリア進入,shim_ペナルティエリア進入,Opponent_総移動距離,shim_総移動距離,Opponent_スプリント,shim_スプリント,Opponent_攻撃回数,shim_攻撃回数,Opponent_チャンス構築率,shim_チャンス構築率,Opponent_ボール保持率,shim_ボール保持率,URL
H,川崎Ｆ,L,0,4,1.022,0.451,15,9,5,2,0,0,596,492,12,14,5,4,3,1,5,2,17,16,16,17,24,27,28,19,0,4,1,2,0,1,0,0,55,50,16,6,"112,172m","110,626m",163,136,125,118,12.0%,7.6%,50.2%,49.8%,https://www.football-lab.jp/shim/report/?year=2019&month=05&date=12
A,大分,D,1,1,0.876,1.979,10,13,4,6,0,1,760,344,15,13,10,9,0,1,9,2,14,23,5,7,11,7,14,18,2,0,1,0,3,1,0,0,43,24,5,5,"115,330m","116,394m",147,170,93,86,10.8%,15.1%,66.7%,33.3%,https://www.football-lab.jp/shim/report/?year=2019&month=05&date=18
H,仙台,W,4,3,1.983,2.557,21,13,7,6,0,1,498,428,22,22,6,8,2,2,9,3,28,13,15,15,19,26,24,30,1,2,2,2,2,0,1,0,41,30,13,13,"118,118m","116,891m",186,161,133,123,15.8%,10.6%,51.2%,48.8%,https://www.football-lab.jp/shim/report/?year=2019&month=05&date=25
A,松本,D,1,1,1.844,2.59,9,12,3,3,1,1,434,463,13,11,9,11,3,1,3,3,21,19,14,10,11,15,22,31,0,4,1,3,1,3,0,0,40,28,9,6,"115,227m","109,366m",166,150,122,113,7.4%,10.6%,50%,50%,https://www.football-lab.jp/shim/report/?year=2019&month=06&date=01
H,横浜FM,W,3,2,0.916,1.537,12,14,2,9,0,0,700,240,15,15,20,8,5,5,4,6,20,21,14,15,10,22,28,30,1,2,5,5,4,2,1,0,65,23,14,9,"115,668m","116,473m",191,230,126,119,9.5%,11.8%,68.2%,31.8%,https://www.football-lab.jp/shim/report/?year=2019&month=06&date=15
A,名古屋,W,2,1,1.304,1.434,12,12,3,6,0,0,728,264,20,6,16,15,4,0,3,3,26,17,10,5,12,25,18,29,1,2,0,4,0,2,0,0,74,17,21,8,"109,665m","109,615m",151,148,128,114,9.4%,10.5%,65.5%,34.5%,https://www.football-lab.jp/shim/report/?year=2019&month=06&date=22
A,鳥栖,L,2,4,1.097,2.651,13,22,7,8,0,0,380,499,15,13,9,8,1,4,5,4,17,24,19,18,13,17,27,27,3,1,4,1,2,1,0,0,43,42,8,12,"116,738m","113,773m",143,127,114,112,11.4%,19.6%,47.6%,52.4%,https://www.football-lab.jp/shim/report/?year=2019&month=06&date=30
H,神戸,W,2,1,0.887,1.172,12,12,2,5,0,0,557,299,13,9,12,9,0,2,4,3,24,21,8,11,16,12,20,22,4,3,2,0,2,2,0,0,34,32,10,8,,,,,115,110,10.4%,10.9%,63.6%,36.4%,https://www.football-lab.jp/shim/report/?year=2019&month=07&date=06
A,Ｇ大阪,L,0,1,1.971,0.803,21,11,9,6,0,0,642,467,17,13,7,8,4,4,7,5,14,13,19,15,18,16,30,32,4,5,4,4,1,1,0,0,57,51,23,10,"119,260m","114,176m",154,158,109,111,19.3%,9.9%,57.5%,42.5%,https://www.football-lab.jp/shim/report/?year=2019&month=07&date=13
H,FC東京,L,0,2,1.568,0.606,15,10,9,3,0,0,442,388,9,14,11,17,1,0,8,7,12,17,8,4,14,16,20,21,1,1,0,1,0,1,0,0,48,39,17,10,"105,012m","103,596m",170,145,91,101,16.5%,9.9%,53.2%,46.8%,https://www.football-lab.jp/shim/report/?year=2019&month=07&date=20
A,横浜FM,W,1,0,0.943,0.832,11,9,2,2,0,0,791,197,17,5,17,13,4,0,11,3,22,27,20,5,23,26,16,30,3,5,0,4,0,1,0,0,66,15,19,6,"111,466m","110,649m",165,149,133,116,8.3%,7.8%,69.5%,30.5%,https://www.football-lab.jp/shim/report/?year=2019&month=08&date=03
H,松本,W,1,0,0.779,1.887,6,14,1,2,0,0,489,378,22,14,5,15,2,3,8,5,18,17,9,6,18,19,16,28,0,3,3,2,1,3,0,0,32,26,8,5,"108,962m","104,200m",127,108,104,101,5.8%,13.9%,54.3%,45.7%,https://www.football-lab.jp/shim/report/?year=2019&month=08&date=10
H,札幌,L,0,8,1.946,1.389,16,12,9,1,0,0,447,475,21,15,6,12,1,1,4,4,17,20,16,14,16,15,18,12,2,1,1,1,3,0,0,0,31,38,19,12,"111,010m","105,274m",141,136,99,111,16.2%,10.8%,47.3%,52.7%,https://www.football-lab.jp/shim/report/?year=2019&month=08&date=17
A,川崎Ｆ,D,2,2,1.977,1.132,21,7,8,4,0,0,774,284,29,5,7,11,0,1,11,1,22,14,8,6,11,9,11,42,3,3,1,0,1,0,0,0,76,23,24,6,"104,012m","106,439m",130,125,103,93,20.4%,7.5%,64.6%,35.4%,https://www.football-lab.jp/shim/report/?year=2019&month=08&date=24
H,鹿島,L,0,4,2.188,1.982,9,19,5,5,1,0,416,441,8,15,10,15,3,2,1,6,19,23,2,12,13,13,24,16,2,2,2,3,0,2,0,0,35,33,13,10,"104,967m","105,957m",156,146,103,111,8.7%,17.1%,46.7%,53.3%,https://www.football-lab.jp/shim/report/?year=2019&month=09&date=01
H,名古屋,W,3,2,2.183,0.687,19,9,8,4,0,0,634,289,22,8,10,11,2,2,8,5,22,23,14,12,24,10,22,47,0,1,2,2,0,0,0,0,64,23,17,8,"112,173m","112,621m",146,142,113,107,16.8%,8.4%,59.6%,40.4%,https://www.football-lab.jp/shim/report/?year=2019&month=09&date=13
A,湘南,W,6,0,1.355,1.609,12,16,3,7,0,0,475,499,23,14,9,17,0,1,5,5,21,16,9,13,16,18,20,34,1,0,1,0,0,2,0,0,63,39,19,14,"112,913m","111,712m",117,121,111,112,10.8%,14.3%,47.5%,52.5%,https://www.football-lab.jp/shim/report/?year=2019&month=09&date=29
A,浦和,L,1,2,1.294,0.42,13,6,5,2,0,0,640,372,18,11,11,13,1,2,5,2,12,17,16,11,17,16,22,22,3,3,2,1,0,0,0,0,62,28,9,4,"109,791m","108,778m",107,128,103,102,12.6%,5.9%,60.9%,39.1%,https://www.football-lab.jp/shim/report/?year=2019&month=10&date=06
H,広島,L,1,2,2.213,0.806,22,9,5,2,0,0,692,381,27,9,12,10,1,0,3,4,20,18,17,6,15,23,21,32,2,1,0,1,0,0,0,0,83,29,31,8,"111,971m","109,763m",148,156,110,118,20.0%,7.6%,61.6%,38.4%,https://www.football-lab.jp/shim/report/?year=2019&month=10&date=19
H,磐田,L,1,2,1.432,1.126,20,9,5,3,0,0,644,180,31,4,7,12,0,2,5,7,24,19,14,13,17,14,19,33,4,3,2,0,4,1,0,1,76,16,31,5,"103,835m","95,942m",127,132,97,101,20.6%,8.9%,71.5%,28.5%,https://www.football-lab.jp/shim/report/?year=2019&month=11&date=02
A,仙台,L,0,2,2.172,1.119,17,13,6,0,0,0,291,570,18,30,14,16,1,0,6,8,15,19,15,26,28,17,35,26,0,1,0,1,1,2,0,0,31,46,18,15,"109,034m","107,915m",168,162,118,127,14.4%,10.2%,39.7%,60.3%,https://www.football-lab.jp/shim/report/?year=2019&month=11&date=10
H,大分,D,1,1,0.965,1.965,10,25,3,7,0,0,604,445,10,25,6,8,0,2,4,9,13,25,7,12,16,14,48,25,7,2,2,0,1,1,0,0,24,37,8,22,"115,867m","115,842m",148,152,103,118,9.7%,21.2%,57.5%,42.5%,https://www.football-lab.jp/shim/report/?year=2019&month=11&date=23
A,Ｃ大阪,L,1,2,3.903,0.715,25,8,11,2,0,0,546,273,25,13,14,11,2,3,11,4,18,24,14,9,16,24,33,25,2,0,3,2,0,0,0,0,47,25,15,4,"111,880m","108,962m",155,147,118,119,21.2%,6.7%,62.3%,37.7%,https://www.football-lab.jp/shim/report/?year=2019&month=11&date=30
H,鳥栖,W,1,0,1.269,0.83,8,11,0,5,0,0,373,400,19,19,10,15,3,2,4,2,27,26,19,16,12,31,18,25,1,1,2,3,1,0,0,0,35,36,8,8,"114,679m","113,711m",147,147,143,133,5.6%,8.3%,48.1%,51.9%,https://www.football-lab.jp/shim/report/?year=2019&month=12&date=07
