HOME/AWAY,Opponent,勝敗,kasm_得点,kasm_失点,kasm_ゴール期待値,Opponent_ゴール期待値,kasm_シュート,Opponent_シュート,kasm_枠内シュート,Opponent_枠内シュート,kasm_PKによるシュート,Opponent_PKによるシュート,kasm_パス,Opponent_パス,kasm_クロス,Opponent_クロス,kasm_直接ＦＫ,Opponent_直接ＦＫ,kasm_間接ＦＫ,Opponent_間接ＦＫ,kasm_ＣＫ,Opponent_ＣＫ,kasm_スローイン,Opponent_スローイン,kasm_ドリブル,Opponent_ドリブル,kasm_タックル,Opponent_タックル,kasm_クリア,Opponent_クリア,kasm_インターセプト,Opponent_インターセプト,kasm_オフサイド,Opponent_オフサイド,kasm_警告,Opponent_警告,kasm_退場,Opponent_退場,kasm_３０ｍライン進入,Opponent_３０ｍライン進入,kasm_ペナルティエリア進入,Opponent_ペナルティエリア進入,kasm_総移動距離,Opponent_総移動距離,kasm_スプリント,Opponent_スプリント,kasm_攻撃回数,Opponent_攻撃回数,kasm_チャンス構築率,Opponent_チャンス構築率,kasm_ボール保持率,Opponent_ボール保持率,URL
A,神戸,W,1,0,2.718,0.384,19,5,9,0,0,0,438,589,13,7,10,10,6,3,4,3,20,25,14,11,23,17,16,16,4,4,3,6,0,1,0,0,43,40,16,10,"110,864m","109,042m",209,155,127,131,15.0%,3.8%,42.3%,57.7%,https://www.football-lab.jp/kasm/report/?year=2019&month=05&date=12
H,松本,W,5,0,2.161,0.607,14,6,7,3,0,0,557,325,17,3,12,9,3,3,10,0,25,23,14,10,27,26,8,36,2,2,3,3,0,1,0,0,45,17,10,7,"111,830m","110,735m",196,167,125,104,11.2%,5.8%,60.6%,39.4%,https://www.football-lab.jp/kasm/report/?year=2019&month=05&date=18
A,鳥栖,L,0,1,0.844,1.723,11,10,2,2,0,0,327,325,12,18,17,14,2,1,6,3,17,23,16,12,22,17,22,17,2,0,1,2,0,1,0,0,28,31,10,6,"105,993m","107,605m",143,189,113,113,9.7%,8.8%,51.7%,48.3%,https://www.football-lab.jp/kasm/report/?year=2019&month=05&date=26
A,Ｇ大阪,D,1,1,0.95,0.436,8,8,2,2,0,0,524,586,14,10,12,13,2,3,5,3,14,23,11,18,21,21,20,18,3,3,3,2,2,0,0,0,53,37,15,12,"119,800m","120,734m",183,203,103,107,7.8%,7.5%,46.5%,53.5%,https://www.football-lab.jp/kasm/report/?year=2019&month=06&date=01
H,Ｃ大阪,W,2,0,1.429,2.496,10,16,3,4,1,0,446,493,15,14,6,7,3,1,5,6,22,20,9,7,12,17,20,17,1,2,1,3,1,0,0,0,40,31,7,9,"107,950m","109,301m",161,132,96,95,10.4%,16.8%,46.7%,53.3%,https://www.football-lab.jp/kasm/report/?year=2019&month=06&date=14
H,広島,D,2,2,0.959,1.511,10,12,4,3,0,0,488,481,12,15,12,8,0,4,4,4,20,30,10,11,20,26,25,22,5,3,4,0,1,4,0,0,39,39,15,14,"108,914m","110,054m",159,168,122,118,8.2%,10.2%,51.8%,48.2%,https://www.football-lab.jp/kasm/report/?year=2019&month=06&date=30
H,磐田,W,2,0,0.801,1.203,3,15,1,4,0,0,281,544,7,12,18,10,2,4,0,3,26,31,8,15,12,18,22,17,1,4,4,2,2,1,0,0,14,63,6,14,"108,013m","108,340m",166,167,110,110,2.7%,13.6%,39.3%,60.7%,https://www.football-lab.jp/kasm/report/?year=2019&month=07&date=06
A,仙台,W,4,0,3.072,1.434,18,17,9,4,0,0,421,416,18,21,8,17,2,2,8,7,17,21,10,23,18,16,31,11,2,2,2,2,2,0,0,0,38,44,11,7,"112,213m","111,774m",206,179,115,118,15.7%,14.4%,49.3%,50.7%,https://www.football-lab.jp/kasm/report/?year=2019&month=07&date=13
H,鳥栖,W,2,1,2.041,0.614,15,8,6,2,1,0,397,340,15,16,16,12,2,3,5,6,22,23,5,12,18,10,31,22,0,1,3,2,3,3,0,1,45,38,12,7,"106,059m","108,874m",155,150,103,98,14.6%,8.2%,51.3%,48.7%,https://www.football-lab.jp/kasm/report/?year=2019&month=07&date=20
A,浦和,D,1,1,1.683,2.245,13,14,5,4,0,0,381,549,15,19,15,8,1,0,5,5,25,15,11,12,18,16,23,23,2,4,0,1,0,0,0,0,31,58,16,15,"106,582m","104,956m",135,127,120,106,10.8%,13.2%,43.6%,56.4%,https://www.football-lab.jp/kasm/report/?year=2019&month=07&date=31
