HOME/AWAY,Opponent,勝敗,nago_得点,nago_失点,Opponent_ゴール期待値,nago_ゴール期待値,Opponent_シュート,nago_シュート,Opponent_枠内シュート,nago_枠内シュート,Opponent_PKによるシュート,nago_PKによるシュート,Opponent_パス,nago_パス,Opponent_クロス,nago_クロス,Opponent_直接ＦＫ,nago_直接ＦＫ,Opponent_間接ＦＫ,nago_間接ＦＫ,Opponent_ＣＫ,nago_ＣＫ,Opponent_スローイン,nago_スローイン,Opponent_ドリブル,nago_ドリブル,Opponent_タックル,nago_タックル,Opponent_クリア,nago_クリア,Opponent_インターセプト,nago_インターセプト,Opponent_オフサイド,nago_オフサイド,Opponent_警告,nago_警告,Opponent_退場,nago_退場,Opponent_３０ｍライン進入,nago_３０ｍライン進入,Opponent_ペナルティエリア進入,nago_ペナルティエリア進入,Opponent_総移動距離,nago_総移動距離,Opponent_スプリント,nago_スプリント,Opponent_攻撃回数,nago_攻撃回数,Opponent_チャンス構築率,nago_チャンス構築率,Opponent_ボール保持率,nago_ボール保持率,URL
A,川崎Ｆ,D,1,1,1.117,0.86,11,9,3,3,0,0,485,599,7,16,13,9,2,4,4,3,11,19,13,19,20,21,17,24,5,5,4,2,0,2,0,0,35,70,6,18,"110,856m","112,815m",155,158,120,120,9.2%,7.5%,45.9%,54.1%,https://www.football-lab.jp/nago/report/?year=2019&month=05&date=17
H,松本,L,0,1,0.592,1.317,9,12,2,1,0,0,252,751,1,9,7,20,2,4,7,4,12,29,6,20,25,19,35,14,4,3,4,2,2,1,0,0,12,52,3,19,"112,767m","108,735m",152,114,107,133,8.4%,9.0%,32.6%,67.4%,https://www.football-lab.jp/nago/report/?year=2019&month=05&date=26
A,仙台,L,1,3,1.061,0.675,10,10,4,2,0,0,310,675,12,12,12,9,1,0,2,6,16,22,6,21,42,21,28,16,4,2,0,1,2,1,0,0,22,61,8,14,"110,218m","111,825m",162,171,121,129,8.3%,7.8%,38.4%,61.6%,https://www.football-lab.jp/nago/report/?year=2019&month=06&date=01
A,大分,D,1,1,1.59,2.67,9,21,2,6,0,0,386,830,7,27,9,12,0,0,2,9,13,18,6,15,17,16,39,12,4,1,0,0,1,0,0,0,16,81,6,40,"113,009m","116,417m",155,174,109,116,8.3%,18.1%,39.1%,60.9%,https://www.football-lab.jp/nago/report/?year=2019&month=06&date=15
H,清水,L,1,2,1.434,1.304,12,12,6,3,0,0,264,728,6,20,15,16,0,4,3,3,17,26,5,10,25,12,29,18,2,1,4,0,2,0,0,0,17,74,8,21,"109,615m","109,665m",148,151,114,128,10.5%,9.4%,34.5%,65.5%,https://www.football-lab.jp/nago/report/?year=2019&month=06&date=22
A,神戸,L,3,5,2.323,2.562,10,22,7,7,2,0,292,617,6,11,9,19,1,5,2,7,8,12,9,12,25,13,30,6,1,1,5,1,0,2,0,0,23,56,10,23,"107,070m","104,602m",141,132,97,113,10.3%,19.5%,39.4%,60.6%,https://www.football-lab.jp/nago/report/?year=2019&month=06&date=30
H,湘南,L,0,2,0.581,2.825,8,30,4,8,0,0,212,679,3,27,10,22,2,3,2,10,14,20,5,18,24,21,50,14,2,2,3,2,0,0,0,0,13,70,7,24,"111,180m","106,919m",144,128,104,128,7.7%,23.4%,32.3%,67.7%,https://www.football-lab.jp/nago/report/?year=2019&month=07&date=07
A,Ｃ大阪,L,0,3,2.186,1.802,13,16,6,3,0,0,445,668,12,20,7,6,0,3,5,8,5,19,7,20,27,21,43,15,4,3,3,0,2,0,0,0,37,67,16,19,"115,372m","115,124m",119,151,98,108,13.3%,14.8%,45.4%,54.6%,https://www.football-lab.jp/nago/report/?year=2019&month=07&date=13
H,Ｇ大阪,D,2,2,0.551,1.633,9,13,4,8,0,0,635,599,7,13,5,12,3,3,4,1,15,11,11,8,16,19,20,22,1,3,3,3,2,0,0,0,56,39,13,17,"109,607m","110,309m",114,134,84,86,10.7%,15.1%,52.9%,47.1%,https://www.football-lab.jp/nago/report/?year=2019&month=07&date=20
A,浦和,D,2,2,1.611,2.368,20,19,6,6,0,0,667,496,18,9,7,11,1,1,4,8,17,7,15,11,21,28,15,22,3,5,1,1,0,0,0,0,56,34,18,18,"108,565m","106,824m",128,135,109,107,18.3%,17.8%,58%,42%,https://www.football-lab.jp/nago/report/?year=2019&month=08&date=04
H,川崎Ｆ,W,3,0,1.101,1.432,11,11,6,3,0,0,636,499,11,8,9,11,5,4,5,4,15,22,10,11,23,23,18,19,2,2,4,4,3,0,1,0,47,41,12,9,"103,502m","106,668m",102,141,105,109,10.5%,10.1%,53%,47%,https://www.football-lab.jp/nago/report/?year=2019&month=08&date=10
A,松本,D,1,1,0.985,0.632,15,9,6,7,0,0,274,734,12,16,16,11,1,5,2,6,15,20,8,18,23,17,33,20,3,2,3,1,1,0,0,0,23,49,8,16,"109,906m","103,558m",122,86,106,113,14.2%,8.0%,33.4%,66.6%,https://www.football-lab.jp/nago/report/?year=2019&month=08&date=18
H,横浜FM,L,1,5,4.129,2.301,20,13,10,3,2,0,496,514,11,23,10,18,5,3,4,6,9,23,15,16,20,13,29,10,1,3,3,4,1,1,0,1,41,42,19,18,"111,313m","105,328m",157,149,96,113,20.8%,11.5%,52%,48%,https://www.football-lab.jp/nago/report/?year=2019&month=08&date=24
H,FC東京,L,1,2,2.099,0.701,10,10,5,2,1,0,354,669,18,8,11,17,2,2,1,3,16,18,15,7,20,28,27,11,4,1,2,2,2,3,0,0,34,46,15,8,"106,371m","106,384m",147,116,105,113,9.5%,8.8%,40.5%,59.5%,https://www.football-lab.jp/nago/report/?year=2019&month=08&date=30
A,清水,L,2,3,0.687,2.183,9,19,4,8,0,0,289,634,8,22,11,10,2,2,5,8,23,22,12,14,10,24,47,22,1,0,2,2,0,0,0,0,23,64,8,17,"112,621m","112,173m",142,146,107,113,8.4%,16.8%,40.4%,59.6%,https://www.football-lab.jp/nago/report/?year=2019&month=09&date=13
A,広島,D,1,1,0.786,0.418,13,4,3,2,0,0,695,480,20,8,15,13,2,2,8,2,16,12,8,5,10,7,11,27,1,4,2,2,0,1,0,0,62,32,15,10,"110,737m","113,516m",136,133,100,87,13.0%,4.6%,61.2%,38.8%,https://www.football-lab.jp/nago/report/?year=2019&month=09&date=28
H,大分,D,1,1,1.319,2.505,8,21,2,5,0,0,539,669,9,23,11,9,1,1,1,4,11,17,8,6,11,11,42,9,3,1,1,1,0,0,0,0,30,65,8,24,"112,050m","109,844m",112,117,97,101,8.2%,20.8%,49.4%,50.6%,https://www.football-lab.jp/nago/report/?year=2019&month=10&date=05
H,仙台,L,0,2,2.209,1.215,11,16,5,5,1,0,302,763,13,34,8,9,1,2,3,8,13,12,9,17,13,16,43,17,2,1,2,1,0,2,0,0,32,85,9,25,"109,077m","112,420m",134,114,108,102,10.2%,15.7%,37.4%,62.6%,https://www.football-lab.jp/nago/report/?year=2019&month=10&date=19
A,札幌,L,0,3,2.203,0.452,15,8,8,1,1,0,673,404,8,13,5,21,0,3,6,3,14,10,14,12,11,18,14,14,1,1,3,0,2,0,0,1,44,33,10,7,"111,184m","107,383m",167,141,96,103,15.6%,7.8%,58.9%,41.1%,https://www.football-lab.jp/nago/report/?year=2019&month=11&date=02
H,神戸,W,3,0,1.687,0.919,17,6,2,4,0,0,625,401,27,8,10,12,2,3,10,3,22,9,16,11,18,20,13,32,0,2,3,2,0,2,0,0,95,30,22,8,"107,098m","110,614m",126,122,107,101,15.9%,5.9%,61.5%,38.5%,https://www.football-lab.jp/nago/report/?year=2019&month=11&date=09
H,鳥栖,D,0,0,1.63,0.437,7,8,3,0,1,0,413,482,14,13,10,9,3,2,4,8,18,14,12,12,20,21,19,23,2,2,2,3,1,2,0,0,38,42,6,11,"106,131m","106,061m",134,111,105,100,6.7%,8.0%,50.7%,49.3%,https://www.football-lab.jp/nago/report/?year=2019&month=11&date=23
A,磐田,L,1,2,3.128,2.111,16,15,4,7,0,0,592,381,22,10,10,14,0,0,6,6,17,23,13,10,23,16,20,27,3,0,0,0,1,1,0,0,60,32,17,11,"110,642m","111,165m",135,129,111,115,14.4%,13.0%,61.4%,38.6%,https://www.football-lab.jp/nago/report/?year=2019&month=11&date=30
H,鹿島,L,0,1,1.594,1.091,10,8,2,1,0,0,430,680,15,14,11,13,2,2,4,4,21,13,2,10,21,18,29,27,1,4,2,2,1,1,0,0,41,42,7,11,"116,200m","118,552m",165,176,124,114,8.1%,7.0%,42.5%,57.5%,https://www.football-lab.jp/nago/report/?year=2019&month=12&date=07
