HOME/AWAY,Opponent,勝敗,iwat_得点,iwat_失点,iwat_ゴール期待値,Opponent_ゴール期待値,iwat_シュート,Opponent_シュート,iwat_枠内シュート,Opponent_枠内シュート,iwat_PKによるシュート,Opponent_PKによるシュート,iwat_パス,Opponent_パス,iwat_クロス,Opponent_クロス,iwat_直接ＦＫ,Opponent_直接ＦＫ,iwat_間接ＦＫ,Opponent_間接ＦＫ,iwat_ＣＫ,Opponent_ＣＫ,iwat_スローイン,Opponent_スローイン,iwat_ドリブル,Opponent_ドリブル,iwat_タックル,Opponent_タックル,iwat_クリア,Opponent_クリア,iwat_インターセプト,Opponent_インターセプト,iwat_オフサイド,Opponent_オフサイド,iwat_警告,Opponent_警告,iwat_退場,Opponent_退場,iwat_３０ｍライン進入,Opponent_３０ｍライン進入,iwat_ペナルティエリア進入,Opponent_ペナルティエリア進入,iwat_総移動距離,Opponent_総移動距離,iwat_スプリント,Opponent_スプリント,iwat_攻撃回数,Opponent_攻撃回数,iwat_チャンス構築率,Opponent_チャンス構築率,iwat_ボール保持率,Opponent_ボール保持率,URL
A,Ｇ大阪,D,1,1,1.926,1.923,13,16,2,2,1,0,357,773,9,35,9,11,1,0,3,2,19,15,13,18,16,24,30,19,1,2,0,1,2,0,1,0,31,96,11,19,"101,333m","105,769m",110,113,107,105,12.1%,15.2%,36.9%,63.1%,https://www.football-lab.jp/iwat/report/?year=2019&month=08&date=18
H,Ｃ大阪,L,0,2,1.549,2.061,16,13,5,5,0,0,408,495,20,8,11,17,3,0,7,2,23,18,15,11,16,14,12,36,4,4,0,3,1,2,0,0,49,34,22,11,"111,275m","110,021m",161,114,112,107,14.3%,12.1%,45.8%,54.2%,https://www.football-lab.jp/iwat/report/?year=2019&month=08&date=24
H,広島,L,0,2,1.631,0.939,18,10,5,3,0,0,554,504,14,8,12,9,3,0,7,1,20,15,20,8,15,21,11,27,4,4,0,3,0,2,0,0,38,34,12,8,"107,767m","110,151m",122,115,113,102,15.9%,9.8%,53.9%,46.1%,https://www.football-lab.jp/iwat/report/?year=2019&month=08&date=31
A,川崎Ｆ,L,0,2,0.455,1.243,10,15,2,6,0,0,572,516,11,10,8,14,2,0,4,4,27,16,12,9,25,24,17,25,3,2,0,2,2,1,0,0,42,39,8,9,"109,835m","112,812m",142,145,117,111,8.5%,13.5%,54.2%,45.8%,https://www.football-lab.jp/iwat/report/?year=2019&month=09&date=14
A,大分,W,2,1,0.906,1.74,6,12,2,4,0,1,510,704,14,24,8,6,2,2,2,8,13,15,10,20,20,14,24,16,2,2,2,2,0,0,0,0,32,55,6,17,"113,720m","113,430m",138,168,80,84,7.5%,14.3%,46.4%,53.6%,https://www.football-lab.jp/iwat/report/?year=2019&month=09&date=28
H,横浜FM,L,0,2,0.38,0.944,10,15,3,8,0,0,418,536,15,13,14,11,3,7,6,8,18,18,13,18,17,20,17,25,3,3,7,3,2,3,0,0,39,48,10,19,"110,263m","116,692m",169,203,113,107,8.8%,14.0%,46.1%,53.9%,https://www.football-lab.jp/iwat/report/?year=2019&month=10&date=05
H,鳥栖,D,2,2,1.139,0.999,15,8,3,5,0,0,525,351,22,17,13,12,6,1,4,5,17,21,14,14,14,17,30,22,3,3,1,5,3,1,0,0,39,25,9,13,"111,336m","113,673m",159,178,112,121,13.4%,6.6%,57.2%,42.8%,https://www.football-lab.jp/iwat/report/?year=2019&month=10&date=19
A,清水,W,2,1,1.432,1.126,20,9,5,3,0,0,644,180,31,4,7,12,0,2,5,7,24,19,14,13,17,14,19,33,4,3,2,0,4,1,0,1,76,16,31,5,"103,835m","95,942m",127,132,97,101,20.6%,8.9%,71.5%,28.5%,https://www.football-lab.jp/iwat/report/?year=2019&month=11&date=02
H,FC東京,L,0,1,1.169,1.525,11,7,3,2,0,1,560,394,30,8,15,17,1,2,5,3,18,18,24,7,14,20,23,24,2,3,2,1,4,0,0,0,52,23,21,6,"107,800m","110,966m",143,194,115,109,9.6%,6.4%,56.6%,43.4%,https://www.football-lab.jp/iwat/report/?year=2019&month=11&date=09
A,札幌,W,2,1,1.22,1.216,8,13,2,5,1,0,415,633,9,22,10,7,0,3,2,8,19,21,11,17,18,20,37,16,3,2,3,0,2,0,0,0,24,51,4,15,"114,310m","114,527m",169,165,126,129,6.3%,10.1%,45.9%,54.1%,https://www.football-lab.jp/iwat/report/?year=2019&month=11&date=23
H,名古屋,W,2,1,3.128,2.111,16,15,4,7,0,0,592,381,22,10,10,14,0,0,6,6,17,23,13,10,23,16,20,27,3,0,0,0,1,1,0,0,60,32,17,11,"110,642m","111,165m",135,129,111,115,14.4%,13.0%,61.4%,38.6%,https://www.football-lab.jp/iwat/report/?year=2019&month=11&date=30
A,神戸,L,1,4,1.244,2.799,16,17,5,7,0,1,539,621,18,7,9,5,2,0,3,8,16,18,13,8,15,24,12,13,4,4,0,2,0,0,0,0,42,56,12,15,"114,792m","114,397m",174,208,117,118,13.7%,14.4%,44.5%,55.5%,https://www.football-lab.jp/iwat/report/?year=2019&month=12&date=07
