HOME/AWAY,Opponent,勝敗,y-fm_得点,y-fm_失点,Opponent_ゴール期待値,y-fm_ゴール期待値,Opponent_シュート,y-fm_シュート,Opponent_枠内シュート,y-fm_枠内シュート,Opponent_PKによるシュート,y-fm_PKによるシュート,Opponent_パス,y-fm_パス,Opponent_クロス,y-fm_クロス,Opponent_直接ＦＫ,y-fm_直接ＦＫ,Opponent_間接ＦＫ,y-fm_間接ＦＫ,Opponent_ＣＫ,y-fm_ＣＫ,Opponent_スローイン,y-fm_スローイン,Opponent_ドリブル,y-fm_ドリブル,Opponent_タックル,y-fm_タックル,Opponent_クリア,y-fm_クリア,Opponent_インターセプト,y-fm_インターセプト,Opponent_オフサイド,y-fm_オフサイド,Opponent_警告,y-fm_警告,Opponent_退場,y-fm_退場,Opponent_３０ｍライン進入,y-fm_３０ｍライン進入,Opponent_ペナルティエリア進入,y-fm_ペナルティエリア進入,Opponent_総移動距離,y-fm_総移動距離,Opponent_スプリント,y-fm_スプリント,Opponent_攻撃回数,y-fm_攻撃回数,Opponent_チャンス構築率,y-fm_チャンス構築率,Opponent_ボール保持率,y-fm_ボール保持率,URL
H,松本,W,1,0,0.353,1.084,7,13,0,4,0,0,219,744,11,12,7,13,1,3,6,10,30,29,2,14,34,26,21,23,4,1,3,1,1,1,0,0,12,49,5,12,"114,255m","110,440m",179,154,115,128,6.1%,10.2%,28.9%,71.1%,https://www.football-lab.jp/y-fm/report/?year=2019&month=06&date=22
A,FC東京,L,2,4,1.239,3.094,9,22,6,7,0,0,280,777,15,27,8,5,2,4,4,10,14,18,11,20,19,9,33,23,5,2,4,2,1,1,0,0,24,85,9,19,"114,876m","114,946m",193,187,105,114,8.6%,19.3%,32.7%,67.3%,https://www.football-lab.jp/y-fm/report/?year=2019&month=06&date=29
H,大分,W,1,0,0.117,1.303,2,18,0,6,0,0,528,725,9,30,7,7,3,3,3,5,14,27,3,18,18,17,26,12,7,4,3,3,2,1,0,0,14,60,5,23,"119,588m","119,685m",163,194,109,115,1.8%,15.7%,45%,55%,https://www.football-lab.jp/y-fm/report/?year=2019&month=07&date=06
H,浦和,W,3,1,0.49,3.179,5,23,2,6,0,1,306,697,8,18,12,6,2,9,2,5,18,18,8,11,17,17,17,16,5,1,9,2,2,0,0,0,22,70,7,22,"107,299m","114,887m",163,194,105,105,4.8%,21.9%,36%,64%,https://www.football-lab.jp/y-fm/report/?year=2019&month=07&date=13
A,神戸,W,2,0,1.519,1.845,20,13,4,6,0,1,394,485,14,7,15,15,3,12,7,5,18,19,17,12,21,22,19,23,2,1,11,3,2,1,0,1,43,37,18,14,"105,309m","110,855m",194,174,112,117,17.9%,11.1%,48.2%,51.8%,https://www.football-lab.jp/y-fm/report/?year=2019&month=07&date=20
H,清水,L,0,1,0.832,0.943,9,11,2,2,0,0,197,791,5,17,13,17,0,4,3,11,27,22,5,20,26,23,30,16,5,3,4,0,1,0,0,0,15,66,6,19,"110,649m","111,466m",149,165,116,133,7.8%,8.3%,30.5%,69.5%,https://www.football-lab.jp/y-fm/report/?year=2019&month=08&date=03
A,鹿島,L,1,2,1.418,1.702,11,10,4,3,0,0,242,531,16,16,11,13,3,11,8,7,22,18,8,16,27,16,24,26,2,0,11,3,1,2,0,1,25,34,8,8,"106,153m","104,330m",166,152,107,106,10.3%,9.4%,36.5%,63.5%,https://www.football-lab.jp/y-fm/report/?year=2019&month=08&date=10
H,Ｃ大阪,L,1,2,2.25,2.396,13,20,6,7,0,0,295,689,10,32,8,7,2,4,5,15,17,14,9,20,15,17,44,18,3,2,4,2,0,1,0,0,20,92,8,26,"109,708m","108,323m",103,150,104,108,12.5%,18.5%,35.8%,64.2%,https://www.football-lab.jp/y-fm/report/?year=2019&month=08&date=17
A,名古屋,W,5,1,2.301,4.129,13,20,3,10,0,2,514,496,23,11,18,10,3,5,6,4,23,9,16,15,13,20,10,29,3,1,4,3,1,1,1,0,42,41,18,19,"105,328m","111,313m",149,157,113,96,11.5%,20.8%,48%,52%,https://www.football-lab.jp/y-fm/report/?year=2019&month=08&date=24
H,Ｇ大阪,W,3,1,0.611,1.221,9,16,1,5,0,0,333,781,11,23,7,15,1,7,6,5,18,18,13,16,23,16,19,15,2,1,7,1,2,0,0,0,28,67,9,20,"117,066m","117,944m",186,193,106,112,8.5%,14.3%,35%,65%,https://www.football-lab.jp/y-fm/report/?year=2019&month=08&date=31
H,広島,W,3,0,0.47,1.936,8,17,2,5,0,1,445,599,14,20,17,16,3,1,1,3,14,18,9,11,17,15,17,13,2,4,1,3,3,3,0,0,29,67,11,20,"117,569m","120,714m",194,211,119,125,6.7%,13.6%,44.1%,55.9%,https://www.football-lab.jp/y-fm/report/?year=2019&month=09&date=14
A,仙台,D,1,1,1.006,1.191,13,17,5,5,0,0,301,686,10,21,11,14,3,6,4,9,26,15,7,14,24,13,22,25,3,3,5,3,2,2,0,0,17,62,10,18,"112,037m","117,252m",183,192,131,123,9.9%,13.8%,35.5%,64.5%,https://www.football-lab.jp/y-fm/report/?year=2019&month=09&date=28
A,磐田,W,2,0,0.38,0.944,10,15,3,8,0,0,418,536,15,13,14,11,3,7,6,8,18,18,13,18,17,20,17,25,3,3,7,3,2,3,0,0,39,48,10,19,"110,263m","116,692m",169,203,113,107,8.8%,14.0%,46.1%,53.9%,https://www.football-lab.jp/y-fm/report/?year=2019&month=10&date=05
H,湘南,W,3,1,1.003,2.223,8,18,3,5,0,1,247,734,11,22,13,12,2,4,7,6,11,21,7,17,21,16,26,19,1,0,4,2,0,1,0,0,17,66,0,21,"119,256m","119,009m",195,200,111,123,7.2%,14.6%,31.9%,68.1%,https://www.football-lab.jp/y-fm/report/?year=2019&month=10&date=19
A,鳥栖,W,2,1,0.852,1.111,11,12,2,7,0,0,310,640,16,15,14,19,2,5,7,3,27,16,9,11,24,23,26,39,2,2,5,1,3,1,0,0,36,46,10,23,"115,967m","116,024m",181,183,126,120,8.7%,10.0%,39.6%,60.4%,https://www.football-lab.jp/y-fm/report/?year=2019&month=11&date=02
H,札幌,W,4,2,2.45,2.971,14,22,8,8,0,1,398,539,15,16,17,16,3,12,6,5,22,20,11,23,24,23,16,28,6,5,12,3,2,1,0,0,36,43,11,18,"118,113m","119,669m",210,235,135,150,10.4%,14.7%,41.1%,58.9%,https://www.football-lab.jp/y-fm/report/?year=2019&month=11&date=09
A,松本,W,1,0,0.926,1.829,4,18,2,4,0,0,214,813,9,17,6,12,5,2,2,6,21,23,4,18,26,31,24,21,2,2,2,5,1,1,0,0,9,68,0,14,"122,291m","117,304m",182,176,129,133,3.1%,13.5%,27.2%,72.8%,https://www.football-lab.jp/y-fm/report/?year=2019&month=11&date=23
A,川崎Ｆ,W,4,1,1.441,3.012,14,14,5,7,0,0,474,454,14,10,10,16,1,8,6,4,19,23,8,12,30,11,14,26,4,3,8,1,1,1,0,0,61,32,17,14,"109,613m","116,338m",169,204,123,131,11.4%,10.7%,50%,50%,https://www.football-lab.jp/y-fm/report/?year=2019&month=11&date=30
H,FC東京,W,3,0,0.931,0.56,8,8,3,4,0,0,423,564,16,9,10,14,2,3,8,6,23,25,13,17,40,25,13,20,3,1,3,2,2,1,0,1,46,45,11,8,"117,285m","115,769m",204,210,131,138,6.1%,5.8%,43.8%,56.2%,https://www.football-lab.jp/y-fm/report/?year=2019&month=12&date=07
