HOME/AWAY,Opponent,勝敗,shon_得点,shon_失点,shon_ゴール期待値,Opponent_ゴール期待値,shon_シュート,Opponent_シュート,shon_枠内シュート,Opponent_枠内シュート,shon_PKによるシュート,Opponent_PKによるシュート,shon_パス,Opponent_パス,shon_クロス,Opponent_クロス,shon_直接ＦＫ,Opponent_直接ＦＫ,shon_間接ＦＫ,Opponent_間接ＦＫ,shon_ＣＫ,Opponent_ＣＫ,shon_スローイン,Opponent_スローイン,shon_ドリブル,Opponent_ドリブル,shon_タックル,Opponent_タックル,shon_クリア,Opponent_クリア,shon_インターセプト,Opponent_インターセプト,shon_オフサイド,Opponent_オフサイド,shon_警告,Opponent_警告,shon_退場,Opponent_退場,shon_３０ｍライン進入,Opponent_３０ｍライン進入,shon_ペナルティエリア進入,Opponent_ペナルティエリア進入,shon_総移動距離,Opponent_総移動距離,shon_スプリント,Opponent_スプリント,shon_攻撃回数,Opponent_攻撃回数,shon_チャンス構築率,Opponent_チャンス構築率,shon_ボール保持率,Opponent_ボール保持率,URL
H,大分,L,0,1,1.738,1.116,21,11,6,2,0,0,447,415,21,11,13,10,2,2,7,3,22,24,8,4,17,17,17,30,1,2,2,2,1,0,0,0,47,23,10,9,"114,130m","109,178m",196,173,126,120,16.7%,9.2%,49.2%,50.8%,https://www.football-lab.jp/shon/report/?year=2019&month=05&date=12
A,浦和,W,3,2,0.93,1.525,14,17,5,4,0,0,378,352,13,14,21,14,0,0,3,2,41,19,23,15,25,35,24,25,2,2,0,0,4,1,0,0,31,34,7,24,"118,802m","116,376m",190,238,154,137,9.1%,12.4%,51.2%,48.8%,https://www.football-lab.jp/shon/report/?year=2019&month=05&date=17
A,神戸,L,1,4,1.094,1.448,9,15,1,8,0,0,315,550,8,18,6,11,0,2,3,4,15,29,2,14,15,7,23,12,2,4,2,1,2,0,0,0,29,50,6,18,"113,500m","107,436m",182,183,107,119,8.4%,12.6%,39.2%,60.8%,https://www.football-lab.jp/shon/report/?year=2019&month=05&date=26
H,横浜FM,L,1,2,1.832,2.316,8,11,5,2,0,0,236,612,11,18,14,17,2,8,2,4,35,22,8,12,19,19,31,28,2,3,8,2,0,1,0,0,22,38,7,15,"119,417m","116,506m",207,171,121,126,6.6%,8.7%,32.8%,67.2%,https://www.football-lab.jp/shon/report/?year=2019&month=05&date=31
A,広島,L,0,2,0.985,2.564,12,25,4,8,0,1,338,522,7,23,11,16,1,0,3,4,16,18,10,15,12,25,34,13,0,6,0,1,3,2,0,0,29,48,5,23,"109,547m","109,615m",166,178,119,126,10.1%,19.8%,41.1%,58.9%,https://www.football-lab.jp/shon/report/?year=2019&month=06&date=14
A,Ｇ大阪,L,0,1,0.939,1.143,12,18,4,4,0,0,297,739,13,16,10,15,0,2,4,5,22,23,9,16,21,14,25,19,1,3,2,0,0,2,0,0,39,61,9,17,"116,220m","114,110m",154,156,98,111,12.2%,16.2%,33.6%,66.4%,https://www.football-lab.jp/shon/report/?year=2019&month=06&date=22
H,Ｃ大阪,L,0,2,0.571,1.731,12,17,1,6,0,0,431,459,22,13,10,8,5,1,4,5,22,22,18,8,14,17,26,24,1,1,1,5,0,1,0,0,43,40,13,14,"113,727m","108,429m",140,134,99,93,12.1%,18.3%,49.5%,50.5%,https://www.football-lab.jp/shon/report/?year=2019&month=06&date=30
A,名古屋,W,2,0,0.581,2.825,8,30,4,8,0,0,212,679,3,27,10,22,2,3,2,10,14,20,5,18,24,21,50,14,2,2,3,2,0,0,0,0,13,70,7,24,"111,180m","106,919m",144,128,104,128,7.7%,23.4%,32.3%,67.7%,https://www.football-lab.jp/shon/report/?year=2019&month=07&date=07
H,神戸,W,3,1,2.248,1.034,23,9,7,3,0,0,312,465,24,12,15,14,4,1,5,5,22,14,11,13,19,19,23,32,3,3,1,4,0,1,0,0,34,48,10,11,"113,883m","104,997m",183,172,117,112,19.7%,8.0%,42%,58%,https://www.football-lab.jp/shon/report/?year=2019&month=07&date=14
A,札幌,L,2,5,1.68,3.566,16,23,4,14,0,0,437,377,15,16,8,14,1,1,9,3,18,17,12,14,21,11,21,31,2,1,1,1,1,1,0,0,38,37,9,22,"113,384m","113,766m",203,202,113,114,14.2%,20.2%,53%,47%,https://www.football-lab.jp/shon/report/?year=2019&month=07&date=20
H,鹿島,W,3,2,2.082,2.091,18,17,6,9,0,1,265,404,22,11,14,15,3,2,5,6,24,22,14,9,20,15,18,21,3,1,2,3,0,1,0,0,29,40,9,11,"107,439m","104,137m",161,144,118,124,15.3%,13.7%,41.6%,58.4%,https://www.football-lab.jp/shon/report/?year=2019&month=08&date=03
A,磐田,W,3,2,1.606,2.388,18,17,5,5,0,0,343,411,13,21,12,15,1,1,6,9,18,19,14,16,23,17,32,28,1,3,1,1,0,0,0,0,27,38,13,21,"108,128m","106,324m",139,138,122,128,14.8%,13.3%,45.6%,54.4%,https://www.football-lab.jp/shon/report/?year=2019&month=08&date=11
H,鳥栖,L,2,3,2.276,2.75,23,18,9,7,0,0,304,383,22,16,11,14,2,0,7,4,15,27,9,13,19,21,32,25,2,1,0,2,2,1,0,0,33,29,13,16,"108,049m","107,362m",114,110,113,120,20.4%,15.0%,43.8%,56.2%,https://www.football-lab.jp/shon/report/?year=2019&month=08&date=17
A,仙台,D,1,1,2.306,2.235,12,19,4,2,0,0,346,407,19,23,10,9,4,3,3,5,23,38,9,13,15,18,48,25,1,3,3,4,1,1,0,0,37,29,11,16,"114,132m","106,966m",183,162,126,137,9.5%,13.9%,44.8%,55.2%,https://www.football-lab.jp/shon/report/?year=2019&month=08&date=24
H,浦和,D,1,1,1.966,0.667,13,6,4,5,1,0,399,379,23,5,15,14,2,3,8,2,25,17,16,4,12,28,16,37,3,2,3,2,0,2,0,0,46,20,15,9,"109,371m","102,883m",145,138,122,100,10.7%,6.0%,50.3%,49.7%,https://www.football-lab.jp/shon/report/?year=2019&month=09&date=01
A,大分,L,1,2,1.269,0.863,10,8,4,4,0,0,447,549,19,13,10,7,1,0,2,3,25,19,13,15,15,13,15,34,1,1,0,1,1,0,0,0,43,35,8,11,"113,037m","110,425m",132,137,112,103,8.9%,7.8%,44.7%,55.3%,https://www.football-lab.jp/shon/report/?year=2019&month=09&date=14
H,清水,L,0,6,1.355,1.609,12,16,3,7,0,0,475,499,23,14,9,17,0,1,5,5,21,16,9,13,16,18,20,34,1,0,1,0,0,2,0,0,63,39,19,14,"112,913m","111,712m",117,121,111,112,10.8%,14.3%,47.5%,52.5%,https://www.football-lab.jp/shon/report/?year=2019&month=09&date=29
H,川崎Ｆ,L,0,5,0.803,2.035,6,19,2,8,0,0,427,724,10,13,10,13,1,0,4,5,24,18,14,8,21,24,22,23,6,3,0,1,2,0,0,0,41,55,7,20,"112,729m","109,004m",133,135,118,116,5.1%,16.4%,42.5%,57.5%,https://www.football-lab.jp/shon/report/?year=2019&month=10&date=06
A,横浜FM,L,1,3,1.003,2.223,8,18,3,5,0,1,247,734,11,22,13,12,2,4,7,6,11,21,7,17,21,16,26,19,1,0,4,2,0,1,0,0,17,66,0,21,"119,256m","119,009m",195,200,111,123,7.2%,14.6%,31.9%,68.1%,https://www.football-lab.jp/shon/report/?year=2019&month=10&date=19
H,Ｇ大阪,L,0,3,1.651,1.588,19,18,2,7,0,0,473,583,15,16,10,9,2,1,4,8,22,15,13,6,11,18,26,19,0,2,1,2,0,0,0,0,47,44,12,17,"118,838m","118,384m",159,204,115,103,16.5%,17.5%,49.1%,50.9%,https://www.football-lab.jp/shon/report/?year=2019&month=11&date=03
A,Ｃ大阪,L,0,1,1.351,2.247,17,15,6,3,0,0,335,483,21,14,7,18,1,0,10,4,14,24,4,8,17,18,25,31,2,2,0,1,3,0,0,0,41,31,12,18,"116,057m","111,206m",193,160,106,116,16.0%,12.9%,43.8%,56.2%,https://www.football-lab.jp/shon/report/?year=2019&month=11&date=09
A,FC東京,D,1,1,0.789,0.768,13,11,5,4,0,0,332,580,13,17,12,25,4,1,3,2,18,31,9,9,24,12,35,16,1,2,1,4,3,2,0,0,27,47,7,17,"120,630m","115,927m",206,167,112,137,11.6%,8.0%,41.6%,58.4%,https://www.football-lab.jp/shon/report/?year=2019&month=11&date=23
H,広島,W,1,0,0.634,1.448,11,10,1,1,0,0,339,629,10,21,13,17,4,2,1,7,19,25,12,10,18,29,38,11,2,4,0,4,2,0,0,0,27,43,15,19,"120,789m","116,927m",174,165,128,134,8.6%,7.5%,41.5%,58.5%,https://www.football-lab.jp/shon/report/?year=2019&month=11&date=30
A,松本,D,1,1,0.829,1.441,12,24,2,10,0,0,372,414,13,16,9,18,4,2,5,3,19,28,12,17,20,32,33,21,1,1,2,4,1,2,0,0,25,36,8,19,"115,007m","117,586m",176,214,129,138,9.3%,17.4%,49.8%,50.2%,https://www.football-lab.jp/shon/report/?year=2019&month=12&date=07
