HOME/AWAY,Opponent,勝敗,c-os_得点,c-os_失点,c-os_ゴール期待値,Opponent_ゴール期待値,c-os_シュート,Opponent_シュート,c-os_枠内シュート,Opponent_枠内シュート,c-os_PKによるシュート,Opponent_PKによるシュート,c-os_パス,Opponent_パス,c-os_クロス,Opponent_クロス,c-os_直接ＦＫ,Opponent_直接ＦＫ,c-os_間接ＦＫ,Opponent_間接ＦＫ,c-os_ＣＫ,Opponent_ＣＫ,c-os_スローイン,Opponent_スローイン,c-os_ドリブル,Opponent_ドリブル,c-os_タックル,Opponent_タックル,c-os_クリア,Opponent_クリア,c-os_インターセプト,Opponent_インターセプト,c-os_オフサイド,Opponent_オフサイド,c-os_警告,Opponent_警告,c-os_退場,Opponent_退場,c-os_３０ｍライン進入,Opponent_３０ｍライン進入,c-os_ペナルティエリア進入,Opponent_ペナルティエリア進入,c-os_総移動距離,Opponent_総移動距離,c-os_スプリント,Opponent_スプリント,c-os_攻撃回数,Opponent_攻撃回数,c-os_チャンス構築率,Opponent_チャンス構築率,c-os_ボール保持率,Opponent_ボール保持率,URL
H,FC東京,W,1,0,0.969,0.829,17,12,2,2,0,0,436,363,20,10,15,15,0,3,9,2,17,22,9,13,25,20,21,26,1,0,2,0,3,0,0,0,37,43,7,12,"113,416m","108,996m",152,181,117,108,14.5%,11.1%,53%,47%,https://www.football-lab.jp/c-os/report/?year=2019&month=05&date=25
A,鳥栖,W,1,0,1.011,0.944,12,10,4,2,0,0,421,451,8,23,19,8,1,2,2,4,17,20,4,16,16,11,35,14,2,1,2,1,2,1,0,0,24,44,5,16,"114,157m","113,670m",109,150,102,96,11.8%,10.4%,47.8%,52.2%,https://www.football-lab.jp/c-os/report/?year=2019&month=06&date=01
A,鹿島,L,0,2,2.496,1.429,16,10,4,3,0,1,493,446,14,15,7,6,1,3,6,5,20,22,7,9,17,12,17,20,2,1,3,1,0,1,0,0,31,40,9,7,"109,301m","107,950m",132,161,95,96,16.8%,10.4%,53.3%,46.7%,https://www.football-lab.jp/c-os/report/?year=2019&month=06&date=14
H,磐田,W,2,0,1.807,1.448,14,18,7,5,0,0,415,386,9,23,14,6,0,7,6,8,17,17,12,17,21,18,41,13,2,2,7,0,1,0,0,0,33,47,17,13,"111,444m","109,338m",147,159,111,105,12.6%,17.1%,53.7%,46.3%,https://www.football-lab.jp/c-os/report/?year=2019&month=06&date=22
A,湘南,W,2,0,1.731,0.571,17,12,6,1,0,0,459,431,13,22,8,10,1,5,5,4,22,22,8,18,17,14,24,26,1,1,5,1,1,0,0,0,40,43,14,13,"108,429m","113,727m",134,140,93,99,18.3%,12.1%,50.5%,49.5%,https://www.football-lab.jp/c-os/report/?year=2019&month=06&date=30
A,広島,D,1,1,1.544,1.229,10,14,3,4,0,0,501,592,12,19,16,6,0,0,5,7,13,24,7,11,9,16,34,19,1,5,0,0,1,1,0,0,30,52,8,14,"119,646m","117,892m",158,174,116,112,8.6%,12.5%,48.8%,51.2%,https://www.football-lab.jp/c-os/report/?year=2019&month=07&date=06
H,名古屋,W,3,0,2.186,1.802,13,16,6,3,0,0,445,668,12,20,7,6,0,3,5,8,5,19,7,20,27,21,43,15,4,3,3,0,2,0,0,0,37,67,16,19,"115,372m","115,124m",119,151,98,108,13.3%,14.8%,45.4%,54.6%,https://www.football-lab.jp/c-os/report/?year=2019&month=07&date=13
H,仙台,D,0,0,2.051,1.266,16,17,4,3,0,0,478,289,26,24,10,11,0,0,9,7,16,18,10,8,16,16,31,41,4,3,0,0,0,1,0,0,50,35,15,7,"106,784m","103,213m",121,133,108,111,14.8%,15.3%,59.8%,40.2%,https://www.football-lab.jp/c-os/report/?year=2019&month=07&date=20
A,FC東京,L,0,3,0.909,1.356,14,11,4,4,0,0,560,295,23,13,15,11,0,2,5,3,14,14,11,13,14,15,18,33,3,3,2,0,0,1,0,0,54,27,12,11,"106,109m","108,673m",118,147,105,101,13.3%,10.9%,61.1%,38.9%,https://www.football-lab.jp/c-os/report/?year=2019&month=08&date=03
H,鳥栖,L,1,2,2.058,1.267,18,10,10,7,0,0,391,434,20,15,15,7,3,1,7,7,17,16,10,18,21,22,19,26,1,0,1,3,1,2,0,0,42,48,17,11,"109,132m","109,530m",103,131,107,101,16.8%,9.9%,46.4%,53.6%,https://www.football-lab.jp/c-os/report/?year=2019&month=08&date=11
A,横浜FM,W,2,1,2.25,2.396,13,20,6,7,0,0,295,689,10,32,8,7,2,4,5,15,17,14,9,20,15,17,44,18,3,2,4,2,0,1,0,0,20,92,8,26,"109,708m","108,323m",103,150,104,108,12.5%,18.5%,35.8%,64.2%,https://www.football-lab.jp/c-os/report/?year=2019&month=08&date=17
A,磐田,W,2,0,2.061,1.549,13,16,5,5,0,0,495,408,8,20,17,11,0,3,2,7,18,23,11,15,14,16,36,12,4,4,3,0,2,1,0,0,34,49,11,22,"110,021m","111,275m",114,161,107,112,12.1%,14.3%,54.2%,45.8%,https://www.football-lab.jp/c-os/report/?year=2019&month=08&date=24
H,川崎Ｆ,W,2,1,1.071,1.918,10,14,6,3,0,0,319,651,14,24,9,13,3,3,7,6,16,31,5,7,18,22,39,25,0,1,3,3,2,2,0,0,30,66,8,16,"113,373m","109,750m",111,115,103,120,9.7%,11.7%,39.7%,60.3%,https://www.football-lab.jp/c-os/report/?year=2019&month=09&date=01
A,浦和,W,2,1,0.615,1.639,8,14,2,2,0,0,475,454,12,18,18,9,2,1,1,6,12,15,11,16,19,21,32,14,2,4,1,2,2,4,0,1,32,39,8,9,"117,724m","113,823m",162,159,107,109,7.5%,12.8%,51.7%,48.3%,https://www.football-lab.jp/c-os/report/?year=2019&month=09&date=13
H,Ｇ大阪,W,3,1,1.255,0.732,11,19,6,4,0,0,343,630,12,22,10,7,1,2,0,7,19,27,7,9,25,13,33,10,1,1,2,1,2,0,0,0,26,78,11,13,"111,409m","110,508m",138,149,101,113,10.9%,16.8%,43.2%,56.8%,https://www.football-lab.jp/c-os/report/?year=2019&month=09&date=28
H,鹿島,L,0,1,2.039,0.886,15,8,5,2,0,0,550,239,28,7,8,13,0,3,12,4,24,20,16,9,17,16,14,36,1,2,2,0,1,1,0,0,54,32,12,11,"109,932m","111,060m",159,162,118,107,12.7%,7.5%,63.8%,36.2%,https://www.football-lab.jp/c-os/report/?year=2019&month=10&date=06
A,札幌,W,1,0,1.582,1.781,13,19,4,7,0,0,381,484,14,32,12,5,0,1,8,14,9,24,13,15,13,14,56,15,4,4,1,0,0,1,0,0,24,62,13,20,"109,564m","110,699m",123,159,99,109,13.1%,17.4%,48.6%,51.4%,https://www.football-lab.jp/c-os/report/?year=2019&month=10&date=18
H,松本,D,1,1,0.755,1.08,9,11,1,3,0,0,692,281,23,7,8,12,1,1,5,3,17,21,13,12,12,23,19,21,4,1,1,1,1,1,0,0,47,28,10,6,"114,768m","120,193m",152,174,112,108,8.0%,10.2%,67.1%,32.9%,https://www.football-lab.jp/c-os/report/?year=2019&month=11&date=02
H,湘南,W,1,0,2.247,1.351,15,17,3,6,0,0,483,335,14,21,18,7,0,1,4,10,24,14,8,4,18,17,31,25,2,2,1,0,0,3,0,0,31,41,18,12,"111,206m","116,057m",160,193,116,106,12.9%,16.0%,56.2%,43.8%,https://www.football-lab.jp/c-os/report/?year=2019&month=11&date=09
A,神戸,L,0,1,0.984,1.456,12,24,4,5,0,0,409,575,8,18,15,9,5,0,2,6,18,24,9,14,11,23,27,13,2,4,0,4,0,3,0,0,34,72,15,17,"114,068m","110,047m",148,151,115,120,10.4%,20.0%,43.1%,56.9%,https://www.football-lab.jp/c-os/report/?year=2019&month=11&date=23
H,清水,W,2,1,3.903,0.715,25,8,11,2,0,0,546,273,25,13,14,11,2,3,11,4,18,24,14,9,16,24,33,25,2,0,3,2,0,0,0,0,47,25,15,4,"111,880m","108,962m",155,147,118,119,21.2%,6.7%,62.3%,37.7%,https://www.football-lab.jp/c-os/report/?year=2019&month=11&date=30
A,大分,W,2,0,1.025,0.66,12,8,9,1,0,0,614,556,12,16,14,7,2,3,3,6,11,12,7,10,15,12,21,17,5,3,3,2,1,0,0,0,45,49,14,8,"120,715m","122,623m",149,185,101,99,11.9%,8.1%,49.9%,50.1%,https://www.football-lab.jp/c-os/report/?year=2019&month=12&date=07
