HOME/AWAY,Opponent,勝敗,sapp_得点,sapp_失点,Opponent_シュート,sapp_シュート,Opponent_枠内シュート,sapp_枠内シュート,Opponent_PKによるシュート,sapp_PKによるシュート,Opponent_パス,sapp_パス,Opponent_クロス,sapp_クロス,Opponent_直接ＦＫ,sapp_直接ＦＫ,Opponent_間接ＦＫ,sapp_間接ＦＫ,Opponent_ＣＫ,sapp_ＣＫ,Opponent_スローイン,sapp_スローイン,Opponent_ドリブル,sapp_ドリブル,Opponent_タックル,sapp_タックル,Opponent_クリア,sapp_クリア,Opponent_インターセプト,sapp_インターセプト,Opponent_オフサイド,sapp_オフサイド,Opponent_警告,sapp_警告,Opponent_退場,sapp_退場,Opponent_３０ｍライン進入,sapp_３０ｍライン進入,Opponent_ペナルティエリア進入,sapp_ペナルティエリア進入,Opponent_総移動距離,sapp_総移動距離,Opponent_スプリント,sapp_スプリント,Opponent_攻撃回数,sapp_攻撃回数,Opponent_チャンス構築率,sapp_チャンス構築率,Opponent_ボール保持率,sapp_ボール保持率,URL
A,鳥栖,W,2,1,18,13,9,3,0,0,396,575,10,15,13,10,2,1,7,5,17,16,10,4,15,22,13,25,3,0,1,2,0,0,0,0,33,32,15,13,"115,223m","117,589m",177,138,118,113,15.3%,11.5%,42.7%,57.3%,https://www.football-lab.jp/sapp/report/?year=2018&month=05&date=02
H,Ｇ大阪,W,2,0,15,17,6,8,0,0,456,397,17,16,13,10,2,0,2,4,25,28,12,11,18,19,26,22,1,4,0,2,0,2,0,0,45,35,17,14,"115,470m","120,284m",188,193,128,130,11.7%,13.1%,50.6%,49.4%,https://www.football-lab.jp/sapp/report/?year=2018&month=05&date=05
A,FC東京,D,0,0,16,9,4,5,0,0,414,396,21,20,19,15,1,3,4,6,19,12,18,12,13,14,23,29,3,2,3,1,1,3,0,0,47,35,14,11,"105,331m","108,261m",186,149,108,109,14.8%,8.3%,51.1%,48.9%,https://www.football-lab.jp/sapp/report/?year=2018&month=05&date=13
A,神戸,L,0,4,29,16,13,1,0,0,574,391,22,15,15,10,0,0,6,4,17,15,12,12,22,15,24,33,2,2,0,0,1,6,0,2,60,36,32,15,"113,957m","112,930m",169,156,121,106,24.0%,15.1%,58.6%,41.4%,https://www.football-lab.jp/sapp/report/?year=2018&month=05&date=20
H,川崎Ｆ,L,1,2,15,12,6,5,0,0,570,486,10,19,7,12,1,2,11,6,15,18,10,10,20,16,30,24,2,4,1,1,2,0,0,0,70,39,20,15,"113,616m","118,632m",251,203,114,115,13.2%,10.4%,54.1%,45.9%,https://www.football-lab.jp/sapp/report/?year=2018&month=07&date=18
H,磐田,D,0,0,8,9,4,5,0,1,340,540,10,18,16,12,4,1,4,4,22,23,6,16,28,18,21,26,0,0,1,4,3,0,0,0,33,41,7,15,"115,529m","114,862m",170,165,128,126,6.3%,7.1%,40.7%,59.3%,https://www.football-lab.jp/sapp/report/?year=2018&month=07&date=22
A,長崎,W,3,2,11,17,3,5,0,0,564,497,14,11,11,6,4,0,3,3,18,27,10,10,12,18,26,16,1,1,0,4,0,1,0,0,39,46,12,17,"113,373m","112,514m",123,146,110,104,10.0%,16.3%,53%,47%,https://www.football-lab.jp/sapp/report/?year=2018&month=08&date=01
H,柏,L,1,2,23,21,6,4,0,0,392,489,29,24,9,14,3,2,10,5,12,21,12,19,26,23,32,24,2,3,2,3,2,1,0,0,51,45,34,26,"113,932m","114,816m",218,187,129,131,17.8%,16.0%,47.8%,52.2%,https://www.football-lab.jp/sapp/report/?year=2018&month=08&date=05
H,Ｃ大阪,D,1,1,17,8,5,3,0,0,624,483,20,11,10,7,4,2,7,5,21,8,12,7,14,21,17,26,3,4,2,4,0,1,0,0,60,43,15,12,"113,076m","117,341m",154,132,113,105,15.0%,7.6%,56.8%,43.2%,https://www.football-lab.jp/sapp/report/?year=2018&month=08&date=11
A,Ｇ大阪,D,1,1,15,30,2,7,1,0,315,678,4,36,8,12,3,0,1,3,14,29,13,11,18,21,30,17,5,4,0,3,0,1,0,0,26,76,10,33,"108,240m","106,858m",112,129,107,117,14.0%,25.6%,38.9%,61.1%,https://www.football-lab.jp/sapp/report/?year=2018&month=08&date=15
H,FC東京,W,3,2,15,10,5,5,0,0,371,481,18,11,18,18,0,0,6,1,23,17,16,11,22,24,19,25,2,0,0,0,0,2,0,0,46,44,19,18,"111,056m","113,076m",196,163,119,111,12.6%,9.0%,46.3%,53.7%,https://www.football-lab.jp/sapp/report/?year=2018&month=08&date=19
A,清水,W,2,1,14,13,7,3,0,0,332,505,22,10,13,13,1,1,6,4,16,18,15,13,15,7,14,30,2,6,1,1,1,2,0,0,45,37,13,15,"106,383m","107,982m",149,158,115,121,12.2%,10.7%,42.7%,57.3%,https://www.football-lab.jp/sapp/report/?year=2018&month=08&date=25
H,神戸,W,3,1,8,15,3,6,0,0,517,506,10,22,17,16,3,2,2,5,11,11,9,8,17,13,22,19,0,6,2,3,4,1,1,0,49,40,11,18,"106,456m","117,504m",130,139,95,105,8.4%,14.3%,52.5%,47.5%,https://www.football-lab.jp/sapp/report/?year=2018&month=09&date=01
A,川崎Ｆ,L,0,7,26,7,15,1,0,0,521,514,8,12,16,12,3,3,4,3,16,14,9,7,23,17,24,18,7,3,2,3,1,3,0,0,50,43,19,12,"108,902m","112,825m",143,129,123,112,21.1%,6.3%,49%,51%,https://www.football-lab.jp/sapp/report/?year=2018&month=09&date=15
H,鹿島,L,0,2,14,8,4,0,1,0,293,561,10,14,9,16,1,3,6,6,21,24,16,10,19,23,31,16,0,3,3,1,1,0,0,0,34,46,17,13,"104,675m","107,627m",157,135,104,107,13.5%,7.5%,42%,58%,https://www.football-lab.jp/sapp/report/?year=2018&month=09&date=23
H,鳥栖,W,2,1,17,15,5,8,0,2,377,479,22,12,13,11,3,2,12,2,19,13,17,10,13,20,21,37,5,4,2,2,3,4,0,0,43,41,14,16,"109,635m","112,467m",140,125,126,113,13.5%,13.3%,47.8%,52.2%,https://www.football-lab.jp/sapp/report/?year=2018&month=09&date=29
A,横浜FM,L,1,2,18,8,9,1,0,0,489,464,21,15,19,17,3,4,6,3,17,18,19,12,17,26,24,30,2,1,4,3,1,4,0,0,50,31,23,8,"116,997m","115,218m",176,167,129,118,14.0%,6.8%,54.4%,45.6%,https://www.football-lab.jp/sapp/report/?year=2018&month=10&date=05
A,湘南,D,2,2,9,22,5,5,0,0,287,473,16,20,15,11,3,0,6,5,17,22,16,21,11,18,36,20,1,2,0,3,1,0,0,0,31,45,13,22,"111,645m","110,369m",188,186,127,126,7.1%,17.5%,43.4%,56.6%,https://www.football-lab.jp/sapp/report/?year=2018&month=10&date=20
A,名古屋,W,2,1,12,19,3,7,1,1,490,598,9,12,17,3,5,0,3,4,14,11,17,17,14,28,19,29,5,4,0,5,3,2,1,0,35,65,17,30,"108,399m","114,456m",126,165,119,107,10.1%,17.8%,44.7%,55.3%,https://www.football-lab.jp/sapp/report/?year=2018&month=10&date=28
H,仙台,W,1,0,18,20,8,6,1,0,403,471,13,18,14,6,6,2,4,10,19,11,17,20,17,24,20,21,1,2,2,6,4,2,0,0,39,50,13,22,"111,175m","115,310m",158,185,113,110,15.9%,18.2%,44.2%,55.8%,https://www.football-lab.jp/sapp/report/?year=2018&month=11&date=04
H,浦和,L,1,2,13,15,6,3,0,0,400,548,7,16,20,11,2,1,3,5,17,14,8,9,17,15,30,22,3,1,1,1,1,2,0,0,36,34,14,16,"111,352m","115,265m",187,179,125,113,10.4%,13.3%,44.8%,55.2%,https://www.football-lab.jp/sapp/report/?year=2018&month=11&date=10
A,磐田,W,2,0,11,12,0,5,0,0,518,538,9,12,17,16,3,0,2,0,28,20,11,12,21,28,13,26,4,4,0,2,2,2,0,0,40,45,13,15,"118,467m","118,353m",146,142,132,125,8.3%,9.6%,50%,50%,https://www.football-lab.jp/sapp/report/?year=2018&month=11&date=24
H,広島,D,2,2,18,14,5,6,0,0,477,483,16,15,18,11,0,0,7,0,21,14,16,9,13,11,18,37,3,2,0,0,2,6,0,0,48,45,14,18,"113,405m","114,960m",139,169,116,93,15.5%,15.1%,50%,50%,https://www.football-lab.jp/sapp/report/?year=2018&month=12&date=01
