HOME/AWAY,Opponent,勝敗,ka-f_得点,ka-f_失点,Opponent_シュート,ka-f_シュート,Opponent_枠内シュート,ka-f_枠内シュート,Opponent_PKによるシュート,ka-f_PKによるシュート,Opponent_パス,ka-f_パス,Opponent_クロス,ka-f_クロス,Opponent_直接ＦＫ,ka-f_直接ＦＫ,Opponent_間接ＦＫ,ka-f_間接ＦＫ,Opponent_ＣＫ,ka-f_ＣＫ,Opponent_スローイン,ka-f_スローイン,Opponent_ドリブル,ka-f_ドリブル,Opponent_タックル,ka-f_タックル,Opponent_クリア,ka-f_クリア,Opponent_インターセプト,ka-f_インターセプト,Opponent_オフサイド,ka-f_オフサイド,Opponent_警告,ka-f_警告,Opponent_退場,ka-f_退場,Opponent_３０ｍライン進入,ka-f_３０ｍライン進入,Opponent_ペナルティエリア進入,ka-f_ペナルティエリア進入,Opponent_総移動距離,ka-f_総移動距離,Opponent_スプリント,ka-f_スプリント,Opponent_攻撃回数,ka-f_攻撃回数,Opponent_チャンス構築率,ka-f_チャンス構築率,Opponent_ボール保持率,ka-f_ボール保持率,URL
H,浦和,L,0,2,12,15,7,2,0,0,365,667,11,11,10,23,6,2,0,10,11,17,10,16,20,24,31,9,1,1,2,6,2,1,0,1,30,55,12,17,"115,522m","106,322m",162,140,94,123,12.8%,12.2%,37.9%,62.1%,https://www.football-lab.jp/ka-f/report/?year=2018&month=05&date=02
H,FC東京,L,0,2,7,16,5,1,0,0,311,753,9,20,17,12,0,2,5,7,10,21,11,23,33,26,24,11,2,1,2,0,1,1,0,0,23,77,12,25,"111,027m","109,122m",161,152,124,124,5.6%,12.9%,36%,64%,https://www.football-lab.jp/ka-f/report/?year=2018&month=05&date=05
A,柏,W,2,1,15,17,4,7,0,0,413,761,7,28,21,10,1,0,1,4,13,20,16,18,17,30,42,17,3,1,0,1,2,1,0,0,25,76,17,25,"109,972m","110,482m",124,130,117,114,12.8%,14.9%,41.5%,58.5%,https://www.football-lab.jp/ka-f/report/?year=2018&month=05&date=12
H,清水,W,3,0,9,14,3,8,0,0,431,831,16,7,16,12,0,1,4,2,20,5,6,12,13,14,9,28,1,3,1,0,1,0,0,0,29,57,6,16,"113,332m","110,745m",147,156,107,101,8.4%,13.9%,39.7%,60.3%,https://www.football-lab.jp/ka-f/report/?year=2018&month=05&date=20
A,札幌,W,2,1,12,15,5,6,0,0,486,570,19,10,12,7,2,1,6,11,18,15,10,10,16,20,24,30,4,2,1,1,0,2,0,0,39,70,15,20,"118,632m","113,616m",203,251,115,114,10.4%,13.2%,45.9%,54.1%,https://www.football-lab.jp/ka-f/report/?year=2018&month=07&date=18
H,長崎,W,1,0,9,22,2,5,0,0,402,558,14,14,13,10,2,0,4,6,20,16,13,7,18,15,19,21,1,4,0,2,0,1,0,0,40,54,10,18,"107,689m","98,228m",118,113,118,104,7.6%,21.2%,44.9%,55.1%,https://www.football-lab.jp/ka-f/report/?year=2018&month=07&date=22
A,浦和,L,0,2,9,18,3,3,1,0,376,679,9,9,11,8,2,2,2,4,16,14,10,11,32,16,20,13,4,1,2,2,2,1,0,0,30,72,11,15,"104,919m","101,557m",137,116,112,115,8.0%,15.7%,41.1%,58.9%,https://www.football-lab.jp/ka-f/report/?year=2018&month=08&date=01
H,横浜FM,W,2,0,6,14,0,4,0,0,409,589,22,11,12,14,0,0,6,2,28,25,24,11,28,34,13,27,6,2,0,0,2,2,0,0,43,52,12,12,"109,982m","102,299m",155,157,124,115,4.8%,12.2%,46.6%,53.4%,https://www.football-lab.jp/ka-f/report/?year=2018&month=08&date=05
A,清水,W,2,1,5,17,1,7,0,0,352,855,13,13,8,6,1,0,3,8,22,18,12,11,16,21,29,32,5,1,0,1,0,1,0,0,39,72,7,25,"107,956m","102,762m",131,111,111,112,4.5%,15.2%,35.7%,64.3%,https://www.football-lab.jp/ka-f/report/?year=2018&month=08&date=11
H,鳥栖,D,0,0,2,27,0,9,0,0,260,825,5,16,12,5,2,0,2,7,11,15,8,18,20,13,28,11,3,3,0,2,0,0,0,0,15,81,7,28,"105,320m","100,914m",131,117,99,98,2.0%,27.6%,33%,67%,https://www.football-lab.jp/ka-f/report/?year=2018&month=08&date=15
A,広島,W,2,1,9,17,2,7,0,1,389,765,11,16,10,12,2,2,4,2,18,18,7,11,18,16,24,14,2,5,2,2,2,0,0,0,35,70,12,17,"109,793m","103,963m",124,122,104,109,8.7%,15.6%,37.7%,62.3%,https://www.football-lab.jp/ka-f/report/?year=2018&month=08&date=19
H,仙台,W,1,0,6,18,1,7,0,0,425,687,11,12,6,8,3,1,4,5,17,13,14,18,22,25,21,34,1,2,1,3,0,0,0,0,37,72,16,18,"107,582m","105,143m",104,119,102,99,5.9%,18.2%,43.5%,56.5%,https://www.football-lab.jp/ka-f/report/?year=2018&month=08&date=25
A,Ｇ大阪,L,0,2,8,12,4,4,0,0,372,847,4,11,8,16,2,3,2,5,19,28,4,15,28,19,34,4,4,3,3,2,1,1,0,0,21,78,5,18,"112,138m","105,093m",143,125,129,126,6.2%,9.5%,37.9%,62.1%,https://www.football-lab.jp/ka-f/report/?year=2018&month=09&date=01
H,札幌,W,7,0,7,26,1,15,0,0,514,521,12,8,12,16,3,3,3,4,14,16,7,9,17,23,18,24,3,7,3,2,3,1,0,0,43,50,12,19,"112,825m","108,902m",129,143,112,123,6.3%,21.1%,51%,49%,https://www.football-lab.jp/ka-f/report/?year=2018&month=09&date=15
H,名古屋,W,3,1,6,21,3,7,0,0,568,683,8,11,13,12,1,1,3,9,8,13,8,9,12,23,21,18,2,2,1,0,3,0,0,0,34,83,9,22,"106,889m","102,382m",98,121,87,99,6.9%,21.2%,45.6%,54.4%,https://www.football-lab.jp/ka-f/report/?year=2018&month=09&date=22
A,湘南,D,0,0,7,14,1,6,0,1,301,775,8,21,9,17,2,0,3,6,16,30,15,13,15,24,45,15,2,3,0,2,2,1,0,0,33,58,5,22,"115,024m","107,394m",177,140,111,120,6.3%,11.7%,36.6%,63.4%,https://www.football-lab.jp/ka-f/report/?year=2018&month=09&date=26
A,長崎,W,2,1,11,15,3,7,0,0,319,673,16,11,10,12,0,1,4,6,26,22,13,8,15,26,20,21,5,1,1,0,1,2,0,0,34,58,9,17,"107,157m","100,616m",132,144,109,107,10.1%,14.0%,38.5%,61.5%,https://www.football-lab.jp/ka-f/report/?year=2018&month=09&date=29
A,鹿島,D,0,0,9,6,1,2,0,1,275,507,20,11,17,9,2,0,12,6,28,19,14,13,15,23,12,33,1,0,0,2,3,4,0,1,25,42,15,12,"101,767m","97,048m",137,108,110,102,8.2%,5.9%,38.8%,61.2%,https://www.football-lab.jp/ka-f/report/?year=2018&month=10&date=07
H,神戸,W,5,3,9,22,3,10,0,1,523,681,12,13,10,10,2,2,4,4,6,14,10,18,26,15,12,17,3,4,2,2,2,0,0,0,42,75,8,31,"114,763m","114,345m",147,175,105,104,8.6%,21.2%,47.9%,52.1%,https://www.football-lab.jp/ka-f/report/?year=2018&month=10&date=20
H,柏,W,3,0,7,20,2,8,0,0,382,712,16,11,8,10,1,3,6,5,16,21,18,12,33,19,23,20,2,4,2,1,1,2,0,0,25,68,10,18,"109,199m","108,209m",155,153,118,120,5.9%,16.7%,40.7%,59.3%,https://www.football-lab.jp/ka-f/report/?year=2018&month=11&date=03
A,Ｃ大阪,L,1,2,13,11,4,4,0,1,413,732,10,18,6,9,2,2,3,11,21,22,12,16,21,19,31,14,2,3,2,2,0,0,0,0,32,84,12,19,"112,265m","109,593m",148,151,121,132,10.7%,8.3%,41.7%,58.3%,https://www.football-lab.jp/ka-f/report/?year=2018&month=11&date=10
A,FC東京,W,2,0,16,12,4,7,0,0,419,688,7,9,13,11,2,1,8,3,26,17,13,14,30,21,23,33,2,4,1,2,1,1,0,0,42,67,14,13,"112,940m","109,831m",178,163,129,124,12.4%,9.7%,41.6%,58.4%,https://www.football-lab.jp/ka-f/report/?year=2018&month=11&date=24
H,磐田,W,2,1,8,12,3,2,0,0,241,838,9,15,10,9,4,0,2,9,25,15,7,6,18,16,22,12,4,0,0,4,0,0,0,0,24,90,6,22,"106,751m","100,688m",132,126,104,100,7.7%,12.0%,29.5%,70.5%,https://www.football-lab.jp/ka-f/report/?year=2018&month=12&date=01
