HOME/AWAY,Opponent,勝敗,shon_得点,shon_失点,shon_シュート,Opponent_シュート,shon_枠内シュート,Opponent_枠内シュート,shon_PKによるシュート,Opponent_PKによるシュート,shon_パス,Opponent_パス,shon_クロス,Opponent_クロス,shon_直接ＦＫ,Opponent_直接ＦＫ,shon_間接ＦＫ,Opponent_間接ＦＫ,shon_ＣＫ,Opponent_ＣＫ,shon_スローイン,Opponent_スローイン,shon_ドリブル,Opponent_ドリブル,shon_タックル,Opponent_タックル,shon_クリア,Opponent_クリア,shon_インターセプト,Opponent_インターセプト,shon_オフサイド,Opponent_オフサイド,shon_警告,Opponent_警告,shon_退場,Opponent_退場,shon_３０ｍライン進入,Opponent_３０ｍライン進入,shon_ペナルティエリア進入,Opponent_ペナルティエリア進入,shon_総移動距離,Opponent_総移動距離,shon_スプリント,Opponent_スプリント,shon_攻撃回数,Opponent_攻撃回数,shon_チャンス構築率,Opponent_チャンス構築率,shon_ボール保持率,Opponent_ボール保持率,URL
A,長崎,W,3,1,20,16,6,4,0,0,292,394,11,23,8,14,1,1,7,5,17,31,18,18,20,24,44,23,4,4,1,1,1,1,0,0,33,39,20,19,"110,841m","109,816m",170,155,114,132,17.5%,12.1%,46%,54%,https://www.football-lab.jp/shon/report/?year=2018&month=08&date=31
A,鹿島,L,1,2,10,14,4,3,0,0,444,446,12,18,17,13,1,3,4,5,27,18,15,9,19,22,28,25,3,1,2,1,1,0,0,0,28,39,8,16,"114,729m","110,010m",173,151,130,120,7.7%,11.7%,51.3%,48.7%,https://www.football-lab.jp/shon/report/?year=2018&month=09&date=14
H,Ｃ大阪,D,1,1,11,24,5,9,0,0,338,568,11,22,10,11,0,0,3,11,19,25,9,15,14,17,41,11,2,3,0,0,0,1,0,0,22,68,11,19,"111,898m","105,050m",162,136,117,122,9.4%,19.7%,39.4%,60.6%,https://www.football-lab.jp/shon/report/?year=2018&month=09&date=22
H,川崎Ｆ,D,0,0,7,14,1,6,0,1,301,775,8,21,9,17,2,0,3,6,16,30,15,13,15,24,45,15,2,3,0,2,2,1,0,0,33,58,5,22,"115,024m","107,394m",177,140,111,120,6.3%,11.7%,36.6%,63.4%,https://www.football-lab.jp/shon/report/?year=2018&month=09&date=26
A,鳥栖,W,1,0,10,27,4,2,0,0,291,399,10,35,12,16,3,5,3,8,15,35,7,18,13,16,50,11,1,0,4,3,1,0,0,0,29,54,8,30,"116,934m","115,182m",177,180,131,144,7.6%,18.8%,44.2%,55.8%,https://www.football-lab.jp/shon/report/?year=2018&month=10&date=06
H,札幌,D,2,2,9,22,5,5,0,0,287,473,16,20,15,11,3,0,6,5,17,22,16,21,11,18,36,20,1,2,0,3,1,0,0,0,31,45,13,22,"111,645m","110,369m",188,186,127,126,7.1%,17.5%,43.4%,56.6%,https://www.football-lab.jp/shon/report/?year=2018&month=10&date=20
A,磐田,L,0,1,7,14,2,3,0,0,534,396,18,15,11,14,1,3,5,4,33,23,13,12,14,17,17,32,0,3,3,1,0,2,0,0,39,36,11,10,"116,280m","116,470m",173,173,135,133,5.2%,10.5%,52.2%,47.8%,https://www.football-lab.jp/shon/report/?year=2018&month=10&date=30
H,清水,D,0,0,21,7,5,3,0,0,568,365,32,15,10,10,2,2,10,2,24,14,19,10,17,19,17,46,2,0,2,1,1,0,0,0,70,36,24,8,"122,282m","116,987m",229,175,137,114,15.3%,6.1%,57.3%,42.7%,https://www.football-lab.jp/shon/report/?year=2018&month=11&date=02
A,Ｇ大阪,L,0,1,24,13,6,2,0,0,384,546,24,18,14,12,4,2,5,3,22,17,11,10,17,15,23,30,4,3,2,4,1,1,0,0,42,46,19,19,"114,738m","111,969m",203,209,117,113,20.5%,11.5%,45.2%,54.8%,https://www.football-lab.jp/shon/report/?year=2018&month=11&date=10
H,浦和,W,2,1,9,28,4,3,0,0,310,604,10,17,11,18,1,1,4,4,17,22,20,17,18,29,40,15,2,4,1,1,1,1,0,0,33,52,13,25,"120,313m","115,011m",175,164,122,122,7.4%,23.0%,40.9%,59.1%,https://www.football-lab.jp/shon/report/?year=2018&month=11&date=24
A,名古屋,D,2,2,10,12,2,3,1,2,253,488,18,24,15,22,0,0,5,4,24,26,10,16,12,16,31,18,1,0,0,0,1,4,0,0,18,54,12,18,"110,456m","110,948m",141,150,125,136,8.0%,8.8%,38.6%,61.4%,https://www.football-lab.jp/shon/report/?year=2018&month=12&date=01
