HOME/AWAY,Opponent,勝敗,hiro_得点,hiro_失点,hiro_シュート,Opponent_シュート,hiro_枠内シュート,Opponent_枠内シュート,hiro_PKによるシュート,Opponent_PKによるシュート,hiro_パス,Opponent_パス,hiro_クロス,Opponent_クロス,hiro_直接ＦＫ,Opponent_直接ＦＫ,hiro_間接ＦＫ,Opponent_間接ＦＫ,hiro_ＣＫ,Opponent_ＣＫ,hiro_スローイン,Opponent_スローイン,hiro_ドリブル,Opponent_ドリブル,hiro_タックル,Opponent_タックル,hiro_クリア,Opponent_クリア,hiro_インターセプト,Opponent_インターセプト,hiro_オフサイド,Opponent_オフサイド,hiro_警告,Opponent_警告,hiro_退場,Opponent_退場,hiro_３０ｍライン進入,Opponent_３０ｍライン進入,hiro_ペナルティエリア進入,Opponent_ペナルティエリア進入,hiro_総移動距離,Opponent_総移動距離,hiro_スプリント,Opponent_スプリント,hiro_攻撃回数,Opponent_攻撃回数,hiro_チャンス構築率,Opponent_チャンス構築率,hiro_ボール保持率,Opponent_ボール保持率,URL
A,長崎,W,2,0,22,6,5,2,0,0,701,535,19,12,12,8,2,1,2,2,17,19,12,14,30,12,19,18,2,0,1,2,0,0,0,0,77,36,21,8,"115,581m","115,328m",132,114,108,104,20.4%,5.8%,54.1%,45.9%,https://www.football-lab.jp/hiro/report/?year=2018&month=04&date=28
H,清水,W,2,0,11,16,3,6,0,0,415,586,10,31,12,10,0,1,4,8,19,35,11,15,19,22,43,10,2,2,1,0,0,2,0,0,26,73,13,15,"116,384m","115,135m",163,165,122,134,9.0%,11.9%,44.1%,55.9%,https://www.football-lab.jp/hiro/report/?year=2018&month=05&date=02
H,神戸,W,2,0,14,14,6,4,1,0,285,622,15,21,9,11,2,6,5,4,23,28,12,10,24,26,39,17,4,1,6,2,0,3,0,0,30,63,14,15,"116,414m","112,685m",176,155,116,118,12.1%,11.9%,35.6%,64.4%,https://www.football-lab.jp/hiro/report/?year=2018&month=05&date=06
A,仙台,W,3,1,11,11,4,3,0,0,401,535,13,26,16,9,0,4,10,2,14,19,11,17,28,18,30,19,3,1,4,0,2,0,0,0,46,55,16,17,"118,445m","117,596m",153,141,120,116,9.2%,9.5%,44.7%,55.3%,https://www.football-lab.jp/hiro/report/?year=2018&month=05&date=12
H,Ｃ大阪,L,0,2,18,13,5,4,0,0,553,457,24,11,9,7,2,2,9,3,28,19,12,12,17,16,18,49,3,6,2,2,0,0,0,0,57,38,25,13,"114,735m","113,641m",160,143,126,119,14.3%,10.9%,52.1%,47.9%,https://www.football-lab.jp/hiro/report/?year=2018&month=05&date=20
H,Ｇ大阪,W,4,0,27,5,11,1,0,0,718,447,25,6,14,16,2,3,2,2,17,9,12,14,11,12,8,11,0,3,3,2,1,1,0,1,90,33,27,1,"112,704m","98,546m",121,99,91,99,29.7%,5.1%,55.5%,44.5%,https://www.football-lab.jp/hiro/report/?year=2018&month=07&date=18
A,名古屋,D,0,0,17,13,8,4,0,0,480,555,16,8,10,14,2,3,8,5,17,13,7,12,16,6,16,25,3,1,3,2,0,0,0,0,44,42,22,11,"106,247m","107,576m",119,105,94,96,18.1%,13.5%,46.8%,53.2%,https://www.football-lab.jp/hiro/report/?year=2018&month=07&date=22
H,浦和,L,1,4,9,10,3,6,0,1,520,379,22,9,14,16,2,1,7,4,23,20,12,6,13,17,14,26,0,0,1,2,0,1,0,0,50,31,14,7,"108,306m","107,254m",121,138,112,110,8.0%,9.1%,55.4%,44.6%,https://www.football-lab.jp/hiro/report/?year=2018&month=07&date=28
A,横浜FM,W,4,1,18,22,7,8,1,0,290,621,11,21,8,18,3,3,7,5,10,13,5,21,16,16,19,10,1,0,3,3,1,3,0,0,33,68,18,15,"109,000m","106,979m",109,125,97,104,18.6%,21.2%,33.7%,66.3%,https://www.football-lab.jp/hiro/report/?year=2018&month=08&date=01
H,湘南,D,2,2,17,10,9,2,1,1,518,387,22,13,6,10,2,5,12,3,22,18,16,9,17,18,11,42,0,0,5,2,1,1,0,0,47,32,22,10,"115,183m","118,283m",144,187,118,108,14.4%,9.3%,54.6%,45.4%,https://www.football-lab.jp/hiro/report/?year=2018&month=08&date=05
H,長崎,W,2,0,15,10,6,2,0,0,475,515,16,18,9,9,1,1,5,4,22,25,10,18,17,14,16,13,4,2,1,1,0,1,0,0,32,47,15,15,"111,539m","109,303m",139,140,110,109,13.6%,9.2%,48.3%,51.7%,https://www.football-lab.jp/hiro/report/?year=2018&month=08&date=11
A,神戸,D,1,1,15,9,4,3,0,0,475,675,16,13,9,8,3,1,7,3,20,17,13,11,18,20,17,18,2,2,1,3,1,3,0,0,47,51,17,5,"106,443m","101,266m",125,117,92,84,16.3%,10.7%,43%,57%,https://www.football-lab.jp/hiro/report/?year=2018&month=08&date=15
H,川崎Ｆ,L,1,2,9,17,2,7,0,1,389,765,11,16,10,12,2,2,4,2,18,18,7,11,18,16,24,14,2,5,2,2,2,0,0,0,35,70,12,17,"109,793m","103,963m",124,122,104,109,8.7%,15.6%,37.7%,62.3%,https://www.football-lab.jp/hiro/report/?year=2018&month=08&date=19
A,Ｃ大阪,W,1,0,12,12,5,6,0,0,478,501,16,17,13,4,2,6,6,5,19,25,12,12,22,21,23,29,5,2,6,2,0,1,0,0,46,66,14,9,"107,721m","104,302m",120,126,118,112,10.2%,10.7%,46.9%,53.1%,https://www.football-lab.jp/hiro/report/?year=2018&month=08&date=25
H,鹿島,W,3,1,12,13,4,3,0,0,409,500,7,25,14,16,1,3,3,3,24,25,16,15,23,29,39,20,3,2,3,1,1,0,0,0,39,50,10,23,"112,771m","110,706m",143,175,123,125,9.8%,10.4%,46.6%,53.4%,https://www.football-lab.jp/hiro/report/?year=2018&month=09&date=01
A,鳥栖,L,0,1,10,19,2,5,0,0,404,484,11,15,19,12,2,1,2,6,14,18,6,20,19,12,20,19,2,2,1,2,0,1,0,0,41,55,18,15,"112,492m","110,939m",134,152,114,115,8.8%,16.5%,45.9%,54.1%,https://www.football-lab.jp/hiro/report/?year=2018&month=09&date=15
H,FC東京,D,1,1,14,17,4,3,0,0,385,450,11,16,13,13,1,2,6,8,22,20,8,13,26,27,27,13,4,6,2,1,1,1,0,0,36,58,10,20,"110,684m","106,729m",135,171,120,122,11.7%,13.9%,47.8%,52.2%,https://www.football-lab.jp/hiro/report/?year=2018&month=09&date=22
A,Ｇ大阪,L,0,1,12,9,4,2,0,0,397,597,23,11,12,12,1,3,9,6,20,19,10,9,25,23,30,33,4,4,3,1,1,1,0,0,38,82,15,9,"106,066m","105,959m",111,141,115,113,10.4%,8.0%,41.2%,58.8%,https://www.football-lab.jp/hiro/report/?year=2018&month=09&date=29
H,柏,L,0,3,17,15,2,8,0,0,485,298,24,16,11,9,2,4,9,6,40,34,8,12,18,11,18,40,2,1,4,2,0,1,0,0,33,35,18,11,"108,535m","105,609m",117,137,168,156,10.1%,9.6%,58.4%,41.6%,https://www.football-lab.jp/hiro/report/?year=2018&month=10&date=06
A,清水,L,0,2,13,4,7,4,0,0,686,311,19,10,5,15,3,4,6,3,22,26,9,4,15,21,16,27,1,4,3,3,1,2,0,0,76,28,22,7,"117,199m","117,722m",156,161,123,135,10.6%,3.0%,62.7%,37.3%,https://www.football-lab.jp/hiro/report/?year=2018&month=10&date=20
A,磐田,L,2,3,14,13,4,4,0,1,436,486,22,18,12,14,1,5,5,7,27,25,20,11,26,29,37,25,4,3,5,1,0,1,0,0,56,26,17,13,"117,938m","119,449m",179,192,136,146,10.3%,8.9%,48.3%,51.7%,https://www.football-lab.jp/hiro/report/?year=2018&month=11&date=03
H,仙台,L,0,1,19,11,6,4,0,0,461,530,23,19,13,16,0,1,8,4,24,23,9,14,16,15,24,25,3,2,1,0,2,2,0,0,43,49,23,8,"117,027m","115,567m",190,156,124,128,15.3%,8.6%,47%,53%,https://www.football-lab.jp/hiro/report/?year=2018&month=11&date=10
H,名古屋,L,1,2,14,9,5,3,0,0,651,472,30,9,8,16,0,3,4,1,24,14,18,14,29,19,12,30,1,1,3,0,2,0,0,0,65,38,23,14,"118,210m","116,335m",159,136,119,118,11.8%,7.6%,56.2%,43.8%,https://www.football-lab.jp/hiro/report/?year=2018&month=11&date=24
A,札幌,D,2,2,18,14,5,6,0,0,477,483,16,15,18,11,0,0,7,0,21,14,16,9,13,11,18,37,3,2,0,0,2,6,0,0,48,45,14,18,"113,405m","114,960m",139,169,116,93,15.5%,15.1%,50%,50%,https://www.football-lab.jp/hiro/report/?year=2018&month=12&date=01
