HOME/AWAY,Opponent,勝敗,shim_得点,shim_失点,shim_シュート,Opponent_シュート,shim_枠内シュート,Opponent_枠内シュート,shim_PKによるシュート,Opponent_PKによるシュート,shim_パス,Opponent_パス,shim_クロス,Opponent_クロス,shim_直接ＦＫ,Opponent_直接ＦＫ,shim_間接ＦＫ,Opponent_間接ＦＫ,shim_ＣＫ,Opponent_ＣＫ,shim_スローイン,Opponent_スローイン,shim_ドリブル,Opponent_ドリブル,shim_タックル,Opponent_タックル,shim_クリア,Opponent_クリア,shim_インターセプト,Opponent_インターセプト,shim_オフサイド,Opponent_オフサイド,shim_警告,Opponent_警告,shim_退場,Opponent_退場,shim_３０ｍライン進入,Opponent_３０ｍライン進入,shim_ペナルティエリア進入,Opponent_ペナルティエリア進入,shim_総移動距離,Opponent_総移動距離,shim_スプリント,Opponent_スプリント,shim_攻撃回数,Opponent_攻撃回数,shim_チャンス構築率,Opponent_チャンス構築率,shim_ボール保持率,Opponent_ボール保持率,URL
H,柏,W,2,1,12,18,4,7,0,0,317,630,14,23,8,11,0,0,4,9,24,34,11,19,24,17,39,19,1,1,0,0,1,1,0,0,30,53,13,11,"119,020m","114,123m",184,192,124,134,9.7%,13.4%,38.9%,61.1%,https://www.football-lab.jp/shim/report/?year=2018&month=04&date=28
A,広島,L,0,2,16,11,6,3,0,0,586,415,31,10,10,12,1,0,8,4,35,19,15,11,22,19,10,43,2,2,0,1,2,0,0,0,73,26,15,13,"115,135m","116,384m",165,163,134,122,11.9%,9.0%,55.9%,44.1%,https://www.football-lab.jp/shim/report/?year=2018&month=05&date=02
A,鳥栖,L,1,3,20,11,4,4,0,1,462,353,30,12,12,6,2,5,3,3,35,25,13,9,16,29,21,41,2,2,3,2,1,2,0,1,52,32,18,12,"117,747m","117,020m",175,163,152,142,13.2%,7.7%,53.4%,46.6%,https://www.football-lab.jp/shim/report/?year=2018&month=05&date=06
H,湘南,W,4,2,8,16,4,6,2,0,255,553,12,32,12,14,2,1,1,14,14,24,6,21,26,20,31,19,3,3,1,2,2,0,1,0,26,64,11,30,"110,414m","113,248m",126,140,116,134,6.9%,11.9%,39.7%,60.3%,https://www.football-lab.jp/shim/report/?year=2018&month=05&date=12
A,川崎Ｆ,L,0,3,9,14,3,8,0,0,431,831,16,7,16,12,0,1,4,2,20,5,6,12,13,14,9,28,1,3,1,0,1,0,0,0,29,57,6,16,"113,332m","110,745m",147,156,107,101,8.4%,13.9%,39.7%,60.3%,https://www.football-lab.jp/shim/report/?year=2018&month=05&date=20
H,Ｃ大阪,W,3,0,13,11,3,2,0,0,457,603,17,31,6,8,0,1,4,7,14,17,10,11,15,10,42,28,1,0,1,0,0,2,0,0,46,54,10,10,"109,369m","108,783m",113,108,122,121,10.7%,9.1%,45.2%,54.8%,https://www.football-lab.jp/shim/report/?year=2018&month=07&date=18
A,Ｇ大阪,W,2,1,15,13,4,6,1,0,343,517,13,20,12,10,2,2,3,5,20,22,9,21,22,22,26,17,3,3,2,2,1,1,0,0,37,51,13,14,"110,278m","105,432m",133,138,125,111,12.0%,11.7%,44.1%,55.9%,https://www.football-lab.jp/shim/report/?year=2018&month=07&date=22
H,鳥栖,W,1,0,5,7,1,1,1,0,340,557,19,19,16,15,0,3,3,3,19,22,11,13,16,17,30,32,1,0,3,0,0,3,0,0,29,37,11,9,"110,355m","107,117m",127,109,119,120,4.2%,5.8%,40.2%,59.8%,https://www.football-lab.jp/shim/report/?year=2018&month=08&date=01
A,鹿島,L,0,1,11,12,1,3,0,0,296,522,10,17,9,14,0,2,1,5,21,28,11,17,21,15,15,14,0,0,2,0,2,2,0,0,28,60,6,13,"102,698m","102,283m",116,126,111,123,9.9%,9.8%,39.1%,60.9%,https://www.football-lab.jp/shim/report/?year=2018&month=08&date=05
H,川崎Ｆ,L,1,2,5,17,1,7,0,0,352,855,13,13,8,6,1,0,3,8,22,18,12,11,16,21,29,32,5,1,0,1,0,1,0,0,39,72,7,25,"107,956m","102,762m",131,111,111,112,4.5%,15.2%,35.7%,64.3%,https://www.football-lab.jp/shim/report/?year=2018&month=08&date=11
A,Ｃ大阪,L,1,3,11,17,2,7,0,0,365,587,15,15,8,11,2,2,2,5,16,18,11,10,11,12,15,12,1,2,2,2,1,1,0,0,39,39,14,19,"104,476m","103,872m",145,132,99,112,11.1%,15.2%,41.5%,58.5%,https://www.football-lab.jp/shim/report/?year=2018&month=08&date=15
H,浦和,D,3,3,18,22,9,7,0,0,427,415,22,17,11,15,2,1,6,8,18,13,24,12,17,19,25,21,4,0,1,2,2,1,0,0,56,47,16,20,"111,847m","110,555m",178,144,123,123,14.6%,17.9%,51.2%,48.8%,https://www.football-lab.jp/shim/report/?year=2018&month=08&date=19
H,札幌,L,1,2,14,13,7,3,0,0,332,505,22,10,13,13,1,1,6,4,16,18,15,13,15,7,14,30,2,6,1,1,1,2,0,0,45,37,13,15,"106,383m","107,982m",149,158,115,121,12.2%,10.7%,42.7%,57.3%,https://www.football-lab.jp/shim/report/?year=2018&month=08&date=25
A,横浜FM,W,2,1,12,20,5,7,0,0,299,570,18,27,14,9,1,1,3,12,19,27,16,18,21,29,32,11,7,5,1,0,2,4,0,1,40,56,12,22,"109,600m","110,250m",165,178,116,127,10.3%,15.7%,38.1%,61.9%,https://www.football-lab.jp/shim/report/?year=2018&month=08&date=29
A,仙台,L,1,2,12,12,5,3,0,0,381,592,23,15,7,11,1,0,4,3,33,29,15,20,31,23,23,29,6,1,0,1,1,0,0,0,35,54,20,15,"114,836m","117,498m",146,132,136,142,8.8%,8.5%,43%,57%,https://www.football-lab.jp/shim/report/?year=2018&month=09&date=01
A,柏,W,3,2,24,13,8,3,0,0,402,506,12,22,16,9,0,1,3,4,17,18,19,18,14,14,25,21,3,0,1,0,0,1,0,0,39,41,22,12,"114,142m","112,780m",147,165,121,114,19.8%,11.4%,47.2%,52.8%,https://www.football-lab.jp/shim/report/?year=2018&month=09&date=15
H,Ｇ大阪,L,1,2,23,11,4,6,0,0,543,486,25,18,9,9,2,1,6,3,21,20,10,12,15,18,22,38,8,2,1,2,0,1,0,0,51,61,23,15,"114,574m","113,149m",154,148,120,120,19.2%,9.2%,52.9%,47.1%,https://www.football-lab.jp/shim/report/?year=2018&month=09&date=21
A,FC東京,W,2,0,13,7,5,2,1,0,353,534,17,24,13,11,3,1,6,5,20,18,13,9,18,18,29,23,5,1,1,3,0,1,0,0,37,53,15,15,"114,002m","113,213m",153,182,121,117,10.7%,6.0%,43.4%,56.6%,https://www.football-lab.jp/shim/report/?year=2018&month=09&date=29
H,磐田,W,5,1,13,11,6,4,0,0,274,391,15,18,6,16,3,5,5,7,22,24,20,11,19,15,31,31,3,1,3,3,2,1,0,0,33,40,14,8,"106,444m","106,344m",157,139,115,127,11.3%,8.7%,45.1%,54.9%,https://www.football-lab.jp/shim/report/?year=2018&month=10&date=07
H,広島,W,2,0,4,13,4,7,0,0,311,686,10,19,15,5,4,3,3,6,26,22,4,9,21,15,27,16,4,1,3,3,2,1,0,0,28,76,7,22,"117,722m","117,199m",161,156,135,123,3.0%,10.6%,37.3%,62.7%,https://www.football-lab.jp/shim/report/?year=2018&month=10&date=20
A,湘南,D,0,0,7,21,3,5,0,0,365,568,15,32,10,10,2,2,2,10,14,24,10,19,19,17,46,17,0,2,1,2,0,1,0,0,36,70,8,24,"116,987m","122,282m",175,229,114,137,6.1%,15.3%,42.7%,57.3%,https://www.football-lab.jp/shim/report/?year=2018&month=11&date=02
H,名古屋,W,2,0,11,10,7,2,0,0,372,647,11,15,11,17,2,1,3,10,14,18,14,19,26,28,28,16,2,4,1,2,2,0,0,0,44,46,12,19,"110,502m","111,808m",137,138,110,128,10.0%,7.8%,43.1%,56.9%,https://www.football-lab.jp/shim/report/?year=2018&month=11&date=10
H,神戸,D,3,3,22,10,7,5,0,0,431,441,28,7,14,16,0,3,11,1,27,7,28,7,20,24,16,52,2,4,3,0,2,5,0,2,51,20,29,11,"113,243m","110,158m",136,136,128,112,17.2%,8.9%,46.7%,53.3%,https://www.football-lab.jp/shim/report/?year=2018&month=11&date=24
A,長崎,D,4,4,18,19,8,9,1,1,461,410,20,17,9,15,1,1,4,7,16,22,8,12,16,15,37,21,2,2,1,1,2,1,0,0,53,34,15,14,"115,104m","116,889m",192,195,117,131,15.4%,14.5%,50.8%,49.2%,https://www.football-lab.jp/shim/report/?year=2018&month=12&date=01
