HOME/AWAY,Opponent,勝敗,iwat_得点,iwat_失点,iwat_シュート,Opponent_シュート,iwat_枠内シュート,Opponent_枠内シュート,iwat_PKによるシュート,Opponent_PKによるシュート,iwat_パス,Opponent_パス,iwat_クロス,Opponent_クロス,iwat_直接ＦＫ,Opponent_直接ＦＫ,iwat_間接ＦＫ,Opponent_間接ＦＫ,iwat_ＣＫ,Opponent_ＣＫ,iwat_スローイン,Opponent_スローイン,iwat_ドリブル,Opponent_ドリブル,iwat_タックル,Opponent_タックル,iwat_クリア,Opponent_クリア,iwat_インターセプト,Opponent_インターセプト,iwat_オフサイド,Opponent_オフサイド,iwat_警告,Opponent_警告,iwat_退場,Opponent_退場,iwat_３０ｍライン進入,Opponent_３０ｍライン進入,iwat_ペナルティエリア進入,Opponent_ペナルティエリア進入,iwat_総移動距離,Opponent_総移動距離,iwat_スプリント,Opponent_スプリント,iwat_攻撃回数,Opponent_攻撃回数,iwat_チャンス構築率,Opponent_チャンス構築率,iwat_ボール保持率,Opponent_ボール保持率,URL
H,Ｇ大阪,D,1,1,15,8,8,3,0,0,464,476,14,14,15,9,5,0,5,2,23,16,6,9,11,10,23,27,3,1,0,5,1,2,0,0,48,32,12,8,"104,165m","101,968m",122,101,93,84,16.1%,9.5%,48.5%,51.5%,https://www.football-lab.jp/iwat/report/?year=2018&month=08&date=01
H,仙台,W,3,2,21,13,5,6,0,0,523,426,22,18,11,14,1,0,9,4,16,17,11,16,17,14,26,28,2,2,0,1,1,2,0,0,46,31,17,22,"110,762m","106,448m",155,112,114,105,18.4%,12.4%,53%,47%,https://www.football-lab.jp/iwat/report/?year=2018&month=08&date=05
A,神戸,L,1,2,14,16,7,5,1,0,302,627,9,10,12,17,2,0,3,5,12,13,8,14,9,11,25,19,2,4,0,2,2,3,0,0,29,47,9,19,"100,885m","99,511m",104,112,94,101,14.9%,15.8%,36.4%,63.6%,https://www.football-lab.jp/iwat/report/?year=2018&month=08&date=11
A,浦和,L,0,4,7,17,1,8,0,0,461,450,13,18,10,18,4,1,2,3,16,16,11,12,17,19,21,13,1,2,1,4,2,1,0,0,39,46,10,22,"105,333m","102,123m",134,138,109,117,6.4%,14.5%,49.5%,50.5%,https://www.football-lab.jp/iwat/report/?year=2018&month=08&date=15
H,柏,W,2,0,9,12,4,3,0,0,456,531,11,16,10,13,3,2,3,4,14,32,10,13,17,24,35,26,3,2,2,3,1,2,0,0,28,49,9,12,"112,121m","108,974m",162,138,116,112,7.8%,10.7%,49.6%,50.4%,https://www.football-lab.jp/iwat/report/?year=2018&month=08&date=19
A,鹿島,D,1,1,17,15,1,5,1,0,434,330,12,9,14,3,2,2,5,10,25,24,10,7,19,17,22,32,6,2,2,2,1,0,0,0,45,36,7,17,"105,338m","104,015m",143,165,118,116,14.4%,12.9%,54.6%,45.4%,https://www.football-lab.jp/iwat/report/?year=2018&month=08&date=24
H,名古屋,L,1,6,21,15,7,9,0,0,544,483,15,7,12,12,3,1,5,0,16,9,13,17,19,15,14,31,4,6,1,3,2,0,0,0,78,30,16,17,"106,462m","106,806m",127,128,103,98,20.4%,15.3%,52.7%,47.3%,https://www.football-lab.jp/iwat/report/?year=2018&month=09&date=01
A,Ｃ大阪,D,1,1,12,20,5,6,0,0,339,589,9,21,14,6,2,1,6,7,20,11,13,18,23,17,29,16,5,2,1,2,2,2,0,0,37,68,4,21,"107,693m","101,330m",130,141,119,109,10.1%,18.3%,39.7%,60.3%,https://www.football-lab.jp/iwat/report/?year=2018&month=09&date=14
H,横浜FM,L,1,2,15,16,3,5,0,0,411,435,22,9,18,10,5,3,6,2,24,19,9,9,17,20,17,26,3,1,3,3,2,3,0,1,40,29,12,14,"109,985m","109,479m",141,143,121,108,12.4%,14.8%,46.3%,53.7%,https://www.football-lab.jp/iwat/report/?year=2018&month=09&date=22
A,清水,L,1,5,11,13,4,6,0,0,391,274,18,15,16,6,5,3,7,5,24,22,11,20,15,19,31,31,1,3,3,3,1,2,0,0,40,33,8,14,"106,344m","106,444m",139,157,127,115,8.7%,11.3%,54.9%,45.1%,https://www.football-lab.jp/iwat/report/?year=2018&month=10&date=07
A,長崎,D,0,0,13,8,2,2,0,0,394,270,26,12,20,8,4,1,5,5,27,29,11,8,22,22,29,40,1,0,1,4,0,0,0,0,43,20,16,12,"108,436m","109,819m",162,167,135,128,9.6%,6.3%,53.8%,46.2%,https://www.football-lab.jp/iwat/report/?year=2018&month=10&date=21
H,湘南,W,1,0,14,7,3,2,0,0,396,534,15,18,14,11,3,1,4,5,23,33,12,13,17,14,32,17,3,0,1,3,2,0,0,0,36,39,10,11,"116,470m","116,280m",173,173,133,135,10.5%,5.2%,47.8%,52.2%,https://www.football-lab.jp/iwat/report/?year=2018&month=10&date=30
H,広島,W,3,2,13,14,4,4,1,0,486,436,18,22,14,12,5,1,7,5,25,27,11,20,29,26,25,37,3,4,1,5,1,0,0,0,26,56,13,17,"119,449m","117,938m",192,179,146,136,8.9%,10.3%,51.7%,48.3%,https://www.football-lab.jp/iwat/report/?year=2018&month=11&date=03
A,FC東京,D,0,0,12,14,2,3,0,1,406,596,14,25,13,8,1,1,5,10,13,24,8,17,30,19,38,15,2,2,1,1,1,1,0,0,33,51,12,20,"113,268m","110,933m",138,203,120,125,10.0%,11.2%,41.8%,58.2%,https://www.football-lab.jp/iwat/report/?year=2018&month=11&date=10
H,札幌,L,0,2,11,12,0,5,0,0,518,538,9,12,17,16,3,0,2,0,28,20,11,12,21,28,13,26,4,4,0,2,2,2,0,0,40,45,13,15,"118,467m","118,353m",146,142,132,125,8.3%,9.6%,50%,50%,https://www.football-lab.jp/iwat/report/?year=2018&month=11&date=24
A,川崎Ｆ,L,1,2,8,12,3,2,0,0,241,838,9,15,10,9,4,0,2,9,25,15,7,6,18,16,22,12,4,0,0,4,0,0,0,0,24,90,6,22,"106,751m","100,688m",132,126,104,100,7.7%,12.0%,29.5%,70.5%,https://www.football-lab.jp/iwat/report/?year=2018&month=12&date=01
