HOME/AWAY,Opponent,勝敗,tosu_得点,tosu_失点,tosu_ゴール期待値,Opponent_ゴール期待値,tosu_シュート,Opponent_シュート,tosu_枠内シュート,Opponent_枠内シュート,tosu_PKによるシュート,Opponent_PKによるシュート,tosu_パス,Opponent_パス,tosu_クロス,Opponent_クロス,tosu_直接ＦＫ,Opponent_直接ＦＫ,tosu_間接ＦＫ,Opponent_間接ＦＫ,tosu_ＣＫ,Opponent_ＣＫ,tosu_スローイン,Opponent_スローイン,tosu_ドリブル,Opponent_ドリブル,tosu_タックル,Opponent_タックル,tosu_クリア,Opponent_クリア,tosu_インターセプト,Opponent_インターセプト,tosu_オフサイド,Opponent_オフサイド,tosu_警告,Opponent_警告,tosu_退場,Opponent_退場,tosu_３０ｍライン進入,Opponent_３０ｍライン進入,tosu_ペナルティエリア進入,Opponent_ペナルティエリア進入,tosu_総移動距離,Opponent_総移動距離,tosu_スプリント,Opponent_スプリント,tosu_攻撃回数,Opponent_攻撃回数,tosu_チャンス構築率,Opponent_チャンス構築率,tosu_ボール保持率,Opponent_ボール保持率,URL
A,川崎Ｆ,L,0,1,0.485,2.078,8,20,1,5,0,0,530,612,12,13,13,4,1,5,3,2,26,18,8,6,23,16,17,25,0,0,5,1,1,1,0,0,25,55,8,26,"119,210m","116,371m",116,126,115,116,7.0%,17.2%,44.8%,55.2%,https://www.football-lab.jp/tosu/report/?year=2023&month=05&date=07
A,浦和,W,2,0,0.385,2.133,6,23,4,5,0,0,451,620,6,21,7,11,2,3,2,10,18,18,7,13,8,13,33,7,0,3,3,2,0,0,0,0,34,49,6,19,"122,968m","114,802m",106,113,94,109,6.4%,21.1%,41.1%,58.9%,https://www.football-lab.jp/tosu/report/?year=2023&month=05&date=10
A,福岡,D,0,0,0.457,1.82,4,19,1,4,0,0,507,450,6,18,3,16,0,0,4,5,15,18,5,19,9,20,31,11,0,0,0,0,3,1,1,0,16,49,6,21,"112,352m","109,406m",92,110,94,106,4.3%,17.9%,51%,49%,https://www.football-lab.jp/tosu/report/?year=2023&month=05&date=14
H,新潟,W,2,0,1.576,2.292,8,22,3,6,1,0,386,684,11,22,3,13,2,1,4,9,15,25,7,13,19,16,16,9,2,0,1,2,1,1,0,0,29,47,9,16,"125,783m","116,734m",114,99,99,110,8.1%,20.0%,38.1%,61.9%,https://www.football-lab.jp/tosu/report/?year=2023&month=05&date=20
H,鹿島,D,2,2,1.49,1.621,12,11,3,4,0,0,470,422,10,15,14,12,1,2,3,0,26,26,9,9,16,16,15,19,2,2,2,1,1,2,0,0,37,31,8,9,"123,759m","116,543m",138,127,124,119,9.7%,9.2%,51.3%,48.7%,https://www.football-lab.jp/tosu/report/?year=2023&month=05&date=27
A,横浜FC,W,2,1,1.515,0.435,13,6,4,2,0,0,584,342,16,14,17,8,2,2,5,2,31,27,15,5,13,15,17,16,0,3,2,2,1,2,0,0,57,25,15,16,"123,872m","119,881m",139,148,121,114,10.7%,5.3%,58.6%,41.4%,https://www.football-lab.jp/tosu/report/?year=2023&month=06&date=03
H,札幌,D,1,1,0.523,1.918,6,19,0,5,0,0,430,474,13,15,8,13,2,3,6,6,33,21,6,18,16,14,24,14,0,2,2,2,2,0,0,0,25,47,7,27,"123,198m","116,239m",152,130,132,127,4.5%,15.0%,47.8%,52.2%,https://www.football-lab.jp/tosu/report/?year=2023&month=06&date=10
A,湘南,W,6,0,2.31,2.237,12,21,10,10,1,0,414,475,13,23,10,13,6,1,5,9,20,21,10,9,8,13,25,14,3,0,1,6,2,0,0,0,31,42,14,18,"122,086m","118,512m",136,142,117,113,10.3%,18.6%,49.7%,50.3%,https://www.football-lab.jp/tosu/report/?year=2023&month=06&date=24
H,浦和,L,1,2,0.901,1.381,9,16,3,6,0,0,620,271,23,11,7,10,4,2,5,7,27,16,8,7,5,13,16,28,1,4,2,4,0,0,0,0,39,28,8,14,"121,403m","115,129m",121,150,108,102,8.3%,15.7%,62.6%,37.4%,https://www.football-lab.jp/tosu/report/?year=2023&month=07&date=01
H,Ｃ大阪,W,2,1,1.316,1.285,13,13,5,7,0,0,409,327,19,28,8,7,5,0,7,11,30,26,4,17,13,10,27,31,1,0,0,5,2,0,0,0,35,39,16,13,"114,419m","110,078m",108,120,135,142,9.6%,9.2%,54%,46%,https://www.football-lab.jp/tosu/report/?year=2023&month=07&date=08
A,神戸,L,1,2,1.196,1.246,9,13,3,4,1,0,378,454,14,29,7,6,5,3,6,6,29,19,7,11,5,17,32,24,0,2,3,5,0,0,0,0,31,47,7,10,"116,713m","111,956m",127,141,112,105,8.0%,12.4%,43.5%,56.5%,https://www.football-lab.jp/tosu/report/?year=2023&month=07&date=16
H,福岡,L,0,1,0.67,0.792,12,6,3,2,0,0,551,239,27,17,4,14,1,1,8,1,26,12,13,5,4,10,15,42,0,2,1,1,1,2,0,0,63,18,18,7,"114,934m","106,295m",112,101,97,90,12.4%,6.7%,62.9%,37.1%,https://www.football-lab.jp/tosu/report/?year=2023&month=08&date=06
A,札幌,D,1,1,0.745,1.219,6,17,1,5,0,0,501,540,7,25,10,14,4,1,1,1,21,25,8,13,13,19,20,11,1,3,1,4,2,2,0,0,23,52,6,27,"119,417m","114,673m",120,147,124,127,4.8%,13.4%,51.1%,48.9%,https://www.football-lab.jp/tosu/report/?year=2023&month=08&date=12
A,鹿島,L,1,2,0.983,1.707,9,13,4,4,0,1,440,355,15,12,11,15,4,2,5,4,21,20,7,6,20,11,22,30,0,4,2,4,5,2,0,0,33,30,13,14,"111,542m","108,632m",96,135,101,100,8.9%,13.0%,52.5%,47.5%,https://www.football-lab.jp/tosu/report/?year=2023&month=08&date=19
H,Ｇ大阪,D,1,1,1.122,1.962,11,22,2,8,0,0,374,574,14,19,8,4,2,3,4,6,12,29,18,12,11,12,28,20,1,1,3,2,1,0,0,0,32,66,11,23,"120,566m","112,829m",134,121,99,105,11.1%,21.0%,41.6%,58.4%,https://www.football-lab.jp/tosu/report/?year=2023&month=08&date=26
H,広島,L,0,2,0.513,1.416,5,20,0,12,0,0,521,352,22,15,10,14,6,1,5,3,22,24,11,9,12,18,17,22,0,1,1,6,0,2,0,0,33,35,12,11,"121,899m","119,085m",161,154,110,114,4.5%,17.5%,57.4%,42.6%,https://www.football-lab.jp/tosu/report/?year=2023&month=09&date=02
A,横浜FM,D,1,1,2.211,2.511,18,22,4,4,1,0,391,604,12,29,3,12,0,3,9,7,16,23,10,13,15,15,30,20,5,1,3,0,2,1,0,0,45,54,13,21,"124,363m","121,656m",128,106,110,110,16.4%,20.0%,40.6%,59.4%,https://www.football-lab.jp/tosu/report/?year=2023&month=09&date=15
A,FC東京,L,2,3,2.448,2.417,10,18,2,5,1,0,481,480,20,31,8,15,3,2,3,1,23,24,5,17,13,22,31,20,0,1,2,3,0,1,0,0,36,37,19,13,"117,417m","116,722m",128,130,113,121,8.8%,14.9%,48.9%,51.1%,https://www.football-lab.jp/tosu/report/?year=2023&month=09&date=23
H,京都,W,3,2,1.633,0.639,19,9,8,2,0,0,465,368,22,9,9,10,1,1,9,4,22,26,13,6,10,20,29,34,4,0,1,1,2,0,0,1,34,33,18,9,"123,199m","119,399m",129,142,120,115,15.8%,7.8%,52.2%,47.8%,https://www.football-lab.jp/tosu/report/?year=2023&month=09&date=30
A,新潟,D,1,1,1.257,1.733,10,11,4,3,0,1,539,607,12,14,8,8,2,3,3,4,16,21,4,17,15,23,16,18,6,1,3,2,0,1,0,0,34,29,12,11,"123,017m","118,667m",110,90,102,103,9.8%,10.7%,47.2%,52.8%,https://www.football-lab.jp/tosu/report/?year=2023&month=10&date=21
A,名古屋,D,1,1,0.873,2.364,9,20,4,11,0,0,508,417,8,20,10,14,4,1,5,6,21,21,9,11,17,15,22,22,0,0,1,4,0,2,1,0,20,39,5,19,"122,072m","120,737m",156,153,115,118,7.8%,16.9%,52%,48%,https://www.football-lab.jp/tosu/report/?year=2023&month=10&date=27
H,横浜FC,L,1,3,0.416,2.344,6,11,2,4,0,1,699,269,18,15,10,14,2,2,3,4,22,20,12,4,15,14,16,16,1,1,1,2,2,1,0,0,54,26,2,11,"123,765m","122,547m",137,151,99,105,6.1%,10.5%,65%,35%,https://www.football-lab.jp/tosu/report/?year=2023&month=11&date=11
A,柏,D,2,2,1.174,1.212,6,12,2,3,0,0,680,379,15,19,9,7,1,3,7,8,19,22,9,12,9,18,43,27,2,3,3,1,2,0,0,0,24,38,8,11,"126,907m","122,205m",150,145,115,113,5.2%,10.6%,60.1%,39.9%,https://www.football-lab.jp/tosu/report/?year=2023&month=11&date=25
H,川崎Ｆ,L,0,1,0.345,1.388,8,11,0,4,0,0,540,512,12,14,10,13,1,1,3,1,22,23,6,8,17,11,17,13,0,2,1,1,1,0,0,0,27,43,6,12,"118,936m","112,611m",101,112,107,104,7.5%,10.6%,50.3%,49.7%,https://www.football-lab.jp/tosu/report/?year=2023&month=12&date=03
