HOME/AWAY,Opponent,勝敗,kasm_得点,kasm_失点,Opponent_ゴール期待値,kasm_ゴール期待値,Opponent_シュート,kasm_シュート,Opponent_枠内シュート,kasm_枠内シュート,Opponent_PKによるシュート,kasm_PKによるシュート,Opponent_パス,kasm_パス,Opponent_クロス,kasm_クロス,Opponent_直接ＦＫ,kasm_直接ＦＫ,Opponent_間接ＦＫ,kasm_間接ＦＫ,Opponent_ＣＫ,kasm_ＣＫ,Opponent_スローイン,kasm_スローイン,Opponent_ドリブル,kasm_ドリブル,Opponent_タックル,kasm_タックル,Opponent_クリア,kasm_クリア,Opponent_インターセプト,kasm_インターセプト,Opponent_オフサイド,kasm_オフサイド,Opponent_警告,kasm_警告,Opponent_退場,kasm_退場,Opponent_３０ｍライン進入,kasm_３０ｍライン進入,Opponent_ペナルティエリア進入,kasm_ペナルティエリア進入,Opponent_総移動距離,kasm_総移動距離,Opponent_スプリント,kasm_スプリント,Opponent_攻撃回数,kasm_攻撃回数,Opponent_チャンス構築率,kasm_チャンス構築率,Opponent_ボール保持率,kasm_ボール保持率,URL
A,札幌,W,1,0,0.849,0.426,11,7,0,4,0,0,506,294,15,5,16,7,4,1,14,1,31,19,17,4,19,26,7,48,3,0,1,4,1,2,0,0,37,19,20,5,"106,322m","106,689m",95,107,132,107,8.3%,6.5%,61.6%,38.4%,https://www.football-lab.jp/kasm/report/?year=2023&month=05&date=03
A,Ｃ大阪,W,1,0,0.303,0.758,4,9,1,3,0,0,280,353,15,15,14,12,5,2,0,4,37,37,7,10,29,23,23,23,2,0,2,5,2,1,1,0,16,33,4,6,"100,728m","103,439m",74,98,142,153,2.8%,5.9%,46%,54%,https://www.football-lab.jp/kasm/report/?year=2023&month=05&date=07
H,名古屋,W,2,0,0.841,0.862,10,8,2,3,0,0,477,303,14,10,17,7,2,2,8,3,29,20,17,7,17,21,16,30,1,1,2,2,0,3,0,0,41,25,13,9,"115,598m","118,169m",138,172,135,109,7.4%,7.3%,56.2%,43.8%,https://www.football-lab.jp/kasm/report/?year=2023&month=05&date=14
H,FC東京,D,1,1,1.838,0.607,11,8,1,7,1,0,355,366,12,15,12,19,3,2,7,3,30,24,10,7,19,14,28,27,1,1,2,3,4,0,0,0,26,33,4,10,"110,431m","110,262m",132,148,118,117,9.3%,6.8%,50%,50%,https://www.football-lab.jp/kasm/report/?year=2023&month=05&date=20
A,鳥栖,D,2,2,1.49,1.621,12,11,3,4,0,0,470,422,10,15,14,12,1,2,3,0,26,26,9,9,16,16,15,19,2,2,2,1,1,2,0,0,37,31,8,9,"123,759m","116,543m",138,127,124,119,9.7%,9.2%,51.3%,48.7%,https://www.football-lab.jp/kasm/report/?year=2023&month=05&date=27
A,浦和,D,0,0,0.95,0.584,12,9,2,3,0,0,458,483,22,18,10,16,5,1,6,6,19,24,9,14,15,14,18,22,2,1,1,5,3,3,0,0,45,32,11,5,"110,868m","112,986m",114,124,99,113,12.1%,8.0%,51.4%,48.6%,https://www.football-lab.jp/kasm/report/?year=2023&month=06&date=04
H,湘南,W,1,0,0.84,1.29,13,9,1,3,0,1,422,312,18,9,7,21,3,0,6,3,31,19,10,15,14,23,16,29,2,0,0,3,2,1,0,0,41,23,12,6,"111,496m","108,261m",118,126,109,111,11.9%,8.1%,54%,46%,https://www.football-lab.jp/kasm/report/?year=2023&month=06&date=11
A,Ｇ大阪,L,1,2,1.628,0.499,11,8,4,2,0,0,448,381,20,12,10,12,1,0,6,3,24,27,8,10,16,13,15,29,2,4,0,1,1,2,0,0,42,31,20,5,"109,584m","108,365m",107,83,121,107,9.1%,7.5%,53.4%,46.6%,https://www.football-lab.jp/kasm/report/?year=2023&month=06&date=24
H,京都,D,0,0,0.81,1.269,13,15,1,4,0,0,329,416,18,19,8,12,3,1,3,7,23,42,13,8,22,17,28,15,1,0,1,3,1,0,0,0,28,45,10,13,"112,271m","109,453m",99,118,124,141,10.5%,10.6%,47.4%,52.6%,https://www.football-lab.jp/kasm/report/?year=2023&month=07&date=01
A,広島,D,1,1,1.619,1.366,18,15,4,7,0,0,438,435,23,16,8,17,2,2,6,5,21,18,4,11,10,15,14,29,0,1,2,2,3,1,0,0,44,30,28,13,"112,686m","112,022m",103,127,105,109,17.1%,13.8%,47.6%,52.4%,https://www.football-lab.jp/kasm/report/?year=2023&month=07&date=08
A,FC東京,W,3,1,0.516,1.231,7,12,1,7,0,0,461,304,11,19,14,13,2,1,4,7,27,16,11,10,14,19,17,29,2,0,1,2,1,1,0,1,34,26,5,13,"105,126m","105,856m",97,104,119,106,5.9%,11.3%,54.5%,45.5%,https://www.football-lab.jp/kasm/report/?year=2023&month=07&date=16
H,札幌,W,3,0,1.517,1.431,17,18,3,5,0,0,478,314,14,12,8,8,0,0,9,9,19,20,17,10,10,15,12,24,1,3,0,0,1,2,0,0,44,40,21,14,"107,090m","111,972m",107,147,109,117,15.6%,15.4%,55.2%,44.8%,https://www.football-lab.jp/kasm/report/?year=2023&month=08&date=06
A,名古屋,L,0,1,1.073,0.713,9,15,3,3,0,0,263,555,14,18,9,14,1,0,3,5,13,23,7,22,16,13,33,10,1,3,0,1,2,3,0,0,33,51,11,9,"105,984m","107,703m",100,116,91,110,9.9%,13.6%,34.4%,65.6%,https://www.football-lab.jp/kasm/report/?year=2023&month=08&date=13
H,鳥栖,W,2,1,0.983,1.707,9,13,4,4,0,1,440,355,15,12,11,15,4,2,5,4,21,20,7,6,20,11,22,30,0,4,2,4,5,2,0,0,33,30,13,14,"111,542m","108,632m",96,135,101,100,8.9%,13.0%,52.5%,47.5%,https://www.football-lab.jp/kasm/report/?year=2023&month=08&date=19
H,新潟,W,2,0,0.868,1.034,10,11,3,4,0,0,655,317,20,8,9,12,3,4,6,4,19,21,15,7,13,15,10,29,1,0,4,3,1,1,0,0,48,26,22,3,"108,039m","112,664m",76,97,98,94,10.2%,11.7%,60.4%,39.6%,https://www.football-lab.jp/kasm/report/?year=2023&month=08&date=26
A,湘南,D,2,2,0.458,2.252,7,15,4,5,0,1,240,453,11,23,5,15,1,2,6,9,23,23,14,16,26,20,35,13,3,5,2,1,3,1,0,0,23,34,6,16,"116,299m","111,375m",121,127,112,126,6.3%,11.9%,38.1%,61.9%,https://www.football-lab.jp/kasm/report/?year=2023&month=09&date=02
H,Ｃ大阪,W,1,0,1.797,0.388,14,6,3,4,0,0,524,170,26,11,11,14,4,5,10,5,25,22,27,13,13,10,7,38,2,1,6,4,1,3,0,1,82,19,18,8,"107,127m","100,525m",81,81,106,96,13.2%,6.3%,68.5%,31.5%,https://www.football-lab.jp/kasm/report/?year=2023&month=09&date=16
H,横浜FM,L,1,2,1.642,1.879,13,18,4,6,0,0,479,387,20,19,6,16,4,0,2,5,15,19,18,8,14,13,22,23,1,4,0,4,1,3,0,0,49,30,15,8,"108,804m","106,926m",135,142,102,108,12.7%,16.7%,52.3%,47.7%,https://www.football-lab.jp/kasm/report/?year=2023&month=09&date=24
A,福岡,D,0,0,0.697,1.457,9,12,0,0,0,0,408,546,13,15,9,16,0,2,5,3,21,19,13,11,18,18,17,22,0,1,2,0,4,0,0,0,32,40,10,9,"108,319m","109,176m",102,113,98,105,9.2%,11.4%,45.1%,54.9%,https://www.football-lab.jp/kasm/report/?year=2023&month=09&date=30
A,神戸,L,1,3,2.048,0.632,23,8,6,3,0,0,395,543,15,16,9,8,1,1,8,3,19,25,14,12,12,11,28,14,4,2,1,1,0,0,0,0,37,38,15,10,"120,588m","113,408m",138,123,114,118,20.2%,6.8%,46.3%,53.7%,https://www.football-lab.jp/kasm/report/?year=2023&month=10&date=21
H,浦和,D,0,0,0.765,0.499,12,8,3,2,0,0,407,368,19,20,18,12,0,2,5,4,25,30,10,9,16,12,20,25,2,0,2,0,4,0,0,0,40,33,11,8,"104,720m","107,173m",118,115,106,99,11.3%,8.1%,53.3%,46.7%,https://www.football-lab.jp/kasm/report/?year=2023&month=10&date=28
H,柏,D,1,1,1.474,1.991,15,14,4,5,0,1,338,372,9,9,14,15,3,4,9,2,24,25,7,8,19,14,18,21,8,3,4,3,3,0,0,0,31,32,11,5,"110,681m","110,915m",131,135,127,125,11.8%,11.2%,48.8%,51.2%,https://www.football-lab.jp/kasm/report/?year=2023&month=11&date=11
A,川崎Ｆ,L,0,3,1.504,1.034,8,15,3,2,1,0,460,479,11,14,14,18,0,2,0,5,20,26,2,13,14,14,28,13,2,2,2,0,1,2,0,0,35,47,8,10,"111,450m","112,484m",121,135,118,128,6.8%,11.7%,50%,50%,https://www.football-lab.jp/kasm/report/?year=2023&month=11&date=24
H,横浜FC,W,2,1,1.265,2.727,14,20,3,6,0,0,408,403,12,20,7,11,6,0,3,6,17,21,7,9,18,23,15,16,4,2,0,6,2,2,0,0,38,35,7,9,"110,466m","110,780m",138,174,120,129,11.7%,15.5%,49%,51%,https://www.football-lab.jp/kasm/report/?year=2023&month=12&date=03
