HOME/AWAY,Opponent,勝敗,ka-f_得点,ka-f_失点,ka-f_ゴール期待値,Opponent_ゴール期待値,ka-f_シュート,Opponent_シュート,ka-f_枠内シュート,Opponent_枠内シュート,ka-f_PKによるシュート,Opponent_PKによるシュート,ka-f_パス,Opponent_パス,ka-f_クロス,Opponent_クロス,ka-f_直接ＦＫ,Opponent_直接ＦＫ,ka-f_間接ＦＫ,Opponent_間接ＦＫ,ka-f_ＣＫ,Opponent_ＣＫ,ka-f_スローイン,Opponent_スローイン,ka-f_ドリブル,Opponent_ドリブル,ka-f_タックル,Opponent_タックル,ka-f_クリア,Opponent_クリア,ka-f_インターセプト,Opponent_インターセプト,ka-f_オフサイド,Opponent_オフサイド,ka-f_警告,Opponent_警告,ka-f_退場,Opponent_退場,ka-f_３０ｍライン進入,Opponent_３０ｍライン進入,ka-f_ペナルティエリア進入,Opponent_ペナルティエリア進入,ka-f_総移動距離,Opponent_総移動距離,ka-f_スプリント,Opponent_スプリント,ka-f_攻撃回数,Opponent_攻撃回数,ka-f_チャンス構築率,Opponent_チャンス構築率,ka-f_ボール保持率,Opponent_ボール保持率,URL
A,横浜FC,L,1,2,1.591,0.838,15,7,6,2,0,0,750,299,24,8,7,7,1,1,1,1,20,15,9,5,13,23,15,34,1,0,2,1,0,1,0,0,94,28,26,5,"114,213m","116,832m",95,123,102,106,14.7%,6.6%,63.4%,36.6%,https://www.football-lab.jp/ka-f/report/?year=2023&month=05&date=20
H,柏,W,2,0,2.606,0.459,22,7,8,1,0,0,771,417,17,7,11,9,3,3,7,1,18,19,6,6,16,17,11,27,1,1,3,3,2,1,0,0,57,30,23,8,"115,723m","112,681m",117,110,118,108,18.6%,6.5%,59.7%,40.3%,https://www.football-lab.jp/ka-f/report/?year=2023&month=05&date=28
H,広島,W,1,0,0.536,0.89,9,15,3,3,0,0,474,417,3,28,11,10,3,2,1,8,20,40,6,10,17,17,36,8,0,1,2,3,1,1,0,0,22,51,8,15,"112,354m","109,747m",112,108,109,127,8.3%,11.8%,55.2%,44.8%,https://www.football-lab.jp/ka-f/report/?year=2023&month=06&date=11
A,浦和,D,1,1,0.74,0.975,12,9,1,5,0,0,568,457,15,19,11,10,1,2,4,5,19,17,11,12,15,13,19,26,3,1,2,1,1,1,1,0,54,52,7,12,"109,413m","112,876m",89,119,107,101,11.2%,8.9%,54.3%,45.7%,https://www.football-lab.jp/ka-f/report/?year=2023&month=06&date=24
A,名古屋,L,0,2,2.01,0.996,23,10,5,5,0,0,701,331,9,8,7,8,2,1,4,5,38,14,17,15,17,27,15,22,0,5,1,2,0,0,0,0,77,28,20,11,"111,355m","114,432m",99,135,117,115,19.7%,8.7%,64.3%,35.7%,https://www.football-lab.jp/ka-f/report/?year=2023&month=07&date=01
H,横浜FC,W,3,0,2.109,1.077,15,11,6,2,1,0,588,390,6,9,13,20,1,1,2,6,16,19,4,13,28,16,23,8,0,2,0,1,4,1,0,0,52,28,18,7,"110,080m","111,147m",126,121,111,116,13.5%,9.5%,55.3%,44.7%,https://www.football-lab.jp/ka-f/report/?year=2023&month=07&date=08
A,横浜FM,W,1,0,2.667,1.204,18,13,8,4,1,0,489,642,19,16,5,10,3,7,6,4,13,17,12,14,14,14,13,19,2,2,7,3,1,1,0,0,39,60,23,12,"115,282m","112,500m",124,100,106,106,17.0%,12.3%,46.9%,53.1%,https://www.football-lab.jp/ka-f/report/?year=2023&month=07&date=15
A,神戸,D,2,2,1.237,1.738,11,10,6,2,0,1,447,406,8,25,6,12,3,2,6,5,15,27,10,7,15,13,24,16,0,2,2,3,0,1,0,0,41,43,14,10,"106,168m","106,896m",93,119,96,110,11.5%,9.1%,49.2%,50.8%,https://www.football-lab.jp/ka-f/report/?year=2023&month=07&date=22
H,Ｇ大阪,L,3,4,2.785,1.436,17,9,5,6,0,1,591,333,23,6,12,6,1,5,9,5,13,16,7,4,18,12,13,27,2,2,5,1,1,3,0,0,49,22,21,7,"105,281m","110,182m",79,84,115,104,14.8%,8.7%,60%,40%,https://www.football-lab.jp/ka-f/report/?year=2023&month=08&date=06
H,神戸,L,0,1,1.196,0.854,12,14,0,5,0,0,363,415,16,15,16,4,2,3,5,5,22,27,9,11,14,11,24,25,2,0,3,2,0,2,1,0,41,45,15,12,"103,651m","109,420m",101,101,106,110,11.3%,12.7%,46.9%,53.1%,https://www.football-lab.jp/ka-f/report/?year=2023&month=08&date=12
A,広島,L,2,3,0.967,1.541,8,15,5,10,0,0,441,382,13,20,14,11,3,4,4,3,27,22,8,8,16,27,17,20,3,0,3,4,2,3,0,0,38,41,13,10,"108,923m","113,197m",127,136,106,102,7.5%,14.7%,54.7%,45.3%,https://www.football-lab.jp/ka-f/report/?year=2023&month=08&date=19
H,札幌,D,2,2,1.602,1.388,14,13,2,5,0,0,621,392,19,10,15,13,0,4,4,1,18,19,10,12,26,17,14,24,3,2,4,0,2,2,0,1,49,39,17,9,"109,304m","105,544m",77,68,113,112,12.4%,11.6%,58.7%,41.3%,https://www.football-lab.jp/ka-f/report/?year=2023&month=08&date=26
A,Ｃ大阪,L,0,3,1.332,2.149,12,8,4,4,0,2,529,417,12,15,10,12,3,2,2,5,15,23,9,21,20,10,20,14,1,2,2,3,1,0,0,0,52,32,10,14,"109,503m","113,308m",98,101,106,122,11.3%,6.6%,51.9%,48.1%,https://www.football-lab.jp/ka-f/report/?year=2023&month=09&date=02
H,FC東京,W,1,0,2.183,1.008,19,10,6,4,0,0,505,369,13,13,20,6,2,5,8,3,26,26,7,8,23,14,17,22,1,2,5,1,1,6,0,0,41,33,9,11,"101,780m","103,892m",75,92,109,98,17.4%,10.2%,54.7%,45.3%,https://www.football-lab.jp/ka-f/report/?year=2023&month=09&date=15
A,湘南,W,2,0,1.668,0.964,11,15,2,2,1,0,264,442,7,21,14,12,2,0,9,10,22,24,7,15,21,14,36,23,2,0,0,2,1,2,0,0,20,38,10,19,"104,672m","108,519m",93,104,119,117,9.2%,12.8%,43.7%,56.3%,https://www.football-lab.jp/ka-f/report/?year=2023&month=09&date=24
H,新潟,L,2,3,1.65,1.993,8,21,3,9,1,0,357,651,6,13,9,17,0,1,3,7,15,11,5,14,18,7,18,20,3,4,1,1,2,0,0,0,20,47,5,13,"107,915m","108,128m",92,82,82,97,9.8%,21.6%,37.3%,62.7%,https://www.football-lab.jp/ka-f/report/?year=2023&month=09&date=29
H,福岡,W,4,2,1.617,1.193,17,8,8,4,0,0,565,399,15,17,15,11,1,6,6,2,20,22,10,10,17,11,18,28,1,1,6,1,1,1,0,0,52,42,13,11,"108,968m","113,326m",113,103,112,110,15.2%,7.3%,56%,44%,https://www.football-lab.jp/ka-f/report/?year=2023&month=10&date=20
A,柏,D,1,1,0.771,1.36,9,15,3,4,0,0,535,404,9,19,10,8,2,5,2,5,22,22,1,10,17,11,20,13,1,4,5,2,0,0,1,0,23,42,11,19,"104,406m","111,916m",126,152,115,113,7.8%,13.3%,55.6%,44.4%,https://www.football-lab.jp/ka-f/report/?year=2023&month=10&date=29
H,京都,D,3,3,2.296,0.991,14,10,7,3,1,0,534,258,17,10,18,15,1,2,1,5,17,25,9,8,18,20,24,32,3,4,2,1,1,0,0,0,43,21,13,5,"110,729m","116,960m",122,194,121,131,11.6%,7.6%,58.1%,41.9%,https://www.football-lab.jp/ka-f/report/?year=2023&month=11&date=12
H,鹿島,W,3,0,1.504,1.034,8,15,3,2,1,0,460,479,11,14,14,18,0,2,0,5,20,26,2,13,14,14,28,13,2,2,2,0,1,2,0,0,35,47,8,10,"111,450m","112,484m",121,135,118,128,6.8%,11.7%,50%,50%,https://www.football-lab.jp/ka-f/report/?year=2023&month=11&date=24
A,鳥栖,W,1,0,1.388,0.345,11,8,4,0,0,0,512,540,14,12,13,10,1,1,1,3,23,22,8,6,11,17,13,17,2,0,1,1,0,1,0,0,43,27,12,6,"112,611m","118,936m",112,101,104,107,10.6%,7.5%,49.7%,50.3%,https://www.football-lab.jp/ka-f/report/?year=2023&month=12&date=03
