HOME/AWAY,Opponent,勝敗,sapp_得点,sapp_失点,Opponent_ゴール期待値,sapp_ゴール期待値,Opponent_シュート,sapp_シュート,Opponent_枠内シュート,sapp_枠内シュート,Opponent_PKによるシュート,sapp_PKによるシュート,Opponent_パス,sapp_パス,Opponent_クロス,sapp_クロス,Opponent_直接ＦＫ,sapp_直接ＦＫ,Opponent_間接ＦＫ,sapp_間接ＦＫ,Opponent_ＣＫ,sapp_ＣＫ,Opponent_スローイン,sapp_スローイン,Opponent_ドリブル,sapp_ドリブル,Opponent_タックル,sapp_タックル,Opponent_クリア,sapp_クリア,Opponent_インターセプト,sapp_インターセプト,Opponent_オフサイド,sapp_オフサイド,Opponent_警告,sapp_警告,Opponent_退場,sapp_退場,Opponent_３０ｍライン進入,sapp_３０ｍライン進入,Opponent_ペナルティエリア進入,sapp_ペナルティエリア進入,Opponent_総移動距離,sapp_総移動距離,Opponent_スプリント,sapp_スプリント,Opponent_攻撃回数,sapp_攻撃回数,Opponent_チャンス構築率,sapp_チャンス構築率,Opponent_ボール保持率,sapp_ボール保持率,URL
H,鳥栖,D,1,1,0.745,1.219,6,17,1,5,0,0,501,540,7,25,10,14,4,1,1,1,21,25,8,13,13,19,20,11,1,3,1,4,2,2,0,0,23,52,6,27,"119,417m","114,673m",120,147,124,127,4.8%,13.4%,51.1%,48.9%,https://www.football-lab.jp/sapp/report/?year=2023&month=08&date=12
A,京都,L,0,3,1.931,1.733,14,15,4,2,1,1,244,495,13,14,11,14,3,3,7,4,14,23,9,13,18,22,43,25,0,2,3,3,1,3,0,0,28,45,13,16,"109,711m","104,370m",106,88,108,114,13.0%,13.2%,39.1%,60.9%,https://www.football-lab.jp/sapp/report/?year=2023&month=08&date=19
A,川崎Ｆ,D,2,2,1.602,1.388,14,13,2,5,0,0,621,392,19,10,15,13,0,4,4,1,18,19,10,12,26,17,14,24,3,2,4,0,2,2,0,1,49,39,17,9,"109,304m","105,544m",77,68,113,112,12.4%,11.6%,58.7%,41.3%,https://www.football-lab.jp/sapp/report/?year=2023&month=08&date=26
H,Ｇ大阪,W,4,0,0.464,2.453,6,23,1,9,0,0,438,432,9,19,11,15,3,0,2,8,24,19,8,13,9,15,26,21,1,2,0,3,3,2,0,0,24,45,5,17,"108,802m","111,360m",125,137,111,118,5.4%,19.5%,50.8%,49.2%,https://www.football-lab.jp/sapp/report/?year=2023&month=09&date=02
H,湘南,L,0,1,1.507,2.326,8,22,4,6,0,0,271,525,6,19,13,10,2,0,4,9,20,22,9,15,21,29,43,15,3,0,0,2,2,3,0,0,22,54,12,25,"114,759m","108,501m",130,136,123,127,6.5%,17.3%,41.8%,58.2%,https://www.football-lab.jp/sapp/report/?year=2023&month=09&date=16
A,名古屋,D,1,1,0.404,1.273,5,11,1,5,0,0,390,627,11,15,13,7,3,2,2,9,19,16,12,13,19,17,20,14,2,2,2,3,1,4,0,0,28,68,3,16,"112,742m","111,086m",148,137,96,101,5.2%,10.9%,42.2%,57.8%,https://www.football-lab.jp/sapp/report/?year=2023&month=09&date=23
H,柏,L,1,2,1.315,1.273,15,20,6,5,0,0,226,607,5,10,9,11,3,1,2,7,13,18,8,10,18,10,30,14,2,1,1,3,2,1,0,0,27,56,9,12,"109,548m","108,146m",116,123,95,114,15.8%,17.5%,32.6%,67.4%,https://www.football-lab.jp/sapp/report/?year=2023&month=09&date=30
A,横浜FM,L,1,4,1.326,1.557,15,18,8,3,0,0,504,568,14,17,9,12,4,1,2,3,13,27,12,18,20,13,22,11,2,2,1,3,1,2,0,0,25,58,16,23,"123,692m","116,999m",134,141,115,124,13.0%,14.5%,49.9%,50.1%,https://www.football-lab.jp/sapp/report/?year=2023&month=10&date=21
H,横浜FC,W,2,1,1.8,1.629,15,22,7,11,0,0,386,593,27,13,11,13,3,1,5,1,23,12,16,14,14,21,17,35,0,1,1,3,0,2,0,0,33,36,16,17,"116,079m","115,939m",142,136,131,119,11.5%,18.5%,45.3%,54.7%,https://www.football-lab.jp/sapp/report/?year=2023&month=10&date=28
H,広島,D,0,0,0.397,1.361,9,19,1,7,0,0,421,521,16,12,10,14,1,2,2,4,19,28,15,17,21,20,18,20,5,3,2,1,2,2,0,0,46,39,9,15,"110,768m","112,891m",132,138,127,136,7.1%,14.0%,47.8%,52.2%,https://www.football-lab.jp/sapp/report/?year=2023&month=11&date=11
A,FC東京,W,3,1,1.768,1.478,17,20,4,9,0,0,533,433,10,10,15,8,3,0,9,4,21,17,9,7,16,16,15,22,1,3,0,3,2,1,0,0,34,30,19,21,"118,039m","119,036m",149,166,133,117,12.8%,17.1%,52.8%,47.2%,https://www.football-lab.jp/sapp/report/?year=2023&month=11&date=25
H,浦和,L,0,2,1.5,0.715,11,11,2,3,1,0,313,667,6,12,12,7,3,2,1,6,13,16,8,10,16,16,26,10,3,3,2,3,1,2,0,0,22,72,7,16,"113,614m","114,179m",116,107,114,120,9.6%,9.2%,38.4%,61.6%,https://www.football-lab.jp/sapp/report/?year=2023&month=12&date=03
