HOME/AWAY,Opponent,勝敗,niig_得点,niig_失点,Opponent_ゴール期待値,niig_ゴール期待値,Opponent_シュート,niig_シュート,Opponent_枠内シュート,niig_枠内シュート,Opponent_PKによるシュート,niig_PKによるシュート,Opponent_パス,niig_パス,Opponent_クロス,niig_クロス,Opponent_直接ＦＫ,niig_直接ＦＫ,Opponent_間接ＦＫ,niig_間接ＦＫ,Opponent_ＣＫ,niig_ＣＫ,Opponent_スローイン,niig_スローイン,Opponent_ドリブル,niig_ドリブル,Opponent_タックル,niig_タックル,Opponent_クリア,niig_クリア,Opponent_インターセプト,niig_インターセプト,Opponent_オフサイド,niig_オフサイド,Opponent_警告,niig_警告,Opponent_退場,niig_退場,Opponent_３０ｍライン進入,niig_３０ｍライン進入,Opponent_ペナルティエリア進入,niig_ペナルティエリア進入,Opponent_総移動距離,niig_総移動距離,Opponent_スプリント,niig_スプリント,Opponent_攻撃回数,niig_攻撃回数,Opponent_チャンス構築率,niig_チャンス構築率,Opponent_ボール保持率,niig_ボール保持率,URL
H,京都,L,1,3,1.609,1.679,8,20,3,4,1,0,202,710,10,19,8,17,3,3,2,11,17,26,4,24,30,19,49,11,2,1,3,3,1,2,0,0,20,60,8,17,"116,790m","110,712m",112,71,104,126,7.7%,15.9%,31.3%,68.7%,https://www.football-lab.jp/niig/report/?year=2023&month=06&date=11
A,柏,D,0,0,0.714,0.626,9,9,4,3,0,0,443,645,10,14,9,15,2,0,5,2,17,23,10,12,18,15,27,14,2,0,0,2,2,2,0,0,32,36,11,12,"115,072m","118,175m",104,94,103,111,8.7%,8.1%,41.5%,58.5%,https://www.football-lab.jp/niig/report/?year=2023&month=06&date=24
H,広島,W,2,0,1.38,1.571,11,16,2,6,0,0,564,396,28,9,5,12,1,1,5,6,30,18,17,10,18,21,17,40,2,1,1,1,2,0,0,0,64,29,22,20,"117,018m","123,058m",107,104,119,119,9.2%,13.4%,54.9%,45.1%,https://www.football-lab.jp/niig/report/?year=2023&month=07&date=01
H,神戸,L,0,1,0.694,1.413,7,19,2,5,0,0,418,568,19,20,12,8,2,2,3,3,10,32,17,13,12,23,41,17,2,1,2,2,0,1,0,0,36,48,6,13,"120,161m","121,196m",98,101,105,116,6.7%,16.4%,45.2%,54.8%,https://www.football-lab.jp/niig/report/?year=2023&month=07&date=07
A,札幌,W,1,0,0.685,0.614,14,5,3,2,0,0,641,342,30,8,14,15,1,3,3,2,18,15,25,8,20,22,13,31,3,1,3,1,4,2,0,1,87,20,31,5,"112,932m","115,141m",112,113,124,127,11.3%,3.9%,58.5%,41.5%,https://www.football-lab.jp/niig/report/?year=2023&month=07&date=15
A,名古屋,L,0,1,1.834,0.576,10,10,4,1,1,0,275,725,5,9,11,8,3,2,2,5,10,21,3,10,20,11,23,7,2,2,2,3,1,3,0,0,21,47,4,11,"110,898m","110,903m",115,85,89,97,11.2%,10.3%,31.2%,68.8%,https://www.football-lab.jp/niig/report/?year=2023&month=08&date=05
H,湘南,D,2,2,1.085,1.142,8,19,2,9,0,0,298,735,11,17,12,13,1,0,1,6,12,21,5,10,24,10,25,12,2,3,0,1,3,1,0,0,35,70,10,17,"117,636m","114,377m",77,72,99,103,8.1%,18.4%,34.6%,65.4%,https://www.football-lab.jp/niig/report/?year=2023&month=08&date=12
A,福岡,W,1,0,0.715,1.728,9,12,4,2,0,0,409,556,20,12,8,14,0,0,4,2,24,12,9,15,10,15,9,30,1,1,0,0,2,3,0,0,40,43,15,12,"109,842m","113,233m",107,99,101,97,8.9%,12.4%,41.4%,58.6%,https://www.football-lab.jp/niig/report/?year=2023&month=08&date=18
A,鹿島,L,0,2,1.034,0.868,11,10,4,3,0,0,317,655,8,20,12,9,4,3,4,6,21,19,7,15,15,13,29,10,0,1,3,4,1,1,0,0,26,48,3,22,"112,664m","108,039m",97,76,94,98,11.7%,10.2%,39.6%,60.4%,https://www.football-lab.jp/niig/report/?year=2023&month=08&date=26
H,浦和,D,1,1,1.259,1.202,8,9,2,3,1,0,340,618,15,14,9,8,0,2,2,4,20,24,5,12,22,18,29,25,5,1,2,0,0,1,0,0,38,45,8,8,"111,327m","112,888m",84,98,101,106,7.9%,8.5%,38.9%,61.1%,https://www.football-lab.jp/niig/report/?year=2023&month=09&date=02
A,Ｇ大阪,D,1,1,1.801,0.698,23,7,8,2,0,0,430,562,8,14,8,8,1,2,9,4,9,16,15,9,17,20,20,16,3,1,2,1,0,0,0,0,40,37,11,13,"106,435m","105,566m",99,78,103,103,22.3%,6.8%,43.6%,56.4%,https://www.football-lab.jp/niig/report/?year=2023&month=09&date=17
H,横浜FC,W,3,1,0.901,0.713,9,13,4,4,0,0,431,576,18,5,10,9,1,2,3,2,24,13,18,13,20,22,9,31,2,2,2,1,2,0,0,0,53,36,15,8,"114,343m","112,161m",143,134,109,103,8.3%,12.6%,43.2%,56.8%,https://www.football-lab.jp/niig/report/?year=2023&month=09&date=23
A,川崎Ｆ,W,3,2,1.65,1.993,8,21,3,9,1,0,357,651,6,13,9,17,0,1,3,7,15,11,5,14,18,7,18,20,3,4,1,1,2,0,0,0,20,47,5,13,"107,915m","108,128m",92,82,82,97,9.8%,21.6%,37.3%,62.7%,https://www.football-lab.jp/niig/report/?year=2023&month=09&date=29
H,鳥栖,D,1,1,1.257,1.733,10,11,4,3,0,1,539,607,12,14,8,8,2,3,3,4,16,21,4,17,15,23,16,18,6,1,3,2,0,1,0,0,34,29,12,11,"123,017m","118,667m",110,90,102,103,9.8%,10.7%,47.2%,52.8%,https://www.football-lab.jp/niig/report/?year=2023&month=10&date=21
A,京都,W,1,0,1.172,1.213,11,14,3,2,0,0,459,467,21,6,7,15,3,0,6,3,15,20,14,13,16,27,11,19,4,1,1,3,2,1,0,0,43,26,11,12,"121,539m","115,653m",131,106,107,121,10.3%,11.6%,49.6%,50.4%,https://www.football-lab.jp/niig/report/?year=2023&month=10&date=28
H,FC東京,D,0,0,0.174,1.284,6,16,2,5,0,0,392,594,12,15,8,11,1,2,3,7,26,28,14,11,22,20,19,23,1,2,2,1,2,2,0,0,32,32,8,16,"119,091m","116,730m",140,135,118,129,5.1%,12.4%,40.8%,59.2%,https://www.football-lab.jp/niig/report/?year=2023&month=11&date=11
A,横浜FM,D,0,0,1.63,0.924,20,15,9,2,0,0,586,442,18,10,17,8,6,3,7,4,28,18,20,15,19,18,21,35,1,2,3,6,1,1,0,0,63,42,15,19,"123,242m","121,318m",139,124,136,121,14.7%,12.4%,56.2%,43.8%,https://www.football-lab.jp/niig/report/?year=2023&month=11&date=24
H,Ｃ大阪,W,1,0,0.473,1.334,4,18,1,4,0,0,642,692,10,21,5,5,0,2,2,8,12,16,4,16,18,17,35,15,0,3,2,0,0,1,0,0,34,62,7,17,"124,139m","120,501m",99,103,93,105,4.3%,17.1%,45.6%,54.4%,https://www.football-lab.jp/niig/report/?year=2023&month=12&date=03
