HOME/AWAY,Opponent,勝敗,c-os_得点,c-os_失点,c-os_ゴール期待値,Opponent_ゴール期待値,c-os_シュート,Opponent_シュート,c-os_枠内シュート,Opponent_枠内シュート,c-os_PKによるシュート,Opponent_PKによるシュート,c-os_パス,Opponent_パス,c-os_クロス,Opponent_クロス,c-os_直接ＦＫ,Opponent_直接ＦＫ,c-os_間接ＦＫ,Opponent_間接ＦＫ,c-os_ＣＫ,Opponent_ＣＫ,c-os_スローイン,Opponent_スローイン,c-os_ドリブル,Opponent_ドリブル,c-os_タックル,Opponent_タックル,c-os_クリア,Opponent_クリア,c-os_インターセプト,Opponent_インターセプト,c-os_オフサイド,Opponent_オフサイド,c-os_警告,Opponent_警告,c-os_退場,Opponent_退場,c-os_３０ｍライン進入,Opponent_３０ｍライン進入,c-os_ペナルティエリア進入,Opponent_ペナルティエリア進入,c-os_総移動距離,Opponent_総移動距離,c-os_スプリント,Opponent_スプリント,c-os_攻撃回数,Opponent_攻撃回数,c-os_チャンス構築率,Opponent_チャンス構築率,c-os_ボール保持率,Opponent_ボール保持率,URL
A,Ｇ大阪,W,2,1,0.368,1.558,6,13,5,3,0,0,353,607,10,18,11,7,3,0,0,9,23,30,5,19,15,20,43,14,0,1,0,1,1,3,0,0,32,69,7,18,"114,301m","110,609m",104,120,112,120,5.4%,10.8%,39.8%,60.2%,https://www.football-lab.jp/c-os/report/?year=2023&month=05&date=03
H,鹿島,L,0,1,0.303,0.758,4,9,1,3,0,0,280,353,15,15,14,12,5,2,0,4,37,37,7,10,29,23,23,23,2,0,2,5,2,1,1,0,16,33,4,6,"100,728m","103,439m",74,98,142,153,2.8%,5.9%,46%,54%,https://www.football-lab.jp/c-os/report/?year=2023&month=05&date=07
A,京都,W,1,0,0.762,0.951,8,13,2,3,0,0,279,451,14,20,16,7,4,1,4,7,19,38,14,4,16,14,29,13,1,5,1,4,1,2,0,0,25,49,13,14,"113,325m","118,159m",107,126,111,114,7.2%,11.4%,41.4%,58.6%,https://www.football-lab.jp/c-os/report/?year=2023&month=05&date=14
A,湘南,W,2,0,0.955,1.013,10,9,3,4,0,0,449,388,15,11,20,5,1,5,3,6,23,38,12,8,16,21,23,8,2,4,5,1,0,1,0,0,29,39,8,11,"112,758m","116,899m",116,136,134,125,7.5%,7.2%,55.9%,44.1%,https://www.football-lab.jp/c-os/report/?year=2023&month=05&date=20
H,横浜FC,W,2,0,1.884,0.496,18,6,5,2,0,0,524,366,19,10,16,15,1,0,4,5,17,13,14,3,10,13,24,17,0,4,0,1,0,3,0,0,59,15,12,6,"112,421m","113,160m",104,138,94,95,19.1%,6.3%,58.9%,41.1%,https://www.football-lab.jp/c-os/report/?year=2023&month=05&date=28
A,名古屋,L,1,3,1.584,1.922,15,11,3,7,0,0,595,296,17,14,17,8,0,1,5,2,31,24,15,9,19,23,10,31,1,0,1,0,0,0,0,0,51,32,16,11,"118,147m","117,463m",122,154,131,111,11.5%,9.9%,63.5%,36.5%,https://www.football-lab.jp/c-os/report/?year=2023&month=06&date=03
H,神戸,W,2,1,0.778,1.555,12,18,6,4,0,0,353,444,18,27,15,7,1,3,5,3,26,20,11,13,13,16,27,30,0,1,3,1,1,3,0,0,38,43,10,16,"115,914m","111,723m",120,133,134,118,9.0%,15.3%,47.8%,52.2%,https://www.football-lab.jp/c-os/report/?year=2023&month=06&date=10
A,札幌,W,4,1,0.947,1.508,9,17,6,2,0,0,263,529,12,24,16,13,3,3,4,10,19,25,14,26,19,14,47,14,2,0,3,2,1,1,0,0,17,46,9,18,"112,843m","108,384m",110,79,121,131,7.4%,13.0%,39%,61%,https://www.football-lab.jp/c-os/report/?year=2023&month=06&date=24
H,福岡,L,0,1,1.05,0.409,10,6,3,1,0,0,541,258,21,13,11,10,2,0,5,6,30,21,11,6,9,24,20,35,0,0,0,2,0,2,0,0,38,15,5,12,"108,794m","107,935m",104,118,122,115,8.2%,5.2%,61.9%,38.1%,https://www.football-lab.jp/c-os/report/?year=2023&month=06&date=30
A,鳥栖,L,1,2,1.285,1.316,13,13,7,5,0,0,327,409,28,19,7,8,0,5,11,7,26,30,17,4,10,13,31,27,0,1,5,0,0,2,0,0,39,35,13,16,"110,078m","114,419m",120,108,142,135,9.2%,9.6%,46%,54%,https://www.football-lab.jp/c-os/report/?year=2023&month=07&date=08
H,浦和,W,2,0,1.912,1.39,14,7,4,3,0,1,427,498,16,14,19,8,1,1,6,2,19,11,16,8,19,13,16,13,2,3,1,1,2,1,0,0,30,40,11,10,"113,986m","107,593m",103,89,114,93,12.3%,7.5%,49.2%,50.8%,https://www.football-lab.jp/c-os/report/?year=2023&month=07&date=16
H,FC東京,L,0,1,1.606,1.169,17,9,7,4,0,0,537,302,36,6,10,11,3,3,5,2,29,20,22,6,13,16,14,38,2,2,3,3,1,3,0,0,52,22,24,6,"108,208m","109,317m",99,119,120,115,14.2%,7.8%,59.1%,40.9%,https://www.football-lab.jp/c-os/report/?year=2023&month=08&date=06
A,柏,D,1,1,1.124,1.222,10,13,1,4,0,0,656,196,25,9,19,5,2,3,9,5,22,12,20,7,6,12,14,40,1,3,3,2,0,2,0,0,54,17,14,9,"105,868m","104,243m",127,140,122,93,8.2%,14.0%,68.3%,31.7%,https://www.football-lab.jp/c-os/report/?year=2023&month=08&date=12
A,横浜FC,W,1,0,1.867,0.719,24,8,10,1,0,0,493,456,15,17,8,9,1,1,4,2,14,19,16,10,11,14,20,13,0,2,1,1,1,2,0,0,47,30,16,12,"112,555m","112,280m",122,110,104,111,23.1%,7.2%,50.6%,49.4%,https://www.football-lab.jp/c-os/report/?year=2023&month=08&date=20
H,名古屋,W,3,1,0.749,0.881,10,9,5,5,0,0,439,438,14,20,9,6,3,3,0,8,25,23,16,17,14,24,23,11,0,0,3,3,0,0,0,0,40,36,9,15,"111,024m","109,375m",119,123,107,111,9.3%,8.1%,52.2%,47.8%,https://www.football-lab.jp/c-os/report/?year=2023&month=08&date=26
H,川崎Ｆ,W,3,0,2.149,1.332,8,12,4,4,2,0,417,529,15,12,12,10,2,3,5,2,23,15,21,9,10,20,14,20,2,1,3,2,0,1,0,0,32,52,14,10,"113,308m","109,503m",101,98,122,106,6.6%,11.3%,48.1%,51.9%,https://www.football-lab.jp/c-os/report/?year=2023&month=09&date=02
A,鹿島,L,0,1,1.797,0.388,14,6,3,4,0,0,524,170,26,11,11,14,4,5,10,5,25,22,27,13,13,10,7,38,2,1,6,4,1,3,0,1,82,19,18,8,"107,127m","100,525m",81,81,106,96,13.2%,6.3%,68.5%,31.5%,https://www.football-lab.jp/c-os/report/?year=2023&month=09&date=16
A,神戸,L,0,1,0.339,1.16,7,13,1,2,0,0,402,409,8,22,11,15,2,5,5,3,27,19,10,14,14,19,22,19,3,2,5,2,3,2,0,0,25,47,6,16,"113,761m","114,997m",131,138,118,117,5.9%,11.1%,49.6%,50.4%,https://www.football-lab.jp/c-os/report/?year=2023&month=09&date=23
H,湘南,L,0,2,0.9,1.297,14,15,8,4,0,0,479,372,15,15,20,6,3,3,5,6,26,13,23,9,20,19,20,28,2,3,3,3,1,3,0,0,42,37,10,18,"113,390m","114,347m",114,123,121,107,11.6%,14.0%,55.1%,44.9%,https://www.football-lab.jp/c-os/report/?year=2023&month=09&date=30
A,広島,D,0,0,0.665,1.04,7,12,3,6,0,0,480,398,17,14,11,16,3,3,4,3,29,25,18,8,14,28,24,12,3,2,3,3,2,0,0,0,37,33,11,7,"116,964m","113,373m",139,145,124,135,5.6%,8.9%,56.4%,43.6%,https://www.football-lab.jp/c-os/report/?year=2023&month=10&date=21
H,Ｇ大阪,W,1,0,0.914,0.374,12,6,3,2,0,0,356,524,12,14,19,13,1,2,3,3,25,25,10,12,17,26,30,19,2,0,2,1,0,2,0,0,31,45,11,9,"118,403m","112,341m",131,127,119,116,10.1%,5.2%,44.3%,55.7%,https://www.football-lab.jp/c-os/report/?year=2023&month=10&date=28
A,横浜FM,L,0,2,0.454,2.04,8,19,1,5,0,0,548,453,19,13,17,12,1,2,5,6,21,19,16,9,11,24,18,24,1,0,1,1,0,0,0,0,33,38,13,20,"122,375m","123,596m",147,139,117,110,6.8%,17.3%,54.4%,45.6%,https://www.football-lab.jp/c-os/report/?year=2023&month=11&date=12
H,京都,L,0,1,1.081,1.276,11,12,3,4,0,0,573,250,20,13,19,6,1,4,11,0,27,29,23,10,9,17,10,33,3,1,4,1,0,1,0,0,36,23,14,9,"115,518m","113,332m",96,121,132,105,8.3%,11.4%,63.2%,36.8%,https://www.football-lab.jp/c-os/report/?year=2023&month=11&date=25
A,新潟,L,0,1,0.473,1.334,4,18,1,4,0,0,642,692,10,21,5,5,0,2,2,8,12,16,4,16,18,17,35,15,0,3,2,0,0,1,0,0,34,62,7,17,"124,139m","120,501m",99,103,93,105,4.3%,17.1%,45.6%,54.4%,https://www.football-lab.jp/c-os/report/?year=2023&month=12&date=03
