HOME/AWAY,Opponent,勝敗,nago_得点,nago_失点,Opponent_ゴール期待値,nago_ゴール期待値,Opponent_シュート,nago_シュート,Opponent_枠内シュート,nago_枠内シュート,Opponent_PKによるシュート,nago_PKによるシュート,Opponent_パス,nago_パス,Opponent_クロス,nago_クロス,Opponent_直接ＦＫ,nago_直接ＦＫ,Opponent_間接ＦＫ,nago_間接ＦＫ,Opponent_ＣＫ,nago_ＣＫ,Opponent_スローイン,nago_スローイン,Opponent_ドリブル,nago_ドリブル,Opponent_タックル,nago_タックル,Opponent_クリア,nago_クリア,Opponent_インターセプト,nago_インターセプト,Opponent_オフサイド,nago_オフサイド,Opponent_警告,nago_警告,Opponent_退場,nago_退場,Opponent_３０ｍライン進入,nago_３０ｍライン進入,Opponent_ペナルティエリア進入,nago_ペナルティエリア進入,Opponent_総移動距離,nago_総移動距離,Opponent_スプリント,nago_スプリント,Opponent_攻撃回数,nago_攻撃回数,Opponent_チャンス構築率,nago_チャンス構築率,Opponent_ボール保持率,nago_ボール保持率,URL
H,神戸,D,2,2,1.604,1.662,11,14,3,4,0,0,361,450,15,20,6,11,2,0,7,5,28,37,16,15,20,19,32,32,0,1,0,2,3,1,1,0,27,29,13,14,"119,526m","115,763m",155,136,125,127,8.8%,11.0%,47.5%,52.5%,https://www.football-lab.jp/nago/report/?year=2023&month=05&date=03
H,Ｇ大阪,W,1,0,0.642,2.168,10,15,2,2,0,0,482,373,8,15,9,21,2,0,3,6,28,23,11,4,14,23,17,15,1,2,0,2,6,1,0,0,32,26,10,6,"113,136m","116,358m",96,116,115,122,8.7%,12.3%,57.1%,42.9%,https://www.football-lab.jp/nago/report/?year=2023&month=05&date=06
A,鹿島,L,0,2,0.862,0.841,8,10,3,2,0,0,303,477,10,14,7,17,2,2,3,8,20,29,7,17,21,17,30,16,1,1,2,2,3,0,0,0,25,41,9,13,"118,169m","115,598m",172,138,109,135,7.3%,7.4%,43.8%,56.2%,https://www.football-lab.jp/nago/report/?year=2023&month=05&date=14
H,広島,W,2,1,1.391,0.964,21,7,7,4,0,0,548,291,19,10,10,9,5,0,7,4,31,21,14,9,16,17,15,45,1,1,0,5,1,3,0,0,54,15,17,7,"110,297m","113,040m",157,146,130,120,16.2%,5.8%,61.7%,38.3%,https://www.football-lab.jp/nago/report/?year=2023&month=05&date=20
A,札幌,W,2,1,1.59,0.345,16,4,5,2,0,0,607,231,11,9,18,14,0,2,7,2,16,23,21,13,21,20,13,20,0,3,2,0,2,4,0,0,52,16,18,6,"106,242m","111,686m",85,119,128,129,12.5%,3.1%,69.3%,30.7%,https://www.football-lab.jp/nago/report/?year=2023&month=05&date=27
H,Ｃ大阪,W,3,1,1.584,1.922,15,11,3,7,0,0,595,296,17,14,17,8,0,1,5,2,31,24,15,9,19,23,10,31,1,0,1,0,0,0,0,0,51,32,16,11,"118,147m","117,463m",122,154,131,111,11.5%,9.9%,63.5%,36.5%,https://www.football-lab.jp/nago/report/?year=2023&month=06&date=03
H,福岡,W,2,1,1.305,2.521,7,14,1,5,1,1,419,398,10,14,10,11,1,0,4,7,20,27,13,13,21,14,18,20,0,1,0,1,2,0,0,0,37,29,10,14,"99,866m","104,140m",126,122,109,120,6.4%,11.7%,51.1%,48.9%,https://www.football-lab.jp/nago/report/?year=2023&month=06&date=11
A,FC東京,L,0,2,1.043,0.641,13,8,4,3,0,0,399,433,18,15,16,18,5,1,5,4,19,25,14,8,19,18,16,14,2,1,1,4,4,4,0,0,35,33,13,10,"116,790m","111,085m",156,120,123,130,10.6%,6.2%,47.4%,52.6%,https://www.football-lab.jp/nago/report/?year=2023&month=06&date=24
H,川崎Ｆ,W,2,0,2.01,0.996,23,10,5,5,0,0,701,331,9,8,7,8,2,1,4,5,38,14,17,15,17,27,15,22,0,5,1,2,0,0,0,0,77,28,20,11,"111,355m","114,432m",99,135,117,115,19.7%,8.7%,64.3%,35.7%,https://www.football-lab.jp/nago/report/?year=2023&month=07&date=01
H,横浜FM,D,2,2,1.63,1.834,18,17,5,7,0,0,519,350,11,17,14,12,5,0,2,9,23,18,14,12,14,19,21,18,1,2,0,5,1,3,0,0,54,21,13,14,"108,037m","108,499m",102,134,106,113,17.0%,15.0%,57%,43%,https://www.football-lab.jp/nago/report/?year=2023&month=07&date=08
A,京都,L,1,2,2.182,0.854,14,12,6,4,0,0,304,331,23,13,8,16,3,1,6,7,27,26,10,18,29,12,32,31,2,2,1,3,3,1,0,0,40,28,14,9,"110,336m","107,204m",124,116,111,121,12.6%,9.9%,47.3%,52.7%,https://www.football-lab.jp/nago/report/?year=2023&month=07&date=16
H,新潟,W,1,0,0.576,1.834,10,10,1,4,0,1,725,275,9,5,8,11,2,3,5,2,21,10,10,3,11,20,7,23,2,2,3,2,3,1,0,0,47,21,11,4,"110,903m","110,898m",85,115,97,89,10.3%,11.2%,68.8%,31.2%,https://www.football-lab.jp/nago/report/?year=2023&month=08&date=05
H,鹿島,W,1,0,0.713,1.073,15,9,3,3,0,0,555,263,18,14,14,9,0,1,5,3,23,13,22,7,13,16,10,33,3,1,1,0,3,2,0,0,51,33,9,11,"107,703m","105,984m",116,100,110,91,13.6%,9.9%,65.6%,34.4%,https://www.football-lab.jp/nago/report/?year=2023&month=08&date=13
A,浦和,L,0,1,0.656,1.155,13,15,4,3,0,0,337,483,6,21,9,13,1,0,5,7,15,15,13,16,14,20,31,13,2,0,0,1,4,2,0,0,27,42,7,22,"109,054m","112,426m",125,101,99,102,13.1%,14.7%,46.3%,53.7%,https://www.football-lab.jp/nago/report/?year=2023&month=08&date=18
A,Ｃ大阪,L,1,3,0.749,0.881,10,9,5,5,0,0,439,438,14,20,9,6,3,3,0,8,25,23,16,17,14,24,23,11,0,0,3,3,0,0,0,0,40,36,9,15,"111,024m","109,375m",119,123,107,111,9.3%,8.1%,52.2%,47.8%,https://www.football-lab.jp/nago/report/?year=2023&month=08&date=26
H,横浜FC,D,1,1,1.685,0.683,18,6,3,1,0,0,502,351,16,4,17,7,0,2,8,2,23,14,11,6,11,20,12,34,3,1,2,0,1,1,0,0,57,31,10,8,"110,774m","109,342m",137,130,117,90,15.4%,6.7%,57.7%,42.3%,https://www.football-lab.jp/nago/report/?year=2023&month=09&date=02
A,福岡,L,0,1,0.928,0.582,15,11,3,1,0,0,397,486,15,7,12,14,1,1,3,4,17,18,10,9,23,13,34,19,4,3,1,1,1,1,0,0,42,39,7,6,"106,354m","106,566m",118,107,99,109,15.2%,10.1%,45.1%,54.9%,https://www.football-lab.jp/nago/report/?year=2023&month=09&date=16
H,札幌,D,1,1,1.273,0.404,11,5,5,1,0,0,627,390,15,11,7,13,2,3,9,2,16,19,13,12,17,19,14,20,2,2,3,2,4,1,0,0,68,28,16,3,"111,086m","112,742m",137,148,101,96,10.9%,5.2%,57.8%,42.2%,https://www.football-lab.jp/nago/report/?year=2023&month=09&date=23
A,広島,L,1,3,1.923,0.339,12,6,4,2,1,0,476,425,27,8,13,9,2,4,2,0,25,23,10,6,27,15,17,20,0,2,4,2,1,4,0,0,49,26,22,8,"111,306m","110,921m",156,136,122,116,9.8%,5.2%,50.6%,49.4%,https://www.football-lab.jp/nago/report/?year=2023&month=09&date=30
A,Ｇ大阪,W,1,0,0.78,0.966,10,10,4,3,0,0,601,403,8,14,11,12,3,3,2,4,17,11,7,11,13,22,20,13,2,2,3,3,2,1,0,0,36,33,7,11,"108,214m","111,911m",94,123,111,112,9.0%,8.9%,57.6%,42.4%,https://www.football-lab.jp/nago/report/?year=2023&month=10&date=21
H,鳥栖,D,1,1,0.873,2.364,9,20,4,11,0,0,508,417,8,20,10,14,4,1,5,6,21,21,9,11,17,15,22,22,0,0,1,4,0,2,1,0,20,39,5,19,"122,072m","120,737m",156,153,115,118,7.8%,16.9%,52%,48%,https://www.football-lab.jp/nago/report/?year=2023&month=10&date=27
A,湘南,L,1,2,1.239,1.954,13,24,6,8,0,0,311,603,16,19,8,18,1,2,8,6,17,21,12,14,17,15,20,13,2,3,2,1,1,0,0,0,35,62,9,23,"121,992m","117,981m",142,143,119,130,10.9%,18.5%,39%,61%,https://www.football-lab.jp/nago/report/?year=2023&month=11&date=11
A,神戸,L,1,2,1.404,1.678,11,11,4,1,0,0,317,522,13,21,14,10,1,2,3,2,32,29,15,6,6,17,37,20,1,0,2,1,1,2,0,0,26,46,9,10,"116,232m","111,814m",139,162,134,131,8.2%,8.4%,42.5%,57.5%,https://www.football-lab.jp/nago/report/?year=2023&month=11&date=25
H,柏,D,1,1,0.994,1.791,13,10,2,4,0,1,362,562,11,19,12,16,1,2,5,1,16,34,7,13,14,17,25,14,1,0,2,1,1,0,1,0,29,46,10,10,"116,824m","118,004m",139,132,127,134,10.2%,7.5%,42.5%,57.5%,https://www.football-lab.jp/nago/report/?year=2023&month=12&date=03
