HOME/AWAY,Opponent,勝敗,kyot_得点,kyot_失点,kyot_ゴール期待値,Opponent_ゴール期待値,kyot_シュート,Opponent_シュート,kyot_枠内シュート,Opponent_枠内シュート,kyot_PKによるシュート,Opponent_PKによるシュート,kyot_パス,Opponent_パス,kyot_クロス,Opponent_クロス,kyot_直接ＦＫ,Opponent_直接ＦＫ,kyot_間接ＦＫ,Opponent_間接ＦＫ,kyot_ＣＫ,Opponent_ＣＫ,kyot_スローイン,Opponent_スローイン,kyot_ドリブル,Opponent_ドリブル,kyot_タックル,Opponent_タックル,kyot_クリア,Opponent_クリア,kyot_インターセプト,Opponent_インターセプト,kyot_オフサイド,Opponent_オフサイド,kyot_警告,Opponent_警告,kyot_退場,Opponent_退場,kyot_３０ｍライン進入,Opponent_３０ｍライン進入,kyot_ペナルティエリア進入,Opponent_ペナルティエリア進入,kyot_総移動距離,Opponent_総移動距離,kyot_スプリント,Opponent_スプリント,kyot_攻撃回数,Opponent_攻撃回数,kyot_チャンス構築率,Opponent_チャンス構築率,kyot_ボール保持率,Opponent_ボール保持率,URL
H,川崎Ｆ,L,0,1,1.063,0.947,12,10,0,3,0,0,287,433,9,12,13,12,4,4,6,0,26,34,10,10,16,17,16,21,0,3,2,4,0,4,0,0,15,40,8,11,"112,445m","109,479m",102,98,121,114,9.9%,8.8%,43.7%,56.3%,https://www.football-lab.jp/kyot/report/?year=2023&month=05&date=03
A,横浜FM,L,1,4,0.603,1.178,12,13,2,4,0,0,427,585,18,16,10,18,3,4,2,5,18,21,16,10,11,19,22,20,3,0,4,3,5,1,0,0,37,42,9,13,"120,065m","117,259m",132,105,103,113,11.7%,11.5%,44.3%,55.7%,https://www.football-lab.jp/kyot/report/?year=2023&month=05&date=07
H,Ｃ大阪,L,0,1,0.951,0.762,13,8,3,2,0,0,451,279,20,14,7,16,1,4,7,4,38,19,4,14,14,16,13,29,5,1,4,1,2,1,0,0,49,25,14,13,"118,159m","113,325m",126,107,114,111,11.4%,7.2%,58.6%,41.4%,https://www.football-lab.jp/kyot/report/?year=2023&month=05&date=14
A,札幌,L,1,2,1.635,2.238,11,11,2,3,0,1,355,402,8,15,9,16,2,1,4,3,27,20,13,12,18,20,18,17,0,0,1,2,1,1,0,0,23,33,10,18,"116,268m","113,265m",153,129,118,119,9.3%,9.2%,47.4%,52.6%,https://www.football-lab.jp/kyot/report/?year=2023&month=05&date=19
H,浦和,L,0,2,1.713,1.02,16,13,5,3,0,0,362,314,14,8,12,17,1,0,6,6,28,19,16,4,8,19,19,26,0,1,0,1,0,3,0,0,26,16,11,6,"110,397m","105,147m",108,99,108,115,14.8%,11.3%,49.9%,50.1%,https://www.football-lab.jp/kyot/report/?year=2023&month=05&date=27
A,広島,L,1,3,0.995,1.588,15,15,3,10,0,0,350,301,16,15,9,15,4,4,9,1,32,31,11,11,12,20,27,41,0,1,3,4,0,1,0,0,28,25,15,8,"115,541m","108,663m",123,120,132,120,11.4%,12.5%,54.2%,45.8%,https://www.football-lab.jp/kyot/report/?year=2023&month=06&date=04
A,新潟,W,3,1,1.609,1.679,8,20,3,4,1,0,202,710,10,19,8,17,3,3,2,11,17,26,4,24,30,19,49,11,2,1,3,3,1,2,0,0,20,60,8,17,"116,790m","110,712m",112,71,104,126,7.7%,15.9%,31.3%,68.7%,https://www.football-lab.jp/kyot/report/?year=2023&month=06&date=11
H,横浜FC,W,2,1,0.937,1.067,14,12,2,6,0,0,353,355,20,12,12,16,2,2,4,7,22,28,10,11,17,9,25,28,0,2,2,2,1,2,0,1,27,25,11,6,"117,334m","113,347m",122,114,97,115,14.4%,10.4%,50.7%,49.3%,https://www.football-lab.jp/kyot/report/?year=2023&month=06&date=24
A,鹿島,D,0,0,0.81,1.269,13,15,1,4,0,0,329,416,18,19,8,12,3,1,3,7,23,42,13,8,22,17,28,15,1,0,1,3,1,0,0,0,28,45,10,13,"112,271m","109,453m",99,118,124,141,10.5%,10.6%,47.4%,52.6%,https://www.football-lab.jp/kyot/report/?year=2023&month=07&date=01
A,Ｇ大阪,L,0,1,0.734,0.865,10,9,0,2,0,0,355,439,20,10,8,10,2,0,6,5,23,24,13,11,22,20,20,27,2,2,0,2,1,1,0,0,39,36,11,9,"113,166m","107,998m",133,98,125,117,8.0%,7.7%,46.6%,53.4%,https://www.football-lab.jp/kyot/report/?year=2023&month=07&date=08
H,名古屋,W,2,1,2.182,0.854,14,12,6,4,0,0,304,331,23,13,8,16,3,1,6,7,27,26,10,18,29,12,32,31,2,2,1,3,3,1,0,0,40,28,14,9,"110,336m","107,204m",124,116,111,121,12.6%,9.9%,47.3%,52.7%,https://www.football-lab.jp/kyot/report/?year=2023&month=07&date=16
H,柏,L,0,1,0.729,0.993,10,10,2,2,0,0,359,256,7,13,9,8,2,2,2,9,24,18,1,11,12,10,21,31,2,7,2,2,2,2,0,0,24,28,7,10,"110,838m","106,677m",96,127,115,116,8.7%,8.6%,51%,49%,https://www.football-lab.jp/kyot/report/?year=2023&month=08&date=06
A,FC東京,L,0,2,1.331,1.444,12,15,4,7,0,0,401,324,13,13,10,16,3,4,2,3,26,23,8,9,19,14,15,16,1,1,4,3,1,1,0,0,28,31,10,11,"105,202m","104,826m",107,133,108,116,11.1%,12.9%,53.6%,46.4%,https://www.football-lab.jp/kyot/report/?year=2023&month=08&date=12
H,札幌,W,3,0,1.931,1.733,14,15,4,2,1,1,244,495,13,14,11,14,3,3,7,4,14,23,9,13,18,22,43,25,0,2,3,3,1,3,0,0,28,45,13,16,"109,711m","104,370m",106,88,108,114,13.0%,13.2%,39.1%,60.9%,https://www.football-lab.jp/kyot/report/?year=2023&month=08&date=19
H,福岡,W,2,0,0.954,0.882,7,10,4,1,0,0,197,522,5,38,13,9,1,1,2,8,20,27,6,21,18,14,44,7,0,0,1,1,1,3,1,0,14,54,8,15,"108,607m","106,638m",83,79,98,117,7.1%,8.5%,35.5%,64.5%,https://www.football-lab.jp/kyot/report/?year=2023&month=08&date=26
A,神戸,L,1,2,0.655,1.006,11,10,4,3,0,0,318,398,16,14,7,11,1,1,3,7,34,22,8,9,26,19,21,24,0,2,1,1,1,3,0,0,31,28,12,14,"109,311m","108,200m",118,114,114,119,9.6%,8.4%,42.9%,57.1%,https://www.football-lab.jp/kyot/report/?year=2023&month=09&date=03
A,浦和,D,0,0,0.4,2.034,8,17,1,6,0,0,316,436,9,13,12,13,2,1,1,6,31,28,3,10,14,12,21,19,2,0,1,2,1,1,0,0,29,35,5,12,"108,553m","106,096m",116,100,117,115,6.8%,14.8%,44.6%,55.4%,https://www.football-lab.jp/kyot/report/?year=2023&month=09&date=15
H,広島,W,1,0,0.888,1.541,10,22,2,6,0,0,286,503,14,25,7,17,2,0,3,7,24,23,9,9,22,22,44,15,2,3,0,2,2,0,0,0,23,40,8,22,"109,654m","106,800m",129,117,129,141,7.8%,15.6%,43.8%,56.2%,https://www.football-lab.jp/kyot/report/?year=2023&month=09&date=23
A,鳥栖,L,2,3,0.639,1.633,9,19,2,8,0,0,368,465,9,22,10,9,1,1,4,9,26,22,6,13,20,10,34,29,0,4,1,1,0,2,1,0,33,34,9,18,"119,399m","123,199m",142,129,115,120,7.8%,15.8%,47.8%,52.2%,https://www.football-lab.jp/kyot/report/?year=2023&month=09&date=30
H,湘南,L,0,1,1.079,1.367,13,8,2,3,0,1,457,353,16,14,12,12,7,0,4,2,32,21,7,10,22,17,16,31,1,1,0,7,1,1,0,0,28,27,9,11,"114,255m","116,342m",138,121,126,124,10.3%,6.5%,59.1%,40.9%,https://www.football-lab.jp/kyot/report/?year=2023&month=10&date=21
H,新潟,L,0,1,1.172,1.213,11,14,3,2,0,0,459,467,21,6,7,15,3,0,6,3,15,20,14,13,16,27,11,19,4,1,1,3,2,1,0,0,43,26,11,12,"121,539m","115,653m",131,106,107,121,10.3%,11.6%,49.6%,50.4%,https://www.football-lab.jp/kyot/report/?year=2023&month=10&date=28
A,川崎Ｆ,D,3,3,0.991,2.296,10,14,3,7,0,1,258,534,10,17,15,18,2,1,5,1,25,17,8,9,20,18,32,24,4,3,1,2,0,1,0,0,21,43,5,13,"116,960m","110,729m",194,122,131,121,7.6%,11.6%,41.9%,58.1%,https://www.football-lab.jp/kyot/report/?year=2023&month=11&date=12
A,Ｃ大阪,W,1,0,1.276,1.081,12,11,4,3,0,0,250,573,13,20,6,19,4,1,0,11,29,27,10,23,17,9,33,10,1,3,1,4,1,0,0,0,23,36,9,14,"113,332m","115,518m",121,96,105,132,11.4%,8.3%,36.8%,63.2%,https://www.football-lab.jp/kyot/report/?year=2023&month=11&date=25
H,横浜FM,W,3,1,2.454,1.402,25,10,7,5,0,0,417,600,25,12,8,14,1,1,10,2,16,24,17,13,25,31,20,29,3,0,1,1,1,1,0,1,39,31,22,12,"121,607m","112,709m",172,128,125,135,20.0%,7.4%,44.4%,55.6%,https://www.football-lab.jp/kyot/report/?year=2023&month=12&date=03
