HOME/AWAY,Opponent,勝敗,c-os_得点,c-os_失点,c-os_シュート,Opponent_シュート,c-os_枠内シュート,Opponent_枠内シュート,c-os_PKによるシュート,Opponent_PKによるシュート,c-os_パス,Opponent_パス,c-os_クロス,Opponent_クロス,c-os_直接ＦＫ,Opponent_直接ＦＫ,c-os_間接ＦＫ,Opponent_間接ＦＫ,c-os_ＣＫ,Opponent_ＣＫ,c-os_スローイン,Opponent_スローイン,c-os_ドリブル,Opponent_ドリブル,c-os_タックル,Opponent_タックル,c-os_クリア,Opponent_クリア,c-os_インターセプト,Opponent_インターセプト,c-os_オフサイド,Opponent_オフサイド,c-os_警告,Opponent_警告,c-os_退場,Opponent_退場,c-os_３０ｍライン進入,Opponent_３０ｍライン進入,c-os_ペナルティエリア進入,Opponent_ペナルティエリア進入,c-os_総移動距離,Opponent_総移動距離,c-os_スプリント,Opponent_スプリント,c-os_攻撃回数,Opponent_攻撃回数,c-os_チャンス構築率,Opponent_チャンス構築率,c-os_ボール保持率,Opponent_ボール保持率,URL
H,札幌,W,3,1,21,9,4,3,0,0,302,476,14,18,10,12,2,1,8,0,21,13,9,12,14,19,18,28,4,1,1,2,2,1,0,0,35,57,21,13,"101,684m","98,762m",121,98,109,89,19.3%,10.1%,41.3%,58.7%,https://www.football-lab.jp/c-os/report/?year=2017&month=08&date=05
A,清水,L,2,3,11,16,3,5,0,1,439,348,18,20,14,10,2,2,6,4,25,20,9,15,18,17,16,37,1,1,2,2,0,2,0,0,43,39,15,19,"106,847m","106,535m",120,107,129,120,8.5%,13.3%,55.6%,44.4%,https://www.football-lab.jp/c-os/report/?year=2017&month=08&date=09
A,磐田,D,1,1,8,20,4,5,0,0,437,607,18,27,4,13,1,4,4,8,11,23,9,15,10,12,37,19,4,7,4,1,2,0,0,0,34,60,11,21,"106,556m","104,932m",122,109,92,112,8.7%,17.9%,42.9%,57.1%,https://www.football-lab.jp/c-os/report/?year=2017&month=08&date=19
H,鹿島,L,0,1,17,10,5,2,0,0,398,506,15,13,10,9,3,0,9,1,22,22,14,8,23,14,16,22,4,3,0,3,2,2,0,0,41,51,12,9,"113,908m","109,975m",187,184,126,122,13.5%,8.2%,48.3%,51.7%,https://www.football-lab.jp/c-os/report/?year=2017&month=08&date=26
A,FC東京,W,4,1,18,9,9,1,1,0,500,509,16,14,8,12,1,1,3,4,15,22,10,14,18,11,22,17,2,2,1,1,1,2,0,0,48,52,20,12,"110,291m","107,853m",167,153,103,107,17.5%,8.4%,48.7%,51.3%,https://www.football-lab.jp/c-os/report/?year=2017&month=09&date=09
A,広島,L,0,1,16,7,3,1,0,0,517,441,16,18,7,8,3,2,11,4,18,15,7,8,22,17,20,35,1,0,2,3,1,0,0,0,58,34,22,12,"111,241m","111,623m",139,116,121,108,13.2%,6.5%,53.5%,46.5%,https://www.football-lab.jp/c-os/report/?year=2017&month=09&date=16
H,仙台,L,1,4,22,13,10,4,0,0,495,519,20,13,8,10,1,2,4,1,26,13,19,12,13,21,9,25,2,1,2,1,3,1,0,0,53,39,18,12,"115,262m","118,920m",135,116,130,118,16.9%,11.0%,49.2%,50.8%,https://www.football-lab.jp/c-os/report/?year=2017&month=09&date=23
A,川崎Ｆ,L,1,5,7,14,2,8,0,0,449,646,17,12,9,4,7,2,3,7,32,20,13,15,25,27,29,21,3,0,2,8,0,0,0,0,46,53,9,26,"113,890m","112,439m",161,153,123,109,5.7%,12.8%,44.2%,55.8%,https://www.football-lab.jp/c-os/report/?year=2017&month=09&date=30
A,鳥栖,W,2,1,9,11,2,2,0,1,481,407,8,12,12,21,6,3,4,6,22,24,10,14,25,16,27,19,10,0,3,6,2,0,0,0,37,31,10,10,"112,891m","112,125m",194,169,131,133,6.9%,8.3%,51.5%,48.5%,https://www.football-lab.jp/c-os/report/?year=2017&month=10&date=15
H,甲府,W,2,0,13,11,3,2,1,0,495,481,11,18,13,11,3,3,3,10,19,19,14,22,21,24,31,20,3,3,3,3,2,1,0,0,47,46,12,7,"108,852m","107,870m",150,141,123,131,10.6%,8.4%,48.4%,51.6%,https://www.football-lab.jp/c-os/report/?year=2017&month=10&date=21
H,大宮,W,2,1,24,8,9,3,0,0,567,255,22,9,10,6,1,5,7,3,26,24,16,13,15,20,33,35,0,1,5,1,0,0,0,1,67,14,29,7,"106,262m","100,488m",159,142,146,135,16.4%,5.9%,61.1%,38.9%,https://www.football-lab.jp/c-os/report/?year=2017&month=10&date=29
A,横浜FM,W,4,1,19,7,11,1,0,0,671,453,22,9,8,13,3,1,8,4,27,14,12,15,19,22,18,34,3,7,1,3,0,3,0,0,54,24,22,5,"117,306m","115,426m",177,137,121,119,15.7%,5.9%,54.5%,45.5%,https://www.football-lab.jp/c-os/report/?year=2017&month=11&date=18
H,神戸,W,3,1,18,6,9,2,0,0,415,403,19,14,16,13,2,2,10,3,20,21,11,9,13,23,23,33,5,2,2,2,2,1,0,0,53,45,16,7,"115,212m","107,560m",214,178,127,119,14.2%,5.0%,49.4%,50.6%,https://www.football-lab.jp/c-os/report/?year=2017&month=11&date=26
A,新潟,L,0,1,11,19,2,6,0,0,537,364,12,12,5,10,3,2,5,8,30,24,9,19,25,28,21,31,3,2,2,3,2,2,0,0,51,32,10,13,"112,420m","112,681m",192,202,138,141,8.0%,13.5%,56.5%,43.5%,https://www.football-lab.jp/c-os/report/?year=2017&month=12&date=02
