HOME/AWAY,Opponent,勝敗,ka-f_得点,ka-f_失点,Opponent_シュート,ka-f_シュート,Opponent_枠内シュート,ka-f_枠内シュート,Opponent_PKによるシュート,ka-f_PKによるシュート,Opponent_パス,ka-f_パス,Opponent_クロス,ka-f_クロス,Opponent_直接ＦＫ,ka-f_直接ＦＫ,Opponent_間接ＦＫ,ka-f_間接ＦＫ,Opponent_ＣＫ,ka-f_ＣＫ,Opponent_スローイン,ka-f_スローイン,Opponent_ドリブル,ka-f_ドリブル,Opponent_タックル,ka-f_タックル,Opponent_クリア,ka-f_クリア,Opponent_インターセプト,ka-f_インターセプト,Opponent_オフサイド,ka-f_オフサイド,Opponent_警告,ka-f_警告,Opponent_退場,ka-f_退場,Opponent_３０ｍライン進入,ka-f_３０ｍライン進入,Opponent_ペナルティエリア進入,ka-f_ペナルティエリア進入,Opponent_総移動距離,ka-f_総移動距離,Opponent_スプリント,ka-f_スプリント,Opponent_攻撃回数,ka-f_攻撃回数,Opponent_チャンス構築率,ka-f_チャンス構築率,Opponent_ボール保持率,ka-f_ボール保持率,URL
A,横浜FM,L,0,2,13,15,5,6,0,0,378,764,12,19,13,7,4,0,6,2,9,16,18,11,16,19,34,28,5,1,0,3,2,3,0,0,37,83,10,18,"115,795m","112,649m",168,166,109,104,11.9%,14.4%,39.6%,60.4%,https://www.football-lab.jp/ka-f/report/?year=2017&month=06&date=04
H,広島,W,1,0,13,6,2,3,0,0,580,705,18,3,16,7,2,3,6,2,9,18,17,3,24,10,17,24,3,3,2,2,2,1,0,0,52,57,11,9,"110,080m","107,214m",102,113,99,97,13.1%,6.2%,48.5%,51.5%,https://www.football-lab.jp/ka-f/report/?year=2017&month=06&date=17
A,Ｇ大阪,D,1,1,20,25,3,5,0,0,473,582,8,11,6,11,1,0,4,2,12,22,17,23,35,24,20,11,4,5,0,1,2,0,0,0,46,59,9,19,"114,049m","106,997m",182,155,113,122,17.7%,20.5%,46.7%,53.3%,https://www.football-lab.jp/ka-f/report/?year=2017&month=06&date=25
H,神戸,W,5,0,9,17,2,8,0,0,446,749,16,16,8,10,2,4,5,5,15,21,9,10,18,21,17,21,6,3,4,2,2,0,0,0,44,45,8,25,"111,050m","111,397m",176,170,106,114,8.5%,14.9%,43.5%,56.5%,https://www.football-lab.jp/ka-f/report/?year=2017&month=07&date=01
H,浦和,W,4,1,14,12,7,6,0,1,600,628,12,9,10,8,1,0,5,2,22,16,16,7,14,21,9,14,1,2,0,1,1,1,1,0,45,42,17,16,"107,784m","107,106m",136,163,104,99,13.5%,12.1%,51.2%,48.8%,https://www.football-lab.jp/ka-f/report/?year=2017&month=07&date=05
A,鳥栖,W,3,2,12,13,6,5,1,0,365,705,9,15,15,11,3,0,2,8,23,23,11,7,19,17,24,22,0,3,0,3,1,2,0,0,40,53,9,17,"114,315m","108,768m",145,140,106,109,11.3%,11.9%,39%,61%,https://www.football-lab.jp/ka-f/report/?year=2017&month=07&date=08
H,磐田,L,2,5,11,29,6,9,0,0,243,853,4,17,11,12,0,2,1,11,9,20,8,4,8,13,38,5,8,1,2,0,4,2,1,0,19,81,6,21,"105,085m","104,268m",115,100,107,123,10.3%,23.6%,29.8%,70.2%,https://www.football-lab.jp/ka-f/report/?year=2017&month=07&date=29
H,FC東京,D,1,1,11,24,4,4,0,0,295,759,11,14,8,11,0,4,5,7,9,18,9,8,16,10,16,9,3,2,4,0,2,1,0,0,19,61,12,21,"107,237m","107,022m",111,136,105,116,10.5%,20.7%,34.1%,65.9%,https://www.football-lab.jp/ka-f/report/?year=2017&month=08&date=05
A,新潟,W,2,0,19,11,6,3,0,0,373,632,16,11,8,7,0,2,10,6,20,17,16,14,17,25,24,33,4,3,3,0,1,0,0,0,39,49,20,21,"105,430m","103,373m",126,141,118,114,16.1%,9.6%,41.4%,58.6%,https://www.football-lab.jp/ka-f/report/?year=2017&month=08&date=09
H,鹿島,W,3,1,13,18,4,7,0,0,468,550,12,8,14,12,3,4,3,9,18,15,14,18,24,17,14,24,2,4,4,3,1,1,0,0,47,63,12,27,"104,807m","105,676m",149,171,109,116,11.9%,15.5%,47.6%,52.4%,https://www.football-lab.jp/ka-f/report/?year=2017&month=08&date=13
H,札幌,W,2,1,8,16,3,7,0,0,377,751,21,15,12,9,3,3,4,3,8,9,11,7,20,16,12,20,6,2,3,3,0,4,0,0,42,61,7,20,"107,557m","104,507m",110,148,111,102,7.2%,15.7%,39.4%,60.6%,https://www.football-lab.jp/ka-f/report/?year=2017&month=08&date=19
A,甲府,D,2,2,18,9,5,6,0,1,372,776,13,21,7,6,3,1,4,3,14,23,11,15,20,12,24,21,0,1,1,3,1,1,0,0,43,62,15,19,"108,905m","105,642m",142,142,107,104,16.8%,8.7%,39%,61%,https://www.football-lab.jp/ka-f/report/?year=2017&month=08&date=27
H,横浜FM,W,3,0,7,12,1,6,0,0,500,594,19,8,11,15,0,1,4,7,26,18,15,12,18,25,19,35,5,3,1,0,0,0,0,0,45,41,9,12,"105,519m","106,971m",146,152,117,113,6.0%,10.6%,48.3%,51.7%,https://www.football-lab.jp/ka-f/report/?year=2017&month=09&date=09
A,清水,W,3,0,10,17,2,7,0,0,402,713,20,15,12,9,3,4,7,6,21,22,12,11,27,19,18,38,3,2,4,3,1,0,0,0,35,45,8,22,"112,659m","112,067m",171,151,120,120,8.3%,14.2%,38.1%,61.9%,https://www.football-lab.jp/ka-f/report/?year=2017&month=09&date=16
A,神戸,D,0,0,11,9,6,3,0,0,360,551,18,13,13,17,3,2,6,5,25,20,12,15,28,11,23,32,6,1,1,3,5,2,0,0,30,51,14,17,"106,986m","104,404m",158,124,114,119,9.6%,7.6%,43.8%,56.2%,https://www.football-lab.jp/ka-f/report/?year=2017&month=09&date=23
H,Ｃ大阪,W,5,1,7,14,2,8,0,0,449,646,17,12,9,4,7,2,3,7,32,20,13,15,25,27,29,21,3,0,2,8,0,0,0,0,46,53,9,26,"113,890m","112,439m",161,153,123,109,5.7%,12.8%,44.2%,55.8%,https://www.football-lab.jp/ka-f/report/?year=2017&month=09&date=30
H,仙台,W,3,2,11,15,5,6,0,0,648,470,15,11,10,9,2,4,3,8,17,20,10,15,23,11,23,23,3,4,4,1,2,4,0,1,53,47,18,17,"118,785m","111,753m",160,160,124,131,8.9%,11.5%,55.1%,44.9%,https://www.football-lab.jp/ka-f/report/?year=2017&month=10&date=14
A,広島,W,3,0,13,18,1,10,0,0,531,440,29,10,11,14,6,2,10,6,26,19,13,14,21,28,20,32,2,4,2,6,1,2,0,0,58,44,12,14,"114,790m","111,527m",136,144,133,121,9.8%,14.9%,55.6%,44.4%,https://www.football-lab.jp/ka-f/report/?year=2017&month=10&date=21
A,柏,D,2,2,11,16,5,7,0,0,346,388,21,19,8,12,2,2,6,0,50,55,10,14,18,34,46,50,2,2,2,2,0,2,0,0,35,32,9,15,"108,721m","108,263m",147,137,185,187,5.9%,8.6%,47.6%,52.4%,https://www.football-lab.jp/ka-f/report/?year=2017&month=10&date=29
H,Ｇ大阪,W,1,0,2,29,0,8,0,0,343,739,6,19,10,13,2,2,3,11,22,16,8,17,24,20,43,17,3,4,2,2,2,0,0,0,23,70,5,29,"111,557m","107,147m",173,144,116,125,1.7%,23.2%,38.1%,61.9%,https://www.football-lab.jp/ka-f/report/?year=2017&month=11&date=18
A,浦和,W,1,0,12,7,4,2,0,0,591,504,22,10,24,13,1,4,6,1,21,14,20,10,18,15,19,33,1,1,4,1,3,2,0,0,58,29,19,7,"115,243m","110,608m",148,144,124,103,9.7%,6.8%,55.4%,44.6%,https://www.football-lab.jp/ka-f/report/?year=2017&month=11&date=29
H,大宮,W,5,0,14,15,5,7,0,1,460,607,15,14,7,14,2,2,8,6,23,22,15,10,13,22,24,25,1,2,2,2,3,0,1,0,38,53,17,19,"114,144m","113,498m",169,158,121,124,11.6%,12.1%,47.2%,52.8%,https://www.football-lab.jp/ka-f/report/?year=2017&month=12&date=02
