HOME/AWAY,Opponent,勝敗,hiro_得点,hiro_失点,hiro_シュート,Opponent_シュート,hiro_枠内シュート,Opponent_枠内シュート,hiro_PKによるシュート,Opponent_PKによるシュート,hiro_パス,Opponent_パス,hiro_クロス,Opponent_クロス,hiro_直接ＦＫ,Opponent_直接ＦＫ,hiro_間接ＦＫ,Opponent_間接ＦＫ,hiro_ＣＫ,Opponent_ＣＫ,hiro_スローイン,Opponent_スローイン,hiro_ドリブル,Opponent_ドリブル,hiro_タックル,Opponent_タックル,hiro_クリア,Opponent_クリア,hiro_インターセプト,Opponent_インターセプト,hiro_オフサイド,Opponent_オフサイド,hiro_警告,Opponent_警告,hiro_退場,Opponent_退場,hiro_３０ｍライン進入,Opponent_３０ｍライン進入,hiro_ペナルティエリア進入,Opponent_ペナルティエリア進入,hiro_総移動距離,Opponent_総移動距離,hiro_スプリント,Opponent_スプリント,hiro_攻撃回数,Opponent_攻撃回数,hiro_チャンス構築率,Opponent_チャンス構築率,hiro_ボール保持率,Opponent_ボール保持率,URL
H,鹿島,L,1,3,15,19,5,3,0,0,660,488,25,10,12,13,1,0,4,3,16,16,21,9,22,24,16,28,0,0,0,0,0,0,0,0,61,51,24,14,"114,890m","116,985m",144,184,122,119,12.3%,16.0%,57.5%,42.5%,https://www.football-lab.jp/hiro/report/?year=2017&month=06&date=04
A,川崎Ｆ,L,0,1,13,6,2,3,0,0,580,705,18,3,16,7,2,3,6,2,9,18,17,3,24,10,17,24,3,3,2,2,2,1,0,0,52,57,11,9,"110,080m","107,214m",102,113,99,97,13.1%,6.2%,48.5%,51.5%,https://www.football-lab.jp/hiro/report/?year=2017&month=06&date=17
H,大宮,L,0,3,21,12,2,4,0,0,594,414,18,9,9,7,1,4,6,5,21,17,12,2,12,9,21,23,2,1,4,1,1,0,0,0,46,26,19,9,"108,648m","115,309m",98,137,115,110,18.3%,10.9%,57.7%,42.3%,https://www.football-lab.jp/hiro/report/?year=2017&month=06&date=25
A,浦和,L,3,4,10,17,5,11,0,0,413,689,8,17,9,8,2,4,1,10,15,16,9,20,32,21,26,21,1,3,4,1,0,1,0,0,33,69,11,26,"109,718m","110,264m",133,138,111,125,9.0%,13.6%,38%,62%,https://www.football-lab.jp/hiro/report/?year=2017&month=07&date=01
A,横浜FM,D,1,1,9,12,4,6,0,0,606,608,24,11,14,7,0,1,6,2,11,16,21,12,19,9,19,22,2,2,1,0,0,2,0,0,60,63,11,12,"113,500m","109,146m",89,110,105,101,8.6%,11.9%,50.5%,49.5%,https://www.football-lab.jp/hiro/report/?year=2017&month=07&date=08
H,鳥栖,L,0,1,17,11,2,3,0,0,538,373,23,13,11,8,2,2,7,5,16,15,11,10,13,17,14,38,3,3,2,1,1,3,0,0,56,36,23,14,"112,508m","110,083m",105,126,101,97,16.8%,11.3%,53.7%,46.3%,https://www.football-lab.jp/hiro/report/?year=2017&month=07&date=30
A,磐田,W,3,2,12,25,6,6,0,1,414,497,4,21,11,9,1,5,1,10,16,26,17,20,20,12,33,17,1,2,5,1,0,0,0,0,36,43,10,13,"109,840m","107,569m",112,108,100,125,12.0%,20.0%,46.5%,53.5%,https://www.football-lab.jp/hiro/report/?year=2017&month=08&date=05
H,Ｇ大阪,D,2,2,17,18,7,6,0,1,366,492,14,23,10,10,1,1,1,10,20,16,12,16,17,12,33,19,3,2,1,1,4,3,0,0,30,57,17,26,"108,594m","108,059m",129,151,90,96,18.9%,18.8%,46.4%,53.6%,https://www.football-lab.jp/hiro/report/?year=2017&month=08&date=09
A,仙台,L,0,1,17,17,2,8,0,0,430,355,19,24,10,13,0,4,9,5,26,22,20,16,16,29,37,36,1,1,4,0,0,1,0,0,52,49,18,19,"109,262m","111,175m",140,158,128,125,13.3%,13.6%,54%,46%,https://www.football-lab.jp/hiro/report/?year=2017&month=08&date=13
H,甲府,W,1,0,12,7,4,3,0,0,583,551,25,15,12,4,0,4,3,0,19,18,14,8,15,13,11,23,3,1,4,0,2,1,0,0,54,44,10,7,"116,414m","113,882m",117,123,104,96,11.5%,7.3%,53.1%,46.9%,https://www.football-lab.jp/hiro/report/?year=2017&month=08&date=19
A,大宮,D,1,1,9,17,5,6,0,0,476,467,16,22,9,8,2,2,4,7,12,21,15,10,12,15,27,20,2,2,2,1,1,2,0,0,33,43,14,26,"110,350m","109,625m",102,176,97,103,9.3%,16.5%,49.3%,50.7%,https://www.football-lab.jp/hiro/report/?year=2017&month=08&date=26
A,新潟,D,0,0,11,15,3,3,0,0,394,361,12,19,15,15,2,3,7,7,15,20,10,21,23,18,28,24,4,5,2,2,1,1,0,0,37,40,17,19,"109,985m","109,280m",145,154,130,128,8.5%,11.7%,52.9%,47.1%,https://www.football-lab.jp/hiro/report/?year=2017&month=09&date=09
H,Ｃ大阪,W,1,0,7,16,1,3,0,0,441,517,18,16,8,7,2,3,4,11,15,18,8,7,17,22,35,20,0,1,3,2,0,1,0,0,34,58,12,22,"111,623m","111,241m",116,139,108,121,6.5%,13.2%,46.5%,53.5%,https://www.football-lab.jp/hiro/report/?year=2017&month=09&date=16
A,清水,W,3,1,18,22,8,6,0,0,414,530,14,30,5,11,2,0,4,4,18,35,12,26,18,15,30,28,2,0,0,2,1,1,0,0,38,64,18,21,"115,573m","113,886m",140,169,119,130,15.1%,16.9%,47.2%,52.8%,https://www.football-lab.jp/hiro/report/?year=2017&month=09&date=23
H,札幌,D,1,1,11,13,2,1,1,1,474,377,13,18,12,8,2,2,5,7,14,14,4,13,14,18,25,24,0,1,2,1,2,1,0,0,33,44,7,19,"106,940m","106,331m",145,152,106,108,10.4%,12.0%,54.8%,45.2%,https://www.football-lab.jp/hiro/report/?year=2017&month=09&date=30
A,鹿島,L,0,2,16,16,2,5,0,0,377,385,13,15,15,19,5,3,6,8,13,23,17,15,24,19,25,22,3,2,2,5,1,3,0,0,40,49,18,22,"112,934m","108,705m",188,211,122,131,13.1%,12.2%,50%,50%,https://www.football-lab.jp/hiro/report/?year=2017&month=10&date=14
H,川崎Ｆ,L,0,3,13,18,1,10,0,0,531,440,29,10,11,14,6,2,10,6,26,19,13,14,21,28,20,32,2,4,2,6,1,2,0,0,58,44,12,14,"114,790m","111,527m",136,144,133,121,9.8%,14.9%,55.6%,44.4%,https://www.football-lab.jp/hiro/report/?year=2017&month=10&date=21
H,浦和,L,0,1,12,10,4,4,0,0,398,639,15,11,11,10,3,5,2,3,19,19,10,15,23,16,20,21,4,3,5,3,0,1,0,0,44,41,11,12,"117,958m","112,289m",167,170,109,108,11.0%,9.3%,41.3%,58.7%,https://www.football-lab.jp/hiro/report/?year=2017&month=10&date=29
A,神戸,W,2,1,13,16,5,1,0,0,504,512,28,12,16,13,2,1,3,8,17,15,17,8,19,23,25,26,5,2,1,2,0,2,0,0,50,42,22,20,"115,839m","112,276m",146,171,124,127,10.5%,12.6%,49.1%,50.9%,https://www.football-lab.jp/hiro/report/?year=2017&month=11&date=18
H,FC東京,W,2,1,19,13,4,6,0,0,553,461,23,21,10,12,0,1,5,4,23,17,20,12,23,19,23,27,3,3,1,0,0,0,0,0,58,41,17,16,"116,046m","113,156m",170,168,117,117,16.2%,11.1%,56.3%,43.7%,https://www.football-lab.jp/hiro/report/?year=2017&month=11&date=26
A,柏,L,0,1,14,18,3,6,0,0,473,600,18,25,15,10,2,5,3,7,19,19,14,16,20,25,20,27,2,2,5,1,0,0,0,0,40,52,17,18,"118,775m","116,388m",177,165,125,125,11.2%,14.4%,44.1%,55.9%,https://www.football-lab.jp/hiro/report/?year=2017&month=12&date=02
