HOME/AWAY,Opponent,勝敗,y-fm_得点,y-fm_失点,y-fm_シュート,Opponent_シュート,y-fm_枠内シュート,Opponent_枠内シュート,y-fm_PKによるシュート,Opponent_PKによるシュート,y-fm_パス,Opponent_パス,y-fm_クロス,Opponent_クロス,y-fm_直接ＦＫ,Opponent_直接ＦＫ,y-fm_間接ＦＫ,Opponent_間接ＦＫ,y-fm_ＣＫ,Opponent_ＣＫ,y-fm_スローイン,Opponent_スローイン,y-fm_ドリブル,Opponent_ドリブル,y-fm_タックル,Opponent_タックル,y-fm_クリア,Opponent_クリア,y-fm_インターセプト,Opponent_インターセプト,y-fm_オフサイド,Opponent_オフサイド,y-fm_警告,Opponent_警告,y-fm_退場,Opponent_退場,y-fm_３０ｍライン進入,Opponent_３０ｍライン進入,y-fm_ペナルティエリア進入,Opponent_ペナルティエリア進入,y-fm_総移動距離,Opponent_総移動距離,y-fm_スプリント,Opponent_スプリント,y-fm_攻撃回数,Opponent_攻撃回数,y-fm_チャンス構築率,Opponent_チャンス構築率,y-fm_ボール保持率,Opponent_ボール保持率,URL
A,札幌,W,2,0,20,15,7,2,0,0,415,359,15,15,13,9,1,2,6,4,21,19,26,10,20,19,20,28,1,1,1,1,2,3,0,1,45,49,20,15,"107,179m","106,714m",138,136,110,100,18.2%,15.0%,53.3%,46.7%,https://www.football-lab.jp/y-fm/report/?year=2017&month=08&date=09
H,鳥栖,W,1,0,15,14,5,4,0,0,376,487,15,23,16,15,0,1,7,7,19,15,12,8,15,19,26,16,0,3,1,0,1,4,0,0,25,48,8,17,"108,231m","109,035m",133,138,111,103,13.5%,13.6%,47.9%,52.1%,https://www.football-lab.jp/y-fm/report/?year=2017&month=08&date=13
A,神戸,D,0,0,9,8,3,2,0,0,554,349,20,16,15,10,2,2,6,3,21,18,20,11,14,23,18,27,0,1,2,2,2,3,0,0,41,35,10,9,"103,651m","102,202m",144,126,107,102,8.4%,7.8%,59.9%,40.1%,https://www.football-lab.jp/y-fm/report/?year=2017&month=08&date=20
H,FC東京,W,1,0,11,11,4,2,0,0,419,453,26,17,15,15,1,1,9,3,15,23,19,9,12,13,23,15,2,1,1,1,1,1,0,0,34,39,11,16,"107,965m","108,007m",143,151,105,108,10.5%,10.2%,49.2%,50.8%,https://www.football-lab.jp/y-fm/report/?year=2017&month=08&date=26
A,川崎Ｆ,L,0,3,7,12,1,6,0,0,500,594,19,8,11,15,0,1,4,7,26,18,15,12,18,25,19,35,5,3,1,0,0,0,0,0,45,41,9,12,"105,519m","106,971m",146,152,117,113,6.0%,10.6%,48.3%,51.7%,https://www.football-lab.jp/y-fm/report/?year=2017&month=09&date=09
H,柏,D,1,1,9,11,2,4,0,0,460,594,12,20,20,16,4,2,1,4,16,24,10,19,27,14,25,14,3,1,2,4,4,0,0,0,27,56,14,15,"113,932m","111,261m",171,159,123,122,7.3%,9.0%,45.9%,54.1%,https://www.football-lab.jp/y-fm/report/?year=2017&month=09&date=16
A,甲府,L,2,3,19,7,4,4,0,1,650,266,25,7,17,5,2,2,5,2,35,14,18,9,15,25,15,42,0,3,2,1,1,1,0,0,78,25,17,6,"106,930m","108,715m",140,164,117,96,16.2%,7.3%,64.9%,35.1%,https://www.football-lab.jp/y-fm/report/?year=2017&month=09&date=23
A,Ｇ大阪,W,2,1,13,15,7,5,0,0,442,479,16,16,17,15,3,0,3,3,24,18,15,11,14,20,15,15,0,3,0,3,2,3,0,0,24,45,9,11,"107,306m","110,383m",157,174,116,101,11.2%,14.9%,50.2%,49.8%,https://www.football-lab.jp/y-fm/report/?year=2017&month=09&date=30
H,大宮,D,1,1,28,14,6,2,0,0,654,314,36,14,23,8,3,0,11,4,30,13,24,5,17,20,27,56,0,3,0,3,1,5,0,1,56,33,25,13,"119,965m","120,286m",210,176,147,110,19.0%,12.7%,62.3%,37.7%,https://www.football-lab.jp/y-fm/report/?year=2017&month=10&date=14
H,鹿島,W,3,2,11,25,4,8,0,0,360,601,9,31,14,7,1,1,2,11,21,23,14,20,26,22,51,20,5,4,1,1,0,3,0,0,26,96,11,30,"117,529m","116,966m",148,194,132,139,8.3%,18.0%,44.1%,55.9%,https://www.football-lab.jp/y-fm/report/?year=2017&month=10&date=21
A,磐田,L,1,2,5,20,3,4,1,0,386,377,7,14,9,16,0,0,4,6,35,31,10,17,23,13,32,28,0,1,0,0,0,2,0,0,19,35,3,22,"90,208m","92,881m",84,121,134,134,3.7%,14.9%,49.5%,50.5%,https://www.football-lab.jp/y-fm/report/?year=2017&month=10&date=29
H,Ｃ大阪,L,1,4,7,19,1,11,0,0,453,671,9,22,13,8,1,3,4,8,14,27,15,12,22,19,34,18,7,3,3,1,3,0,0,0,24,54,5,22,"115,426m","117,306m",137,177,119,121,5.9%,15.7%,45.5%,54.5%,https://www.football-lab.jp/y-fm/report/?year=2017&month=11&date=18
A,仙台,D,2,2,10,26,1,12,0,0,414,489,15,27,16,13,1,0,6,7,19,15,19,14,15,26,29,28,4,2,0,1,4,2,0,0,27,60,11,27,"115,050m","117,405m",163,176,123,126,8.1%,20.6%,49.5%,50.5%,https://www.football-lab.jp/y-fm/report/?year=2017&month=11&date=26
A,浦和,W,1,0,12,13,5,3,0,0,373,727,11,22,11,11,2,4,4,7,17,12,13,16,20,20,28,17,6,2,4,2,0,2,0,0,32,72,13,20,"115,440m","115,665m",189,189,116,114,10.3%,11.4%,38.1%,61.9%,https://www.football-lab.jp/y-fm/report/?year=2017&month=12&date=02
