HOME/AWAY,Opponent,勝敗,g-os_得点,g-os_失点,g-os_シュート,Opponent_シュート,g-os_枠内シュート,Opponent_枠内シュート,g-os_PKによるシュート,Opponent_PKによるシュート,g-os_パス,Opponent_パス,g-os_クロス,Opponent_クロス,g-os_直接ＦＫ,Opponent_直接ＦＫ,g-os_間接ＦＫ,Opponent_間接ＦＫ,g-os_ＣＫ,Opponent_ＣＫ,g-os_スローイン,Opponent_スローイン,g-os_ドリブル,Opponent_ドリブル,g-os_タックル,Opponent_タックル,g-os_クリア,Opponent_クリア,g-os_インターセプト,Opponent_インターセプト,g-os_オフサイド,Opponent_オフサイド,g-os_警告,Opponent_警告,g-os_退場,Opponent_退場,g-os_３０ｍライン進入,Opponent_３０ｍライン進入,g-os_ペナルティエリア進入,Opponent_ペナルティエリア進入,g-os_総移動距離,Opponent_総移動距離,g-os_スプリント,Opponent_スプリント,g-os_攻撃回数,Opponent_攻撃回数,g-os_チャンス構築率,Opponent_チャンス構築率,g-os_ボール保持率,Opponent_ボール保持率,URL
A,札幌,W,2,0,14,13,5,2,0,0,456,361,10,24,6,15,2,4,5,5,22,29,9,11,18,24,30,21,3,0,3,2,1,0,0,0,34,44,10,20,"116,928m","119,590m",189,163,122,135,11.5%,9.6%,53.9%,46.1%,https://www.football-lab.jp/g-os/report/?year=2017&month=05&date=14
H,鳥栖,W,3,0,15,14,5,1,0,0,482,528,15,19,10,13,1,4,2,3,26,26,7,14,21,16,21,20,3,2,4,1,2,1,0,0,37,41,10,16,"120,562m","115,907m",201,153,124,130,12.1%,10.8%,47%,53%,https://www.football-lab.jp/g-os/report/?year=2017&month=05&date=20
A,磐田,L,0,3,14,20,3,5,0,0,603,298,15,10,10,15,1,3,4,4,18,14,6,10,17,14,18,29,1,5,3,1,1,0,0,0,61,31,15,12,"111,066m","109,283m",165,127,114,117,12.3%,17.1%,60%,40%,https://www.football-lab.jp/g-os/report/?year=2017&month=06&date=04
A,神戸,W,1,0,9,14,2,4,0,0,420,488,11,15,14,17,2,2,3,1,25,21,5,12,23,17,22,19,0,4,2,2,0,2,0,0,27,56,8,11,"112,397m","109,306m",174,191,130,127,6.9%,11.0%,44.7%,55.3%,https://www.football-lab.jp/g-os/report/?year=2017&month=06&date=17
H,川崎Ｆ,D,1,1,20,25,3,5,0,0,473,582,8,11,6,11,1,0,4,2,12,22,17,23,35,24,20,11,4,5,0,1,2,0,0,0,46,59,9,19,"114,049m","106,997m",182,155,113,122,17.7%,20.5%,46.7%,53.3%,https://www.football-lab.jp/g-os/report/?year=2017&month=06&date=25
A,仙台,W,3,2,9,19,2,5,0,0,395,511,12,27,16,15,0,2,0,5,18,23,7,9,16,18,38,12,0,2,2,0,1,1,0,0,21,48,8,20,"113,163m","112,557m",145,133,112,120,8.0%,15.8%,45.1%,54.9%,https://www.football-lab.jp/g-os/report/?year=2017&month=07&date=01
H,鹿島,L,0,1,16,7,3,2,0,0,578,501,14,10,11,16,2,0,6,3,22,16,13,13,23,18,18,26,4,5,0,2,2,2,0,0,37,49,10,5,"112,684m","107,564m",166,147,131,130,12.2%,5.4%,54.4%,45.6%,https://www.football-lab.jp/g-os/report/?year=2017&month=07&date=05
A,清水,L,0,2,14,18,4,9,0,0,622,241,16,8,12,11,1,0,4,8,35,25,9,10,13,19,21,37,0,4,0,1,0,0,0,0,40,25,12,9,"108,804m","111,440m",132,154,121,117,11.6%,15.4%,65.1%,34.9%,https://www.football-lab.jp/g-os/report/?year=2017&month=07&date=08
H,Ｃ大阪,W,3,1,21,18,7,7,0,0,448,452,18,23,13,7,2,3,6,2,19,24,13,12,19,11,36,22,1,3,3,2,1,0,0,0,47,50,15,8,"112,505m","108,960m",164,155,115,111,18.3%,16.2%,51.5%,48.5%,https://www.football-lab.jp/g-os/report/?year=2017&month=07&date=29
A,甲府,L,0,1,13,14,1,4,0,0,560,413,18,25,12,7,1,0,4,2,21,24,7,11,15,12,18,28,2,2,0,1,1,1,0,0,46,44,6,11,"107,267m","110,023m",145,138,104,106,12.5%,13.2%,56%,44%,https://www.football-lab.jp/g-os/report/?year=2017&month=08&date=05
A,広島,D,2,2,18,17,6,7,1,0,492,366,23,14,10,10,1,1,10,1,16,20,16,12,12,17,19,33,2,3,1,1,3,4,0,0,57,30,26,17,"108,059m","108,594m",151,129,96,90,18.8%,18.9%,53.6%,46.4%,https://www.football-lab.jp/g-os/report/?year=2017&month=08&date=09
H,磐田,L,0,2,12,8,2,4,0,0,653,313,26,7,11,14,0,5,2,2,25,16,24,14,15,22,19,26,3,1,5,0,1,1,0,0,77,29,15,7,"106,599m","107,798m",150,128,113,113,10.6%,7.1%,61.6%,38.4%,https://www.football-lab.jp/g-os/report/?year=2017&month=08&date=13
H,柏,L,0,1,7,19,1,4,0,0,506,473,16,19,11,9,1,3,7,9,24,27,12,15,20,15,30,26,1,7,3,1,0,0,0,0,39,33,11,19,"105,872m","104,624m",124,151,117,123,6.0%,15.4%,51.8%,48.2%,https://www.football-lab.jp/g-os/report/?year=2017&month=08&date=19
A,鳥栖,W,3,1,14,10,6,3,0,1,492,480,10,19,10,9,2,8,5,2,23,24,9,14,29,18,28,17,0,1,8,2,0,0,0,0,38,41,10,16,"112,802m","113,633m",159,175,127,122,11.0%,8.2%,49.2%,50.8%,https://www.football-lab.jp/g-os/report/?year=2017&month=08&date=26
H,神戸,L,1,2,10,14,3,8,1,0,581,395,10,10,13,10,0,3,6,4,24,19,14,7,6,20,22,25,0,2,3,0,1,0,0,0,43,34,13,13,"108,940m","107,505m",157,154,118,108,8.5%,13.0%,58.3%,41.7%,https://www.football-lab.jp/g-os/report/?year=2017&month=09&date=09
A,大宮,D,2,2,15,11,5,3,0,0,562,466,24,15,10,9,1,5,5,6,23,19,8,11,16,29,24,29,2,3,5,1,0,0,0,0,55,33,19,8,"118,773m","116,431m",180,140,129,126,11.6%,8.7%,54.3%,45.7%,https://www.football-lab.jp/g-os/report/?year=2017&month=09&date=16
A,鹿島,L,1,2,11,31,3,11,0,1,334,549,12,17,16,15,3,3,2,4,18,28,6,22,37,21,17,14,4,5,3,3,2,1,0,0,37,68,6,23,"118,662m","112,484m",176,157,126,141,8.7%,22.0%,41.9%,58.1%,https://www.football-lab.jp/g-os/report/?year=2017&month=09&date=23
H,横浜FM,L,1,2,15,13,5,7,0,0,479,442,16,16,15,17,0,3,3,3,18,24,11,15,20,14,15,15,3,0,3,0,3,2,0,0,45,24,11,9,"110,383m","107,306m",174,157,101,116,14.9%,11.2%,49.8%,50.2%,https://www.football-lab.jp/g-os/report/?year=2017&month=09&date=30
H,新潟,L,0,1,13,10,3,6,0,0,489,416,11,8,10,16,1,4,2,2,29,25,12,13,28,24,30,27,1,2,4,1,0,1,0,0,40,32,19,9,"111,813m","111,137m",187,174,142,151,9.2%,6.6%,53.3%,46.7%,https://www.football-lab.jp/g-os/report/?year=2017&month=10&date=14
A,浦和,D,3,3,11,16,6,7,0,0,454,561,15,20,11,11,0,2,5,6,12,16,12,12,19,13,36,15,2,2,2,0,2,0,0,0,30,55,10,14,"114,080m","109,990m",186,156,116,117,9.5%,13.7%,48.3%,51.7%,https://www.football-lab.jp/g-os/report/?year=2017&month=10&date=22
H,仙台,D,1,1,15,16,3,2,0,0,567,474,21,13,15,9,0,3,10,3,19,15,12,8,9,12,17,27,0,1,3,0,1,0,0,0,57,37,15,14,"109,972m","109,366m",155,128,109,101,13.8%,15.8%,51.8%,48.2%,https://www.football-lab.jp/g-os/report/?year=2017&month=10&date=29
A,川崎Ｆ,L,0,1,2,29,0,8,0,0,343,739,6,19,10,13,2,2,3,11,22,16,8,17,24,20,43,17,3,4,2,2,2,0,0,0,23,70,5,29,"111,557m","107,147m",173,144,116,125,1.7%,23.2%,38.1%,61.9%,https://www.football-lab.jp/g-os/report/?year=2017&month=11&date=18
H,札幌,L,0,1,8,6,1,3,0,0,692,308,19,6,13,13,2,4,8,2,19,18,10,5,13,17,17,35,4,3,4,0,4,1,0,0,47,36,9,10,"108,004m","108,841m",130,111,111,108,7.2%,5.6%,65.6%,34.4%,https://www.football-lab.jp/g-os/report/?year=2017&month=11&date=26
A,FC東京,D,0,0,7,16,1,7,0,0,554,523,9,15,11,11,1,2,9,4,15,20,9,16,20,25,20,18,1,2,2,1,2,1,0,0,41,41,7,15,"116,785m","113,807m",180,170,116,121,6.0%,13.2%,48.8%,51.2%,https://www.football-lab.jp/g-os/report/?year=2017&month=12&date=02
