HOME/AWAY,Opponent,勝敗,uraw_得点,uraw_失点,Opponent_シュート,uraw_シュート,Opponent_枠内シュート,uraw_枠内シュート,Opponent_PKによるシュート,uraw_PKによるシュート,Opponent_パス,uraw_パス,Opponent_クロス,uraw_クロス,Opponent_直接ＦＫ,uraw_直接ＦＫ,Opponent_間接ＦＫ,uraw_間接ＦＫ,Opponent_ＣＫ,uraw_ＣＫ,Opponent_スローイン,uraw_スローイン,Opponent_ドリブル,uraw_ドリブル,Opponent_タックル,uraw_タックル,Opponent_クリア,uraw_クリア,Opponent_インターセプト,uraw_インターセプト,Opponent_オフサイド,uraw_オフサイド,Opponent_警告,uraw_警告,Opponent_退場,uraw_退場,Opponent_３０ｍライン進入,uraw_３０ｍライン進入,Opponent_ペナルティエリア進入,uraw_ペナルティエリア進入,Opponent_総移動距離,uraw_総移動距離,Opponent_スプリント,uraw_スプリント,Opponent_攻撃回数,uraw_攻撃回数,Opponent_チャンス構築率,uraw_チャンス構築率,Opponent_ボール保持率,uraw_ボール保持率,URL
H,磐田,L,2,4,12,15,6,2,0,0,301,589,10,23,10,12,5,0,1,4,25,20,3,14,19,15,22,16,2,1,0,5,1,0,0,0,32,48,14,26,"115,220m","112,246m",188,174,114,116,10.5%,12.9%,37.7%,62.3%,https://www.football-lab.jp/uraw/report/?year=2017&month=06&date=18
A,鳥栖,L,1,2,9,12,3,5,0,1,287,595,4,21,10,11,3,1,4,5,13,19,3,17,17,8,26,21,0,3,1,3,1,1,0,0,27,75,10,30,"109,124m","105,605m",130,128,108,114,8.3%,10.5%,37.3%,62.7%,https://www.football-lab.jp/uraw/report/?year=2017&month=06&date=25
H,広島,W,4,3,10,17,5,11,0,0,413,689,8,17,9,8,2,4,1,10,15,16,9,20,32,21,26,21,1,3,4,1,0,1,0,0,33,69,11,26,"109,718m","110,264m",133,138,111,125,9.0%,13.6%,38%,62%,https://www.football-lab.jp/uraw/report/?year=2017&month=07&date=01
A,川崎Ｆ,L,1,4,12,14,6,7,1,0,628,600,9,12,8,10,0,1,2,5,16,22,7,16,21,14,14,9,2,1,1,0,1,1,0,1,42,45,16,17,"107,106m","107,784m",163,136,99,104,12.1%,13.5%,48.8%,51.2%,https://www.football-lab.jp/uraw/report/?year=2017&month=07&date=05
H,新潟,W,2,1,6,18,2,7,0,0,237,612,9,19,13,9,1,1,2,6,18,26,14,19,24,12,19,15,6,4,1,1,1,3,0,0,20,79,7,19,"108,395m","104,129m",164,152,103,106,5.8%,17.0%,33.2%,66.8%,https://www.football-lab.jp/uraw/report/?year=2017&month=07&date=09
A,Ｃ大阪,L,2,4,16,16,8,6,0,0,318,522,10,20,12,10,0,3,6,6,16,22,6,18,19,13,25,16,4,2,3,0,3,1,0,0,27,72,12,21,"108,755m","104,905m",138,100,111,109,14.4%,14.7%,40.5%,59.5%,https://www.football-lab.jp/uraw/report/?year=2017&month=07&date=22
A,札幌,L,0,2,13,12,4,1,0,0,319,580,11,16,22,14,1,0,5,5,7,21,11,17,24,17,23,19,4,2,0,1,4,0,0,1,37,48,16,15,"109,422m","98,993m",108,129,103,109,12.6%,11.0%,39.8%,60.2%,https://www.football-lab.jp/uraw/report/?year=2017&month=07&date=29
H,大宮,D,2,2,8,18,2,5,0,1,387,402,9,10,14,16,3,3,0,5,20,22,3,14,14,12,21,19,0,4,3,3,1,0,0,0,21,32,5,11,"103,867m","105,129m",125,131,101,108,7.9%,16.7%,46.5%,53.5%,https://www.football-lab.jp/uraw/report/?year=2017&month=08&date=05
A,甲府,W,1,0,8,8,2,3,0,0,371,480,15,12,15,17,1,2,3,8,12,20,10,15,13,12,25,21,0,1,2,1,1,3,0,0,28,33,9,9,"106,516m","107,681m",140,137,108,112,7.4%,7.1%,44.1%,55.9%,https://www.football-lab.jp/uraw/report/?year=2017&month=08&date=09
H,FC東京,W,2,1,14,12,3,6,0,0,469,496,20,10,8,10,1,1,10,5,15,10,14,24,18,15,20,26,3,4,1,1,1,1,0,0,49,42,12,10,"104,748m","108,451m",140,149,107,108,13.1%,11.1%,49.4%,50.6%,https://www.football-lab.jp/uraw/report/?year=2017&month=08&date=19
A,清水,W,2,1,8,15,3,3,0,0,333,706,13,14,7,16,2,1,1,3,19,19,10,10,18,14,25,20,4,4,1,2,4,1,0,0,30,59,7,19,"111,144m","110,265m",130,145,105,109,7.6%,13.8%,35.5%,64.5%,https://www.football-lab.jp/uraw/report/?year=2017&month=08&date=27
H,柏,L,1,2,8,19,3,5,0,1,310,630,14,19,5,10,2,0,3,9,20,26,9,9,27,20,28,14,3,3,0,2,2,0,0,0,34,52,10,22,"111,316m","112,276m",159,146,118,135,6.8%,14.1%,36.8%,63.2%,https://www.football-lab.jp/uraw/report/?year=2017&month=09&date=09
A,磐田,D,1,1,8,18,3,5,0,0,329,660,11,18,12,10,7,2,2,2,14,11,10,9,10,17,25,21,0,3,2,7,0,2,0,0,22,64,6,21,"109,809m","107,255m",140,154,108,99,7.4%,18.2%,37.1%,62.9%,https://www.football-lab.jp/uraw/report/?year=2017&month=09&date=17
H,鳥栖,D,2,2,9,21,3,8,0,0,185,820,4,26,8,8,2,1,3,6,16,25,10,11,22,23,44,17,4,1,1,1,1,0,0,0,18,92,8,18,"113,603m","112,373m",118,129,114,120,7.9%,17.5%,26.3%,73.7%,https://www.football-lab.jp/uraw/report/?year=2017&month=09&date=23
A,仙台,W,3,2,17,12,4,6,0,0,518,477,26,12,12,10,1,1,4,7,15,12,12,12,33,20,25,25,2,1,1,1,0,3,0,0,48,35,19,18,"119,665m","113,785m",166,169,118,119,14.4%,10.1%,49.1%,50.9%,https://www.football-lab.jp/uraw/report/?year=2017&month=10&date=01
H,神戸,D,1,1,8,15,1,6,0,0,597,517,10,16,8,24,2,1,5,6,23,21,4,8,9,22,24,11,5,0,0,2,2,0,0,0,43,44,11,13,"115,768m","117,125m",140,153,111,123,7.2%,12.2%,52.2%,47.8%,https://www.football-lab.jp/uraw/report/?year=2017&month=10&date=14
H,Ｇ大阪,D,3,3,11,16,6,7,0,0,454,561,15,20,11,11,0,2,5,6,12,16,12,12,19,13,36,15,2,2,2,0,2,0,0,0,30,55,10,14,"114,080m","109,990m",186,156,116,117,9.5%,13.7%,48.3%,51.7%,https://www.football-lab.jp/uraw/report/?year=2017&month=10&date=22
A,広島,W,1,0,12,10,4,4,0,0,398,639,15,11,11,10,3,5,2,3,19,19,10,15,23,16,20,21,4,3,5,3,0,1,0,0,44,41,11,12,"117,958m","112,289m",167,170,109,108,11.0%,9.3%,41.3%,58.7%,https://www.football-lab.jp/uraw/report/?year=2017&month=10&date=29
A,鹿島,L,0,1,11,4,2,1,0,0,398,505,12,13,21,16,3,1,2,2,20,14,12,18,17,22,20,20,4,1,1,3,4,2,0,0,46,29,13,10,"105,823m","104,777m",169,142,112,109,9.8%,3.7%,44%,56%,https://www.football-lab.jp/uraw/report/?year=2017&month=11&date=05
H,川崎Ｆ,L,0,1,7,12,2,4,0,0,504,591,10,22,13,24,4,1,1,6,14,21,10,20,15,18,33,19,1,1,1,4,2,3,0,0,29,58,7,19,"110,608m","115,243m",144,148,103,124,6.8%,9.7%,44.6%,55.4%,https://www.football-lab.jp/uraw/report/?year=2017&month=11&date=29
H,横浜FM,L,0,1,12,13,5,3,0,0,373,727,11,22,11,11,2,4,4,7,17,12,13,16,20,20,28,17,6,2,4,2,0,2,0,0,32,72,13,20,"115,440m","115,665m",189,189,116,114,10.3%,11.4%,38.1%,61.9%,https://www.football-lab.jp/uraw/report/?year=2017&month=12&date=02
