HOME/AWAY,Opponent,勝敗,shim_得点,shim_失点,shim_シュート,Opponent_シュート,shim_枠内シュート,Opponent_枠内シュート,shim_PKによるシュート,Opponent_PKによるシュート,shim_パス,Opponent_パス,shim_クロス,Opponent_クロス,shim_直接ＦＫ,Opponent_直接ＦＫ,shim_間接ＦＫ,Opponent_間接ＦＫ,shim_ＣＫ,Opponent_ＣＫ,shim_スローイン,Opponent_スローイン,shim_ドリブル,Opponent_ドリブル,shim_タックル,Opponent_タックル,shim_クリア,Opponent_クリア,shim_インターセプト,Opponent_インターセプト,shim_オフサイド,Opponent_オフサイド,shim_警告,Opponent_警告,shim_退場,Opponent_退場,shim_３０ｍライン進入,Opponent_３０ｍライン進入,shim_ペナルティエリア進入,Opponent_ペナルティエリア進入,shim_総移動距離,Opponent_総移動距離,shim_スプリント,Opponent_スプリント,shim_攻撃回数,Opponent_攻撃回数,shim_チャンス構築率,Opponent_チャンス構築率,shim_ボール保持率,Opponent_ボール保持率,URL
H,鳥栖,D,1,1,12,8,2,3,0,0,327,602,7,19,10,15,5,2,7,4,14,28,8,19,14,17,35,16,2,2,2,5,2,0,0,0,27,54,6,20,"115,264m","115,062m",154,155,131,136,9.2%,5.9%,38.8%,61.2%,https://www.football-lab.jp/shim/report/?year=2017&month=05&date=14
A,浦和,D,3,3,21,20,9,6,0,0,281,631,8,19,14,11,5,3,2,10,12,28,10,20,22,16,35,17,0,3,3,5,1,1,0,0,26,61,11,25,"112,169m","112,466m",173,188,115,127,18.3%,15.7%,34.8%,65.2%,https://www.football-lab.jp/shim/report/?year=2017&month=05&date=20
H,横浜FM,L,1,3,23,8,5,4,0,0,494,382,40,13,15,12,4,0,9,3,27,11,15,8,20,31,19,47,1,0,0,3,1,2,0,0,65,22,31,8,"112,408m","113,529m",148,138,135,124,17.0%,6.5%,53.7%,46.3%,https://www.football-lab.jp/shim/report/?year=2017&month=05&date=27
H,FC東京,L,0,2,9,10,0,4,0,0,349,513,14,11,14,12,1,1,3,2,27,24,18,8,13,23,21,18,4,3,1,1,0,0,0,0,34,35,7,15,"106,052m","110,718m",143,174,124,119,7.3%,8.4%,44.5%,55.5%,https://www.football-lab.jp/shim/report/?year=2017&month=06&date=04
A,Ｃ大阪,D,1,1,8,19,3,5,0,1,250,671,7,28,10,12,3,1,1,12,21,42,12,15,17,14,51,10,2,1,1,2,1,1,0,0,18,67,7,28,"115,477m","119,090m",185,186,130,150,6.2%,12.7%,36.5%,63.5%,https://www.football-lab.jp/shim/report/?year=2017&month=06&date=17
H,甲府,W,1,0,9,8,4,1,0,0,321,471,12,18,10,16,2,2,4,4,27,28,13,11,16,20,41,14,1,2,2,2,2,1,0,0,31,42,8,12,"105,234m","104,997m",146,141,121,126,7.4%,6.3%,43.4%,56.6%,https://www.football-lab.jp/shim/report/?year=2017&month=06&date=25
A,札幌,L,0,1,11,12,2,4,0,0,487,332,22,12,16,16,2,0,4,1,24,21,11,13,17,20,11,42,1,0,0,2,1,1,0,0,53,32,13,13,"109,650m","112,189m",146,137,132,135,8.3%,8.9%,53.7%,46.3%,https://www.football-lab.jp/shim/report/?year=2017&month=07&date=01
H,Ｇ大阪,W,2,0,18,14,9,4,0,0,241,622,8,16,11,12,0,1,8,4,25,35,10,9,19,13,37,21,4,0,1,0,0,0,0,0,25,40,9,12,"111,440m","108,804m",154,132,117,121,15.4%,11.6%,34.9%,65.1%,https://www.football-lab.jp/shim/report/?year=2017&month=07&date=08
A,横浜FM,D,2,2,18,18,5,6,0,1,321,589,9,20,13,9,1,0,5,8,20,24,6,16,15,13,28,9,0,0,0,1,1,2,0,0,30,45,13,14,"111,911m","111,390m",158,169,109,120,16.5%,15.0%,37.8%,62.2%,https://www.football-lab.jp/shim/report/?year=2017&month=07&date=29
A,鳥栖,L,1,2,10,10,6,5,0,0,459,331,24,12,18,22,2,2,7,2,16,15,8,11,17,18,19,23,0,1,2,2,2,2,0,0,53,27,18,12,"109,919m","111,479m",160,130,114,115,8.8%,8.7%,54.4%,45.6%,https://www.football-lab.jp/shim/report/?year=2017&month=08&date=05
H,Ｃ大阪,W,3,2,16,11,5,3,1,0,348,439,20,18,10,14,2,2,4,6,20,25,15,9,17,18,37,16,1,1,2,2,2,0,0,0,39,43,19,15,"106,535m","106,847m",107,120,120,129,13.3%,8.5%,44.4%,55.6%,https://www.football-lab.jp/shim/report/?year=2017&month=08&date=09
H,柏,L,1,4,14,17,7,6,0,0,429,531,23,23,11,10,1,4,5,5,23,21,15,12,22,23,19,25,3,1,5,1,0,0,0,0,41,49,12,17,"112,374m","111,614m",145,169,111,114,12.6%,14.9%,45.9%,54.1%,https://www.football-lab.jp/shim/report/?year=2017&month=08&date=13
A,鹿島,L,0,2,4,11,1,3,0,0,317,830,14,7,7,11,0,0,3,1,20,28,10,10,17,15,30,16,3,4,0,0,3,0,0,0,21,70,9,9,"110,447m","108,029m",126,134,122,130,3.3%,8.5%,32.9%,67.1%,https://www.football-lab.jp/shim/report/?year=2017&month=08&date=19
H,浦和,L,1,2,8,15,3,3,0,0,333,706,13,14,7,16,2,1,1,3,19,19,10,10,18,14,25,20,4,4,1,2,4,1,0,0,30,59,7,19,"111,144m","110,265m",130,145,105,109,7.6%,13.8%,35.5%,64.5%,https://www.football-lab.jp/shim/report/?year=2017&month=08&date=27
A,甲府,W,1,0,6,20,1,2,0,0,371,485,8,21,14,14,1,1,1,8,19,23,11,13,19,15,31,11,1,1,1,1,3,1,0,0,26,42,6,19,"109,152m","108,170m",152,129,122,137,4.9%,14.6%,46.2%,53.8%,https://www.football-lab.jp/shim/report/?year=2017&month=09&date=09
H,川崎Ｆ,L,0,3,10,17,2,7,0,0,402,713,20,15,12,9,3,4,7,6,21,22,12,11,27,19,18,38,3,2,4,3,1,0,0,0,35,45,8,22,"112,659m","112,067m",171,151,120,120,8.3%,14.2%,38.1%,61.9%,https://www.football-lab.jp/shim/report/?year=2017&month=09&date=16
H,広島,L,1,3,22,18,6,8,0,0,530,414,30,14,11,5,0,2,4,4,35,18,26,12,15,18,28,30,0,2,2,0,1,1,0,0,64,38,21,18,"113,886m","115,573m",169,140,130,119,16.9%,15.1%,52.8%,47.2%,https://www.football-lab.jp/shim/report/?year=2017&month=09&date=23
A,大宮,D,0,0,7,12,0,0,0,0,338,505,13,23,13,13,1,2,7,9,33,17,10,12,21,23,35,31,4,2,2,1,3,1,0,0,37,34,12,18,"103,969m","104,080m",113,129,130,118,5.4%,10.2%,43.9%,56.1%,https://www.football-lab.jp/shim/report/?year=2017&month=09&date=30
H,磐田,L,0,3,8,11,4,5,0,0,495,492,18,6,11,14,2,4,6,2,22,23,13,10,20,22,19,29,2,4,4,2,1,1,1,0,40,34,11,8,"104,601m","112,215m",169,149,121,117,6.6%,9.4%,50.9%,49.1%,https://www.football-lab.jp/shim/report/?year=2017&month=10&date=14
A,仙台,D,0,0,9,19,3,4,0,0,238,671,6,24,7,17,2,2,3,5,16,27,8,19,18,15,30,20,1,1,2,1,2,0,0,0,15,58,7,10,"107,301m","110,529m",147,133,108,126,8.3%,15.1%,31.4%,68.6%,https://www.football-lab.jp/shim/report/?year=2017&month=10&date=21
A,FC東京,D,0,0,20,9,4,3,0,0,397,405,21,18,11,12,0,4,11,6,27,25,15,5,12,20,32,31,5,6,4,0,1,1,0,0,37,26,21,9,"101,382m","101,358m",132,147,135,134,14.8%,6.7%,50.1%,49.9%,https://www.football-lab.jp/shim/report/?year=2017&month=10&date=29
H,札幌,L,0,2,11,8,5,4,0,0,520,452,30,14,20,11,1,1,12,3,28,20,12,13,22,14,26,45,2,1,1,1,2,3,0,0,37,36,17,16,"112,184m","113,884m",148,144,146,116,7.5%,6.9%,53.9%,46.1%,https://www.football-lab.jp/shim/report/?year=2017&month=11&date=18
H,新潟,L,2,3,15,12,6,6,0,0,333,492,12,6,22,17,1,0,2,1,18,36,9,16,25,17,28,22,4,4,0,1,2,2,0,0,30,32,13,5,"114,535m","113,424m",154,160,143,138,10.5%,8.7%,42%,58%,https://www.football-lab.jp/shim/report/?year=2017&month=11&date=26
A,神戸,W,3,1,8,14,5,4,0,0,262,653,12,23,17,11,3,6,4,4,16,29,11,11,23,14,33,11,3,2,6,3,1,2,0,0,27,54,9,13,"112,225m","107,557m",141,130,132,127,6.1%,11.0%,35.3%,64.7%,https://www.football-lab.jp/shim/report/?year=2017&month=12&date=02
