HOME/AWAY,Opponent,勝敗,kasw_得点,kasw_失点,Opponent_シュート,kasw_シュート,Opponent_枠内シュート,kasw_枠内シュート,Opponent_PKによるシュート,kasw_PKによるシュート,Opponent_パス,kasw_パス,Opponent_クロス,kasw_クロス,Opponent_直接ＦＫ,kasw_直接ＦＫ,Opponent_間接ＦＫ,kasw_間接ＦＫ,Opponent_ＣＫ,kasw_ＣＫ,Opponent_スローイン,kasw_スローイン,Opponent_ドリブル,kasw_ドリブル,Opponent_タックル,kasw_タックル,Opponent_クリア,kasw_クリア,Opponent_インターセプト,kasw_インターセプト,Opponent_オフサイド,kasw_オフサイド,Opponent_警告,kasw_警告,Opponent_退場,kasw_退場,Opponent_３０ｍライン進入,kasw_３０ｍライン進入,Opponent_ペナルティエリア進入,kasw_ペナルティエリア進入,Opponent_総移動距離,kasw_総移動距離,Opponent_スプリント,kasw_スプリント,Opponent_攻撃回数,kasw_攻撃回数,Opponent_チャンス構築率,kasw_チャンス構築率,Opponent_ボール保持率,kasw_ボール保持率,URL
A,FC東京,W,2,1,11,22,5,10,0,0,496,511,14,14,13,15,0,6,3,7,23,30,6,16,20,14,23,23,1,6,5,0,0,1,0,0,41,51,12,13,"111,365m","114,159m",149,159,129,135,8.5%,16.3%,49%,51%,https://www.football-lab.jp/kasw/report/?year=2017&month=05&date=14
A,磐田,W,2,0,15,12,5,4,0,0,411,490,16,16,14,11,4,3,6,6,30,14,7,15,29,27,20,25,1,0,3,4,0,2,0,0,40,45,14,16,"114,504m","113,745m",186,195,130,122,11.5%,9.8%,46.2%,53.8%,https://www.football-lab.jp/kasw/report/?year=2017&month=05&date=20
H,大宮,W,4,2,9,27,3,10,0,0,357,537,6,28,11,10,0,4,4,12,26,29,6,17,30,23,24,24,2,2,4,0,3,1,0,0,20,68,7,26,"113,987m","117,561m",192,199,135,139,6.7%,19.4%,43.4%,56.6%,https://www.football-lab.jp/kasw/report/?year=2017&month=05&date=27
H,浦和,W,1,0,15,10,3,4,1,0,429,423,19,10,18,21,3,6,6,5,28,13,22,12,18,21,12,23,2,4,6,2,1,2,0,0,38,35,15,11,"111,871m","116,200m",144,188,139,130,10.8%,7.7%,51.1%,48.9%,https://www.football-lab.jp/kasw/report/?year=2017&month=06&date=04
A,甲府,D,0,0,7,14,3,4,0,0,251,639,14,23,17,16,4,2,4,6,24,23,14,12,13,12,24,21,1,1,2,4,3,2,0,0,29,57,6,16,"118,538m","117,006m",206,215,131,125,5.3%,11.2%,38%,62%,https://www.football-lab.jp/kasw/report/?year=2017&month=06&date=17
H,札幌,W,2,1,12,15,4,3,0,1,228,498,10,20,13,15,6,3,3,11,17,39,12,15,16,13,34,20,5,3,3,6,3,1,0,0,23,53,11,13,"109,808m","106,179m",110,146,110,125,10.9%,12.0%,38.1%,61.9%,https://www.football-lab.jp/kasw/report/?year=2017&month=06&date=25
H,鹿島,L,2,3,10,15,3,5,0,0,379,414,7,16,18,10,3,5,4,4,28,22,14,17,21,31,15,18,3,2,4,3,2,1,0,0,27,33,13,18,"106,108m","105,374m",174,145,129,117,7.8%,12.8%,50.9%,49.1%,https://www.football-lab.jp/kasw/report/?year=2017&month=07&date=02
A,Ｃ大阪,L,1,2,12,16,6,4,0,0,332,608,15,23,9,11,4,0,6,10,22,32,9,20,16,11,28,19,0,3,0,4,0,3,0,0,30,62,9,16,"111,153m","107,987m",135,132,109,126,11.0%,12.7%,39%,61%,https://www.football-lab.jp/kasw/report/?year=2017&month=07&date=08
A,仙台,D,1,1,11,13,5,5,0,0,438,596,14,21,10,13,1,3,5,3,20,26,23,15,18,25,24,22,1,3,3,2,0,0,0,0,44,54,8,15,"117,468m","115,388m",164,161,120,129,9.2%,10.1%,45.1%,54.9%,https://www.football-lab.jp/kasw/report/?year=2017&month=07&date=30
H,神戸,W,3,1,8,11,2,7,0,0,429,566,9,14,13,15,2,3,4,6,21,26,4,14,18,5,14,17,1,2,3,2,1,4,1,0,30,42,7,15,"102,007m","107,654m",129,147,106,110,7.5%,10.0%,46.2%,53.8%,https://www.football-lab.jp/kasw/report/?year=2017&month=08&date=05
H,鳥栖,D,0,0,8,26,2,5,0,0,303,544,15,30,16,9,3,4,4,14,18,21,6,12,13,15,45,25,3,2,4,3,2,4,0,2,24,55,12,22,"108,477m","106,898m",141,149,114,119,7.0%,21.8%,42.6%,57.4%,https://www.football-lab.jp/kasw/report/?year=2017&month=08&date=09
A,清水,W,4,1,14,17,7,6,0,0,429,531,23,23,11,10,1,4,5,5,23,21,15,12,22,23,19,25,3,1,5,1,0,0,0,0,41,49,12,17,"112,374m","111,614m",145,169,111,114,12.6%,14.9%,45.9%,54.1%,https://www.football-lab.jp/kasw/report/?year=2017&month=08&date=13
A,Ｇ大阪,W,1,0,7,19,1,4,0,0,506,473,16,19,11,9,1,3,7,9,24,27,12,15,20,15,30,26,1,7,3,1,0,0,0,0,39,33,11,19,"105,872m","104,624m",124,151,117,123,6.0%,15.4%,51.8%,48.2%,https://www.football-lab.jp/kasw/report/?year=2017&month=08&date=19
H,新潟,D,1,1,18,10,4,2,0,0,457,334,22,20,9,18,2,3,5,10,23,27,14,13,28,13,37,25,2,1,2,2,3,3,0,1,49,34,18,17,"108,575m","101,695m",125,144,117,129,15.4%,7.8%,57.3%,42.7%,https://www.football-lab.jp/kasw/report/?year=2017&month=08&date=26
A,浦和,W,2,1,19,8,5,3,1,0,630,310,19,14,10,5,0,2,9,3,26,20,9,9,20,27,14,28,3,3,2,0,0,2,0,0,52,34,22,10,"112,276m","111,316m",146,159,135,118,14.1%,6.8%,63.2%,36.8%,https://www.football-lab.jp/kasw/report/?year=2017&month=09&date=09
A,横浜FM,D,1,1,9,11,2,4,0,0,460,594,12,20,20,16,4,2,1,4,16,24,10,19,27,14,25,14,3,1,2,4,4,0,0,0,27,56,14,15,"113,932m","111,261m",171,159,123,122,7.3%,9.0%,45.9%,54.1%,https://www.football-lab.jp/kasw/report/?year=2017&month=09&date=16
H,FC東京,W,4,1,12,19,2,4,1,0,409,485,9,24,21,12,5,2,7,6,23,23,9,15,24,27,18,26,1,2,2,5,2,2,0,0,28,40,7,18,"110,444m","108,363m",169,177,131,125,9.2%,15.2%,46.8%,53.2%,https://www.football-lab.jp/kasw/report/?year=2017&month=09&date=23
H,甲府,L,0,1,15,20,4,4,0,0,240,626,11,24,14,8,8,4,4,6,21,30,13,19,19,14,32,17,3,1,3,8,1,2,0,0,35,63,9,16,"109,827m","106,654m",152,139,119,128,12.6%,15.6%,35.1%,64.9%,https://www.football-lab.jp/kasw/report/?year=2017&month=09&date=30
A,札幌,L,0,3,6,14,3,4,0,0,296,522,15,29,20,15,5,2,3,8,17,27,9,23,21,13,36,14,1,2,2,5,0,1,0,0,36,57,13,23,"120,243m","114,059m",198,202,136,142,4.4%,9.9%,42.4%,57.6%,https://www.football-lab.jp/kasw/report/?year=2017&month=10&date=14
A,大宮,D,1,1,15,13,8,6,0,0,333,511,18,23,13,11,5,4,3,10,19,24,13,13,23,14,30,27,2,3,4,5,3,1,0,0,25,35,14,20,"106,704m","106,706m",168,168,110,124,13.6%,10.5%,44.4%,55.6%,https://www.football-lab.jp/kasw/report/?year=2017&month=10&date=21
H,川崎Ｆ,D,2,2,16,11,7,5,0,0,388,346,19,21,12,8,2,2,0,6,55,50,14,10,34,18,50,46,2,2,2,2,2,0,0,0,32,35,15,9,"108,263m","108,721m",137,147,187,185,8.6%,5.9%,52.4%,47.6%,https://www.football-lab.jp/kasw/report/?year=2017&month=10&date=29
H,磐田,W,1,0,14,8,3,2,0,0,373,543,9,23,9,12,6,1,3,10,32,19,12,16,30,27,26,24,3,2,1,6,2,2,0,0,38,32,14,8,"108,430m","108,829m",174,177,134,141,10.4%,5.7%,43.4%,56.6%,https://www.football-lab.jp/kasw/report/?year=2017&month=11&date=18
A,鹿島,D,0,0,25,7,7,1,0,0,421,520,17,10,12,16,2,3,13,8,24,17,16,12,16,25,17,35,2,3,3,1,2,1,0,0,55,29,31,9,"106,712m","110,395m",175,160,123,113,20.3%,6.2%,46.8%,53.2%,https://www.football-lab.jp/kasw/report/?year=2017&month=11&date=26
H,広島,W,1,0,14,18,3,6,0,0,473,600,18,25,15,10,2,5,3,7,19,19,14,16,20,25,20,27,2,2,5,1,0,0,0,0,40,52,17,18,"118,775m","116,388m",177,165,125,125,11.2%,14.4%,44.1%,55.9%,https://www.football-lab.jp/kasw/report/?year=2017&month=12&date=02
