HOME/AWAY,Opponent,勝敗,g-os_得点,g-os_失点,Opponent_ゴール期待値,g-os_ゴール期待値,Opponent_シュート,g-os_シュート,Opponent_枠内シュート,g-os_枠内シュート,Opponent_PKによるシュート,g-os_PKによるシュート,Opponent_パス,g-os_パス,Opponent_クロス,g-os_クロス,Opponent_直接ＦＫ,g-os_直接ＦＫ,Opponent_間接ＦＫ,g-os_間接ＦＫ,Opponent_ＣＫ,g-os_ＣＫ,Opponent_スローイン,g-os_スローイン,Opponent_ドリブル,g-os_ドリブル,Opponent_タックル,g-os_タックル,Opponent_クリア,g-os_クリア,Opponent_インターセプト,g-os_インターセプト,Opponent_オフサイド,g-os_オフサイド,Opponent_警告,g-os_警告,Opponent_退場,g-os_退場,Opponent_３０ｍライン進入,g-os_３０ｍライン進入,Opponent_ペナルティエリア進入,g-os_ペナルティエリア進入,Opponent_総移動距離,g-os_総移動距離,Opponent_スプリント,g-os_スプリント,Opponent_攻撃回数,g-os_攻撃回数,Opponent_チャンス構築率,g-os_チャンス構築率,Opponent_ボール保持率,g-os_ボール保持率,URL
A,鹿島,D,1,1,2.32,0.974,25,10,9,5,0,0,635,290,26,5,11,12,2,2,7,5,25,21,10,8,17,14,15,28,2,3,2,2,2,2,0,0,70,24,29,8,"113,770m","114,677m",159,154,122,121,20.5%,8.3%,64.7%,35.3%,https://www.football-lab.jp/g-os/report/?year=2020&month=08&date=23
H,FC東京,L,1,3,1.972,1.554,13,18,5,8,1,0,358,600,5,12,13,10,0,1,6,5,16,14,6,15,20,20,23,12,3,4,1,1,3,1,0,0,47,50,7,12,"111,581m","109,795m",190,163,115,114,11.3%,15.8%,42.8%,57.2%,https://www.football-lab.jp/g-os/report/?year=2020&month=08&date=29
A,仙台,W,4,1,2.525,1.507,18,15,6,6,1,0,532,361,28,9,6,8,2,2,8,2,31,14,10,5,9,14,13,33,0,2,2,1,2,0,0,0,37,28,15,6,"110,957m","113,636m",140,175,126,109,14.3%,13.8%,58%,42%,https://www.football-lab.jp/g-os/report/?year=2020&month=09&date=05
A,柏,L,0,3,2.249,1.269,19,15,9,5,0,0,469,615,17,16,11,13,2,4,4,3,13,23,5,6,20,16,28,14,1,3,4,2,0,1,0,0,49,45,19,16,"111,513m","113,063m",149,150,107,113,17.8%,13.3%,45.3%,54.7%,https://www.football-lab.jp/g-os/report/?year=2020&month=09&date=09
H,湘南,L,0,1,1.394,1.906,11,22,2,4,0,0,377,647,14,15,7,11,2,1,4,5,15,29,7,18,21,17,33,16,4,4,1,2,2,0,0,0,29,52,8,15,"111,508m","110,935m",152,156,122,129,9.0%,17.1%,41.7%,58.3%,https://www.football-lab.jp/g-os/report/?year=2020&month=09&date=13
A,札幌,W,1,0,0.934,1.292,11,8,1,2,0,0,637,445,21,12,12,13,2,1,4,4,20,19,10,9,26,27,18,26,0,2,1,2,0,0,0,0,48,30,16,14,"113,858m","116,558m",170,200,133,132,8.3%,6.1%,56.7%,43.3%,https://www.football-lab.jp/g-os/report/?year=2020&month=09&date=19
H,名古屋,W,2,1,1.235,1.234,8,18,4,6,0,0,480,612,12,7,15,13,3,0,2,0,19,25,7,11,24,23,18,20,2,4,0,3,3,1,0,0,39,55,12,15,"119,060m","117,782m",156,138,117,121,6.8%,14.9%,45.9%,54.1%,https://www.football-lab.jp/g-os/report/?year=2020&month=09&date=23
A,広島,W,2,1,1.526,0.875,17,11,5,3,0,0,622,409,23,5,11,10,3,1,9,3,20,22,18,6,8,15,13,36,1,1,1,3,0,0,0,0,50,33,18,11,"114,992m","118,580m",152,194,128,124,13.3%,8.9%,57.2%,42.8%,https://www.football-lab.jp/g-os/report/?year=2020&month=09&date=27
H,鹿島,W,2,0,1.899,1.475,26,12,7,4,0,1,441,386,22,10,13,11,2,0,10,4,23,24,13,9,22,13,14,29,2,2,0,1,1,0,0,0,47,33,20,9,"109,215m","109,667m",157,183,131,127,19.8%,9.4%,51.3%,48.7%,https://www.football-lab.jp/g-os/report/?year=2020&month=10&date=03
A,鳥栖,W,2,1,1.564,1.202,14,11,2,5,0,0,715,415,16,9,11,9,3,4,6,4,22,15,12,7,16,17,11,17,1,3,4,3,0,1,0,0,60,26,20,9,"118,952m","121,317m",159,160,112,111,12.5%,9.9%,64.1%,35.9%,https://www.football-lab.jp/g-os/report/?year=2020&month=10&date=07
A,FC東京,W,1,0,1.767,1.37,18,11,5,4,0,1,376,242,19,8,14,13,4,4,9,2,35,19,6,8,22,27,16,47,0,1,4,4,0,1,0,0,39,14,13,5,"101,656m","100,091m",137,114,159,139,11.3%,7.9%,53.7%,46.3%,https://www.football-lab.jp/g-os/report/?year=2020&month=10&date=10
H,横浜FM,D,1,1,1.207,2.353,10,18,4,4,0,1,540,525,15,20,9,10,2,3,4,11,31,19,5,15,19,25,36,20,1,3,3,2,0,0,0,0,48,46,13,19,"116,037m","117,019m",152,161,141,141,7.1%,12.8%,49%,51%,https://www.football-lab.jp/g-os/report/?year=2020&month=10&date=14
A,大分,W,1,0,1.471,1.739,12,13,1,4,0,0,613,511,25,11,9,6,2,0,11,4,21,20,9,8,21,17,25,33,2,2,0,2,0,0,0,0,54,32,12,13,"121,743m","123,631m",197,202,129,109,9.3%,11.9%,53.9%,46.1%,https://www.football-lab.jp/g-os/report/?year=2020&month=10&date=18
H,柏,W,2,1,1.592,1.384,19,13,4,6,0,0,575,433,21,10,9,11,2,3,2,3,32,23,15,13,23,29,17,35,1,4,3,2,0,1,0,0,50,39,17,8,"111,503m","114,885m",166,169,133,127,14.3%,10.2%,54.8%,45.2%,https://www.football-lab.jp/g-os/report/?year=2020&month=10&date=24
H,札幌,W,2,1,1.959,1.408,16,11,7,5,0,0,537,472,18,8,11,14,2,4,4,3,19,23,29,10,14,29,23,34,2,2,4,3,3,2,0,0,54,32,13,12,"111,311m","112,840m",150,133,120,124,13.3%,8.9%,54.8%,45.2%,https://www.football-lab.jp/g-os/report/?year=2020&month=10&date=31
A,Ｃ大阪,D,1,1,2.139,0.703,15,9,1,4,0,0,490,447,16,21,15,7,2,3,5,3,14,21,9,10,19,18,25,26,1,1,3,2,1,5,0,0,50,44,12,14,"112,111m","112,349m",116,135,107,109,14.0%,8.3%,53.4%,46.6%,https://www.football-lab.jp/g-os/report/?year=2020&month=11&date=03
H,神戸,W,1,0,0.983,0.705,13,11,3,4,0,0,681,426,14,8,10,10,0,2,4,6,17,19,14,8,27,19,23,22,4,2,2,0,0,0,0,0,56,23,11,14,"114,214m","118,624m",202,190,102,106,12.7%,10.4%,61%,39%,https://www.football-lab.jp/g-os/report/?year=2020&month=11&date=11
H,仙台,L,0,4,1.689,1.006,16,11,7,1,0,0,321,635,12,25,9,10,4,3,6,6,22,27,8,10,14,18,45,17,2,1,3,4,0,1,0,0,28,64,11,16,"113,853m","110,086m",139,131,113,118,14.2%,9.3%,38.8%,61.2%,https://www.football-lab.jp/g-os/report/?year=2020&month=11&date=14
A,浦和,W,2,1,1.277,1.61,10,13,4,7,0,0,508,577,16,15,9,5,2,2,4,8,14,10,17,12,23,26,22,22,1,2,2,2,0,0,0,0,34,50,16,14,"108,789m","114,653m",151,173,123,118,8.1%,11.0%,47.4%,52.6%,https://www.football-lab.jp/g-os/report/?year=2020&month=11&date=22
A,川崎Ｆ,L,0,5,3.605,0.475,24,6,13,1,0,0,614,562,13,11,13,7,2,2,4,5,25,21,12,6,19,17,20,17,1,2,2,2,0,0,0,0,64,44,29,9,"114,629m","117,199m",192,164,112,108,21.4%,5.6%,53%,47%,https://www.football-lab.jp/g-os/report/?year=2020&month=11&date=25
H,鳥栖,D,1,1,1.197,2.814,9,20,1,7,0,0,509,602,7,29,8,12,2,8,2,11,14,14,8,17,16,15,37,12,2,5,8,2,2,1,0,0,39,55,8,22,"123,612m","120,161m",189,175,116,129,7.8%,15.5%,49.4%,50.6%,https://www.football-lab.jp/g-os/report/?year=2020&month=11&date=29
A,湘南,W,2,1,1.441,0.932,10,12,2,5,1,0,490,320,20,9,11,6,2,4,6,0,30,27,19,6,24,20,15,31,2,3,4,2,1,3,0,0,45,32,14,13,"112,412m","115,869m",166,143,147,129,6.8%,9.3%,59.1%,40.9%,https://www.football-lab.jp/g-os/report/?year=2020&month=12&date=06
A,横浜FC,W,2,0,1.683,2.138,16,13,4,9,0,0,706,364,12,5,14,9,1,3,3,6,13,21,11,5,14,20,18,18,2,2,3,1,0,1,0,0,51,28,12,6,"126,910m","124,545m",164,167,107,112,15.0%,11.6%,65.1%,34.9%,https://www.football-lab.jp/g-os/report/?year=2020&month=12&date=16
H,清水,L,0,2,1.308,1.673,12,17,6,3,0,0,413,748,7,23,5,7,2,1,4,11,17,30,3,10,24,22,38,16,1,1,1,2,0,0,0,0,29,59,7,17,"116,566m","118,624m",168,142,114,120,10.5%,14.2%,39.6%,60.4%,https://www.football-lab.jp/g-os/report/?year=2020&month=12&date=19
