HOME/AWAY,Opponent,勝敗,kasw_得点,kasw_失点,kasw_ゴール期待値,Opponent_ゴール期待値,kasw_シュート,Opponent_シュート,kasw_枠内シュート,Opponent_枠内シュート,kasw_PKによるシュート,Opponent_PKによるシュート,kasw_パス,Opponent_パス,kasw_クロス,Opponent_クロス,kasw_直接ＦＫ,Opponent_直接ＦＫ,kasw_間接ＦＫ,Opponent_間接ＦＫ,kasw_ＣＫ,Opponent_ＣＫ,kasw_スローイン,Opponent_スローイン,kasw_ドリブル,Opponent_ドリブル,kasw_タックル,Opponent_タックル,kasw_クリア,Opponent_クリア,kasw_インターセプト,Opponent_インターセプト,kasw_オフサイド,Opponent_オフサイド,kasw_警告,Opponent_警告,kasw_退場,Opponent_退場,kasw_３０ｍライン進入,Opponent_３０ｍライン進入,kasw_ペナルティエリア進入,Opponent_ペナルティエリア進入,kasw_総移動距離,Opponent_総移動距離,kasw_スプリント,Opponent_スプリント,kasw_攻撃回数,Opponent_攻撃回数,kasw_チャンス構築率,Opponent_チャンス構築率,kasw_ボール保持率,Opponent_ボール保持率,URL
A,神戸,W,3,2,1.096,2.126,13,21,7,9,0,0,260,573,7,21,11,13,2,0,3,9,17,29,7,11,14,12,35,9,1,3,0,1,0,1,0,0,26,55,7,20,"106,248m","108,826m",159,176,97,119,13.4%,17.6%,35.6%,64.4%,https://www.football-lab.jp/kasw/report/?year=2020&month=08&date=19
A,大分,D,0,0,1.489,1.483,16,10,5,2,0,0,436,531,11,22,5,8,2,2,4,3,21,24,9,4,20,17,19,32,4,1,2,2,2,1,0,0,40,44,13,11,"106,924m","112,596m",122,149,92,99,17.4%,10.1%,45.4%,54.6%,https://www.football-lab.jp/kasw/report/?year=2020&month=08&date=23
H,鹿島,L,2,3,0.744,1.877,11,22,4,8,0,0,281,473,8,18,17,11,5,3,4,7,21,22,5,9,20,9,20,13,0,0,3,3,4,1,1,0,21,62,10,21,"101,261m","108,953m",160,122,113,116,9.7%,19.0%,42.8%,57.2%,https://www.football-lab.jp/kasw/report/?year=2020&month=08&date=29
A,清水,W,2,1,0.985,1.165,12,14,2,4,0,0,386,498,12,23,13,11,1,2,5,6,19,22,7,13,20,16,34,18,1,4,1,1,4,4,0,0,34,50,9,16,"107,522m","112,708m",122,147,114,114,10.5%,12.3%,44.4%,55.6%,https://www.football-lab.jp/kasw/report/?year=2020&month=09&date=05
H,Ｇ大阪,W,3,0,2.249,1.269,19,15,9,5,0,0,469,615,17,16,11,13,2,4,4,3,13,23,5,6,20,16,28,14,1,3,4,2,0,1,0,0,49,45,19,16,"111,513m","113,063m",149,150,107,113,17.8%,13.3%,45.3%,54.7%,https://www.football-lab.jp/kasw/report/?year=2020&month=09&date=09
A,鳥栖,L,1,2,0.894,1.666,13,12,4,4,0,1,464,518,23,14,7,18,3,1,7,2,20,14,9,10,28,13,12,29,3,1,1,3,3,1,0,0,45,42,19,10,"112,488m","118,222m",169,182,109,112,11.9%,10.7%,45.1%,54.9%,https://www.football-lab.jp/kasw/report/?year=2020&month=09&date=13
H,広島,D,1,1,2.08,0.752,19,7,3,3,0,0,467,491,14,13,14,12,1,2,10,6,26,17,10,5,18,15,22,31,3,0,2,1,2,2,0,0,43,47,17,12,"113,114m","111,864m",190,187,143,128,13.3%,5.5%,50%,50%,https://www.football-lab.jp/kasw/report/?year=2020&month=09&date=19
A,札幌,W,1,0,1.396,0.623,12,6,6,0,0,0,408,569,9,20,18,12,5,3,4,5,25,19,8,16,24,23,31,16,0,3,3,5,3,1,0,0,31,41,9,17,"115,623m","114,141m",173,176,141,130,8.5%,4.6%,45.8%,54.2%,https://www.football-lab.jp/kasw/report/?year=2020&month=09&date=23
H,横浜FM,L,1,3,0.97,1.707,17,10,4,2,0,0,402,644,23,20,16,12,6,4,9,0,19,27,8,7,17,13,27,25,2,0,4,6,1,1,0,0,37,40,9,16,"116,605m","120,933m",178,204,133,134,12.8%,7.5%,40.7%,59.3%,https://www.football-lab.jp/kasw/report/?year=2020&month=09&date=27
A,横浜FC,W,3,0,2.175,1.768,15,16,6,3,0,0,409,652,22,14,8,8,2,7,1,7,10,15,13,14,15,19,27,14,2,0,7,2,1,2,0,0,35,49,17,16,"118,149m","123,536m",188,215,103,117,14.6%,13.7%,40.5%,59.5%,https://www.football-lab.jp/kasw/report/?year=2020&month=10&date=03
H,神戸,W,4,3,1.842,4.095,11,21,7,9,0,1,402,697,13,14,6,11,0,0,3,7,15,23,9,14,23,14,29,20,2,3,0,0,2,1,1,0,28,51,12,15,"115,471m","116,514m",205,189,113,122,9.7%,17.2%,38.6%,61.4%,https://www.football-lab.jp/kasw/report/?year=2020&month=10&date=10
H,浦和,D,1,1,1.302,3.945,14,23,3,7,0,0,461,407,25,15,16,10,4,3,8,9,14,17,11,11,20,20,18,32,1,1,3,3,2,4,0,0,53,37,12,13,"108,002m","109,213m",185,196,121,114,11.6%,20.2%,51.6%,48.4%,https://www.football-lab.jp/kasw/report/?year=2020&month=10&date=14
A,湘南,L,2,3,1.455,0.705,13,9,6,5,0,0,406,373,10,14,15,15,2,3,4,8,26,20,2,16,32,17,21,13,2,3,3,0,4,2,0,0,29,37,9,13,"108,751m","112,274m",146,184,131,131,9.9%,6.9%,50.2%,49.8%,https://www.football-lab.jp/kasw/report/?year=2020&month=10&date=18
A,Ｇ大阪,L,1,2,1.592,1.384,19,13,4,6,0,0,575,433,21,10,9,11,2,3,2,3,32,23,15,13,23,29,17,35,1,4,3,2,0,1,0,0,50,39,17,8,"111,503m","114,885m",166,169,133,127,14.3%,10.2%,54.8%,45.2%,https://www.football-lab.jp/kasw/report/?year=2020&month=10&date=24
A,FC東京,W,3,1,1.224,1.253,14,17,4,7,0,0,519,485,16,10,7,14,5,0,2,8,27,27,14,19,16,16,30,22,1,3,0,5,2,4,0,0,41,48,13,15,"116,542m","116,942m",199,226,129,140,10.9%,12.1%,51.5%,48.5%,https://www.football-lab.jp/kasw/report/?year=2020&month=10&date=28
H,清水,D,0,0,1.271,1.271,14,14,6,4,0,0,564,579,12,15,7,11,2,2,5,5,32,22,5,3,22,17,18,23,1,3,2,2,0,1,0,0,43,37,10,13,"117,096m","116,105m",177,202,123,123,11.4%,11.4%,46.9%,53.1%,https://www.football-lab.jp/kasw/report/?year=2020&month=10&date=31
H,鳥栖,L,1,2,0.885,1.953,6,18,1,7,0,0,562,472,9,14,15,16,2,1,2,5,24,33,8,14,33,20,18,17,0,1,1,1,2,0,0,0,40,47,10,17,"120,195m","127,243m",166,203,129,146,4.7%,12.3%,52.2%,47.8%,https://www.football-lab.jp/kasw/report/?year=2020&month=11&date=21
A,鹿島,W,4,1,1.958,1.591,20,16,9,3,0,0,369,641,15,28,8,14,5,2,4,6,15,29,8,12,21,13,40,13,1,3,0,5,1,1,0,0,32,73,14,17,"120,855m","121,717m",183,166,120,133,16.7%,12.0%,41.6%,58.4%,https://www.football-lab.jp/kasw/report/?year=2020&month=11&date=25
A,仙台,W,2,0,1.955,1.137,13,8,4,1,0,0,548,570,20,27,14,13,0,1,3,5,18,17,6,12,22,11,29,12,4,1,1,0,0,0,0,0,46,53,17,12,"123,486m","123,789m",187,162,119,118,10.9%,6.8%,51.6%,48.4%,https://www.football-lab.jp/kasw/report/?year=2020&month=12&date=01
H,名古屋,L,0,1,0.751,0.889,13,8,2,4,0,0,557,513,19,8,8,14,1,2,2,5,25,22,13,14,21,20,13,27,3,1,2,1,1,1,0,0,50,29,12,6,"115,294m","117,693m",137,171,120,129,10.8%,6.2%,51.4%,48.6%,https://www.football-lab.jp/kasw/report/?year=2020&month=12&date=05
H,大分,D,1,1,0.769,0.736,9,7,5,3,0,0,429,636,15,17,10,12,2,2,3,4,28,29,7,8,14,15,30,21,0,2,2,2,1,3,0,0,32,31,6,6,"123,493m","123,925m",196,188,111,118,8.1%,5.9%,41%,59%,https://www.football-lab.jp/kasw/report/?year=2020&month=12&date=09
A,Ｃ大阪,D,0,0,1.092,1.373,12,12,4,5,0,0,382,481,14,12,9,13,2,2,4,3,25,24,12,19,23,17,34,35,2,4,2,2,3,2,0,0,36,36,10,10,"112,844m","114,515m",175,152,126,129,9.5%,9.3%,46.6%,53.4%,https://www.football-lab.jp/kasw/report/?year=2020&month=12&date=12
A,広島,W,1,0,0.49,0.972,9,8,2,1,0,0,443,626,9,13,11,10,7,3,3,7,27,26,8,8,23,20,34,16,5,2,3,7,0,0,0,0,35,47,16,8,"117,111m","118,326m",192,172,143,150,6.3%,5.3%,44.7%,55.3%,https://www.football-lab.jp/kasw/report/?year=2020&month=12&date=16
H,川崎Ｆ,L,2,3,1.179,1.46,14,17,3,7,0,0,322,762,11,22,13,8,2,2,2,10,21,21,10,6,23,21,28,25,4,2,2,2,1,3,0,0,19,57,9,26,"116,446m","115,145m",157,190,125,134,11.2%,12.7%,33.2%,66.8%,https://www.football-lab.jp/kasw/report/?year=2020&month=12&date=19
