HOME/AWAY,Opponent,勝敗,nago_得点,nago_失点,Opponent_ゴール期待値,nago_ゴール期待値,Opponent_シュート,nago_シュート,Opponent_枠内シュート,nago_枠内シュート,Opponent_PKによるシュート,nago_PKによるシュート,Opponent_パス,nago_パス,Opponent_クロス,nago_クロス,Opponent_直接ＦＫ,nago_直接ＦＫ,Opponent_間接ＦＫ,nago_間接ＦＫ,Opponent_ＣＫ,nago_ＣＫ,Opponent_スローイン,nago_スローイン,Opponent_ドリブル,nago_ドリブル,Opponent_タックル,nago_タックル,Opponent_クリア,nago_クリア,Opponent_インターセプト,nago_インターセプト,Opponent_オフサイド,nago_オフサイド,Opponent_警告,nago_警告,Opponent_退場,nago_退場,Opponent_３０ｍライン進入,nago_３０ｍライン進入,Opponent_ペナルティエリア進入,nago_ペナルティエリア進入,Opponent_総移動距離,nago_総移動距離,Opponent_スプリント,nago_スプリント,Opponent_攻撃回数,nago_攻撃回数,Opponent_チャンス構築率,nago_チャンス構築率,Opponent_ボール保持率,nago_ボール保持率,URL
H,川崎Ｆ,W,1,0,2.14,1.157,16,8,4,5,0,0,746,394,14,8,7,12,1,0,4,6,22,19,8,12,26,24,13,23,2,2,0,1,0,1,0,0,76,27,18,5,"106,825m","112,965m",126,137,96,100,16.7%,8.0%,59.8%,40.2%,https://www.football-lab.jp/nago/report/?year=2020&month=08&date=23
A,札幌,D,0,0,2.373,0.981,14,13,2,2,1,0,485,412,9,11,8,19,1,3,2,6,13,20,14,10,22,28,25,25,4,3,3,1,2,0,0,0,40,27,15,10,"113,505m","115,755m",167,167,120,136,11.7%,9.6%,53.1%,46.9%,https://www.football-lab.jp/nago/report/?year=2020&month=08&date=29
H,鹿島,L,1,3,1.645,0.999,13,8,4,3,0,0,398,510,10,11,16,14,1,3,4,5,27,19,9,14,24,12,20,21,3,3,3,1,1,2,0,0,35,43,9,13,"113,741m","115,646m",139,149,119,117,10.9%,6.8%,46.1%,53.9%,https://www.football-lab.jp/nago/report/?year=2020&month=09&date=05
H,横浜FM,W,2,1,0.51,0.696,8,9,3,4,0,0,623,279,8,10,21,22,9,3,3,2,30,27,9,4,11,28,18,19,0,3,3,9,3,2,0,0,48,20,11,11,"118,635m","119,270m",173,182,129,125,6.2%,7.2%,64.6%,35.4%,https://www.football-lab.jp/nago/report/?year=2020&month=09&date=09
A,横浜FC,L,2,3,1.704,1.255,12,14,5,4,0,0,386,679,8,37,2,6,2,2,3,6,23,34,11,18,17,24,44,16,1,1,2,2,0,0,0,0,29,79,9,20,"118,926m","118,494m",130,150,99,113,12.1%,12.4%,40.1%,59.9%,https://www.football-lab.jp/nago/report/?year=2020&month=09&date=13
H,神戸,W,2,1,0.521,2.317,9,13,2,6,0,2,586,408,9,16,10,9,2,1,3,7,17,23,5,13,16,23,18,15,2,3,1,1,4,0,0,0,51,29,4,17,"104,489m","112,056m",160,164,116,118,7.8%,11.0%,58.4%,41.6%,https://www.football-lab.jp/nago/report/?year=2020&month=09&date=19
A,Ｇ大阪,L,1,2,1.234,1.235,18,8,6,4,0,0,612,480,7,12,13,15,0,3,0,2,25,19,11,7,23,24,20,18,4,2,3,0,1,3,0,0,55,39,15,12,"117,782m","119,060m",138,156,121,117,14.9%,6.8%,54.1%,45.9%,https://www.football-lab.jp/nago/report/?year=2020&month=09&date=23
H,清水,W,3,1,1.432,2.266,11,11,5,5,0,0,517,602,13,10,8,9,3,2,5,7,16,11,11,10,10,23,14,17,0,2,2,3,1,0,0,0,38,33,8,6,"113,672m","118,748m",131,137,95,94,11.6%,11.7%,45.9%,54.1%,https://www.football-lab.jp/nago/report/?year=2020&month=09&date=26
A,神戸,L,0,1,1.07,0.554,15,5,4,2,0,0,646,455,9,15,8,10,2,2,5,0,15,35,7,8,16,26,25,20,5,2,2,2,1,1,0,0,42,24,7,6,"115,590m","117,944m",143,143,105,117,14.3%,4.3%,57.8%,42.2%,https://www.football-lab.jp/nago/report/?year=2020&month=09&date=30
A,浦和,W,1,0,0.943,1.464,7,10,2,5,0,0,576,343,14,9,13,14,2,1,7,4,21,21,9,8,23,29,15,25,1,1,1,2,2,1,1,0,42,24,4,4,"104,710m","110,885m",137,133,114,109,6.1%,9.2%,58.2%,41.8%,https://www.football-lab.jp/nago/report/?year=2020&month=10&date=04
H,Ｃ大阪,W,1,0,0.384,1.107,6,12,2,4,0,0,455,596,14,19,8,12,3,1,1,4,12,23,5,17,11,10,30,20,4,1,1,3,0,1,0,0,44,54,12,18,"113,472m","114,846m",111,121,89,100,6.7%,12.0%,44.2%,55.8%,https://www.football-lab.jp/nago/report/?year=2020&month=10&date=10
H,札幌,W,3,0,0.808,0.812,6,14,1,9,0,0,562,411,14,6,11,18,0,3,3,3,17,13,16,12,22,18,9,23,1,1,3,0,2,1,0,0,46,41,15,12,"112,422m","116,510m",158,193,114,114,5.3%,12.3%,56.3%,43.7%,https://www.football-lab.jp/nago/report/?year=2020&month=10&date=14
A,川崎Ｆ,L,0,3,2.203,1.42,18,15,6,1,0,0,574,591,13,11,8,12,1,3,6,2,10,19,13,13,19,17,20,9,1,2,3,1,0,1,0,0,41,42,14,6,"109,713m","112,289m",122,141,103,111,17.5%,13.5%,47.3%,52.7%,https://www.football-lab.jp/nago/report/?year=2020&month=10&date=18
A,横浜FM,L,1,2,2.304,0.591,20,10,9,2,0,0,665,421,24,10,12,17,5,1,9,0,25,24,16,7,19,21,10,21,3,2,1,6,0,1,0,0,66,23,21,5,"126,316m","119,805m",162,171,140,131,14.3%,7.6%,56.6%,43.4%,https://www.football-lab.jp/nago/report/?year=2020&month=10&date=21
H,仙台,W,1,0,0.108,0.916,1,17,0,7,0,0,359,636,11,22,6,7,1,2,1,13,28,29,8,20,15,14,25,19,2,0,2,1,0,0,0,0,27,49,2,12,"115,936m","117,366m",168,189,115,132,0.9%,12.9%,38.8%,61.2%,https://www.football-lab.jp/nago/report/?year=2020&month=10&date=24
A,鹿島,W,2,0,0.641,1.944,11,9,1,5,0,1,553,348,13,5,12,21,1,2,6,1,31,21,16,11,17,34,8,29,3,2,2,1,4,2,1,0,51,25,11,5,"109,823m","118,002m",170,155,135,132,8.1%,6.8%,57.6%,42.4%,https://www.football-lab.jp/nago/report/?year=2020&month=10&date=31
A,鳥栖,D,0,0,0.499,0.657,8,6,1,3,0,0,609,582,18,8,8,10,0,0,5,2,20,18,8,11,19,19,15,17,1,1,0,0,0,0,0,1,43,27,13,6,"123,198m","119,903m",170,162,97,103,8.2%,5.8%,50.9%,49.1%,https://www.football-lab.jp/nago/report/?year=2020&month=11&date=03
A,広島,L,0,2,0.939,0.096,11,3,3,1,0,0,331,718,13,7,14,10,0,3,3,8,19,26,8,8,15,13,25,10,5,2,3,0,1,1,0,0,26,47,9,6,"114,910m","118,251m",183,163,109,117,10.1%,2.6%,36.3%,63.7%,https://www.football-lab.jp/nago/report/?year=2020&month=11&date=11
H,FC東京,W,1,0,0.38,1.685,7,13,2,5,0,1,420,517,4,10,13,14,1,0,2,6,20,22,13,13,21,16,20,12,0,1,0,0,1,2,0,0,23,36,6,14,"107,225m","110,935m",150,160,114,121,6.1%,10.7%,47.8%,52.2%,https://www.football-lab.jp/nago/report/?year=2020&month=11&date=15
H,湘南,W,3,1,1.487,0.665,6,14,2,6,0,0,403,717,6,7,6,15,1,0,2,2,20,15,13,11,13,17,10,11,2,2,0,1,1,0,0,0,31,43,3,13,"117,014m","115,830m",170,165,109,113,5.5%,12.4%,39.9%,60.1%,https://www.football-lab.jp/nago/report/?year=2020&month=11&date=21
H,大分,D,0,0,1.295,0.608,12,10,2,2,0,0,540,512,14,16,6,14,1,2,3,2,30,35,4,21,16,16,24,13,3,0,2,1,2,0,0,0,34,45,11,16,"118,366m","119,166m",187,171,115,120,10.4%,8.3%,52.3%,47.7%,https://www.football-lab.jp/nago/report/?year=2020&month=11&date=28
A,柏,W,1,0,0.751,0.889,13,8,2,4,0,0,557,513,19,8,8,14,1,2,2,5,25,22,13,14,21,20,13,27,3,1,2,1,1,1,0,0,50,29,12,6,"115,294m","117,693m",137,171,120,129,10.8%,6.2%,51.4%,48.6%,https://www.football-lab.jp/nago/report/?year=2020&month=12&date=05
H,横浜FC,D,0,0,0.995,1.288,10,16,3,3,0,0,518,427,11,17,8,14,0,1,5,3,12,15,12,12,18,23,15,14,1,2,1,0,1,0,0,1,42,56,7,12,"114,021m","110,652m",125,112,100,106,10.0%,15.1%,52.8%,47.2%,https://www.football-lab.jp/nago/report/?year=2020&month=12&date=12
H,広島,W,1,0,0.861,0.752,13,12,2,2,0,0,536,494,17,2,9,12,2,1,14,4,18,11,14,8,15,14,16,37,2,5,1,2,0,0,0,0,59,39,22,9,"113,089m","115,702m",158,155,120,110,10.8%,10.9%,50.4%,49.6%,https://www.football-lab.jp/nago/report/?year=2020&month=12&date=19
