HOME/AWAY,Opponent,勝敗,sapp_得点,sapp_失点,Opponent_ゴール期待値,sapp_ゴール期待値,Opponent_シュート,sapp_シュート,Opponent_枠内シュート,sapp_枠内シュート,Opponent_PKによるシュート,sapp_PKによるシュート,Opponent_パス,sapp_パス,Opponent_クロス,sapp_クロス,Opponent_直接ＦＫ,sapp_直接ＦＫ,Opponent_間接ＦＫ,sapp_間接ＦＫ,Opponent_ＣＫ,sapp_ＣＫ,Opponent_スローイン,sapp_スローイン,Opponent_ドリブル,sapp_ドリブル,Opponent_タックル,sapp_タックル,Opponent_クリア,sapp_クリア,Opponent_インターセプト,sapp_インターセプト,Opponent_オフサイド,sapp_オフサイド,Opponent_警告,sapp_警告,Opponent_退場,sapp_退場,Opponent_３０ｍライン進入,sapp_３０ｍライン進入,Opponent_ペナルティエリア進入,sapp_ペナルティエリア進入,Opponent_総移動距離,sapp_総移動距離,Opponent_スプリント,sapp_スプリント,Opponent_攻撃回数,sapp_攻撃回数,Opponent_チャンス構築率,sapp_チャンス構築率,Opponent_ボール保持率,sapp_ボール保持率,URL
H,大分,D,1,1,1.401,2.025,7,20,5,7,0,0,431,633,7,29,6,13,0,0,3,10,17,36,3,18,20,10,36,11,3,1,0,0,0,0,0,0,19,51,4,23,"113,717m","117,275m",160,153,100,124,7.0%,16.1%,44.3%,55.7%,https://www.football-lab.jp/sapp/report/?year=2020&month=08&date=19
A,横浜FM,L,1,4,1.934,2.183,18,14,9,2,0,0,631,447,26,13,14,11,4,4,9,4,20,18,19,19,24,15,11,22,1,3,4,4,2,1,0,0,61,31,24,16,"121,444m","117,813m",200,141,132,121,13.6%,11.6%,57.7%,42.3%,https://www.football-lab.jp/sapp/report/?year=2020&month=08&date=26
H,名古屋,D,0,0,0.981,2.373,13,14,2,2,0,1,412,485,11,9,19,8,3,1,6,2,20,13,10,14,28,22,25,25,3,4,1,3,0,2,0,0,27,40,10,15,"115,755m","113,505m",167,167,136,120,9.6%,11.7%,46.9%,53.1%,https://www.football-lab.jp/sapp/report/?year=2020&month=08&date=29
H,広島,L,0,2,1.34,1.783,9,20,3,3,1,0,292,591,7,16,17,17,0,1,0,6,12,15,7,19,19,18,27,5,4,1,1,0,3,2,0,0,20,60,15,10,"103,617m","105,489m",178,178,117,119,7.7%,16.8%,39%,61%,https://www.football-lab.jp/sapp/report/?year=2020&month=09&date=05
A,Ｃ大阪,L,0,2,1.318,1.739,9,15,2,3,0,0,334,620,3,30,21,9,2,0,1,9,9,19,5,17,10,20,29,6,1,1,0,2,0,4,0,0,20,62,7,14,"114,544m","112,070m",123,129,100,106,9.0%,14.2%,38.7%,61.3%,https://www.football-lab.jp/sapp/report/?year=2020&month=09&date=09
H,浦和,L,3,4,2.402,3.212,8,26,5,8,1,0,280,595,9,35,11,7,2,0,1,15,12,11,14,19,15,15,43,12,4,2,0,2,0,0,0,0,29,68,10,36,"107,039m","107,611m",151,125,103,114,7.8%,22.8%,38.9%,61.1%,https://www.football-lab.jp/sapp/report/?year=2020&month=09&date=13
A,鳥栖,W,2,0,0.537,1.695,6,21,1,6,0,0,505,559,8,19,21,6,2,0,1,4,15,11,5,20,17,8,13,15,1,1,0,2,1,2,0,0,22,59,8,14,"116,081m","112,707m",135,145,117,101,5.1%,20.8%,50.4%,49.6%,https://www.football-lab.jp/sapp/report/?year=2020&month=09&date=16
H,Ｇ大阪,L,0,1,1.292,0.934,8,11,2,1,0,0,445,637,12,21,13,12,1,2,4,4,19,20,9,10,27,26,26,18,2,0,2,1,0,0,0,0,30,48,14,16,"116,558m","113,858m",200,170,132,133,6.1%,8.3%,43.3%,56.7%,https://www.football-lab.jp/sapp/report/?year=2020&month=09&date=19
H,柏,L,0,1,1.396,0.623,12,6,6,0,0,0,408,569,9,20,18,12,5,3,4,5,25,19,8,16,24,23,31,16,0,3,3,5,3,1,0,0,31,41,9,17,"115,623m","114,141m",173,176,141,130,8.5%,4.6%,45.8%,54.2%,https://www.football-lab.jp/sapp/report/?year=2020&month=09&date=23
A,神戸,L,0,4,1.422,0.962,12,16,8,2,0,0,442,662,8,25,12,12,2,2,0,8,21,22,9,20,25,22,29,8,0,0,2,2,1,1,0,0,24,52,11,26,"116,641m","118,591m",174,175,118,128,10.2%,12.5%,46.2%,53.8%,https://www.football-lab.jp/sapp/report/?year=2020&month=09&date=26
H,仙台,D,3,3,1.805,2.127,13,16,7,6,0,0,296,627,14,28,7,11,2,3,5,5,29,23,9,23,13,27,23,23,1,1,3,2,1,1,0,0,22,51,6,26,"111,682m","109,473m",141,145,107,104,12.1%,15.4%,36.1%,63.9%,https://www.football-lab.jp/sapp/report/?year=2020&month=10&date=03
H,湘南,W,2,1,0.488,2.062,5,15,2,4,0,0,363,538,9,12,19,13,3,0,4,4,26,21,8,12,22,22,28,34,2,1,0,3,0,1,0,0,21,29,3,18,"118,820m","116,804m",219,209,131,123,3.8%,12.2%,44.8%,55.2%,https://www.football-lab.jp/sapp/report/?year=2020&month=10&date=10
A,名古屋,L,0,3,0.812,0.808,14,6,9,1,0,0,411,562,6,14,18,11,3,0,3,3,13,17,12,16,18,22,23,9,1,1,0,3,1,2,0,0,41,46,12,15,"116,510m","112,422m",193,158,114,114,12.3%,5.3%,43.7%,56.3%,https://www.football-lab.jp/sapp/report/?year=2020&month=10&date=14
H,鹿島,W,1,0,1.157,1.255,10,13,1,3,0,0,516,437,19,8,13,15,3,0,4,3,32,26,15,9,30,29,16,35,3,2,0,3,0,1,0,0,38,28,15,9,"112,884m","116,501m",160,150,159,147,6.3%,8.8%,53.8%,46.2%,https://www.football-lab.jp/sapp/report/?year=2020&month=10&date=18
H,横浜FC,W,3,0,0.429,2.116,6,20,1,9,0,0,505,564,9,18,12,6,4,1,5,6,17,16,3,14,15,20,24,11,0,3,1,4,2,0,0,0,34,44,7,21,"118,370m","115,852m",176,171,124,118,4.8%,16.9%,49.3%,50.7%,https://www.football-lab.jp/sapp/report/?year=2020&month=10&date=24
A,Ｇ大阪,L,1,2,1.408,1.959,11,16,5,7,0,0,472,537,8,18,14,11,4,2,3,4,23,19,10,29,29,14,34,23,2,2,3,4,2,3,0,0,32,54,12,13,"112,840m","111,311m",133,150,124,120,8.9%,13.3%,45.2%,54.8%,https://www.football-lab.jp/sapp/report/?year=2020&month=10&date=31
A,川崎Ｆ,W,2,0,1.503,1.238,11,12,5,5,0,0,578,448,10,14,15,8,3,2,5,4,24,19,16,21,27,32,20,18,1,3,2,3,0,0,0,0,49,40,17,10,"109,731m","113,420m",156,162,129,129,8.5%,9.3%,52.8%,47.2%,https://www.football-lab.jp/sapp/report/?year=2020&month=11&date=03
A,FC東京,L,0,1,1.314,1.203,11,11,6,2,0,0,351,538,6,16,16,13,0,0,3,5,23,24,9,21,25,22,22,7,0,0,0,0,0,4,0,0,18,53,8,17,"110,875m","109,947m",196,163,122,120,9.0%,9.2%,42.9%,57.1%,https://www.football-lab.jp/sapp/report/?year=2020&month=11&date=11
H,鳥栖,D,1,1,1.819,0.928,17,14,7,4,0,0,391,436,6,8,14,18,2,0,8,5,19,25,3,15,20,14,23,18,3,2,0,2,1,2,0,0,24,39,5,11,"112,036m","106,357m",170,174,130,129,13.1%,10.9%,46.9%,53.1%,https://www.football-lab.jp/sapp/report/?year=2020&month=11&date=14
H,清水,W,5,1,1.447,2.472,15,17,3,8,0,1,512,475,13,14,16,9,2,1,6,6,16,15,9,18,17,19,23,21,1,1,1,2,0,0,0,0,38,42,10,14,"108,861m","110,777m",178,161,108,109,13.9%,15.6%,50.3%,49.7%,https://www.football-lab.jp/sapp/report/?year=2020&month=11&date=21
A,広島,D,2,2,1.58,0.658,16,10,6,3,0,0,438,523,12,10,16,12,1,3,6,3,22,21,13,13,22,15,19,22,2,3,3,1,1,2,0,0,44,47,13,6,"114,089m","116,379m",195,189,135,131,11.9%,7.6%,47%,53%,https://www.football-lab.jp/sapp/report/?year=2020&month=11&date=28
H,Ｃ大阪,L,1,3,2.576,0.937,19,10,7,4,0,0,410,654,9,24,11,13,1,0,1,5,16,23,9,18,17,24,26,8,1,1,0,1,0,1,0,0,27,63,16,18,"120,433m","117,564m",134,141,121,129,15.7%,7.8%,42.7%,57.3%,https://www.football-lab.jp/sapp/report/?year=2020&month=12&date=05
A,大分,D,1,1,1.26,1.667,9,16,4,3,0,0,418,584,9,19,5,9,3,3,4,7,21,29,5,16,15,20,27,25,2,1,2,3,1,0,0,0,29,41,8,20,"123,871m","121,833m",206,182,118,121,7.6%,13.2%,44.1%,55.9%,https://www.football-lab.jp/sapp/report/?year=2020&month=12&date=12
A,浦和,W,2,0,0.867,1.449,9,20,1,4,0,0,472,560,10,16,17,7,2,1,3,5,22,10,7,23,16,19,25,15,1,3,1,2,2,1,0,0,25,58,6,26,"113,919m","117,114m",154,175,114,108,7.9%,18.5%,47.3%,52.7%,https://www.football-lab.jp/sapp/report/?year=2020&month=12&date=19
